Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616313834,2021-03-21T08:03:54Z,BOX413,"41.961361,-87.914207",0,0,180
1616313905,2021-03-21T08:05:05Z,BOX413,"41.961571,-87.914207",0,2,174
1616313925,2021-03-21T08:05:25Z,BOX413,"41.961781,-87.914207",0,2,163
1616313951,2021-03-21T08:05:51Z,BOX413,"41.962002,-87.914261",0,2,129
1616313986,2021-03-21T08:06:26Z,BOX413,"41.962189,-87.914581",0,2,92
1616314030,2021-03-21T08:07:10Z,BOX413,"41.962189,-87.914261",0,2,90
1616314188,2021-03-21T08:09:48Z,BOX413,"41.962189,-87.914047",0,3,90
1616314198,2021-03-21T08:09:58Z,BOX413,"41.962189,-87.913826",0,4,90
1616314206,2021-03-21T08:10:06Z,BOX413,"41.962189,-87.913589",0,5,90
1616314212,2021-03-21T08:10:12Z,BOX413,"41.962189,-87.913376",0,6,90
1616314218,2021-03-21T08:10:18Z,BOX413,"41.962189,-87.913147",0,7,90
1616314224,2021-03-21T08:10:24Z,BOX413,"41.962189,-87.912872",0,8,90
1616314230,2021-03-21T08:10:30Z,BOX413,"41.962189,-87.912552",0,8,90
1616314237,2021-03-21T08:10:37Z,BOX413,"41.962189,-87.912163",0,9,90
1616314244,2021-03-21T08:10:44Z,BOX413,"41.962189,-87.911751",0,10,90
1616314250,2021-03-21T08:10:50Z,BOX413,"41.962189,-87.911369",0,11,90
1616314257,2021-03-21T08:10:57Z,BOX413,"41.9622,-87.910843",0,12,90
1616314264,2021-03-21T08:11:04Z,BOX413,"41.962189,-87.910347",0,13,90
1616314271,2021-03-21T08:11:11Z,BOX413,"41.962189,-87.909775",0,13,90
1616314278,2021-03-21T08:11:18Z,BOX413,"41.962189,-87.90921",0,14,90
1616314283,2021-03-21T08:11:23Z,BOX413,"41.962189,-87.908768",0,12,90
1616314288,2021-03-21T08:11:28Z,BOX413,"41.962212,-87.908417",0,9,84
1616314294,2021-03-21T08:11:34Z,BOX413,"41.962326,-87.908104",0,10,67
1616314299,2021-03-21T08:11:39Z,BOX413,"41.962452,-87.907867",0,11,56
1616314304,2021-03-21T08:11:44Z,BOX413,"41.962635,-87.90757",0,12,53
1616314309,2021-03-21T08:11:49Z,BOX413,"41.962772,-87.907341",0,13,50
1616314312,2021-03-21T08:11:52Z,BOX413,"41.96291,-87.907089",0,13,53
1616314316,2021-03-21T08:11:56Z,BOX413,"41.963058,-87.90683",0,14,53
1616314322,2021-03-21T08:12:02Z,BOX413,"41.963303,-87.906387",0,14,53
1616314328,2021-03-21T08:12:08Z,BOX413,"41.963573,-87.905937",0,14,50
1616314334,2021-03-21T08:12:14Z,BOX413,"41.963795,-87.905571",0,14,50
1616314342,2021-03-21T08:12:22Z,BOX413,"41.964088,-87.905075",0,10,50
1616314348,2021-03-21T08:12:28Z,BOX413,"41.96413,-87.904739",0,10,78
1616314351,2021-03-21T08:12:31Z,BOX413,"41.964119,-87.904503",0,10,87
1616314356,2021-03-21T08:12:36Z,BOX413,"41.964123,-87.904236",0,11,90
1616314359,2021-03-21T08:12:39Z,BOX413,"41.964119,-87.904022",0,11,90
1616314362,2021-03-21T08:12:42Z,BOX413,"41.964119,-87.90377",0,12,90
1616314366,2021-03-21T08:12:46Z,BOX413,"41.964119,-87.903481",0,13,90
1616314372,2021-03-21T08:12:52Z,BOX413,"41.964111,-87.903015",0,14,90
1616314378,2021-03-21T08:12:58Z,BOX413,"41.964108,-87.902504",0,15,90
1616314384,2021-03-21T08:13:04Z,BOX413,"41.964119,-87.901947",0,13,90
1616314390,2021-03-21T08:13:10Z,BOX413,"41.964142,-87.901627",0,7,81
1616314398,2021-03-21T08:13:18Z,BOX413,"41.964329,-87.901421",0,7,26
1616314406,2021-03-21T08:13:26Z,BOX413,"41.964561,-87.90136",0,6,19
1616314416,2021-03-21T08:13:36Z,BOX413,"41.964867,-87.901329",0,7,2
1616314421,2021-03-21T08:13:41Z,BOX413,"41.965084,-87.901321",0,9,2
1616314428,2021-03-21T08:13:48Z,BOX413,"41.965336,-87.901329",0,10,357
1616314432,2021-03-21T08:13:52Z,BOX413,"41.965561,-87.901321",0,10,4
1616314438,2021-03-21T08:13:58Z,BOX413,"41.965794,-87.901321",0,9,9
1616314443,2021-03-21T08:14:03Z,BOX413,"41.966022,-87.901329",0,10,353
1616314447,2021-03-21T08:14:07Z,BOX413,"41.966248,-87.901321",0,12,358
1616314451,2021-03-21T08:14:11Z,BOX413,"41.966469,-87.901321",0,13,356
1616314455,2021-03-21T08:14:15Z,BOX413,"41.966698,-87.901329",0,14,355
1616314458,2021-03-21T08:14:18Z,BOX413,"41.966934,-87.901321",0,10,3
1616314465,2021-03-21T08:14:25Z,BOX413,"41.967178,-87.901421",0,9,343
1616314470,2021-03-21T08:14:30Z,BOX413,"41.967316,-87.901657",0,9,315
1616314474,2021-03-21T08:14:34Z,BOX413,"41.967365,-87.901863",0,9,295
1616314478,2021-03-21T08:14:38Z,BOX413,"41.967388,-87.902122",0,10,281
1616314482,2021-03-21T08:14:42Z,BOX413,"41.9674,-87.902359",0,10,275
1616314487,2021-03-21T08:14:47Z,BOX413,"41.967407,-87.902718",0,12,272
1616314490,2021-03-21T08:14:50Z,BOX413,"41.9674,-87.902969",0,12,270
1616314495,2021-03-21T08:14:55Z,BOX413,"41.9674,-87.903366",0,14,270
1616314497,2021-03-21T08:14:57Z,BOX413,"41.9674,-87.903572",0,14,270
1616314501,2021-03-21T08:15:01Z,BOX413,"41.9674,-87.903908",0,15,270
1616314508,2021-03-21T08:15:08Z,BOX413,"41.9674,-87.90461",0,16,270
1616314514,2021-03-21T08:15:14Z,BOX413,"41.9674,-87.905144",0,16,270
1616314521,2021-03-21T08:15:21Z,BOX413,"41.967407,-87.905937",0,16,270
1616314527,2021-03-21T08:15:27Z,BOX413,"41.967407,-87.906509",0,16,270
1616314533,2021-03-21T08:15:33Z,BOX413,"41.967396,-87.90712",0,16,270
1616314539,2021-03-21T08:15:39Z,BOX413,"41.9674,-87.907806",0,17,270
1616314545,2021-03-21T08:15:45Z,BOX413,"41.967396,-87.908432",0,17,270
1616314550,2021-03-21T08:15:50Z,BOX413,"41.967396,-87.909042",0,18,270
1616314557,2021-03-21T08:15:57Z,BOX413,"41.9674,-87.909866",0,19,270
1616314563,2021-03-21T08:16:03Z,BOX413,"41.967396,-87.910629",0,19,270
1616314570,2021-03-21T08:16:10Z,BOX413,"41.967396,-87.911377",0,19,270
1616314576,2021-03-21T08:16:16Z,BOX413,"41.967384,-87.912117",0,19,270
1616314582,2021-03-21T08:16:22Z,BOX413,"41.967388,-87.912918",0,19,270
