Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616329417,2021-03-21T12:23:37Z,AAL105,"51.473137,-0.482292",0,3,90
1616329427,2021-03-21T12:23:47Z,AAL105,"51.473137,-0.482521",0,3,92
1616329438,2021-03-21T12:23:58Z,AAL105,"51.473125,-0.48275",0,3,101
1616329448,2021-03-21T12:24:08Z,AAL105,"51.473122,-0.482953",0,3,109
1616329459,2021-03-21T12:24:19Z,AAL105,"51.473122,-0.483157",0,2,123
1616329472,2021-03-21T12:24:32Z,AAL105,"51.473122,-0.483361",0,2,151
1616329494,2021-03-21T12:24:54Z,AAL105,"51.473309,-0.48357",0,3,180
1616329610,2021-03-21T12:26:50Z,AAL105,"51.473133,-0.4826",0,0,232
1616329664,2021-03-21T12:27:44Z,AAL105,"51.473381,-0.48357",0,0,51
1616329780,2021-03-21T12:29:40Z,AAL105,"51.473167,-0.483565",0,3,180
1616329791,2021-03-21T12:29:51Z,AAL105,"51.47295,-0.48357",0,5,180
1616329798,2021-03-21T12:29:58Z,AAL105,"51.472733,-0.483565",0,6,180
1616329810,2021-03-21T12:30:10Z,AAL105,"51.472355,-0.483565",0,8,180
1616329819,2021-03-21T12:30:19Z,AAL105,"51.472057,-0.483565",0,9,180
1616329824,2021-03-21T12:30:24Z,AAL105,"51.471786,-0.48357",0,9,180
1616329836,2021-03-21T12:30:36Z,AAL105,"51.471272,-0.483551",0,10,180
1616329844,2021-03-21T12:30:44Z,AAL105,"51.470867,-0.483547",0,10,180
1616329851,2021-03-21T12:30:51Z,AAL105,"51.470612,-0.483551",0,10,180
1616329857,2021-03-21T12:30:57Z,AAL105,"51.470295,-0.483547",0,10,180
1616329864,2021-03-21T12:31:04Z,AAL105,"51.469986,-0.483547",0,9,180
1616329870,2021-03-21T12:31:10Z,AAL105,"51.469723,-0.483547",0,9,180
1616329877,2021-03-21T12:31:17Z,AAL105,"51.469471,-0.483551",0,9,180
1616329885,2021-03-21T12:31:25Z,AAL105,"51.469128,-0.483547",0,9,180
1616329890,2021-03-21T12:31:30Z,AAL105,"51.46891,-0.483532",0,8,180
1616329900,2021-03-21T12:31:40Z,AAL105,"51.468655,-0.483532",0,5,180
1616329917,2021-03-21T12:31:57Z,AAL105,"51.468422,-0.483532",0,2,180
1616330000,2021-03-21T12:33:20Z,AAL105,"51.468143,-0.483532",0,1,180
1616330057,2021-03-21T12:34:17Z,AAL105,"51.467937,-0.483528",0,4,180
1616330066,2021-03-21T12:34:26Z,AAL105,"51.467697,-0.48351",0,6,180
1616330076,2021-03-21T12:34:36Z,AAL105,"51.467445,-0.483646",0,6,199
1616330081,2021-03-21T12:34:41Z,AAL105,"51.467411,-0.483881",0,7,227
1616330088,2021-03-21T12:34:48Z,AAL105,"51.467411,-0.484295",0,7,258
1616330095,2021-03-21T12:34:55Z,AAL105,"51.467411,-0.484734",0,9,267
1616330101,2021-03-21T12:35:01Z,AAL105,"51.467396,-0.485287",0,12,270
1616330111,2021-03-21T12:35:11Z,AAL105,"51.467411,-0.486069",0,11,270
1616330114,2021-03-21T12:35:14Z,AAL105,"51.4674,-0.486331",0,11,270
1616330117,2021-03-21T12:35:17Z,AAL105,"51.4674,-0.486553",0,11,270
1616330120,2021-03-21T12:35:20Z,AAL105,"51.4674,-0.486795",0,10,270
