Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616326548,2021-03-21T11:35:48Z,AAL47,"51.471123,-0.482082",0,0,352
1616326826,2021-03-21T11:40:26Z,AAL47,"51.471123,-0.482445",0,3,90
1616326838,2021-03-21T11:40:38Z,AAL47,"51.471123,-0.482712",0,3,98
1616326849,2021-03-21T11:40:49Z,AAL47,"51.471119,-0.482934",0,3,106
1616326865,2021-03-21T11:41:05Z,AAL47,"51.471153,-0.48325",0,2,137
1616326878,2021-03-21T11:41:18Z,AAL47,"51.471237,-0.483456",0,2,163
1616326895,2021-03-21T11:41:35Z,AAL47,"51.471439,-0.483565",0,3,180
1616326911,2021-03-21T11:41:51Z,AAL47,"51.47113,-0.482489",0,1,180
1616327131,2021-03-21T11:45:31Z,AAL47,"51.471451,-0.483547",0,3,180
1616327143,2021-03-21T11:45:43Z,AAL47,"51.471214,-0.483551",0,5,180
1616327152,2021-03-21T11:45:52Z,AAL47,"51.470947,-0.483547",0,6,180
1616327160,2021-03-21T11:46:00Z,AAL47,"51.470707,-0.483547",0,7,180
1616327167,2021-03-21T11:46:07Z,AAL47,"51.47047,-0.483551",0,8,180
1616327173,2021-03-21T11:46:13Z,AAL47,"51.470192,-0.483547",0,9,180
1616327180,2021-03-21T11:46:20Z,AAL47,"51.469849,-0.483528",0,10,180
1616327187,2021-03-21T11:46:27Z,AAL47,"51.469574,-0.483547",0,10,180
1616327195,2021-03-21T11:46:35Z,AAL47,"51.4692,-0.483532",0,9,180
1616327202,2021-03-21T11:46:42Z,AAL47,"51.468864,-0.483532",0,8,180
1616327208,2021-03-21T11:46:48Z,AAL47,"51.468658,-0.483528",0,8,180
1616327216,2021-03-21T11:46:56Z,AAL47,"51.468395,-0.483528",0,8,180
1616327222,2021-03-21T11:47:02Z,AAL47,"51.468166,-0.48351",0,8,180
1616327227,2021-03-21T11:47:07Z,AAL47,"51.467934,-0.483513",0,9,180
1616327234,2021-03-21T11:47:14Z,AAL47,"51.467686,-0.483565",0,9,191
1616327246,2021-03-21T11:47:26Z,AAL47,"51.467411,-0.484215",0,10,253
1616327253,2021-03-21T11:47:33Z,AAL47,"51.467411,-0.484735",0,10,267
1616327256,2021-03-21T11:47:36Z,AAL47,"51.467411,-0.484982",0,11,270
1616327267,2021-03-21T11:47:47Z,AAL47,"51.467396,-0.485878",0,12,270
1616327274,2021-03-21T11:47:54Z,AAL47,"51.467396,-0.48666",0,12,270
1616327279,2021-03-21T11:47:59Z,AAL47,"51.467354,-0.487036",0,10,258
1616327283,2021-03-21T11:48:03Z,AAL47,"51.467258,-0.487251",0,11,241
1616327289,2021-03-21T11:48:09Z,AAL47,"51.467003,-0.487442",0,10,208
1616327293,2021-03-21T11:48:13Z,AAL47,"51.466793,-0.487463",0,10,185
1616327299,2021-03-21T11:48:19Z,AAL47,"51.466476,-0.487461",0,12,182
1616327303,2021-03-21T11:48:23Z,AAL47,"51.46627,-0.487518",0,12,188
1616327309,2021-03-21T11:48:29Z,AAL47,"51.465969,-0.487667",0,13,199
1616327315,2021-03-21T11:48:35Z,AAL47,"51.465546,-0.487834",0,13,191
1616327319,2021-03-21T11:48:39Z,AAL47,"51.465336,-0.487843",0,12,182
1616327324,2021-03-21T11:48:44Z,AAL47,"51.465103,-0.487747",0,9,165
1616327333,2021-03-21T11:48:53Z,AAL47,"51.464848,-0.487366",0,8,132
1616327338,2021-03-21T11:48:58Z,AAL47,"51.46479,-0.487099",0,8,115
1616327345,2021-03-21T11:49:05Z,AAL47,"51.464779,-0.486646",0,9,95
1616327351,2021-03-21T11:49:11Z,AAL47,"51.464779,-0.486219",0,12,90
1616327355,2021-03-21T11:49:15Z,AAL47,"51.464779,-0.485588",0,26,90
1616327356,2021-03-21T11:49:16Z,AAL47,"51.464779,-0.485347",0,31,90
1616327357,2021-03-21T11:49:17Z,AAL47,"51.464779,-0.485077",0,35,90
1616327358,2021-03-21T11:49:18Z,AAL47,"51.464779,-0.484772",0,40,90
1616327359,2021-03-21T11:49:19Z,AAL47,"51.464779,-0.484428",0,45,90
1616327362,2021-03-21T11:49:22Z,AAL47,"51.464779,-0.483231",0,59,90
1616327364,2021-03-21T11:49:24Z,AAL47,"51.464779,-0.482292",0,68,90
1616327366,2021-03-21T11:49:26Z,AAL47,"51.464779,-0.480957",0,76,90
1616327368,2021-03-21T11:49:28Z,AAL47,"51.464779,-0.479679",0,84,90
1616327380,2021-03-21T11:49:40Z,AAL47,"51.464848,-0.469818",0,125,89
1616327386,2021-03-21T11:49:46Z,AAL47,"51.464848,-0.463257",0,148,89
1616327399,2021-03-21T11:49:59Z,AAL47,"51.464848,-0.447311",0,161,90
1616327407,2021-03-21T11:50:07Z,AAL47,"51.464848,-0.437851",250,165,90
1616327435,2021-03-21T11:50:35Z,AAL47,"51.460751,-0.405121",1450,171,124
1616327439,2021-03-21T11:50:39Z,AAL47,"51.458038,-0.40063",1650,172,137
1616327442,2021-03-21T11:50:42Z,AAL47,"51.45607,-0.398403",1775,173,145
1616327448,2021-03-21T11:50:48Z,AAL47,"51.452278,-0.395737",2000,176,159
1616327450,2021-03-21T11:50:50Z,AAL47,"51.449982,-0.39484",2100,177,166
1616327455,2021-03-21T11:50:55Z,AAL47,"51.446552,-0.394363",2225,181,176
1616327456,2021-03-21T11:50:56Z,AAL47,"51.445633,-0.394394",2275,183,178
1616327457,2021-03-21T11:50:57Z,AAL47,"51.444763,-0.394469",2300,184,181
1616327461,2021-03-21T11:51:01Z,AAL47,"51.44133,-0.395359",2400,188,190
1616327462,2021-03-21T11:51:02Z,AAL47,"51.44046,-0.39573",2425,189,192
1616327465,2021-03-21T11:51:05Z,AAL47,"51.437622,-0.397289",2525,193,201
1616327466,2021-03-21T11:51:06Z,AAL47,"51.437199,-0.397568",2525,193,201
1616327467,2021-03-21T11:51:07Z,AAL47,"51.436295,-0.398254",2550,193,203
1616327469,2021-03-21T11:51:09Z,AAL47,"51.434635,-0.399704",2625,195,207
1616327470,2021-03-21T11:51:10Z,AAL47,"51.433456,-0.400853",2675,196,211
1616327471,2021-03-21T11:51:11Z,AAL47,"51.433044,-0.401372",2700,196,211
1616327475,2021-03-21T11:51:15Z,AAL47,"51.429428,-0.405455",2875,199,216
1616327476,2021-03-21T11:51:16Z,AAL47,"51.42905,-0.405884",2875,200,216
1616327479,2021-03-21T11:51:19Z,AAL47,"51.427143,-0.408249",2975,201,217
1616327484,2021-03-21T11:51:24Z,AAL47,"51.423294,-0.413027",3150,206,217
1616327485,2021-03-21T11:51:25Z,AAL47,"51.422626,-0.413818",3200,206,217
1616327494,2021-03-21T11:51:34Z,AAL47,"51.415691,-0.42244",3475,213,217
1616327495,2021-03-21T11:51:35Z,AAL47,"51.414574,-0.423813",3525,214,217
1616327501,2021-03-21T11:51:41Z,AAL47,"51.409927,-0.429655",3725,219,217
1616327508,2021-03-21T11:51:48Z,AAL47,"51.404423,-0.436554",3875,228,218
1616327515,2021-03-21T11:51:55Z,AAL47,"51.397999,-0.44548",4025,239,223
1616327525,2021-03-21T11:52:05Z,AAL47,"51.391754,-0.45957",4325,243,242
1616327537,2021-03-21T11:52:17Z,AAL47,"51.388409,-0.481033",4650,251,265
1616327539,2021-03-21T11:52:19Z,AAL47,"51.388412,-0.484957",4675,254,269
1616327545,2021-03-21T11:52:25Z,AAL47,"51.389202,-0.49614",4775,256,274
1616327546,2021-03-21T11:52:26Z,AAL47,"51.389435,-0.497971",4800,262,280
1616327549,2021-03-21T11:52:29Z,AAL47,"51.390041,-0.502625",4850,263,281
1616327552,2021-03-21T11:52:32Z,AAL47,"51.390923,-0.508347",4950,266,283
1616327555,2021-03-21T11:52:35Z,AAL47,"51.391903,-0.514145",5050,269,284
1616327567,2021-03-21T11:52:47Z,AAL47,"51.396194,-0.53885",5550,276,285
1616327569,2021-03-21T11:52:49Z,AAL47,"51.396881,-0.542784",5650,277,285
1616327600,2021-03-21T11:53:20Z,AAL47,"51.407272,-0.603803",7225,284,284
1616327612,2021-03-21T11:53:32Z,AAL47,"51.411072,-0.627705",7950,282,284
1616327627,2021-03-21T11:53:47Z,AAL47,"51.417435,-0.657918",8775,280,290
1616327643,2021-03-21T11:54:03Z,AAL47,"51.424667,-0.690431",9475,289,289
1616327661,2021-03-21T11:54:21Z,AAL47,"51.432449,-0.725937",9975,303,289
1616327675,2021-03-21T11:54:35Z,AAL47,"51.439339,-0.758743",10575,311,287
1616327687,2021-03-21T11:54:47Z,AAL47,"51.444691,-0.784912",11000,318,288
1616327700,2021-03-21T11:55:00Z,AAL47,"51.450699,-0.813065",11375,327,288
1616327727,2021-03-21T11:55:27Z,AAL47,"51.463825,-0.879364",11825,361,286
1616327742,2021-03-21T11:55:42Z,AAL47,"51.471134,-0.918503",12175,373,286
1616327781,2021-03-21T11:56:21Z,AAL47,"51.491409,-1.025589",13700,387,286
1616327818,2021-03-21T11:56:58Z,AAL47,"51.510654,-1.125717",15250,394,287
1616327839,2021-03-21T11:57:19Z,AAL47,"51.522629,-1.18489",16075,400,288
1616327908,2021-03-21T11:58:28Z,AAL47,"51.560654,-1.384048",18850,416,286
1616327990,2021-03-21T11:59:50Z,AAL47,"51.607998,-1.631165",21975,432,286
1616328057,2021-03-21T12:00:57Z,AAL47,"51.647285,-1.843338",24200,450,286
1616328118,2021-03-21T12:01:58Z,AAL47,"51.684357,-2.040933",26025,466,288
1616328185,2021-03-21T12:03:05Z,AAL47,"51.746117,-2.254868",27900,477,298
1616328250,2021-03-21T12:04:10Z,AAL47,"51.814503,-2.460785",29700,489,298
1616328260,2021-03-21T12:04:20Z,AAL47,"51.825813,-2.495041",30000,491,298
1616328348,2021-03-21T12:05:48Z,AAL47,"51.918499,-2.778128",32975,488,297
1616328410,2021-03-21T12:06:50Z,AAL47,"51.982418,-2.975569",34750,486,297
1616328471,2021-03-21T12:07:51Z,AAL47,"52.046814,-3.175812",36000,487,297
1616328532,2021-03-21T12:08:52Z,AAL47,"52.109573,-3.372726",36000,487,297
1616328593,2021-03-21T12:09:53Z,AAL47,"52.172024,-3.5704",36000,486,297
1616328655,2021-03-21T12:10:55Z,AAL47,"52.235428,-3.77247",36000,487,297
1616328717,2021-03-21T12:11:57Z,AAL47,"52.298599,-3.975874",35975,487,296
1616328784,2021-03-21T12:13:04Z,AAL47,"52.36702,-4.197693",36000,489,296
1616328848,2021-03-21T12:14:08Z,AAL47,"52.431087,-4.407558",36000,488,296
1616328910,2021-03-21T12:15:10Z,AAL47,"52.492996,-4.612045",35975,487,296
1616328970,2021-03-21T12:16:10Z,AAL47,"52.553513,-4.813461",35975,487,296
1616329032,2021-03-21T12:17:12Z,AAL47,"52.613846,-5.016098",35975,488,296
1616329094,2021-03-21T12:18:14Z,AAL47,"52.675068,-5.223528",36000,488,295
1616329154,2021-03-21T12:19:14Z,AAL47,"52.734375,-5.426025",35975,489,295
1616329215,2021-03-21T12:20:15Z,AAL47,"52.793747,-5.630875",35975,489,295
1616329277,2021-03-21T12:21:17Z,AAL47,"52.852898,-5.836408",36000,488,295
1616329338,2021-03-21T12:22:18Z,AAL47,"52.911713,-6.042862",35975,488,295
1616329400,2021-03-21T12:23:20Z,AAL47,"52.971188,-6.253339",35975,487,294
1616329463,2021-03-21T12:24:23Z,AAL47,"53.030682,-6.465768",35975,489,294
1616329524,2021-03-21T12:25:24Z,AAL47,"53.088451,-6.674194",36000,489,294
1616329586,2021-03-21T12:26:26Z,AAL47,"53.146595,-6.88552",35975,488,294
1616329648,2021-03-21T12:27:28Z,AAL47,"53.203949,-7.095599",36000,485,294
1616329709,2021-03-21T12:28:29Z,AAL47,"53.260483,-7.30528",36000,484,294
1616329771,2021-03-21T12:29:31Z,AAL47,"53.316883,-7.516022",36000,486,294
1616329833,2021-03-21T12:30:33Z,AAL47,"53.373398,-7.729771",36000,484,293
