Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616319884,2021-03-21T09:44:44Z,AAL731,"51.474003,-0.480244",0,3,275
1616319895,2021-03-21T09:44:55Z,AAL731,"51.474014,-0.480039",0,3,284
1616319906,2021-03-21T09:45:06Z,AAL731,"51.473991,-0.479817",0,3,295
1616319917,2021-03-21T09:45:17Z,AAL731,"51.473911,-0.479613",0,2,284
1616319931,2021-03-21T09:45:31Z,AAL731,"51.473846,-0.479374",0,2,264
1616319943,2021-03-21T09:45:43Z,AAL731,"51.473808,-0.479167",0,2,239
1616319956,2021-03-21T09:45:56Z,AAL731,"51.473846,-0.478954",0,3,216
1616319971,2021-03-21T09:46:11Z,AAL731,"51.473938,-0.478745",0,3,185
1616320268,2021-03-21T09:51:08Z,AAL731,"51.473705,-0.478703",0,5,180
1616320278,2021-03-21T09:51:18Z,AAL731,"51.473442,-0.478703",0,6,180
1616320285,2021-03-21T09:51:25Z,AAL731,"51.473228,-0.478687",0,7,180
1616320297,2021-03-21T09:51:37Z,AAL731,"51.472767,-0.478703",0,9,180
1616320306,2021-03-21T09:51:46Z,AAL731,"51.472424,-0.478703",0,9,180
1616320316,2021-03-21T09:51:56Z,AAL731,"51.472012,-0.478703",0,9,180
1616320322,2021-03-21T09:52:02Z,AAL731,"51.471725,-0.478706",0,9,180
1616320329,2021-03-21T09:52:09Z,AAL731,"51.471474,-0.478703",0,8,180
1616320335,2021-03-21T09:52:15Z,AAL731,"51.471203,-0.478687",0,9,180
1616320342,2021-03-21T09:52:22Z,AAL731,"51.470936,-0.478685",0,8,180
1616320348,2021-03-21T09:52:28Z,AAL731,"51.470695,-0.478685",0,8,180
1616320356,2021-03-21T09:52:36Z,AAL731,"51.470413,-0.478687",0,8,180
1616320366,2021-03-21T09:52:46Z,AAL731,"51.470016,-0.478687",0,8,180
1616320372,2021-03-21T09:52:52Z,AAL731,"51.469761,-0.478668",0,8,180
