Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616315606,2021-03-21T08:33:26Z,AAL9721,"52.312019,4.772677",0,0,271
1616316203,2021-03-21T08:43:23Z,AAL9721,"52.312389,4.772736",0,4,182
1616316232,2021-03-21T08:43:52Z,AAL9721,"52.312832,4.772778",0,3,126
1616316249,2021-03-21T08:44:09Z,AAL9721,"52.312969,4.772549",0,2,90
1616316286,2021-03-21T08:44:46Z,AAL9721,"52.312962,4.772912",0,3,90
1616316296,2021-03-21T08:44:56Z,AAL9721,"52.312962,4.773148",0,3,90
1616316575,2021-03-21T08:49:35Z,AAL9721,"52.312866,4.775129",0,10,95
1616316584,2021-03-21T08:49:44Z,AAL9721,"52.312832,4.775757",0,9,92
1616316592,2021-03-21T08:49:52Z,AAL9721,"52.312935,4.776211",0,8,64
1616316598,2021-03-21T08:49:58Z,AAL9721,"52.313118,4.776421",0,8,36
1616316604,2021-03-21T08:50:04Z,AAL9721,"52.313347,4.776516",0,9,16
1616316610,2021-03-21T08:50:10Z,AAL9721,"52.313591,4.776542",0,11,5
1616316616,2021-03-21T08:50:16Z,AAL9721,"52.313915,4.776561",0,11,357
1616316621,2021-03-21T08:50:21Z,AAL9721,"52.314159,4.776522",0,12,354
1616316625,2021-03-21T08:50:25Z,AAL9721,"52.314388,4.77644",0,12,345
1616316628,2021-03-21T08:50:28Z,AAL9721,"52.314625,4.776287",0,13,337
1616316634,2021-03-21T08:50:34Z,AAL9721,"52.31488,4.776012",0,13,326
1616316637,2021-03-21T08:50:37Z,AAL9721,"52.315041,4.775791",0,14,320
1616316661,2021-03-21T08:51:01Z,AAL9721,"52.315811,4.773461",0,15,275
1616316663,2021-03-21T08:51:03Z,AAL9721,"52.315807,4.773235",0,15,270
1616316671,2021-03-21T08:51:11Z,AAL9721,"52.315784,4.772339",0,16,267
1616316677,2021-03-21T08:51:17Z,AAL9721,"52.31575,4.771652",0,16,264
1616316680,2021-03-21T08:51:20Z,AAL9721,"52.315742,4.771225",0,16,267
1616316684,2021-03-21T08:51:24Z,AAL9721,"52.31572,4.770695",0,17,267
1616316686,2021-03-21T08:51:26Z,AAL9721,"52.31572,4.77046",0,17,267
1616316689,2021-03-21T08:51:29Z,AAL9721,"52.315704,4.770031",0,17,267
1616316691,2021-03-21T08:51:31Z,AAL9721,"52.315697,4.769773",0,18,267
1616316697,2021-03-21T08:51:37Z,AAL9721,"52.315662,4.768871",0,18,267
1616316725,2021-03-21T08:52:05Z,AAL9721,"52.31551,4.764633",0,19,267
1616316733,2021-03-21T08:52:13Z,AAL9721,"52.315487,4.763731",0,16,267
1616316739,2021-03-21T08:52:19Z,AAL9721,"52.315464,4.762966",0,16,267
1616316744,2021-03-21T08:52:24Z,AAL9721,"52.315441,4.762249",0,17,267
1616316751,2021-03-21T08:52:31Z,AAL9721,"52.315403,4.761376",0,18,267
1616316759,2021-03-21T08:52:39Z,AAL9721,"52.315361,4.760189",0,19,267
1616316766,2021-03-21T08:52:46Z,AAL9721,"52.315323,4.759258",0,19,267
1616316773,2021-03-21T08:52:53Z,AAL9721,"52.315281,4.758091",0,19,267
1616316870,2021-03-21T08:54:30Z,AAL9721,"52.314857,4.745979",0,17,267
1616316875,2021-03-21T08:54:35Z,AAL9721,"52.314835,4.745172",0,15,267
1616316882,2021-03-21T08:54:42Z,AAL9721,"52.314812,4.744492",0,15,267
1616316888,2021-03-21T08:54:48Z,AAL9721,"52.314789,4.743824",0,15,267
1616316894,2021-03-21T08:54:54Z,AAL9721,"52.314766,4.743151",0,12,267
1616316900,2021-03-21T08:55:00Z,AAL9721,"52.314743,4.742661",0,10,264
1616316903,2021-03-21T08:55:03Z,AAL9721,"52.314709,4.742451",0,11,258
1616316908,2021-03-21T08:55:08Z,AAL9721,"52.314583,4.741993",0,12,244
1616316912,2021-03-21T08:55:12Z,AAL9721,"52.314461,4.741738",0,12,233
1616316916,2021-03-21T08:55:16Z,AAL9721,"52.314262,4.741516",0,12,216
1616316922,2021-03-21T08:55:22Z,AAL9721,"52.313953,4.741364",0,12,196
1616316926,2021-03-21T08:55:26Z,AAL9721,"52.313728,4.741326",0,13,185
1616316939,2021-03-21T08:55:39Z,AAL9721,"52.312893,4.741248",0,15,182
1616316942,2021-03-21T08:55:42Z,AAL9721,"52.312672,4.74123",0,15,182
1616316960,2021-03-21T08:56:00Z,AAL9721,"52.311287,4.741116",0,17,182
1616316973,2021-03-21T08:56:13Z,AAL9721,"52.310268,4.74102",0,14,182
1616316981,2021-03-21T08:56:21Z,AAL9721,"52.309731,4.740963",0,15,182
1616316988,2021-03-21T08:56:28Z,AAL9721,"52.309181,4.740906",0,16,182
1616316995,2021-03-21T08:56:35Z,AAL9721,"52.30862,4.740856",0,16,182
1616317001,2021-03-21T08:56:41Z,AAL9721,"52.308178,4.740817",0,15,182
1616317008,2021-03-21T08:56:48Z,AAL9721,"52.307705,4.740772",0,14,182
1616317015,2021-03-21T08:56:55Z,AAL9721,"52.307281,4.740738",0,13,182
1616317021,2021-03-21T08:57:01Z,AAL9721,"52.306973,4.740715",0,10,182
1616317028,2021-03-21T08:57:08Z,AAL9721,"52.306725,4.740699",0,6,182
1616317038,2021-03-21T08:57:18Z,AAL9721,"52.306515,4.740679",0,4,182
1616317059,2021-03-21T08:57:39Z,AAL9721,"52.306309,4.740639",0,1,188
1616317138,2021-03-21T08:58:58Z,AAL9721,"52.306118,4.740424",0,2,208
1616317152,2021-03-21T08:59:12Z,AAL9721,"52.306,4.74013",0,4,233
1616317161,2021-03-21T08:59:21Z,AAL9721,"52.305977,4.739914",0,3,250
1616317168,2021-03-21T08:59:28Z,AAL9721,"52.305988,4.739698",0,3,264
1616317228,2021-03-21T09:00:28Z,AAL9721,"52.306034,4.739475",0,2,281
1616317240,2021-03-21T09:00:40Z,AAL9721,"52.306175,4.739227",0,5,306
1616317249,2021-03-21T09:00:49Z,AAL9721,"52.3064,4.738998",0,7,326
1616317257,2021-03-21T09:00:57Z,AAL9721,"52.306618,4.738827",0,7,331
1616317263,2021-03-21T09:01:03Z,AAL9721,"52.30685,4.738658",0,8,334
1616317270,2021-03-21T09:01:10Z,AAL9721,"52.307076,4.738483",0,9,334
1616317276,2021-03-21T09:01:16Z,AAL9721,"52.307327,4.738274",0,9,331
1616317283,2021-03-21T09:01:23Z,AAL9721,"52.307514,4.73803",0,7,320
1616317293,2021-03-21T09:01:33Z,AAL9721,"52.307762,4.737835",0,5,337
1616317335,2021-03-21T09:02:15Z,AAL9721,"52.308094,4.737892",0,12,357
1616317343,2021-03-21T09:02:23Z,AAL9721,"52.309296,4.738011",0,48,2
1616317359,2021-03-21T09:02:39Z,AAL9721,"52.315544,4.73856",0,110,3
1616317376,2021-03-21T09:02:56Z,AAL9721,"52.32653,4.739502",0,149,3
1616317394,2021-03-21T09:03:14Z,AAL9721,"52.338547,4.740982",700,145,3
1616317400,2021-03-21T09:03:20Z,AAL9721,"52.342636,4.741307",975,146,2
1616317406,2021-03-21T09:03:26Z,AAL9721,"52.346596,4.741542",1200,148,1
1616317413,2021-03-21T09:03:33Z,AAL9721,"52.351204,4.740757",1350,156,350
1616317423,2021-03-21T09:03:43Z,AAL9721,"52.35878,4.737091",1550,172,341
1616317430,2021-03-21T09:03:50Z,AAL9721,"52.364937,4.733695",1650,187,340
1616317436,2021-03-21T09:03:56Z,AAL9721,"52.369858,4.730835",1825,194,340
1616317451,2021-03-21T09:04:11Z,AAL9721,"52.382996,4.723511",2350,208,341
1616317457,2021-03-21T09:04:17Z,AAL9721,"52.38858,4.720459",2550,214,341
1616317466,2021-03-21T09:04:26Z,AAL9721,"52.397278,4.715729",2900,221,341
1616317472,2021-03-21T09:04:32Z,AAL9721,"52.403,4.712677",3175,226,342
1616317484,2021-03-21T09:04:44Z,AAL9721,"52.414982,4.706229",3750,231,341
1616317490,2021-03-21T09:04:50Z,AAL9721,"52.421776,4.702462",3975,237,341
1616317496,2021-03-21T09:04:56Z,AAL9721,"52.427223,4.699245",4225,239,340
1616317501,2021-03-21T09:05:01Z,AAL9721,"52.432434,4.695663",4525,240,336
1616317503,2021-03-21T09:05:03Z,AAL9721,"52.434719,4.69383",4650,241,334
1616317507,2021-03-21T09:05:07Z,AAL9721,"52.439281,4.689985",4925,241,332
1616317509,2021-03-21T09:05:09Z,AAL9721,"52.440353,4.689026",5000,241,332
1616317512,2021-03-21T09:05:12Z,AAL9721,"52.443329,4.686432",5150,241,331
1616317536,2021-03-21T09:05:36Z,AAL9721,"52.466515,4.66299",6550,243,325
1616317554,2021-03-21T09:05:54Z,AAL9721,"52.483521,4.645004",7500,244,327
1616317572,2021-03-21T09:06:12Z,AAL9721,"52.500687,4.626999",8475,246,326
1616317590,2021-03-21T09:06:30Z,AAL9721,"52.516846,4.605179",9375,251,315
1616317613,2021-03-21T09:06:53Z,AAL9721,"52.535248,4.570923",10450,261,308
1616317625,2021-03-21T09:07:05Z,AAL9721,"52.544586,4.552078",10825,267,309
1616317640,2021-03-21T09:07:20Z,AAL9721,"52.55658,4.528656",11075,282,310
1616317651,2021-03-21T09:07:31Z,AAL9721,"52.566055,4.51004",11275,294,309
1616317685,2021-03-21T09:08:05Z,AAL9721,"52.598862,4.44397",12150,332,309
1616317719,2021-03-21T09:08:39Z,AAL9721,"52.631744,4.377365",13500,344,309
1616317757,2021-03-21T09:09:17Z,AAL9721,"52.669529,4.300677",15100,351,309
1616317789,2021-03-21T09:09:49Z,AAL9721,"52.702908,4.23162",16475,359,307
1616317823,2021-03-21T09:10:23Z,AAL9721,"52.737167,4.159424",17950,362,308
1616317854,2021-03-21T09:10:54Z,AAL9721,"52.770538,4.089127",19250,367,307
1616317918,2021-03-21T09:11:58Z,AAL9721,"52.835678,3.942871",21575,385,302
1616317952,2021-03-21T09:12:32Z,AAL9721,"52.866714,3.85498",22750,396,299
1616318039,2021-03-21T09:13:59Z,AAL9721,"52.94838,3.623123",25575,414,302
1616318110,2021-03-21T09:15:10Z,AAL9721,"53.022995,3.427811",27675,431,302
1616318184,2021-03-21T09:16:24Z,AAL9721,"53.103745,3.21868",29875,443,302
1616318247,2021-03-21T09:17:27Z,AAL9721,"53.173828,3.03465",31500,455,302
1616318310,2021-03-21T09:18:30Z,AAL9721,"53.245983,2.844086",32950,465,302
1616318376,2021-03-21T09:19:36Z,AAL9721,"53.319908,2.647543",35125,455,302
1616318441,2021-03-21T09:20:41Z,AAL9721,"53.391972,2.454233",36625,455,301
1616318502,2021-03-21T09:21:42Z,AAL9721,"53.459564,2.272444",37725,458,301
