Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616324044,2021-03-21T10:54:04Z,AAL9726,"50.051033,8.588453",0,0,271
1616326697,2021-03-21T11:38:17Z,AAL9726,"50.050827,8.588562",0,2,337
1616326718,2021-03-21T11:38:38Z,AAL9726,"50.050598,8.588671",0,2,331
1616326740,2021-03-21T11:39:00Z,AAL9726,"50.050396,8.588821",0,2,306
1616326761,2021-03-21T11:39:21Z,AAL9726,"50.050232,8.589063",0,2,272
1616326772,2021-03-21T11:39:32Z,AAL9726,"50.050209,8.589267",0,2,264
1616326785,2021-03-21T11:39:45Z,AAL9726,"50.050209,8.589483",0,2,258
1616326797,2021-03-21T11:39:57Z,AAL9726,"50.05022,8.589694",0,2,250
1616326813,2021-03-21T11:40:13Z,AAL9726,"50.050266,8.589935",0,1,247
1616326819,2021-03-21T11:40:19Z,AAL9726,"50.05077,8.588598",0,1,247
1616326922,2021-03-21T11:42:02Z,AAL9726,"50.050278,8.589991",0,0,131
1616327140,2021-03-21T11:45:40Z,AAL9726,"50.05022,8.589787",0,3,247
1616327152,2021-03-21T11:45:52Z,AAL9726,"50.05014,8.589447",0,5,247
1616327159,2021-03-21T11:45:59Z,AAL9726,"50.050091,8.589211",0,6,247
1616327168,2021-03-21T11:46:08Z,AAL9726,"50.049992,8.588815",0,7,247
1616327174,2021-03-21T11:46:14Z,AAL9726,"50.049927,8.588525",0,8,247
1616327180,2021-03-21T11:46:20Z,AAL9726,"50.049831,8.588164",0,8,247
1616327186,2021-03-21T11:46:26Z,AAL9726,"50.049755,8.587838",0,8,247
1616327195,2021-03-21T11:46:35Z,AAL9726,"50.04966,8.587405",0,8,247
1616327200,2021-03-21T11:46:40Z,AAL9726,"50.04958,8.587114",0,7,247
1616327208,2021-03-21T11:46:48Z,AAL9726,"50.0495,8.586773",0,6,244
1616327223,2021-03-21T11:47:03Z,AAL9726,"50.049065,8.586719",0,7,168
1616327230,2021-03-21T11:47:10Z,AAL9726,"50.048859,8.586864",0,5,157
1616327247,2021-03-21T11:47:27Z,AAL9726,"50.048649,8.586985",0,3,157
1616327261,2021-03-21T11:47:41Z,AAL9726,"50.048401,8.587116",0,5,157
1616327270,2021-03-21T11:47:50Z,AAL9726,"50.048172,8.587244",0,7,157
1616327276,2021-03-21T11:47:56Z,AAL9726,"50.047966,8.587369",0,8,157
1616327282,2021-03-21T11:48:02Z,AAL9726,"50.047752,8.587504",0,9,157
1616327288,2021-03-21T11:48:08Z,AAL9726,"50.047485,8.587634",0,10,160
1616327294,2021-03-21T11:48:14Z,AAL9726,"50.047188,8.587695",0,11,171
1616327298,2021-03-21T11:48:18Z,AAL9726,"50.046982,8.587677",0,10,180
1616327304,2021-03-21T11:48:24Z,AAL9726,"50.046707,8.587641",0,10,182
1616327309,2021-03-21T11:48:29Z,AAL9726,"50.046471,8.587597",0,11,182
1616327315,2021-03-21T11:48:35Z,AAL9726,"50.046181,8.587504",0,11,191
1616327322,2021-03-21T11:48:42Z,AAL9726,"50.045856,8.587171",0,12,210
1616327326,2021-03-21T11:48:46Z,AAL9726,"50.045677,8.586954",0,12,216
1616327330,2021-03-21T11:48:50Z,AAL9726,"50.045471,8.586743",0,13,210
1616327335,2021-03-21T11:48:55Z,AAL9726,"50.045208,8.586556",0,13,202
1616327340,2021-03-21T11:49:00Z,AAL9726,"50.044968,8.586322",0,13,210
1616327344,2021-03-21T11:49:04Z,AAL9726,"50.044876,8.585982",0,13,241
1616327348,2021-03-21T11:49:08Z,AAL9726,"50.044807,8.585649",0,13,247
1616327350,2021-03-21T11:49:10Z,AAL9726,"50.04475,8.585436",0,14,247
1616327353,2021-03-21T11:49:13Z,AAL9726,"50.044693,8.585184",0,15,247
1616327355,2021-03-21T11:49:15Z,AAL9726,"50.044632,8.584943",0,16,247
1616327358,2021-03-21T11:49:18Z,AAL9726,"50.044506,8.584405",0,29,247
1616327360,2021-03-21T11:49:20Z,AAL9726,"50.044342,8.583755",0,43,247
1616327365,2021-03-21T11:49:25Z,AAL9726,"50.043922,8.581937",0,62,247
1616327366,2021-03-21T11:49:26Z,AAL9726,"50.043808,8.581454",0,67,247
1616327368,2021-03-21T11:49:28Z,AAL9726,"50.043678,8.580954",0,70,247
1616327369,2021-03-21T11:49:29Z,AAL9726,"50.04361,8.580619",0,74,247
1616327442,2021-03-21T11:50:42Z,AAL9726,"50.026794,8.504068",2200,162,266
1616327449,2021-03-21T11:50:49Z,AAL9726,"50.027023,8.496696",2500,160,275
1616327464,2021-03-21T11:51:04Z,AAL9726,"50.028481,8.478848",3175,162,277
1616327474,2021-03-21T11:51:14Z,AAL9726,"50.029316,8.466525",3650,164,275
1616327479,2021-03-21T11:51:19Z,AAL9726,"50.029644,8.460512",3800,164,275
1616327490,2021-03-21T11:51:30Z,AAL9726,"50.030064,8.446259",3975,185,271
1616327502,2021-03-21T11:51:42Z,AAL9726,"50.029221,8.429694",4075,211,262
1616327508,2021-03-21T11:51:48Z,AAL9726,"50.028294,8.42065",4200,216,261
1616327513,2021-03-21T11:51:53Z,AAL9726,"50.027409,8.413077",4350,222,259
1616327514,2021-03-21T11:51:54Z,AAL9726,"50.027176,8.410851",4375,224,259
1616327526,2021-03-21T11:52:06Z,AAL9726,"50.024754,8.391402",4650,239,258
1616327535,2021-03-21T11:52:15Z,AAL9726,"50.022858,8.375991",4975,248,259
1616327557,2021-03-21T11:52:37Z,AAL9726,"50.017639,8.336816",5875,267,258
1616327569,2021-03-21T11:52:49Z,AAL9726,"50.014515,8.312642",6525,273,259
1616327583,2021-03-21T11:53:03Z,AAL9726,"50.01329,8.284269",7250,269,274
