Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616324502,2021-03-21T11:01:42Z,AAL9732,"51.469727,-0.463142",0,0,180
1616324814,2021-03-21T11:06:54Z,AAL9732,"51.469791,-0.462929",0,2,225
1616324829,2021-03-21T11:07:09Z,AAL9732,"51.46986,-0.462725",0,2,205
1616324874,2021-03-21T11:07:54Z,AAL9732,"51.470249,-0.462613",0,1,225
1616324906,2021-03-21T11:08:26Z,AAL9732,"51.470455,-0.462409",0,2,286
1616324920,2021-03-21T11:08:40Z,AAL9732,"51.47047,-0.462189",0,2,312
1616324978,2021-03-21T11:09:38Z,AAL9732,"51.470692,-0.46236",0,3,326
1616325030,2021-03-21T11:10:30Z,AAL9732,"51.470901,-0.462589",0,2,326
1616325071,2021-03-21T11:11:11Z,AAL9732,"51.471359,-0.463096",0,3,326
1616325085,2021-03-21T11:11:25Z,AAL9732,"51.471531,-0.4633",0,3,326
1616325355,2021-03-21T11:15:55Z,AAL9732,"51.471752,-0.463505",0,3,326
1616325368,2021-03-21T11:16:08Z,AAL9732,"51.471924,-0.463715",0,4,326
1616325381,2021-03-21T11:16:21Z,AAL9732,"51.472134,-0.463943",0,5,326
1616325389,2021-03-21T11:16:29Z,AAL9732,"51.472309,-0.464153",0,6,323
1616325396,2021-03-21T11:16:36Z,AAL9732,"51.472389,-0.464401",0,7,306
1616325401,2021-03-21T11:16:41Z,AAL9732,"51.472401,-0.464655",0,6,284
1616325406,2021-03-21T11:16:46Z,AAL9732,"51.472389,-0.464897",0,6,272
1616325412,2021-03-21T11:16:52Z,AAL9732,"51.472389,-0.4651",0,6,270
1616325416,2021-03-21T11:16:56Z,AAL9732,"51.472378,-0.465342",0,6,270
1616325420,2021-03-21T11:17:00Z,AAL9732,"51.472378,-0.465546",0,7,270
1616325425,2021-03-21T11:17:05Z,AAL9732,"51.472378,-0.465794",0,7,270
1616325430,2021-03-21T11:17:10Z,AAL9732,"51.472378,-0.466065",0,8,270
1616325436,2021-03-21T11:17:16Z,AAL9732,"51.472378,-0.466442",0,9,270
1616325444,2021-03-21T11:17:24Z,AAL9732,"51.472378,-0.466976",0,10,270
1616325449,2021-03-21T11:17:29Z,AAL9732,"51.472378,-0.467439",0,10,270
1616325455,2021-03-21T11:17:35Z,AAL9732,"51.472378,-0.467847",0,8,270
1616325461,2021-03-21T11:17:41Z,AAL9732,"51.472378,-0.468216",0,8,270
1616325465,2021-03-21T11:17:45Z,AAL9732,"51.472355,-0.468426",0,7,261
1616325473,2021-03-21T11:17:53Z,AAL9732,"51.472183,-0.468626",0,7,225
1616325481,2021-03-21T11:18:01Z,AAL9732,"51.471924,-0.468636",0,7,188
1616325489,2021-03-21T11:18:09Z,AAL9732,"51.471703,-0.468616",0,7,180
1616325495,2021-03-21T11:18:15Z,AAL9732,"51.471458,-0.468616",0,8,180
1616325500,2021-03-21T11:18:20Z,AAL9732,"51.471222,-0.468626",0,9,180
1616325506,2021-03-21T11:18:26Z,AAL9732,"51.470982,-0.468626",0,9,180
1616325514,2021-03-21T11:18:34Z,AAL9732,"51.470692,-0.468616",0,9,180
1616325521,2021-03-21T11:18:41Z,AAL9732,"51.470402,-0.468616",0,9,180
1616325529,2021-03-21T11:18:49Z,AAL9732,"51.470043,-0.468608",0,10,180
1616325538,2021-03-21T11:18:58Z,AAL9732,"51.469643,-0.468597",0,10,180
