Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616329286,2021-03-21T12:21:26Z,ACA7201,"51.470203,-0.438824",0,0,355
1616329344,2021-03-21T12:22:24Z,ACA7201,"51.470192,-0.439026",0,2,90
1616329361,2021-03-21T12:22:41Z,ACA7201,"51.470181,-0.439281",0,2,95
1616329374,2021-03-21T12:22:54Z,ACA7201,"51.470169,-0.43949",0,2,104
1616329388,2021-03-21T12:23:08Z,ACA7201,"51.470169,-0.439732",0,2,115
1616329402,2021-03-21T12:23:22Z,ACA7201,"51.470192,-0.439949",0,2,129
1616329416,2021-03-21T12:23:36Z,ACA7201,"51.470272,-0.440159",0,2,140
1616329433,2021-03-21T12:23:53Z,ACA7201,"51.470375,-0.4404",0,2,157
1616329467,2021-03-21T12:24:27Z,ACA7201,"51.470703,-0.440598",0,2,185
1616329486,2021-03-21T12:24:46Z,ACA7201,"51.470924,-0.440548",0,2,180
1616329506,2021-03-21T12:25:06Z,ACA7201,"51.471146,-0.44054",0,2,177
1616329528,2021-03-21T12:25:28Z,ACA7201,"51.471401,-0.44054",0,3,177
1616329547,2021-03-21T12:25:47Z,ACA7201,"51.471634,-0.440559",0,3,180
1616329766,2021-03-21T12:29:26Z,ACA7201,"51.471355,-0.440578",0,6,180
1616329775,2021-03-21T12:29:35Z,ACA7201,"51.4711,-0.440578",0,7,180
1616329781,2021-03-21T12:29:41Z,ACA7201,"51.470879,-0.440559",0,8,180
1616329789,2021-03-21T12:29:49Z,ACA7201,"51.470547,-0.440567",0,10,180
1616329795,2021-03-21T12:29:55Z,ACA7201,"51.470272,-0.440559",0,11,180
1616329801,2021-03-21T12:30:01Z,ACA7201,"51.469936,-0.440559",0,12,180
1616329807,2021-03-21T12:30:07Z,ACA7201,"51.469597,-0.440548",0,13,180
1616329813,2021-03-21T12:30:13Z,ACA7201,"51.469189,-0.440559",0,14,180
1616329819,2021-03-21T12:30:19Z,ACA7201,"51.46883,-0.440548",0,14,180
1616329826,2021-03-21T12:30:26Z,ACA7201,"51.468376,-0.44054",0,15,180
1616329832,2021-03-21T12:30:32Z,ACA7201,"51.467968,-0.44054",0,15,180
1616329838,2021-03-21T12:30:38Z,ACA7201,"51.46756,-0.44054",0,13,180
1616329843,2021-03-21T12:30:43Z,ACA7201,"51.46727,-0.44054",0,11,180
1616329849,2021-03-21T12:30:49Z,ACA7201,"51.466988,-0.440529",0,9,180
1616329867,2021-03-21T12:31:07Z,ACA7201,"51.466656,-0.441327",0,9,253
1616329875,2021-03-21T12:31:15Z,ACA7201,"51.466656,-0.441866",0,9,267
1616329878,2021-03-21T12:31:18Z,ACA7201,"51.466656,-0.44207",0,10,270
1616329881,2021-03-21T12:31:21Z,ACA7201,"51.466663,-0.442276",0,10,270
1616329887,2021-03-21T12:31:27Z,ACA7201,"51.466656,-0.442756",0,11,270
1616329892,2021-03-21T12:31:32Z,ACA7201,"51.466652,-0.443249",0,12,270
1616329900,2021-03-21T12:31:40Z,ACA7201,"51.466656,-0.443907",0,13,270
1616329906,2021-03-21T12:31:46Z,ACA7201,"51.466656,-0.444519",0,14,270
1616329914,2021-03-21T12:31:54Z,ACA7201,"51.466656,-0.445447",0,15,270
1616329921,2021-03-21T12:32:01Z,ACA7201,"51.466656,-0.44632",0,16,270
1616329933,2021-03-21T12:32:13Z,ACA7201,"51.46664,-0.447903",0,18,270
1616329940,2021-03-21T12:32:20Z,ACA7201,"51.466644,-0.448899",0,19,270
1616329946,2021-03-21T12:32:26Z,ACA7201,"51.466644,-0.449901",0,20,270
1616329954,2021-03-21T12:32:34Z,ACA7201,"51.46664,-0.450993",0,20,270
1616329959,2021-03-21T12:32:39Z,ACA7201,"51.466629,-0.451927",0,22,270
1616329969,2021-03-21T12:32:49Z,ACA7201,"51.466629,-0.453377",0,23,270
1616329975,2021-03-21T12:32:55Z,ACA7201,"51.466618,-0.454636",0,24,270
1616329987,2021-03-21T12:33:07Z,ACA7201,"51.466618,-0.456848",0,25,270
1616330004,2021-03-21T12:33:24Z,ACA7201,"51.46661,-0.460071",0,26,270
1616330010,2021-03-21T12:33:30Z,ACA7201,"51.466606,-0.461311",0,27,270
1616330017,2021-03-21T12:33:37Z,ACA7201,"51.466595,-0.46278",0,28,270
1616330033,2021-03-21T12:33:53Z,ACA7201,"51.466583,-0.465775",0,24,270
1616330039,2021-03-21T12:33:59Z,ACA7201,"51.466587,-0.466863",0,24,270
1616330045,2021-03-21T12:34:05Z,ACA7201,"51.466583,-0.468063",0,24,270
1616330052,2021-03-21T12:34:12Z,ACA7201,"51.466572,-0.46936",0,25,270
1616330062,2021-03-21T12:34:22Z,ACA7201,"51.466576,-0.471169",0,22,270
1616330068,2021-03-21T12:34:28Z,ACA7201,"51.466564,-0.472097",0,20,270
1616330075,2021-03-21T12:34:35Z,ACA7201,"51.466564,-0.473099",0,21,270
1616330082,2021-03-21T12:34:42Z,ACA7201,"51.466553,-0.474286",0,20,270
1616330088,2021-03-21T12:34:48Z,ACA7201,"51.466553,-0.475196",0,21,270
1616330094,2021-03-21T12:34:54Z,ACA7201,"51.466553,-0.476105",0,19,270
1616330101,2021-03-21T12:35:01Z,ACA7201,"51.466553,-0.476922",0,16,270
1616330108,2021-03-21T12:35:08Z,ACA7201,"51.466541,-0.477812",0,15,270
1616330114,2021-03-21T12:35:14Z,ACA7201,"51.466541,-0.478536",0,15,270
1616330124,2021-03-21T12:35:24Z,ACA7201,"51.466537,-0.479603",0,15,270
1616330132,2021-03-21T12:35:32Z,ACA7201,"51.466541,-0.480503",0,15,270
1616330138,2021-03-21T12:35:38Z,ACA7201,"51.46653,-0.481227",0,15,270
1616330144,2021-03-21T12:35:44Z,ACA7201,"51.466537,-0.481853",0,13,270
1616330150,2021-03-21T12:35:50Z,ACA7201,"51.466526,-0.482483",0,13,270
1616330156,2021-03-21T12:35:56Z,ACA7201,"51.46653,-0.482953",0,9,270
1616330162,2021-03-21T12:36:02Z,ACA7201,"51.46653,-0.483306",0,9,270
1616330168,2021-03-21T12:36:08Z,ACA7201,"51.466526,-0.483742",0,10,270
1616330178,2021-03-21T12:36:18Z,ACA7201,"51.466526,-0.484543",0,12,270
1616330183,2021-03-21T12:36:23Z,ACA7201,"51.466518,-0.48505",0,11,270
1616330190,2021-03-21T12:36:30Z,ACA7201,"51.466518,-0.485477",0,8,270
1616330201,2021-03-21T12:36:41Z,ACA7201,"51.466515,-0.486088",0,9,270
1616330208,2021-03-21T12:36:48Z,ACA7201,"51.466518,-0.486628",0,10,270
1616330217,2021-03-21T12:36:57Z,ACA7201,"51.466503,-0.487175",0,7,267
1616330230,2021-03-21T12:37:10Z,ACA7201,"51.466164,-0.487593",0,7,216
1616330237,2021-03-21T12:37:17Z,ACA7201,"51.465954,-0.487709",0,7,205
1616330247,2021-03-21T12:37:27Z,ACA7201,"51.465694,-0.487815",0,5,196
1616330295,2021-03-21T12:38:15Z,ACA7201,"51.465477,-0.487852",0,4,188
1616330307,2021-03-21T12:38:27Z,ACA7201,"51.465157,-0.487778",0,6,171
1616330315,2021-03-21T12:38:35Z,ACA7201,"51.464954,-0.487576",0,7,154
1616330334,2021-03-21T12:38:54Z,ACA7201,"51.464779,-0.48666",0,8,98
1616330337,2021-03-21T12:38:57Z,ACA7201,"51.464779,-0.48645",0,10,92
1616330339,2021-03-21T12:38:59Z,ACA7201,"51.464779,-0.486238",0,13,92
1616330346,2021-03-21T12:39:06Z,ACA7201,"51.464779,-0.48505",0,33,90
1616330355,2021-03-21T12:39:15Z,ACA7201,"51.46479,-0.482099",0,68,90
1616330360,2021-03-21T12:39:20Z,ACA7201,"51.464802,-0.478477",0,90,90
1616330370,2021-03-21T12:39:30Z,ACA7201,"51.464813,-0.470482",0,125,89
1616330377,2021-03-21T12:39:37Z,ACA7201,"51.464859,-0.462688",0,147,89
1616330402,2021-03-21T12:40:02Z,ACA7201,"51.464951,-0.430991",0,186,89
1616330415,2021-03-21T12:40:15Z,ACA7201,"51.464951,-0.411913",375,196,92
1616330424,2021-03-21T12:40:24Z,ACA7201,"51.463497,-0.399551",750,199,107
1616330434,2021-03-21T12:40:34Z,ACA7201,"51.45903,-0.387421",1175,202,128
1616330441,2021-03-21T12:40:41Z,ACA7201,"51.454048,-0.380325",1475,204,144
1616330442,2021-03-21T12:40:42Z,ACA7201,"51.453186,-0.379548",1525,205,147
1616330446,2021-03-21T12:40:46Z,ACA7201,"51.449753,-0.376801",1725,206,157
1616330452,2021-03-21T12:40:52Z,ACA7201,"51.444321,-0.374527",2075,207,170
1616330455,2021-03-21T12:40:55Z,ACA7201,"51.441101,-0.374129",2250,207,175
1616330462,2021-03-21T12:41:02Z,ACA7201,"51.434219,-0.375519",2600,208,193
1616330463,2021-03-21T12:41:03Z,ACA7201,"51.433685,-0.375762",2650,208,195
1616330464,2021-03-21T12:41:04Z,ACA7201,"51.432816,-0.376208",2700,208,197
1616330465,2021-03-21T12:41:05Z,ACA7201,"51.431377,-0.377121",2775,208,200
1616330468,2021-03-21T12:41:08Z,ACA7201,"51.429199,-0.378731",2925,209,206
1616330471,2021-03-21T12:41:11Z,ACA7201,"51.426678,-0.381088",3100,209,211
1616330473,2021-03-21T12:41:13Z,ACA7201,"51.425045,-0.382767",3175,211,213
1616330474,2021-03-21T12:41:14Z,ACA7201,"51.42421,-0.383705",3225,211,213
1616330477,2021-03-21T12:41:17Z,ACA7201,"51.421276,-0.387039",3325,217,216
1616330478,2021-03-21T12:41:18Z,ACA7201,"51.420868,-0.387491",3350,217,216
1616330481,2021-03-21T12:41:21Z,ACA7201,"51.418671,-0.390163",3425,221,217
1616330485,2021-03-21T12:41:25Z,ACA7201,"51.414688,-0.395137",3550,228,218
1616330486,2021-03-21T12:41:26Z,ACA7201,"51.413864,-0.396176",3575,230,218
1616330487,2021-03-21T12:41:27Z,ACA7201,"51.413452,-0.396696",3600,230,218
1616330488,2021-03-21T12:41:28Z,ACA7201,"51.412106,-0.398331",3650,233,217
1616330493,2021-03-21T12:41:33Z,ACA7201,"51.407867,-0.403595",3775,239,217
