Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616323011,2021-03-21T10:36:51Z,ACA7223,"53.425049,-6.245296",0,2,14
1616323081,2021-03-21T10:38:01Z,ACA7223,"53.424442,-6.245708",0,2,59
1616323100,2021-03-21T10:38:20Z,ACA7223,"53.424313,-6.24597",0,2,67
1616323127,2021-03-21T10:38:47Z,ACA7223,"53.424187,-6.246394",0,2,92
1616323141,2021-03-21T10:39:01Z,ACA7223,"53.424156,-6.24661",0,2,104
1616323152,2021-03-21T10:39:12Z,ACA7223,"53.424168,-6.246826",0,2,115
1616323167,2021-03-21T10:39:27Z,ACA7223,"53.424198,-6.24704",0,2,126
1616323181,2021-03-21T10:39:41Z,ACA7223,"53.424244,-6.247242",0,2,140
1616323197,2021-03-21T10:39:57Z,ACA7223,"53.424351,-6.247444",0,1,160
1616323223,2021-03-21T10:40:23Z,ACA7223,"53.424557,-6.247591",0,2,160
1616323443,2021-03-21T10:44:03Z,ACA7223,"53.424351,-6.247474",0,5,160
1616323450,2021-03-21T10:44:10Z,ACA7223,"53.424122,-6.247356",0,7,168
1616323456,2021-03-21T10:44:16Z,ACA7223,"53.423916,-6.247375",0,8,185
1616323464,2021-03-21T10:44:24Z,ACA7223,"53.423664,-6.247631",0,8,216
1616323469,2021-03-21T10:44:29Z,ACA7223,"53.423523,-6.247848",0,8,225
1616323475,2021-03-21T10:44:35Z,ACA7223,"53.423347,-6.24805",0,8,219
1616323482,2021-03-21T10:44:42Z,ACA7223,"53.423092,-6.248131",0,9,194
1616323488,2021-03-21T10:44:48Z,ACA7223,"53.422882,-6.24805",0,6,174
1616323496,2021-03-21T10:44:56Z,ACA7223,"53.42268,-6.247905",0,6,163
1616323509,2021-03-21T10:45:09Z,ACA7223,"53.42244,-6.247747",0,3,163
1616323526,2021-03-21T10:45:26Z,ACA7223,"53.422199,-6.247591",0,3,163
1616323541,2021-03-21T10:45:41Z,ACA7223,"53.421936,-6.247454",0,6,168
1616323553,2021-03-21T10:45:53Z,ACA7223,"53.42173,-6.247474",0,3,185
1616323584,2021-03-21T10:46:24Z,ACA7223,"53.421524,-6.247631",0,1,208
1616323668,2021-03-21T10:47:48Z,ACA7223,"53.421356,-6.247868",0,5,219
1616323675,2021-03-21T10:47:55Z,ACA7223,"53.421215,-6.248082",0,8,227
1616323680,2021-03-21T10:48:00Z,ACA7223,"53.421066,-6.248333",0,9,230
1616323686,2021-03-21T10:48:06Z,ACA7223,"53.420891,-6.248636",0,11,230
1616323689,2021-03-21T10:48:09Z,ACA7223,"53.420753,-6.248878",0,12,230
1616323693,2021-03-21T10:48:13Z,ACA7223,"53.420589,-6.249161",0,12,230
1616323707,2021-03-21T10:48:27Z,ACA7223,"53.420231,-6.250338",0,11,267
1616323711,2021-03-21T10:48:31Z,ACA7223,"53.420265,-6.250593",0,7,278
1616323742,2021-03-21T10:49:02Z,ACA7223,"53.420277,-6.250809",0,4,278
1616323747,2021-03-21T10:49:07Z,ACA7223,"53.4203,-6.25126",0,16,278
1616323755,2021-03-21T10:49:15Z,ACA7223,"53.420403,-6.253301",0,47,281
1616323761,2021-03-21T10:49:21Z,ACA7223,"53.420586,-6.25642",0,76,281
1616323766,2021-03-21T10:49:26Z,ACA7223,"53.420792,-6.260068",0,94,281
1616323784,2021-03-21T10:49:44Z,ACA7223,"53.421764,-6.277798",0,147,275
1616323796,2021-03-21T10:49:56Z,ACA7223,"53.422371,-6.2904",50,151,274
1616323802,2021-03-21T10:50:02Z,ACA7223,"53.422623,-6.298697",300,151,273
