Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616318047,2021-03-21T09:14:07Z,ACA873,"50.047634,8.577232",0,0,270
1616318210,2021-03-21T09:16:50Z,ACA873,"50.047646,8.577449",0,2,270
1616318222,2021-03-21T09:17:02Z,ACA873,"50.047623,8.577668",0,2,264
1616318234,2021-03-21T09:17:14Z,ACA873,"50.047611,8.577872",0,2,255
1616318246,2021-03-21T09:17:26Z,ACA873,"50.0476,8.578082",0,2,241
1616318258,2021-03-21T09:17:38Z,ACA873,"50.047623,8.578299",0,2,222
1616318276,2021-03-21T09:17:56Z,ACA873,"50.047714,8.578533",0,2,202
1616318293,2021-03-21T09:18:13Z,ACA873,"50.047874,8.578751",0,2,171
1616318312,2021-03-21T09:18:32Z,ACA873,"50.048077,8.5788",0,2,146
1616318337,2021-03-21T09:18:57Z,ACA873,"50.048309,8.578578",0,3,137
1616318362,2021-03-21T09:19:22Z,ACA873,"50.048496,8.578374",0,2,112
1616318535,2021-03-21T09:22:15Z,ACA873,"50.04792,8.579147",0,13,149
1616318544,2021-03-21T09:22:24Z,ACA873,"50.047405,8.579437",0,14,160
1616318553,2021-03-21T09:22:33Z,ACA873,"50.046856,8.579747",0,14,160
1616318558,2021-03-21T09:22:38Z,ACA873,"50.04652,8.579932",0,14,160
1616318566,2021-03-21T09:22:46Z,ACA873,"50.046078,8.580195",0,13,157
1616318571,2021-03-21T09:22:51Z,ACA873,"50.045845,8.580452",0,13,146
1616318576,2021-03-21T09:22:56Z,ACA873,"50.045715,8.580879",0,14,118
1616318579,2021-03-21T09:22:59Z,ACA873,"50.045712,8.581154",0,14,101
1616318586,2021-03-21T09:23:06Z,ACA873,"50.045856,8.581882",0,13,73
1616318590,2021-03-21T09:23:10Z,ACA873,"50.045918,8.582148",0,12,73
1616318593,2021-03-21T09:23:13Z,ACA873,"50.045963,8.582382",0,12,73
1616318598,2021-03-21T09:23:18Z,ACA873,"50.046078,8.582846",0,12,70
1616318604,2021-03-21T09:23:24Z,ACA873,"50.046192,8.583328",0,11,70
1616318608,2021-03-21T09:23:28Z,ACA873,"50.046261,8.58357",0,11,67
1616318614,2021-03-21T09:23:34Z,ACA873,"50.046352,8.583972",0,11,70
1616318622,2021-03-21T09:23:42Z,ACA873,"50.046513,8.584695",0,13,73
1616318626,2021-03-21T09:23:46Z,ACA873,"50.046535,8.585056",0,14,81
1616318629,2021-03-21T09:23:49Z,ACA873,"50.046494,8.585333",0,14,95
1616318632,2021-03-21T09:23:52Z,ACA873,"50.046375,8.585599",0,14,115
1616318636,2021-03-21T09:23:56Z,ACA873,"50.046158,8.585815",0,14,140
1616318642,2021-03-21T09:24:02Z,ACA873,"50.045803,8.585996",0,13,157
1616318648,2021-03-21T09:24:08Z,ACA873,"50.045528,8.586168",0,13,157
1616318652,2021-03-21T09:24:12Z,ACA873,"50.045307,8.586316",0,13,157
1616318656,2021-03-21T09:24:16Z,ACA873,"50.045105,8.586393",0,8,163
1616318664,2021-03-21T09:24:24Z,ACA873,"50.044926,8.586186",0,7,205
1616318669,2021-03-21T09:24:29Z,ACA873,"50.044865,8.585908",0,7,233
1616318673,2021-03-21T09:24:33Z,ACA873,"50.044842,8.585686",0,6,247
1616318696,2021-03-21T09:24:56Z,ACA873,"50.044785,8.585482",0,2,247
1616318701,2021-03-21T09:25:01Z,ACA873,"50.044716,8.585184",0,12,247
1616318708,2021-03-21T09:25:08Z,ACA873,"50.044373,8.583774",0,42,250
1616318713,2021-03-21T09:25:13Z,ACA873,"50.043831,8.581491",0,68,250
1616318723,2021-03-21T09:25:23Z,ACA873,"50.042496,8.575913",200,100,249
1616318729,2021-03-21T09:25:29Z,ACA873,"50.041328,8.571117",200,122,249
1616318743,2021-03-21T09:25:43Z,ACA873,"50.03793,8.556717",200,167,249
1616318762,2021-03-21T09:26:02Z,ACA873,"50.032391,8.533779",700,180,249
1616318777,2021-03-21T09:26:17Z,ACA873,"50.028385,8.515815",1325,181,254
1616318789,2021-03-21T09:26:29Z,ACA873,"50.027206,8.499298",1725,189,269
1616318798,2021-03-21T09:26:38Z,ACA873,"50.027737,8.487755",1950,201,275
1616318808,2021-03-21T09:26:48Z,ACA873,"50.028671,8.472772",2225,216,275
1616318819,2021-03-21T09:26:59Z,ACA873,"50.029724,8.453691",2575,231,273
1616318832,2021-03-21T09:27:12Z,ACA873,"50.028526,8.430967",3250,244,260
1616318834,2021-03-21T09:27:14Z,ACA873,"50.028107,8.427404",3350,244,259
1616318838,2021-03-21T09:27:18Z,ACA873,"50.027409,8.421986",3525,245,258
1616318844,2021-03-21T09:27:24Z,ACA873,"50.026154,8.411624",3775,243,259
1616318850,2021-03-21T09:27:30Z,ACA873,"50.02494,8.401349",4050,241,259
1616318873,2021-03-21T09:27:53Z,ACA873,"50.020287,8.359111",4675,254,259
1616318879,2021-03-21T09:27:59Z,ACA873,"50.019196,8.350332",4750,254,258
1616318889,2021-03-21T09:28:09Z,ACA873,"50.01675,8.330235",4975,255,259
1616318895,2021-03-21T09:28:15Z,ACA873,"50.015446,8.319323",5225,255,259
1616318906,2021-03-21T09:28:26Z,ACA873,"50.013443,8.298835",5600,264,264
1616318913,2021-03-21T09:28:33Z,ACA873,"50.013611,8.28586",5850,264,275
1616318915,2021-03-21T09:28:35Z,ACA873,"50.013721,8.284211",5900,264,275
1616318921,2021-03-21T09:28:41Z,ACA873,"50.015213,8.27315",6175,262,284
1616318927,2021-03-21T09:28:47Z,ACA873,"50.017731,8.261864",6500,261,290
1616318934,2021-03-21T09:28:54Z,ACA873,"50.021255,8.24907",6900,262,293
1616318935,2021-03-21T09:28:55Z,ACA873,"50.021988,8.246396",6975,263,293
1616318941,2021-03-21T09:29:01Z,ACA873,"50.024521,8.237148",7250,265,292
1616318942,2021-03-21T09:29:02Z,ACA873,"50.02499,8.235515",7275,266,293
1616318951,2021-03-21T09:29:11Z,ACA873,"50.029541,8.219292",7725,269,294
1616318962,2021-03-21T09:29:22Z,ACA873,"50.035183,8.200254",8225,273,294
1616318980,2021-03-21T09:29:40Z,ACA873,"50.044914,8.167073",9225,276,294
1616318992,2021-03-21T09:29:52Z,ACA873,"50.050919,8.146511",9800,278,294
1616319004,2021-03-21T09:30:04Z,ACA873,"50.05806,8.125257",10425,278,300
1616319019,2021-03-21T09:30:19Z,ACA873,"50.069725,8.099374",10825,294,309
1616319020,2021-03-21T09:30:20Z,ACA873,"50.07103,8.096998",10850,297,310
1616319022,2021-03-21T09:30:22Z,ACA873,"50.07233,8.094771",10875,297,310
1616319025,2021-03-21T09:30:25Z,ACA873,"50.074799,8.090614",10925,302,313
1616319031,2021-03-21T09:30:31Z,ACA873,"50.081455,8.080444",11100,307,317
1616319040,2021-03-21T09:30:40Z,ACA873,"50.091511,8.067677",11325,317,322
1616319043,2021-03-21T09:30:43Z,ACA873,"50.095139,8.063603",11400,320,324
1616319045,2021-03-21T09:30:45Z,ACA873,"50.096817,8.061812",11425,320,324
1616319046,2021-03-21T09:30:46Z,ACA873,"50.098892,8.059556",11500,322,325
1616319048,2021-03-21T09:30:48Z,ACA873,"50.100952,8.057315",11550,325,325
1616319049,2021-03-21T09:30:49Z,ACA873,"50.102234,8.055942",11575,327,325
1616319051,2021-03-21T09:30:51Z,ACA873,"50.104385,8.053629",11625,327,325
1616319055,2021-03-21T09:30:55Z,ACA873,"50.110153,8.04734",11775,332,324
1616319071,2021-03-21T09:31:11Z,ACA873,"50.131405,8.023953",12475,344,324
1616319103,2021-03-21T09:31:43Z,ACA873,"50.172729,7.978459",14250,354,324
1616319134,2021-03-21T09:32:14Z,ACA873,"50.214317,7.932426",15900,362,324
1616319170,2021-03-21T09:32:50Z,ACA873,"50.264175,7.877346",17700,372,324
1616319201,2021-03-21T09:33:21Z,ACA873,"50.308586,7.82813",19225,380,324
1616319264,2021-03-21T09:34:24Z,ACA873,"50.398819,7.727653",22200,387,324
1616319297,2021-03-21T09:34:57Z,ACA873,"50.445168,7.664077",23500,404,312
1616319299,2021-03-21T09:34:59Z,ACA873,"50.446381,7.661952",23550,404,312
1616319300,2021-03-21T09:35:00Z,ACA873,"50.448074,7.658916",23600,406,311
1616319302,2021-03-21T09:35:02Z,ACA873,"50.4505,7.654507",23700,406,310
