Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616319823,2021-03-21T09:43:43Z,AFR5400,"49.020706,2.573222",0,17,264
1616319829,2021-03-21T09:43:49Z,AFR5400,"49.020664,2.572473",0,16,264
1616319835,2021-03-21T09:43:55Z,AFR5400,"49.020622,2.571795",0,14,267
1616319842,2021-03-21T09:44:02Z,AFR5400,"49.020611,2.571234",0,10,267
1616319846,2021-03-21T09:44:06Z,AFR5400,"49.020672,2.571018",0,9,281
1616319853,2021-03-21T09:44:13Z,AFR5400,"49.020927,2.570765",0,9,320
1616319860,2021-03-21T09:44:20Z,AFR5400,"49.021179,2.57073",0,9,345
1616319866,2021-03-21T09:44:26Z,AFR5400,"49.021473,2.570747",0,11,357
1616319870,2021-03-21T09:44:30Z,AFR5400,"49.021694,2.570713",0,12,357
1616319876,2021-03-21T09:44:36Z,AFR5400,"49.02206,2.570678",0,14,354
1616319880,2021-03-21T09:44:40Z,AFR5400,"49.022312,2.570638",0,14,354
1616319884,2021-03-21T09:44:44Z,AFR5400,"49.022575,2.570607",0,13,354
1616319890,2021-03-21T09:44:50Z,AFR5400,"49.022873,2.570554",0,12,354
1616319896,2021-03-21T09:44:56Z,AFR5400,"49.023197,2.570385",0,11,340
1616319901,2021-03-21T09:45:01Z,AFR5400,"49.023376,2.570184",0,10,329
1616319906,2021-03-21T09:45:06Z,AFR5400,"49.023502,2.569921",0,9,312
1616319912,2021-03-21T09:45:12Z,AFR5400,"49.023582,2.569656",0,9,300
1616319915,2021-03-21T09:45:15Z,AFR5400,"49.023628,2.569427",0,9,292
1616319919,2021-03-21T09:45:19Z,AFR5400,"49.023651,2.569211",0,9,284
1616319923,2021-03-21T09:45:23Z,AFR5400,"49.023651,2.568958",0,10,275
1616319926,2021-03-21T09:45:26Z,AFR5400,"49.023628,2.568741",0,10,270
1616319929,2021-03-21T09:45:29Z,AFR5400,"49.023617,2.568494",0,11,267
1616319931,2021-03-21T09:45:31Z,AFR5400,"49.023602,2.568289",0,14,267
1616319932,2021-03-21T09:45:32Z,AFR5400,"49.02359,2.568018",0,17,267
1616319934,2021-03-21T09:45:34Z,AFR5400,"49.023571,2.567667",0,22,264
1616319938,2021-03-21T09:45:38Z,AFR5400,"49.023525,2.566839",0,34,264
1616319941,2021-03-21T09:45:41Z,AFR5400,"49.023464,2.565723",0,49,264
1616319942,2021-03-21T09:45:42Z,AFR5400,"49.023441,2.565271",0,54,264
1616319944,2021-03-21T09:45:44Z,AFR5400,"49.023388,2.564339",0,63,264
1616319945,2021-03-21T09:45:45Z,AFR5400,"49.023365,2.563952",0,68,264
1616319946,2021-03-21T09:45:46Z,AFR5400,"49.023335,2.563248",0,72,264
1616319947,2021-03-21T09:45:47Z,AFR5400,"49.023273,2.562262",0,80,264
1616319965,2021-03-21T09:46:05Z,AFR5400,"49.022438,2.547021",75,142,265
1616320001,2021-03-21T09:46:41Z,AFR5400,"49.019833,2.501847",1175,183,265
1616320007,2021-03-21T09:46:47Z,AFR5400,"49.019413,2.494113",1450,184,265
1616320014,2021-03-21T09:46:54Z,AFR5400,"49.018936,2.485305",1750,184,265
1616320026,2021-03-21T09:47:06Z,AFR5400,"49.018112,2.469248",2225,185,265
1616320034,2021-03-21T09:47:14Z,AFR5400,"49.017609,2.458473",2475,187,266
1616320040,2021-03-21T09:47:20Z,AFR5400,"49.017242,2.450655",2650,189,265
1616320046,2021-03-21T09:47:26Z,AFR5400,"49.016808,2.442507",2875,190,265
1616320058,2021-03-21T09:47:38Z,AFR5400,"49.015923,2.426822",3250,192,264
1616320064,2021-03-21T09:47:44Z,AFR5400,"49.015366,2.418119",3400,196,264
1616320071,2021-03-21T09:47:51Z,AFR5400,"49.014862,2.408964",3550,201,264
1616320082,2021-03-21T09:48:02Z,AFR5400,"49.01392,2.391839",3700,214,265
1616320090,2021-03-21T09:48:10Z,AFR5400,"49.013306,2.380371",3775,226,265
1616320098,2021-03-21T09:48:18Z,AFR5400,"49.012569,2.366397",3800,240,265
1616320109,2021-03-21T09:48:29Z,AFR5400,"49.011684,2.346376",3975,254,266
1616320115,2021-03-21T09:48:35Z,AFR5400,"49.012012,2.335318",4175,253,273
1616320118,2021-03-21T09:48:38Z,AFR5400,"49.012711,2.330113",4275,252,278
1616320121,2021-03-21T09:48:41Z,AFR5400,"49.013596,2.325849",4350,252,284
1616320122,2021-03-21T09:48:42Z,AFR5400,"49.014011,2.324187",4375,251,286
1616320124,2021-03-21T09:48:44Z,AFR5400,"49.014992,2.320717",4425,253,290
1616320125,2021-03-21T09:48:45Z,AFR5400,"49.015411,2.319242",4425,252,292
1616320131,2021-03-21T09:48:51Z,AFR5400,"49.018387,2.310439",4550,258,297
1616320136,2021-03-21T09:48:56Z,AFR5400,"49.021603,2.300696",4750,262,295
1616320138,2021-03-21T09:48:58Z,AFR5400,"49.022438,2.29795",4800,263,295
1616320139,2021-03-21T09:48:59Z,AFR5400,"49.022953,2.296143",4850,263,294
1616320146,2021-03-21T09:49:06Z,AFR5400,"49.025932,2.284289",5175,265,290
1616320156,2021-03-21T09:49:16Z,AFR5400,"49.029373,2.26593",5625,267,284
1616320160,2021-03-21T09:49:20Z,AFR5400,"49.030426,2.258324",5800,269,282
1616320161,2021-03-21T09:49:21Z,AFR5400,"49.03054,2.257401",5825,269,281
1616320164,2021-03-21T09:49:24Z,AFR5400,"49.031143,2.251981",5950,269,280
1616320167,2021-03-21T09:49:27Z,AFR5400,"49.031704,2.246704",6075,270,279
1616320180,2021-03-21T09:49:40Z,AFR5400,"49.033939,2.220901",6625,273,276
1616320191,2021-03-21T09:49:51Z,AFR5400,"49.035286,2.199217",7050,277,275
1616320204,2021-03-21T09:50:04Z,AFR5400,"49.036652,2.174096",7675,274,274
1616320218,2021-03-21T09:50:18Z,AFR5400,"49.037888,2.147686",8250,275,273
1616320230,2021-03-21T09:50:30Z,AFR5400,"49.038731,2.126577",8725,275,273
1616320241,2021-03-21T09:50:41Z,AFR5400,"49.039719,2.104375",9100,279,274
1616320253,2021-03-21T09:50:53Z,AFR5400,"49.041107,2.077789",9400,288,274
1616320266,2021-03-21T09:51:06Z,AFR5400,"49.041805,2.053648",9800,294,271
1616320278,2021-03-21T09:51:18Z,AFR5400,"49.041641,2.026837",10375,295,269
1616320292,2021-03-21T09:51:32Z,AFR5400,"49.041733,1.996624",10650,309,270
1616320304,2021-03-21T09:51:44Z,AFR5400,"49.041824,1.970285",10850,321,270
1616320315,2021-03-21T09:51:55Z,AFR5400,"49.041824,1.946341",11050,333,269
1616320327,2021-03-21T09:52:07Z,AFR5400,"49.041664,1.915741",11275,347,269
1616320342,2021-03-21T09:52:22Z,AFR5400,"49.041386,1.879674",11575,364,269
1616320353,2021-03-21T09:52:33Z,AFR5400,"49.041061,1.850618",11850,376,268
1616320366,2021-03-21T09:52:46Z,AFR5400,"49.040642,1.815129",12325,385,268
1616320398,2021-03-21T09:53:18Z,AFR5400,"49.040131,1.724926",14000,393,270
1616320431,2021-03-21T09:53:51Z,AFR5400,"49.041431,1.634433",15525,401,271
1616320464,2021-03-21T09:54:24Z,AFR5400,"49.0439,1.539604",17125,408,272
1616320495,2021-03-21T09:54:55Z,AFR5400,"49.046505,1.449762",18350,418,272
1616320558,2021-03-21T09:55:58Z,AFR5400,"49.051582,1.257212",20725,439,272
1616320621,2021-03-21T09:57:01Z,AFR5400,"49.056145,1.058735",22975,455,271
1616320685,2021-03-21T09:58:05Z,AFR5400,"49.06052,0.850645",25150,469,271
1616320743,2021-03-21T09:59:03Z,AFR5400,"49.064243,0.656867",26650,486,271
1616320808,2021-03-21T10:00:08Z,AFR5400,"49.068199,0.429334",28325,503,271
1616320873,2021-03-21T10:01:13Z,AFR5400,"49.071785,0.198115",29800,521,271
1616320935,2021-03-21T10:02:15Z,AFR5400,"49.074718,-0.029273",31925,515,271
1616321000,2021-03-21T10:03:20Z,AFR5400,"49.077484,-0.26501",33325,522,270
1616321064,2021-03-21T10:04:24Z,AFR5400,"49.080769,-0.501251",34000,518,273
1616321126,2021-03-21T10:05:26Z,AFR5400,"49.103348,-0.721628",34000,509,283
1616321188,2021-03-21T10:06:28Z,AFR5400,"49.135746,-0.941499",34000,509,282
1616321249,2021-03-21T10:07:29Z,AFR5400,"49.167252,-1.153353",34000,510,282
1616321310,2021-03-21T10:08:30Z,AFR5400,"49.198593,-1.366641",34000,511,282
1616321371,2021-03-21T10:09:31Z,AFR5400,"49.230156,-1.584055",34000,511,282
1616321433,2021-03-21T10:10:33Z,AFR5400,"49.261276,-1.802321",34000,511,282
1616321494,2021-03-21T10:11:34Z,AFR5400,"49.29126,-2.015005",34000,508,282
1616321562,2021-03-21T10:12:42Z,AFR5400,"49.324284,-2.253137",34000,501,281
1616321623,2021-03-21T10:13:43Z,AFR5400,"49.353012,-2.462628",34000,501,281
1616321686,2021-03-21T10:14:46Z,AFR5400,"49.382614,-2.682399",34000,500,281
1616321756,2021-03-21T10:15:56Z,AFR5400,"49.414581,-2.923772",34000,499,281
1616321817,2021-03-21T10:16:57Z,AFR5400,"49.442154,-3.134889",34000,499,281
1616321878,2021-03-21T10:17:58Z,AFR5400,"49.469387,-3.346822",34000,499,281
1616321939,2021-03-21T10:18:59Z,AFR5400,"49.496338,-3.559643",34000,501,280
1616322000,2021-03-21T10:20:00Z,AFR5400,"49.522751,-3.772141",34000,500,280
1616322047,2021-03-21T10:20:47Z,AFR5400,"49.550575,-3.93266",34000,492,290
1616322049,2021-03-21T10:20:49Z,AFR5400,"49.552322,-3.939466",34000,492,290
1616322050,2021-03-21T10:20:50Z,AFR5400,"49.553467,-3.94402",34000,491,291
1616322115,2021-03-21T10:21:55Z,AFR5400,"49.624695,-4.137509",34000,480,305
1616322177,2021-03-21T10:22:57Z,AFR5400,"49.700424,-4.314509",34000,482,301
1616322244,2021-03-21T10:24:04Z,AFR5400,"49.775894,-4.513574",34000,480,300
1616322306,2021-03-21T10:25:06Z,AFR5400,"49.844193,-4.695643",34000,480,300
1616322370,2021-03-21T10:26:10Z,AFR5400,"49.915173,-4.885872",34000,478,299
1616322433,2021-03-21T10:27:13Z,AFR5400,"49.983883,-5.071378",34000,479,299
1616322496,2021-03-21T10:28:16Z,AFR5400,"50.054398,-5.263102",34000,478,299
1616322557,2021-03-21T10:29:17Z,AFR5400,"50.120327,-5.443874",34000,478,299
1616322617,2021-03-21T10:30:17Z,AFR5400,"50.184723,-5.621459",34000,477,299
1616322651,2021-03-21T10:30:51Z,AFR5400,"50.222183,-5.725436",34000,478,299
1616322739,2021-03-21T10:32:19Z,AFR5400,"50.31665,-5.989356",34000,480,299
1616322812,2021-03-21T10:33:32Z,AFR5400,"50.394882,-6.210022",34000,478,298
1616322873,2021-03-21T10:34:33Z,AFR5400,"50.459106,-6.39267",34000,477,298
1616322943,2021-03-21T10:35:43Z,AFR5400,"50.534317,-6.608202",34000,478,298
1616323007,2021-03-21T10:36:47Z,AFR5400,"50.602341,-6.804801",34000,479,298
1616323070,2021-03-21T10:37:50Z,AFR5400,"50.667736,-6.995099",34000,478,298
1616323134,2021-03-21T10:38:54Z,AFR5400,"50.734119,-7.189865",34000,474,298
1616323195,2021-03-21T10:39:55Z,AFR5400,"50.797615,-7.377548",34000,471,297
1616323256,2021-03-21T10:40:56Z,AFR5400,"50.858971,-7.560349",34000,469,297
1616323320,2021-03-21T10:42:00Z,AFR5400,"50.924103,-7.755754",34000,471,297
1616323382,2021-03-21T10:43:02Z,AFR5400,"50.986862,-7.945565",34000,472,297
1616323443,2021-03-21T10:44:03Z,AFR5400,"51.047928,-8.131638",34000,469,297
1616323505,2021-03-21T10:45:05Z,AFR5400,"51.109955,-8.322069",34000,468,297
1616323566,2021-03-21T10:46:06Z,AFR5400,"51.170151,-8.508243",34000,467,297
1616323628,2021-03-21T10:47:08Z,AFR5400,"51.230366,-8.695984",34000,464,296
1616323688,2021-03-21T10:48:08Z,AFR5400,"51.288895,-8.879923",34000,464,296
1616323751,2021-03-21T10:49:11Z,AFR5400,"51.348541,-9.068472",34000,462,296
1616323814,2021-03-21T10:50:14Z,AFR5400,"51.409172,-9.261856",34000,461,296
1616323876,2021-03-21T10:51:16Z,AFR5400,"51.468109,-9.451285",34000,463,296
1616323938,2021-03-21T10:52:18Z,AFR5400,"51.526997,-9.642029",34000,465,296
1616323999,2021-03-21T10:53:19Z,AFR5400,"51.584442,-9.829712",34000,464,296
1616324060,2021-03-21T10:54:20Z,AFR5400,"51.642197,-10.019754",34000,465,296
1616324120,2021-03-21T10:55:20Z,AFR5400,"51.69854,-10.206604",34000,464,295
1616324182,2021-03-21T10:56:22Z,AFR5400,"51.756409,-10.400192",34000,463,295
1616324243,2021-03-21T10:57:23Z,AFR5400,"51.81189,-10.58696",34000,463,295
1616324305,2021-03-21T10:58:25Z,AFR5400,"51.868969,-10.780945",34000,463,295
1616324367,2021-03-21T10:59:27Z,AFR5400,"51.925949,-10.975969",34000,463,295
1616324428,2021-03-21T11:00:28Z,AFR5400,"51.981171,-11.166611",34000,462,295
1616324491,2021-03-21T11:01:31Z,AFR5400,"52.037659,-11.363449",34000,462,294
1616324553,2021-03-21T11:02:33Z,AFR5400,"52.093094,-11.557922",34000,461,294
1616324613,2021-03-21T11:03:33Z,AFR5400,"52.146194,-11.745682",34000,459,294
1616324675,2021-03-21T11:04:35Z,AFR5400,"52.201447,-11.942924",34000,460,294
1616324737,2021-03-21T11:05:37Z,AFR5400,"52.255074,-12.135734",34000,460,294
1616324800,2021-03-21T11:06:40Z,AFR5400,"52.310795,-12.33796",34000,462,294
1616324860,2021-03-21T11:07:40Z,AFR5400,"52.3629,-12.528687",34000,462,294
1616324921,2021-03-21T11:08:41Z,AFR5400,"52.415306,-12.722011",34000,462,293
1616324984,2021-03-21T11:09:44Z,AFR5400,"52.469681,-12.924395",34000,461,293
1616325048,2021-03-21T11:10:48Z,AFR5400,"52.524052,-13.128662",34000,461,293
1616325111,2021-03-21T11:11:51Z,AFR5400,"52.577213,-13.330104",34000,463,293
1616325186,2021-03-21T11:13:06Z,AFR5400,"52.640339,-13.571489",34000,461,293
1616325230,2021-03-21T11:13:50Z,AFR5400,"52.677208,-13.713998",34000,461,292
1616325319,2021-03-21T11:15:19Z,AFR5400,"52.750626,-13.999863",34000,458,292
1616325379,2021-03-21T11:16:19Z,AFR5400,"52.80043,-14.196014",34000,457,292
1616325460,2021-03-21T11:17:40Z,AFR5400,"52.865746,-14.455968",34000,457,292
1616325489,2021-03-21T11:18:09Z,AFR5400,"52.888973,-14.549194",34000,457,292
1616325588,2021-03-21T11:19:48Z,AFR5400,"52.968113,-14.869603",34000,457,292
1616325653,2021-03-21T11:20:53Z,AFR5400,"53.018669,-15.078893",34000,457,291
1616325679,2021-03-21T11:21:19Z,AFR5400,"53.045059,-15.161819",34000,459,298
1616325751,2021-03-21T11:22:31Z,AFR5400,"53.10535,-15.392169",34000,459,291
1616327864,2021-03-21T11:57:44Z,AFR5400,"54.400177,-22.920055",34328,481,287
1616327878,2021-03-21T11:57:58Z,AFR5400,"54.406185,-22.970695",34720,481,287
1616329505,2021-03-21T12:25:05Z,AFR5400,"54.937477,-28.726501",35000,481,287
1616330337,2021-03-21T12:38:57Z,AFR5400,"55.073776,-31.662769",35000,481,287
1616333344,2021-03-21T13:29:04Z,AFR5400,"54.861088,-42.33427",35004,446,269
1616335116,2021-03-21T13:58:36Z,AFR5400,"54.196415,-48.706856",35304,446,269
1616336809,2021-03-21T14:26:49Z,AFR5400,"52.849365,-54.3367",36000,450,281
1616336841,2021-03-21T14:27:21Z,AFR5400,"52.794102,-54.521301",36000,482,241
1616336843,2021-03-21T14:27:23Z,AFR5400,"52.790844,-54.531269",36000,482,241
1616336846,2021-03-21T14:27:26Z,AFR5400,"52.787842,-54.540329",36000,482,241
1616336848,2021-03-21T14:27:28Z,AFR5400,"52.786789,-54.543533",36000,482,241
1616336850,2021-03-21T14:27:30Z,AFR5400,"52.783722,-54.552917",36000,482,241
1616336912,2021-03-21T14:28:32Z,AFR5400,"52.717941,-54.753265",36000,480,241
1616336977,2021-03-21T14:29:37Z,AFR5400,"52.649918,-54.958801",36000,475,241
1616337048,2021-03-21T14:30:48Z,AFR5400,"52.575073,-55.182598",36000,472,241
1616337122,2021-03-21T14:32:02Z,AFR5400,"52.497162,-55.413437",36000,472,241
1616337184,2021-03-21T14:33:04Z,AFR5400,"52.431229,-55.606987",36000,473,240
1616337246,2021-03-21T14:34:06Z,AFR5400,"52.365261,-55.799091",36000,472,240
1616337308,2021-03-21T14:35:08Z,AFR5400,"52.298813,-55.991135",36000,469,240
1616337369,2021-03-21T14:36:09Z,AFR5400,"52.233055,-56.18",36000,468,240
1616337435,2021-03-21T14:37:15Z,AFR5400,"52.163452,-56.37825",36000,466,240
1616337496,2021-03-21T14:38:16Z,AFR5400,"52.097076,-56.565857",36000,469,240
1616337558,2021-03-21T14:39:18Z,AFR5400,"52.029282,-56.755905",36000,471,239
1616337620,2021-03-21T14:40:20Z,AFR5400,"51.961933,-56.943237",36000,468,239
1616337680,2021-03-21T14:41:20Z,AFR5400,"51.896202,-57.124981",36000,466,239
1616337742,2021-03-21T14:42:22Z,AFR5400,"51.828873,-57.309959",36000,467,239
