Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1613893161,2021-02-21T07:39:21Z,AFR6737,"41.961349,-87.912468",0,0,239
1613893698,2021-02-21T07:48:18Z,AFR6737,"41.961571,-87.912453",0,2,174
1613893716,2021-02-21T07:48:36Z,AFR6737,"41.961781,-87.912453",0,3,157
1613893774,2021-02-21T07:49:34Z,AFR6737,"41.962177,-87.912964",0,2,90
1613893827,2021-02-21T07:50:27Z,AFR6737,"41.9622,-87.912704",0,1,84
1613893845,2021-02-21T07:50:45Z,AFR6737,"41.962177,-87.912971",0,0,84
1613893911,2021-02-21T07:51:51Z,AFR6737,"41.9622,-87.912659",0,0,84
1613894049,2021-02-21T07:54:09Z,AFR6737,"41.9622,-87.912453",0,4,87
1613894061,2021-02-21T07:54:21Z,AFR6737,"41.9622,-87.912003",0,7,90
1613894068,2021-02-21T07:54:28Z,AFR6737,"41.9622,-87.911629",0,9,90
1613894073,2021-02-21T07:54:33Z,AFR6737,"41.962212,-87.911285",0,10,90
1613894080,2021-02-21T07:54:40Z,AFR6737,"41.9622,-87.910889",0,11,90
1613894086,2021-02-21T07:54:46Z,AFR6737,"41.962212,-87.910408",0,11,90
1613894101,2021-02-21T07:55:01Z,AFR6737,"41.962212,-87.909256",0,13,90
1613894108,2021-02-21T07:55:08Z,AFR6737,"41.962212,-87.908783",0,10,90
1613894116,2021-02-21T07:55:16Z,AFR6737,"41.962223,-87.908333",0,8,84
1613894127,2021-02-21T07:55:27Z,AFR6737,"41.962475,-87.907883",0,9,53
1613894133,2021-02-21T07:55:33Z,AFR6737,"41.962612,-87.907654",0,10,50
1613894137,2021-02-21T07:55:37Z,AFR6737,"41.962749,-87.907417",0,11,53
1613894140,2021-02-21T07:55:40Z,AFR6737,"41.962887,-87.90715",0,12,53
1613894144,2021-02-21T07:55:44Z,AFR6737,"41.963024,-87.906914",0,13,53
1613894148,2021-02-21T07:55:48Z,AFR6737,"41.963188,-87.906639",0,15,53
1613894157,2021-02-21T07:55:57Z,AFR6737,"41.963585,-87.905968",0,16,50
1613894162,2021-02-21T07:56:02Z,AFR6737,"41.963814,-87.905594",0,14,50
1613894169,2021-02-21T07:56:09Z,AFR6737,"41.964027,-87.905235",0,12,53
1613894172,2021-02-21T07:56:12Z,AFR6737,"41.964111,-87.905014",0,11,61
1613894175,2021-02-21T07:56:15Z,AFR6737,"41.964134,-87.904808",0,11,73
1613894178,2021-02-21T07:56:18Z,AFR6737,"41.964134,-87.904564",0,12,87
1613894181,2021-02-21T07:56:21Z,AFR6737,"41.964111,-87.904343",0,12,90
1613894184,2021-02-21T07:56:24Z,AFR6737,"41.964123,-87.904121",0,10,90
1613894191,2021-02-21T07:56:31Z,AFR6737,"41.96413,-87.90377",0,8,90
1613894196,2021-02-21T07:56:36Z,AFR6737,"41.96413,-87.903481",0,8,90
1613894203,2021-02-21T07:56:43Z,AFR6737,"41.964123,-87.903221",0,8,90
1613894208,2021-02-21T07:56:48Z,AFR6737,"41.964123,-87.902924",0,8,90
