Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616389591,2021-03-22T05:06:31Z,BAW268,"33.941803,-118.410782",0,0,81
1616389649,2021-03-22T05:07:29Z,BAW268,"33.941784,-118.411018",0,3,81
1616389660,2021-03-22T05:07:40Z,BAW268,"33.941761,-118.411232",0,4,78
1616389669,2021-03-22T05:07:49Z,BAW268,"33.94175,-118.411446",0,4,67
1616389680,2021-03-22T05:08:00Z,BAW268,"33.941727,-118.411674",0,3,39
1616389697,2021-03-22T05:08:17Z,BAW268,"33.941563,-118.411888",0,3,16
1616389720,2021-03-22T05:08:40Z,BAW268,"33.941357,-118.412033",0,1,354
1616389869,2021-03-22T05:11:09Z,BAW268,"33.941769,-118.411095",0,0,180
1616389904,2021-03-22T05:11:44Z,BAW268,"33.941353,-118.412033",0,0,180
1616390169,2021-03-22T05:16:09Z,BAW268,"33.941563,-118.412048",0,4,354
1616390177,2021-03-22T05:16:17Z,BAW268,"33.941784,-118.412086",0,7,354
1616390184,2021-03-22T05:16:24Z,BAW268,"33.942051,-118.412117",0,8,354
1616390190,2021-03-22T05:16:30Z,BAW268,"33.942307,-118.412155",0,9,354
1616390197,2021-03-22T05:16:37Z,BAW268,"33.942612,-118.412216",0,10,351
1616390204,2021-03-22T05:16:44Z,BAW268,"33.942947,-118.41227",0,10,351
1616390212,2021-03-22T05:16:52Z,BAW268,"33.943333,-118.412315",0,10,354
1616390220,2021-03-22T05:17:00Z,BAW268,"33.943737,-118.412384",0,11,354
1616390226,2021-03-22T05:17:06Z,BAW268,"33.943996,-118.412415",0,11,354
1616390235,2021-03-22T05:17:15Z,BAW268,"33.944412,-118.412476",0,9,354
1616390241,2021-03-22T05:17:21Z,BAW268,"33.944641,-118.412506",0,7,354
1616390248,2021-03-22T05:17:28Z,BAW268,"33.944866,-118.412544",0,7,351
1616390257,2021-03-22T05:17:37Z,BAW268,"33.945183,-118.41259",0,8,354
1616390264,2021-03-22T05:17:44Z,BAW268,"33.945454,-118.412621",0,8,354
1616390270,2021-03-22T05:17:50Z,BAW268,"33.94566,-118.412659",0,6,351
1616390279,2021-03-22T05:17:59Z,BAW268,"33.945869,-118.412689",0,5,354
1616390290,2021-03-22T05:18:10Z,BAW268,"33.946102,-118.412735",0,4,351
1616390343,2021-03-22T05:19:03Z,BAW268,"33.946335,-118.412766",0,6,351
1616390350,2021-03-22T05:19:10Z,BAW268,"33.946568,-118.412804",0,8,351
1616390356,2021-03-22T05:19:16Z,BAW268,"33.946835,-118.412849",0,9,351
1616390362,2021-03-22T05:19:22Z,BAW268,"33.947079,-118.412872",0,9,354
1616390369,2021-03-22T05:19:29Z,BAW268,"33.947308,-118.412918",0,8,354
1616390376,2021-03-22T05:19:36Z,BAW268,"33.947578,-118.412949",0,8,354
1616390382,2021-03-22T05:19:42Z,BAW268,"33.9478,-118.412888",0,8,11
1616390389,2021-03-22T05:19:49Z,BAW268,"33.947987,-118.412643",0,8,39
1616390394,2021-03-22T05:19:54Z,BAW268,"33.948021,-118.412415",0,8,61
1616390403,2021-03-22T05:20:03Z,BAW268,"33.948051,-118.412003",0,9,81
1616390410,2021-03-22T05:20:10Z,BAW268,"33.94809,-118.411674",0,9,81
1616390419,2021-03-22T05:20:19Z,BAW268,"33.948132,-118.411133",0,11,84
1616390425,2021-03-22T05:20:25Z,BAW268,"33.948162,-118.410774",0,11,84
1616390431,2021-03-22T05:20:31Z,BAW268,"33.948208,-118.410355",0,12,84
1616390438,2021-03-22T05:20:38Z,BAW268,"33.948257,-118.409843",0,13,81
1616390444,2021-03-22T05:20:44Z,BAW268,"33.948299,-118.409401",0,14,84
1616390450,2021-03-22T05:20:50Z,BAW268,"33.948349,-118.408981",0,12,84
1616390456,2021-03-22T05:20:56Z,BAW268,"33.948395,-118.408585",0,12,81
1616390461,2021-03-22T05:21:01Z,BAW268,"33.948429,-118.408257",0,12,84
1616390467,2021-03-22T05:21:07Z,BAW268,"33.948463,-118.407867",0,11,84
1616390473,2021-03-22T05:21:13Z,BAW268,"33.948498,-118.407516",0,11,84
1616390480,2021-03-22T05:21:20Z,BAW268,"33.948532,-118.40715",0,10,81
1616390486,2021-03-22T05:21:26Z,BAW268,"33.94857,-118.406837",0,9,84
1616390492,2021-03-22T05:21:32Z,BAW268,"33.948601,-118.406494",0,10,84
1616390498,2021-03-22T05:21:38Z,BAW268,"33.948639,-118.406151",0,10,81
1616390506,2021-03-22T05:21:46Z,BAW268,"33.948685,-118.405754",0,9,84
1616390513,2021-03-22T05:21:53Z,BAW268,"33.948715,-118.405418",0,8,81
1616390519,2021-03-22T05:21:59Z,BAW268,"33.948738,-118.405167",0,7,84
1616390528,2021-03-22T05:22:08Z,BAW268,"33.948765,-118.404907",0,5,81
1616390535,2021-03-22T05:22:15Z,BAW268,"33.948803,-118.404648",0,7,84
1616390542,2021-03-22T05:22:22Z,BAW268,"33.948826,-118.404366",0,7,84
1616390551,2021-03-22T05:22:31Z,BAW268,"33.948853,-118.404083",0,5,84
1616390564,2021-03-22T05:22:44Z,BAW268,"33.948895,-118.403679",0,6,81
1616390572,2021-03-22T05:22:52Z,BAW268,"33.948933,-118.403389",0,7,81
1616390601,2021-03-22T05:23:21Z,BAW268,"33.949036,-118.402374",0,8,84
1616390607,2021-03-22T05:23:27Z,BAW268,"33.949047,-118.402092",0,8,84
1616390613,2021-03-22T05:23:33Z,BAW268,"33.94907,-118.401886",0,6,84
1616390620,2021-03-22T05:23:40Z,BAW268,"33.949093,-118.401665",0,5,84
1616390632,2021-03-22T05:23:52Z,BAW268,"33.949127,-118.401413",0,4,84
1616390642,2021-03-22T05:24:02Z,BAW268,"33.949162,-118.401085",0,7,84
1616390649,2021-03-22T05:24:09Z,BAW268,"33.949184,-118.400871",0,5,81
1616390656,2021-03-22T05:24:16Z,BAW268,"33.949207,-118.400642",0,6,81
1616390662,2021-03-22T05:24:22Z,BAW268,"33.94923,-118.400414",0,8,84
1616390667,2021-03-22T05:24:27Z,BAW268,"33.949253,-118.400078",0,11,84
1616390674,2021-03-22T05:24:34Z,BAW268,"33.949303,-118.399658",0,13,81
1616390678,2021-03-22T05:24:38Z,BAW268,"33.949406,-118.399399",0,13,67
1616390682,2021-03-22T05:24:42Z,BAW268,"33.949615,-118.3992",0,12,24
1616390686,2021-03-22T05:24:46Z,BAW268,"33.949825,-118.399117",0,12,25
1616390690,2021-03-22T05:24:50Z,BAW268,"33.950058,-118.399117",0,12,8
1616390695,2021-03-22T05:24:55Z,BAW268,"33.950283,-118.399185",0,11,348
1616390699,2021-03-22T05:24:59Z,BAW268,"33.95042,-118.399414",0,11,317
1616390704,2021-03-22T05:25:04Z,BAW268,"33.950432,-118.399704",0,10,286
1616390710,2021-03-22T05:25:10Z,BAW268,"33.950371,-118.399971",0,9,267
1616390715,2021-03-22T05:25:15Z,BAW268,"33.950352,-118.400177",0,8,264
1616390718,2021-03-22T05:25:18Z,BAW268,"33.950329,-118.400391",0,11,264
1616390722,2021-03-22T05:25:22Z,BAW268,"33.950291,-118.400757",0,17,264
1616390724,2021-03-22T05:25:24Z,BAW268,"33.950272,-118.400986",0,21,264
1616390730,2021-03-22T05:25:30Z,BAW268,"33.950146,-118.402237",0,46,264
1616390732,2021-03-22T05:25:32Z,BAW268,"33.950077,-118.402908",0,56,264
1616390737,2021-03-22T05:25:37Z,BAW268,"33.949905,-118.404739",0,76,264
1616390738,2021-03-22T05:25:38Z,BAW268,"33.949825,-118.40551",0,84,264
1616390744,2021-03-22T05:25:44Z,BAW268,"33.949429,-118.40921",0,112,262
1616390751,2021-03-22T05:25:51Z,BAW268,"33.948944,-118.414124",25,139,262
1616390757,2021-03-22T05:25:57Z,BAW268,"33.948452,-118.418945",25,162,262
1616390762,2021-03-22T05:26:02Z,BAW268,"33.9478,-118.424767",100,176,262
1616390768,2021-03-22T05:26:08Z,BAW268,"33.947205,-118.430824",275,180,262
1616390774,2021-03-22T05:26:14Z,BAW268,"33.946312,-118.436676",525,183,259
1616390779,2021-03-22T05:26:19Z,BAW268,"33.945564,-118.440918",700,185,257
1616390782,2021-03-22T05:26:22Z,BAW268,"33.944778,-118.444778",875,186,256
1616390787,2021-03-22T05:26:27Z,BAW268,"33.944077,-118.448753",1075,185,257
1616390792,2021-03-22T05:26:32Z,BAW268,"33.943516,-118.454758",1350,181,263
1616390802,2021-03-22T05:26:42Z,BAW268,"33.943222,-118.464569",1650,189,268
1616390805,2021-03-22T05:26:45Z,BAW268,"33.943146,-118.467979",1700,193,269
1616390807,2021-03-22T05:26:47Z,BAW268,"33.94313,-118.469894",1750,196,269
1616390808,2021-03-22T05:26:48Z,BAW268,"33.943146,-118.470955",1775,198,269
1616390811,2021-03-22T05:26:51Z,BAW268,"33.943085,-118.474434",1850,203,269
1616390814,2021-03-22T05:26:54Z,BAW268,"33.94305,-118.477997",1925,208,268
1616390815,2021-03-22T05:26:55Z,BAW268,"33.943005,-118.479141",1950,208,268
1616390816,2021-03-22T05:26:56Z,BAW268,"33.943005,-118.480286",1975,211,268
1616390822,2021-03-22T05:27:02Z,BAW268,"33.942913,-118.48703",2100,219,268
1616390828,2021-03-22T05:27:08Z,BAW268,"33.942772,-118.494705",2250,229,268
1616390835,2021-03-22T05:27:15Z,BAW268,"33.942398,-118.50425",2525,239,266
1616390843,2021-03-22T05:27:23Z,BAW268,"33.941795,-118.515015",2825,246,265
1616390850,2021-03-22T05:27:30Z,BAW268,"33.941254,-118.52404",3075,252,265
1616390856,2021-03-22T05:27:36Z,BAW268,"33.940384,-118.534798",3450,258,263
1616390858,2021-03-22T05:27:38Z,BAW268,"33.940018,-118.53772",3550,259,261
1616390859,2021-03-22T05:27:39Z,BAW268,"33.939793,-118.539047",3600,259,261
1616390862,2021-03-22T05:27:42Z,BAW268,"33.93924,-118.542198",3725,262,258
