Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616329588,2021-03-21T12:26:28Z,BAW295,"51.473167,-0.47707",0,2,90
1616329599,2021-03-21T12:26:39Z,BAW295,"51.47316,-0.477276",0,3,90
1616329609,2021-03-21T12:26:49Z,BAW295,"51.473148,-0.477505",0,3,92
1616329622,2021-03-21T12:27:02Z,BAW295,"51.473125,-0.47781",0,3,104
1616329631,2021-03-21T12:27:11Z,BAW295,"51.473099,-0.478039",0,4,118
1616329640,2021-03-21T12:27:20Z,BAW295,"51.473087,-0.478249",0,3,132
1616329654,2021-03-21T12:27:34Z,BAW295,"51.473148,-0.478554",0,3,157
1616329704,2021-03-21T12:28:24Z,BAW295,"51.472939,-0.478722",0,3,177
1616329720,2021-03-21T12:28:40Z,BAW295,"51.472721,-0.478722",0,3,180
1616329734,2021-03-21T12:28:54Z,BAW295,"51.472519,-0.478706",0,3,180
1616329750,2021-03-21T12:29:10Z,BAW295,"51.472263,-0.478706",0,3,180
1616329766,2021-03-21T12:29:26Z,BAW295,"51.472042,-0.478706",0,3,180
1616329778,2021-03-21T12:29:38Z,BAW295,"51.471828,-0.478703",0,3,180
1616329947,2021-03-21T12:32:27Z,BAW295,"51.471622,-0.478706",0,3,180
1616329959,2021-03-21T12:32:39Z,BAW295,"51.471359,-0.478703",0,6,180
1616329966,2021-03-21T12:32:46Z,BAW295,"51.471134,-0.478706",0,8,180
1616329974,2021-03-21T12:32:54Z,BAW295,"51.470806,-0.478706",0,9,180
1616329980,2021-03-21T12:33:00Z,BAW295,"51.47057,-0.478685",0,9,180
1616329986,2021-03-21T12:33:06Z,BAW295,"51.470306,-0.478685",0,8,180
1616329994,2021-03-21T12:33:14Z,BAW295,"51.470043,-0.478685",0,6,180
1616330004,2021-03-21T12:33:24Z,BAW295,"51.469791,-0.478685",0,6,180
1616330011,2021-03-21T12:33:31Z,BAW295,"51.469563,-0.478685",0,7,180
1616330017,2021-03-21T12:33:37Z,BAW295,"51.469353,-0.478687",0,9,180
1616330025,2021-03-21T12:33:45Z,BAW295,"51.468979,-0.478687",0,8,180
1616330038,2021-03-21T12:33:58Z,BAW295,"51.468578,-0.478685",0,7,180
1616330046,2021-03-21T12:34:06Z,BAW295,"51.468372,-0.478685",0,5,180
1616330054,2021-03-21T12:34:14Z,BAW295,"51.468155,-0.478668",0,7,180
1616330061,2021-03-21T12:34:21Z,BAW295,"51.46788,-0.478666",0,8,180
1616330068,2021-03-21T12:34:28Z,BAW295,"51.467663,-0.478666",0,6,180
1616330078,2021-03-21T12:34:38Z,BAW295,"51.467445,-0.478945",0,7,208
1616330083,2021-03-21T12:34:43Z,BAW295,"51.467396,-0.47924",0,8,233
1616330088,2021-03-21T12:34:48Z,BAW295,"51.467396,-0.479584",0,9,255
1616330096,2021-03-21T12:34:56Z,BAW295,"51.467434,-0.480151",0,9,270
1616330101,2021-03-21T12:35:01Z,BAW295,"51.467434,-0.480385",0,7,270
1616330106,2021-03-21T12:35:06Z,BAW295,"51.467434,-0.480652",0,5,270
1616330115,2021-03-21T12:35:15Z,BAW295,"51.467434,-0.480862",0,1,270
1616330169,2021-03-21T12:36:09Z,BAW295,"51.467434,-0.481079",0,3,270
1616330178,2021-03-21T12:36:18Z,BAW295,"51.467434,-0.481396",0,5,270
1616330185,2021-03-21T12:36:25Z,BAW295,"51.467422,-0.481728",0,7,270
1616330192,2021-03-21T12:36:32Z,BAW295,"51.467422,-0.482101",0,8,270
1616330198,2021-03-21T12:36:38Z,BAW295,"51.467422,-0.482521",0,9,270
1616330204,2021-03-21T12:36:44Z,BAW295,"51.467422,-0.482972",0,11,270
1616330211,2021-03-21T12:36:51Z,BAW295,"51.467422,-0.483513",0,10,270
1616330220,2021-03-21T12:37:00Z,BAW295,"51.467422,-0.484048",0,7,270
1616330226,2021-03-21T12:37:06Z,BAW295,"51.467422,-0.484314",0,5,270
1616330240,2021-03-21T12:37:20Z,BAW295,"51.467422,-0.484697",0,2,270
1616330256,2021-03-21T12:37:36Z,BAW295,"51.467422,-0.485001",0,2,270
1616330278,2021-03-21T12:37:58Z,BAW295,"51.467422,-0.485325",0,2,270
1616330286,2021-03-21T12:38:06Z,BAW295,"51.467411,-0.485535",0,4,270
1616330298,2021-03-21T12:38:18Z,BAW295,"51.467411,-0.486108",0,8,270
1616330308,2021-03-21T12:38:28Z,BAW295,"51.467411,-0.486736",0,8,270
1616330315,2021-03-21T12:38:35Z,BAW295,"51.467411,-0.487003",0,5,270
1616330321,2021-03-21T12:38:41Z,BAW295,"51.467361,-0.487232",0,5,261
1616330328,2021-03-21T12:38:48Z,BAW295,"51.467213,-0.487442",0,7,239
1616330335,2021-03-21T12:38:55Z,BAW295,"51.466991,-0.487537",0,7,213
1616330344,2021-03-21T12:39:04Z,BAW295,"51.466736,-0.487518",0,6,191
1616330352,2021-03-21T12:39:12Z,BAW295,"51.466518,-0.487481",0,5,180
1616330362,2021-03-21T12:39:22Z,BAW295,"51.466316,-0.48748",0,4,180
1616330373,2021-03-21T12:39:33Z,BAW295,"51.466072,-0.487593",0,7,191
1616330388,2021-03-21T12:39:48Z,BAW295,"51.46566,-0.487834",0,6,196
