Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616310607,2021-03-21T07:10:07Z,ABD386,"41.995365,-87.889771",0,1,334
1616310646,2021-03-21T07:10:46Z,ABD386,"41.995136,-87.889603",0,1,272
1616310715,2021-03-21T07:11:55Z,ABD386,"41.995121,-87.890228",0,3,270
1616311132,2021-03-21T07:18:52Z,ABD386,"41.99511,-87.8909",0,4,270
1616311145,2021-03-21T07:19:05Z,ABD386,"41.995113,-87.891327",0,6,270
1616311152,2021-03-21T07:19:12Z,ABD386,"41.995113,-87.891594",0,6,270
1616311158,2021-03-21T07:19:18Z,ABD386,"41.995125,-87.891891",0,7,270
1616311164,2021-03-21T07:19:24Z,ABD386,"41.995121,-87.892159",0,8,270
1616311170,2021-03-21T07:19:30Z,ABD386,"41.995121,-87.89238",0,8,270
1616311177,2021-03-21T07:19:37Z,ABD386,"41.995113,-87.892792",0,9,270
1616311185,2021-03-21T07:19:45Z,ABD386,"41.995125,-87.89325",0,9,270
1616311200,2021-03-21T07:20:00Z,ABD386,"41.995113,-87.894249",0,11,270
1616311205,2021-03-21T07:20:05Z,ABD386,"41.995113,-87.894638",0,11,270
1616311213,2021-03-21T07:20:13Z,ABD386,"41.99511,-87.895142",0,12,270
1616311219,2021-03-21T07:20:19Z,ABD386,"41.995113,-87.895622",0,13,270
1616311226,2021-03-21T07:20:26Z,ABD386,"41.995121,-87.896278",0,14,270
1616311233,2021-03-21T07:20:33Z,ABD386,"41.995102,-87.896835",0,13,264
1616311238,2021-03-21T07:20:38Z,ABD386,"41.99501,-87.897179",0,11,247
1616311244,2021-03-21T07:20:44Z,ABD386,"41.994843,-87.897461",0,10,230
1616311249,2021-03-21T07:20:49Z,ABD386,"41.994656,-87.897667",0,10,222
1616311254,2021-03-21T07:20:54Z,ABD386,"41.994473,-87.897873",0,10,219
1616311261,2021-03-21T07:21:01Z,ABD386,"41.994244,-87.898132",0,11,219
