Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616319719,2021-03-21T09:41:59Z,CLX7787,"49.63765,6.226429",0,4,59
1616319727,2021-03-21T09:42:07Z,CLX7787,"49.637558,6.226213",0,4,59
1616319745,2021-03-21T09:42:25Z,CLX7787,"49.63744,6.225871",0,1,59
1616319797,2021-03-21T09:43:17Z,CLX7787,"49.636883,6.227021",0,8,151
1616319804,2021-03-21T09:43:24Z,CLX7787,"49.636665,6.227206",0,8,149
1616319812,2021-03-21T09:43:32Z,CLX7787,"49.636425,6.227423",0,7,151
1616319820,2021-03-21T09:43:40Z,CLX7787,"49.636219,6.227615",0,7,149
1616319829,2021-03-21T09:43:49Z,CLX7787,"49.63599,6.22782",0,6,151
1616319843,2021-03-21T09:44:03Z,CLX7787,"49.635784,6.228001",0,1,151
1616320122,2021-03-21T09:48:42Z,CLX7787,"49.635578,6.228172",0,5,151
1616320130,2021-03-21T09:48:50Z,CLX7787,"49.635357,6.228376",0,8,149
1616320137,2021-03-21T09:48:57Z,CLX7787,"49.635147,6.22858",0,6,143
1616320144,2021-03-21T09:49:04Z,CLX7787,"49.635052,6.228796",0,6,115
1616320149,2021-03-21T09:49:09Z,CLX7787,"49.63504,6.229031",0,6,87
1616320154,2021-03-21T09:49:14Z,CLX7787,"49.635075,6.229266",0,8,73
1616320160,2021-03-21T09:49:20Z,CLX7787,"49.635166,6.229609",0,9,64
1616320164,2021-03-21T09:49:24Z,CLX7787,"49.635258,6.22988",0,10,61
1616320168,2021-03-21T09:49:28Z,CLX7787,"49.635338,6.230134",0,11,61
1616320173,2021-03-21T09:49:33Z,CLX7787,"49.635487,6.230528",0,12,59
1616320180,2021-03-21T09:49:40Z,CLX7787,"49.635674,6.231048",0,13,59
1616320185,2021-03-21T09:49:45Z,CLX7787,"49.635857,6.231512",0,14,59
1616320192,2021-03-21T09:49:52Z,CLX7787,"49.636093,6.232139",0,14,59
1616320197,2021-03-21T09:49:57Z,CLX7787,"49.636253,6.232591",0,14,59
1616320204,2021-03-21T09:50:04Z,CLX7787,"49.636436,6.233097",0,13,59
1616320210,2021-03-21T09:50:10Z,CLX7787,"49.63662,6.233567",0,10,59
1616320215,2021-03-21T09:50:15Z,CLX7787,"49.6367,6.233801",0,7,64
1616320220,2021-03-21T09:50:20Z,CLX7787,"49.636734,6.234018",0,6,90
1616320226,2021-03-21T09:50:26Z,CLX7787,"49.636662,6.23424",0,7,129
1616320232,2021-03-21T09:50:32Z,CLX7787,"49.636482,6.234452",0,7,146
1616320240,2021-03-21T09:50:40Z,CLX7787,"49.636253,6.234667",0,8,149
1616320246,2021-03-21T09:50:46Z,CLX7787,"49.636036,6.234868",0,8,151
1616320254,2021-03-21T09:50:54Z,CLX7787,"49.635773,6.235085",0,9,151
1616320260,2021-03-21T09:51:00Z,CLX7787,"49.635567,6.235247",0,6,151
1616320272,2021-03-21T09:51:12Z,CLX7787,"49.635349,6.235265",0,4,202
1616320282,2021-03-21T09:51:22Z,CLX7787,"49.63522,6.235057",0,5,233
1616320290,2021-03-21T09:51:30Z,CLX7787,"49.635136,6.234853",0,4,239
1616320297,2021-03-21T09:51:37Z,CLX7787,"49.635067,6.234648",0,6,239
1616320303,2021-03-21T09:51:43Z,CLX7787,"49.634857,6.234127",0,23,239
1616320309,2021-03-21T09:51:49Z,CLX7787,"49.634411,6.232916",0,44,241
1616320315,2021-03-21T09:51:55Z,CLX7787,"49.63353,6.230528",0,68,239
1616320321,2021-03-21T09:52:01Z,CLX7787,"49.632385,6.227441",0,90,241
1616320337,2021-03-21T09:52:17Z,CLX7787,"49.627945,6.215515",1000,141,240
1616320344,2021-03-21T09:52:24Z,CLX7787,"49.625385,6.208611",1000,158,240
1616320354,2021-03-21T09:52:34Z,CLX7787,"49.621124,6.197084",975,184,240
1616320359,2021-03-21T09:52:39Z,CLX7787,"49.618866,6.19087",1175,184,240
1616320369,2021-03-21T09:52:49Z,CLX7787,"49.614807,6.179882",1425,185,240
1616320396,2021-03-21T09:53:16Z,CLX7787,"49.603271,6.149308",2200,186,239
1616320403,2021-03-21T09:53:23Z,CLX7787,"49.599884,6.140563",2375,188,239
1616320413,2021-03-21T09:53:33Z,CLX7787,"49.595451,6.128812",2600,192,240
1616320418,2021-03-21T09:53:38Z,CLX7787,"49.593201,6.12271",2725,193,240
1616320429,2021-03-21T09:53:49Z,CLX7787,"49.588303,6.109266",2850,202,241
1616320433,2021-03-21T09:53:53Z,CLX7787,"49.586514,6.104241",2875,206,241
1616320445,2021-03-21T09:54:05Z,CLX7787,"49.580647,6.087762",2925,221,241
1616320447,2021-03-21T09:54:07Z,CLX7787,"49.57967,6.08509",2950,224,241
1616320470,2021-03-21T09:54:30Z,CLX7787,"49.567707,6.051982",3275,242,241
1616320488,2021-03-21T09:54:48Z,CLX7787,"49.564445,6.021993",3575,243,271
1616320515,2021-03-21T09:55:15Z,CLX7787,"49.572826,5.977676",4100,254,289
1616320521,2021-03-21T09:55:21Z,CLX7787,"49.575989,5.96413",4325,261,289
1616320529,2021-03-21T09:55:29Z,CLX7787,"49.579056,5.951337",4475,265,290
1616320557,2021-03-21T09:55:57Z,CLX7787,"49.592148,5.897996",5375,285,290
1616320573,2021-03-21T09:56:13Z,CLX7787,"49.598289,5.867293",5775,299,284
1616320585,2021-03-21T09:56:25Z,CLX7787,"49.600204,5.841835",6100,313,273
1616320589,2021-03-21T09:56:29Z,CLX7787,"49.600342,5.830632",6325,315,271
1616320595,2021-03-21T09:56:35Z,CLX7787,"49.600113,5.819646",6575,316,267
1616320606,2021-03-21T09:56:46Z,CLX7787,"49.59938,5.795505",7075,317,267
1616320619,2021-03-21T09:56:59Z,CLX7787,"49.598877,5.763196",7625,322,268
1616320634,2021-03-21T09:57:14Z,CLX7787,"49.598511,5.728575",8175,328,268
1616320652,2021-03-21T09:57:32Z,CLX7787,"49.598053,5.687665",9000,329,269
1616320664,2021-03-21T09:57:44Z,CLX7787,"49.597824,5.658537",9525,331,269
1616320677,2021-03-21T09:57:57Z,CLX7787,"49.597458,5.628614",10000,335,268
1616320700,2021-03-21T09:58:20Z,CLX7787,"49.596954,5.572092",10800,346,269
1616320715,2021-03-21T09:58:35Z,CLX7787,"49.596569,5.533769",11050,361,268
1616320746,2021-03-21T09:59:06Z,CLX7787,"49.595352,5.453194",11750,384,268
1616320764,2021-03-21T09:59:24Z,CLX7787,"49.594658,5.402675",12075,400,268
1616320797,2021-03-21T09:59:57Z,CLX7787,"49.593262,5.305283",12600,426,268
1616320833,2021-03-21T10:00:33Z,CLX7787,"49.58707,5.194826",13975,440,260
1616320866,2021-03-21T10:01:06Z,CLX7787,"49.570358,5.093753",15100,449,254
1616320898,2021-03-21T10:01:38Z,CLX7787,"49.552414,4.994442",16050,458,254
1616320920,2021-03-21T10:02:00Z,CLX7787,"49.542614,4.923508",16900,451,265
1616320926,2021-03-21T10:02:06Z,CLX7787,"49.542435,4.904601",17075,450,268
1616320928,2021-03-21T10:02:08Z,CLX7787,"49.542706,4.896636",17125,449,272
1616320932,2021-03-21T10:02:12Z,CLX7787,"49.543591,4.884908",17200,447,276
1616320935,2021-03-21T10:02:15Z,CLX7787,"49.54454,4.876195",17275,447,279
1616320938,2021-03-21T10:02:18Z,CLX7787,"49.545826,4.866869",17350,446,282
1616320940,2021-03-21T10:02:20Z,CLX7787,"49.546524,4.862564",17375,447,279
1616320944,2021-03-21T10:02:24Z,CLX7787,"49.549026,4.849885",17500,444,285
1616320949,2021-03-21T10:02:29Z,CLX7787,"49.553135,4.833836",17650,441,291
1616320950,2021-03-21T10:02:30Z,CLX7787,"49.55402,4.831015",17675,440,293
1616320964,2021-03-21T10:02:44Z,CLX7787,"49.567612,4.794419",18175,434,301
1616320970,2021-03-21T10:02:50Z,CLX7787,"49.574341,4.777896",18350,436,301
1616320971,2021-03-21T10:02:51Z,CLX7787,"49.575394,4.775222",18375,437,301
1616320973,2021-03-21T10:02:53Z,CLX7787,"49.577957,4.768861",18425,437,301
1616320974,2021-03-21T10:02:54Z,CLX7787,"49.579102,4.765898",18450,439,301
1616320976,2021-03-21T10:02:56Z,CLX7787,"49.580692,4.761905",18475,439,301
1616320979,2021-03-21T10:02:59Z,CLX7787,"49.583908,4.7539",18550,439,301
1616321040,2021-03-21T10:04:00Z,CLX7787,"49.649311,4.587163",20425,448,300
1616321103,2021-03-21T10:05:03Z,CLX7787,"49.71579,4.413609",22050,456,300
1616321164,2021-03-21T10:06:04Z,CLX7787,"49.781193,4.241836",23500,465,300
1616321225,2021-03-21T10:07:05Z,CLX7787,"49.849209,4.061749",24700,476,300
1616321286,2021-03-21T10:08:06Z,CLX7787,"49.917732,3.879065",25900,485,300
1616321347,2021-03-21T10:09:07Z,CLX7787,"49.98542,3.697419",27125,489,300
1616321410,2021-03-21T10:10:10Z,CLX7787,"50.056831,3.504416",28625,487,299
1616321470,2021-03-21T10:11:10Z,CLX7787,"50.124344,3.32069",29900,485,299
1616321536,2021-03-21T10:12:16Z,CLX7787,"50.196396,3.123876",30000,483,299
1616321597,2021-03-21T10:13:17Z,CLX7787,"50.263428,2.938546",30000,480,299
1616321659,2021-03-21T10:14:19Z,CLX7787,"50.330372,2.751927",30000,479,299
1616321720,2021-03-21T10:15:20Z,CLX7787,"50.396103,2.56798",30000,478,299
1616321781,2021-03-21T10:16:21Z,CLX7787,"50.456062,2.374977",30000,484,295
1616321842,2021-03-21T10:17:22Z,CLX7787,"50.513763,2.185484",30000,483,295
