Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1613900874,2021-02-21T09:47:54Z,BCS966,"50.904648,4.463511",0,0,238
1613901046,2021-02-21T09:50:46Z,BCS966,"50.904396,4.463734",0,4,343
1613901058,2021-02-21T09:50:58Z,BCS966,"50.904175,4.463882",0,4,163
1613901090,2021-02-21T09:51:30Z,BCS966,"50.903606,4.463604",0,5,50
1613901104,2021-02-21T09:51:44Z,BCS966,"50.903435,4.463381",0,1,64
1613901307,2021-02-21T09:55:07Z,BCS966,"50.903503,4.463585",0,3,64
1613901320,2021-02-21T09:55:20Z,BCS966,"50.903595,4.463994",0,6,70
1613901327,2021-02-21T09:55:27Z,BCS966,"50.903641,4.464346",0,7,75
1613901334,2021-02-21T09:55:34Z,BCS966,"50.903648,4.464741",0,8,87
1613901338,2021-02-21T09:55:38Z,BCS966,"50.903618,4.465014",0,9,95
1613901342,2021-02-21T09:55:42Z,BCS966,"50.903557,4.465275",0,9,104
1613901345,2021-02-21T09:55:45Z,BCS966,"50.903492,4.465516",0,10,109
1613901349,2021-02-21T09:55:49Z,BCS966,"50.903412,4.465757",0,11,115
1613901353,2021-02-21T09:55:53Z,BCS966,"50.90332,4.466035",0,11,115
1613901361,2021-02-21T09:56:01Z,BCS966,"50.90308,4.466782",0,13,118
1613901364,2021-02-21T09:56:04Z,BCS966,"50.903011,4.46701",0,14,115
1613901367,2021-02-21T09:56:07Z,BCS966,"50.902943,4.46726",0,14,115
1613901370,2021-02-21T09:56:10Z,BCS966,"50.902828,4.467594",0,15,115
1613901373,2021-02-21T09:56:13Z,BCS966,"50.902756,4.467869",0,15,115
1613901374,2021-02-21T09:56:14Z,BCS966,"50.902695,4.468079",0,15,115
1613901381,2021-02-21T09:56:21Z,BCS966,"50.902473,4.468765",0,16,115
1613901387,2021-02-21T09:56:27Z,BCS966,"50.902256,4.469431",0,16,118
1613901393,2021-02-21T09:56:33Z,BCS966,"50.902081,4.470024",0,16,115
1613901400,2021-02-21T09:56:40Z,BCS966,"50.90181,4.47086",0,15,118
1613901406,2021-02-21T09:56:46Z,BCS966,"50.901695,4.471361",0,13,109
1613901409,2021-02-21T09:56:49Z,BCS966,"50.901707,4.47164",0,14,92
1613901412,2021-02-21T09:56:52Z,BCS966,"50.90181,4.471955",0,13,73
1613901415,2021-02-21T09:56:55Z,BCS966,"50.901905,4.472218",0,14,67
1613901419,2021-02-21T09:56:59Z,BCS966,"50.902008,4.472599",0,14,64
1613901421,2021-02-21T09:57:01Z,BCS966,"50.902073,4.472809",0,15,64
1613901424,2021-02-21T09:57:04Z,BCS966,"50.902126,4.473019",0,15,64
1613901429,2021-02-21T09:57:09Z,BCS966,"50.902325,4.473686",0,16,64
1613901436,2021-02-21T09:57:16Z,BCS966,"50.902531,4.474405",0,17,64
1613901438,2021-02-21T09:57:18Z,BCS966,"50.902626,4.474716",0,18,64
1613901441,2021-02-21T09:57:21Z,BCS966,"50.902706,4.475002",0,18,64
1613901442,2021-02-21T09:57:22Z,BCS966,"50.902771,4.475221",0,18,64
1613901452,2021-02-21T09:57:32Z,BCS966,"50.903149,4.476539",0,20,64
1613901481,2021-02-21T09:58:01Z,BCS966,"50.904385,4.480807",0,24,64
1613901498,2021-02-21T09:58:18Z,BCS966,"50.905277,4.483888",0,26,64
1613901527,2021-02-21T09:58:47Z,BCS966,"50.906235,4.487209",0,16,64
1613901536,2021-02-21T09:58:56Z,BCS966,"50.906548,4.488316",0,17,64
1613901545,2021-02-21T09:59:05Z,BCS966,"50.906837,4.489288",0,19,64
1613901588,2021-02-21T09:59:48Z,BCS966,"50.908813,4.496136",0,26,64
1613901612,2021-02-21T10:00:12Z,BCS966,"50.909645,4.498386",0,12,59
1613901625,2021-02-21T10:00:25Z,BCS966,"50.9104,4.49913",0,16,25
1613901635,2021-02-21T10:00:35Z,BCS966,"50.911022,4.499495",0,10,16
1613901645,2021-02-21T10:00:45Z,BCS966,"50.911388,4.499272",0,10,340
1613901649,2021-02-21T10:00:49Z,BCS966,"50.911484,4.499054",0,7,317
1613901656,2021-02-21T10:00:56Z,BCS966,"50.911434,4.498753",0,7,281
1613901663,2021-02-21T10:01:03Z,BCS966,"50.911308,4.49852",0,5,247
1613901674,2021-02-21T10:01:14Z,BCS966,"50.911228,4.498215",0,8,247
1613901678,2021-02-21T10:01:18Z,BCS966,"50.911114,4.497807",0,17,247
1613901680,2021-02-21T10:01:20Z,BCS966,"50.911022,4.497491",0,23,244
1613901681,2021-02-21T10:01:21Z,BCS966,"50.910957,4.49728",0,26,244
1613901683,2021-02-21T10:01:23Z,BCS966,"50.910797,4.496727",0,35,244
1613901686,2021-02-21T10:01:26Z,BCS966,"50.910553,4.495926",0,48,244
1613901687,2021-02-21T10:01:27Z,BCS966,"50.910427,4.495487",0,52,244
1613901688,2021-02-21T10:01:28Z,BCS966,"50.910332,4.495125",0,56,244
1613901689,2021-02-21T10:01:29Z,BCS966,"50.910198,4.494652",0,61,244
1613901690,2021-02-21T10:01:30Z,BCS966,"50.910038,4.494114",0,65,244
1613901695,2021-02-21T10:01:35Z,BCS966,"50.90926,4.491386",0,84,244
1613901703,2021-02-21T10:01:43Z,BCS966,"50.907619,4.485779",100,116,245
1613901708,2021-02-21T10:01:48Z,BCS966,"50.906269,4.481125",75,130,245
1613901720,2021-02-21T10:02:00Z,BCS966,"50.902962,4.469376",225,159,246
1613901731,2021-02-21T10:02:11Z,BCS966,"50.899937,4.458008",700,152,247
1613901736,2021-02-21T10:02:16Z,BCS966,"50.898449,4.452591",975,150,246
1613901748,2021-02-21T10:02:28Z,BCS966,"50.896633,4.44046",1550,145,263
1613901749,2021-02-21T10:02:29Z,BCS966,"50.896679,4.438782",1625,146,270
1613901751,2021-02-21T10:02:31Z,BCS966,"50.896866,4.437289",1700,145,273
1613901754,2021-02-21T10:02:34Z,BCS966,"50.897377,4.433975",1825,145,281
1613901755,2021-02-21T10:02:35Z,BCS966,"50.897644,4.432612",1875,147,285
1613901763,2021-02-21T10:02:43Z,BCS966,"50.899429,4.425634",2100,151,293
