Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616320882,2021-03-21T10:01:22Z,DAL161,"52.310017,4.771194",0,0,182
1616320990,2021-03-21T10:03:10Z,DAL161,"52.310726,4.771362",0,3,250
1616321002,2021-03-21T10:03:22Z,DAL161,"52.310783,4.771578",0,2,264
1616321244,2021-03-21T10:07:24Z,DAL161,"52.310806,4.771323",0,3,272
1616321252,2021-03-21T10:07:32Z,DAL161,"52.310818,4.770985",0,6,272
1616321259,2021-03-21T10:07:39Z,DAL161,"52.310829,4.77066",0,7,272
1616321279,2021-03-21T10:07:59Z,DAL161,"52.311127,4.769382",0,11,317
1616321287,2021-03-21T10:08:07Z,DAL161,"52.31155,4.769421",0,11,14
1616321292,2021-03-21T10:08:12Z,DAL161,"52.311756,4.76965",0,11,30
1616321309,2021-03-21T10:08:29Z,DAL161,"52.312546,4.770508",0,13,33
1616321315,2021-03-21T10:08:35Z,DAL161,"52.312916,4.770931",0,14,36
1616321322,2021-03-21T10:08:42Z,DAL161,"52.313229,4.771284",0,14,33
1616321328,2021-03-21T10:08:48Z,DAL161,"52.313553,4.771637",0,14,33
1616321332,2021-03-21T10:08:52Z,DAL161,"52.313812,4.771853",0,14,25
1616321336,2021-03-21T10:08:56Z,DAL161,"52.314045,4.771912",0,14,8
1616321339,2021-03-21T10:08:59Z,DAL161,"52.314274,4.771919",0,14,2
1616321344,2021-03-21T10:09:04Z,DAL161,"52.31456,4.771957",0,14,2
1616321347,2021-03-21T10:09:07Z,DAL161,"52.314766,4.77197",0,14,2
1616321350,2021-03-21T10:09:10Z,DAL161,"52.314987,4.77201",0,14,2
1616321353,2021-03-21T10:09:13Z,DAL161,"52.315201,4.772034",0,15,2
1616321357,2021-03-21T10:09:17Z,DAL161,"52.315487,4.771976",0,15,348
1616321360,2021-03-21T10:09:20Z,DAL161,"52.315647,4.771767",0,14,320
1616321364,2021-03-21T10:09:24Z,DAL161,"52.315716,4.771404",0,14,289
1616321366,2021-03-21T10:09:26Z,DAL161,"52.315716,4.771156",0,14,275
1616321368,2021-03-21T10:09:28Z,DAL161,"52.315704,4.770927",0,14,270
1616321371,2021-03-21T10:09:31Z,DAL161,"52.315693,4.770603",0,15,267
1616321374,2021-03-21T10:09:34Z,DAL161,"52.315685,4.770225",0,16,267
1616321381,2021-03-21T10:09:41Z,DAL161,"52.315659,4.769325",0,19,267
1616321386,2021-03-21T10:09:46Z,DAL161,"52.315624,4.768517",0,21,267
1616321397,2021-03-21T10:09:57Z,DAL161,"52.315544,4.766235",0,26,267
1616321404,2021-03-21T10:10:04Z,DAL161,"52.315487,4.764748",0,29,267
1616321411,2021-03-21T10:10:11Z,DAL161,"52.315453,4.763374",0,31,267
1616321420,2021-03-21T10:10:20Z,DAL161,"52.315361,4.760685",0,35,267
1616321428,2021-03-21T10:10:28Z,DAL161,"52.3153,4.758904",0,35,267
1616321433,2021-03-21T10:10:33Z,DAL161,"52.315231,4.757198",0,35,267
1616321449,2021-03-21T10:10:49Z,DAL161,"52.315102,4.75349",0,25,267
1616321455,2021-03-21T10:10:55Z,DAL161,"52.315075,4.752426",0,22,267
1616321489,2021-03-21T10:11:29Z,DAL161,"52.314857,4.746329",0,27,267
1616321495,2021-03-21T10:11:35Z,DAL161,"52.314823,4.745054",0,24,267
1616321500,2021-03-21T10:11:40Z,DAL161,"52.314777,4.744244",0,19,264
1616321508,2021-03-21T10:11:48Z,DAL161,"52.314823,4.743328",0,15,286
1616321510,2021-03-21T10:11:50Z,DAL161,"52.314926,4.743118",0,15,306
1616321514,2021-03-21T10:11:54Z,DAL161,"52.315189,4.742985",0,15,343
1616321517,2021-03-21T10:11:57Z,DAL161,"52.315441,4.742966",0,15,357
1616321523,2021-03-21T10:12:03Z,DAL161,"52.31583,4.742985",0,16,2
1616321525,2021-03-21T10:12:05Z,DAL161,"52.316048,4.743004",0,17,2
1616321529,2021-03-21T10:12:09Z,DAL161,"52.316372,4.743033",0,20,2
1616321532,2021-03-21T10:12:12Z,DAL161,"52.316639,4.743053",0,21,2
1616321535,2021-03-21T10:12:15Z,DAL161,"52.317055,4.743099",0,24,2
1616321537,2021-03-21T10:12:17Z,DAL161,"52.317318,4.743137",0,26,2
1616321539,2021-03-21T10:12:19Z,DAL161,"52.31765,4.743156",0,27,2
1616321545,2021-03-21T10:12:25Z,DAL161,"52.318466,4.743229",0,31,2
1616321548,2021-03-21T10:12:28Z,DAL161,"52.318874,4.743271",0,32,2
1616321554,2021-03-21T10:12:34Z,DAL161,"52.319881,4.743366",0,35,2
1616321560,2021-03-21T10:12:40Z,DAL161,"52.320877,4.743462",0,36,2
1616321566,2021-03-21T10:12:46Z,DAL161,"52.321934,4.743543",0,36,2
1616321572,2021-03-21T10:12:52Z,DAL161,"52.322945,4.743641",0,35,2
1616321578,2021-03-21T10:12:58Z,DAL161,"52.323818,4.743729",0,35,2
1616321586,2021-03-21T10:13:06Z,DAL161,"52.325203,4.743862",0,35,2
1616321593,2021-03-21T10:13:13Z,DAL161,"52.326302,4.743958",0,34,2
1616321600,2021-03-21T10:13:20Z,DAL161,"52.327492,4.744072",0,34,2
1616321605,2021-03-21T10:13:25Z,DAL161,"52.328281,4.744129",0,34,2
1616321611,2021-03-21T10:13:31Z,DAL161,"52.329128,4.744225",0,33,2
1616321618,2021-03-21T10:13:38Z,DAL161,"52.330219,4.744308",0,33,2
1616321623,2021-03-21T10:13:43Z,DAL161,"52.331097,4.744396",0,33,2
1616321630,2021-03-21T10:13:50Z,DAL161,"52.332035,4.744485",0,33,2
1616321636,2021-03-21T10:13:56Z,DAL161,"52.332996,4.744587",0,32,2
1616321642,2021-03-21T10:14:02Z,DAL161,"52.333828,4.744622",0,28,357
1616321644,2021-03-21T10:14:04Z,DAL161,"52.334049,4.744568",0,25,348
1616321649,2021-03-21T10:14:09Z,DAL161,"52.33445,4.744186",0,19,323
1616321651,2021-03-21T10:14:11Z,DAL161,"52.334549,4.743975",0,19,309
1616321653,2021-03-21T10:14:13Z,DAL161,"52.334599,4.743767",0,19,298
1616321654,2021-03-21T10:14:14Z,DAL161,"52.334656,4.743557",0,19,289
1616321659,2021-03-21T10:14:19Z,DAL161,"52.334713,4.742928",0,19,275
1616321660,2021-03-21T10:14:20Z,DAL161,"52.334713,4.742718",0,19,272
1616321665,2021-03-21T10:14:25Z,DAL161,"52.334724,4.741935",0,19,272
1616321667,2021-03-21T10:14:27Z,DAL161,"52.334736,4.741601",0,19,272
1616321676,2021-03-21T10:14:36Z,DAL161,"52.334805,4.740326",0,20,275
1616321678,2021-03-21T10:14:38Z,DAL161,"52.334816,4.740067",0,21,272
1616321679,2021-03-21T10:14:39Z,DAL161,"52.334827,4.739723",0,21,272
1616321681,2021-03-21T10:14:41Z,DAL161,"52.334839,4.73938",0,21,272
1616321684,2021-03-21T10:14:44Z,DAL161,"52.33485,4.739051",0,22,272
