Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616318609,2021-03-21T09:23:29Z,DAL259,"52.309055,4.766273",0,0,27
1616318872,2021-03-21T09:27:52Z,DAL259,"52.310913,4.769067",0,5,275
1616318895,2021-03-21T09:28:15Z,DAL259,"52.310879,4.769989",0,5,272
1616318901,2021-03-21T09:28:21Z,DAL259,"52.310863,4.770203",0,4,272
1616319207,2021-03-21T09:33:27Z,DAL259,"52.310852,4.769974",0,5,275
1616319215,2021-03-21T09:33:35Z,DAL259,"52.310925,4.769675",0,4,284
1616319266,2021-03-21T09:34:26Z,DAL259,"52.312706,4.770695",0,10,33
1616319271,2021-03-21T09:34:31Z,DAL259,"52.31295,4.77095",0,11,33
1616319280,2021-03-21T09:34:40Z,DAL259,"52.313324,4.771366",0,11,33
1616319286,2021-03-21T09:34:46Z,DAL259,"52.31361,4.771671",0,12,33
1616319294,2021-03-21T09:34:54Z,DAL259,"52.313999,4.771957",0,12,22
1616319314,2021-03-21T09:35:14Z,DAL259,"52.315132,4.772015",0,14,2
1616319330,2021-03-21T09:35:30Z,DAL259,"52.31575,4.771214",0,13,289
1616319335,2021-03-21T09:35:35Z,DAL259,"52.315708,4.770637",0,13,270
1616319339,2021-03-21T09:35:39Z,DAL259,"52.315697,4.770381",0,13,267
1616319343,2021-03-21T09:35:43Z,DAL259,"52.315674,4.769773",0,16,267
1616319353,2021-03-21T09:35:53Z,DAL259,"52.315639,4.768537",0,20,267
1616319381,2021-03-21T09:36:21Z,DAL259,"52.315464,4.763711",0,23,267
1616319406,2021-03-21T09:36:46Z,DAL259,"52.315315,4.75914",0,25,267
1616319412,2021-03-21T09:36:52Z,DAL259,"52.315266,4.757943",0,25,267
1616319436,2021-03-21T09:37:16Z,DAL259,"52.315121,4.75338",0,24,267
1616319477,2021-03-21T09:37:57Z,DAL259,"52.314869,4.746094",0,21,267
1616319483,2021-03-21T09:38:03Z,DAL259,"52.314835,4.745045",0,21,267
1616319490,2021-03-21T09:38:10Z,DAL259,"52.314789,4.7439",0,21,267
1616319496,2021-03-21T09:38:16Z,DAL259,"52.314766,4.742947",0,19,267
1616319500,2021-03-21T09:38:20Z,DAL259,"52.31472,4.742432",0,15,261
1616319506,2021-03-21T09:38:26Z,DAL259,"52.314548,4.741859",0,13,244
1616319509,2021-03-21T09:38:29Z,DAL259,"52.314388,4.741631",0,14,230
1616319513,2021-03-21T09:38:33Z,DAL259,"52.314171,4.741459",0,14,213
1616319518,2021-03-21T09:38:38Z,DAL259,"52.31385,4.741344",0,14,194
1616319521,2021-03-21T09:38:41Z,DAL259,"52.313637,4.741346",0,15,185
1616319525,2021-03-21T09:38:45Z,DAL259,"52.313427,4.741306",0,15,185
1616319527,2021-03-21T09:38:47Z,DAL259,"52.313221,4.741287",0,15,182
1616319531,2021-03-21T09:38:51Z,DAL259,"52.312969,4.741268",0,15,182
1616319534,2021-03-21T09:38:54Z,DAL259,"52.312752,4.741249",0,16,182
1616319537,2021-03-21T09:38:57Z,DAL259,"52.312477,4.74123",0,16,182
1616319545,2021-03-21T09:39:05Z,DAL259,"52.311848,4.741173",0,18,182
1616319551,2021-03-21T09:39:11Z,DAL259,"52.311321,4.741116",0,20,182
1616319557,2021-03-21T09:39:17Z,DAL259,"52.310715,4.741071",0,21,182
1616319564,2021-03-21T09:39:24Z,DAL259,"52.310005,4.741013",0,22,182
1616319570,2021-03-21T09:39:30Z,DAL259,"52.309376,4.740954",0,22,182
1616319576,2021-03-21T09:39:36Z,DAL259,"52.308723,4.740895",0,23,182
1616319582,2021-03-21T09:39:42Z,DAL259,"52.308083,4.740829",0,23,182
1616319588,2021-03-21T09:39:48Z,DAL259,"52.307419,4.740753",0,21,182
1616319594,2021-03-21T09:39:54Z,DAL259,"52.30687,4.740715",0,17,182
1616319600,2021-03-21T09:40:00Z,DAL259,"52.306492,4.740677",0,14,182
1616319605,2021-03-21T09:40:05Z,DAL259,"52.306252,4.74062",0,11,188
1616319611,2021-03-21T09:40:11Z,DAL259,"52.306046,4.740429",0,8,205
1616319613,2021-03-21T09:40:13Z,DAL259,"52.305988,4.740228",0,9,222
1616319618,2021-03-21T09:40:18Z,DAL259,"52.305965,4.739914",0,9,247
1616319625,2021-03-21T09:40:25Z,DAL259,"52.306049,4.739482",0,9,275
1616319629,2021-03-21T09:40:29Z,DAL259,"52.306152,4.739266",0,10,292
1616319633,2021-03-21T09:40:33Z,DAL259,"52.306343,4.739056",0,10,317
1616319639,2021-03-21T09:40:39Z,DAL259,"52.306572,4.738874",0,10,329
1616319644,2021-03-21T09:40:44Z,DAL259,"52.306793,4.738698",0,12,331
1616319649,2021-03-21T09:40:49Z,DAL259,"52.307018,4.738522",0,13,334
1616319652,2021-03-21T09:40:52Z,DAL259,"52.307224,4.73835",0,14,334
1616319656,2021-03-21T09:40:56Z,DAL259,"52.307446,4.738187",0,14,334
1616319660,2021-03-21T09:41:00Z,DAL259,"52.307701,4.738011",0,15,337
1616319663,2021-03-21T09:41:03Z,DAL259,"52.307934,4.737911",0,15,343
1616319667,2021-03-21T09:41:07Z,DAL259,"52.308231,4.737892",0,15,354
1616319673,2021-03-21T09:41:13Z,DAL259,"52.308632,4.737952",0,17,2
1616319676,2021-03-21T09:41:16Z,DAL259,"52.308865,4.737972",0,19,2
1616319677,2021-03-21T09:41:17Z,DAL259,"52.30909,4.738007",0,23,2
1616319679,2021-03-21T09:41:19Z,DAL259,"52.309376,4.738026",0,31,2
1616319683,2021-03-21T09:41:23Z,DAL259,"52.309864,4.73807",0,40,2
1616319684,2021-03-21T09:41:24Z,DAL259,"52.310204,4.738109",0,48,2
1616319685,2021-03-21T09:41:25Z,DAL259,"52.310448,4.738129",0,53,2
1616319686,2021-03-21T09:41:26Z,DAL259,"52.310692,4.738148",0,57,2
1616319687,2021-03-21T09:41:27Z,DAL259,"52.31097,4.738168",0,61,2
1616319688,2021-03-21T09:41:28Z,DAL259,"52.311459,4.738207",0,66,2
1616319690,2021-03-21T09:41:30Z,DAL259,"52.311962,4.738255",0,74,2
1616319721,2021-03-21T09:42:01Z,DAL259,"52.330078,4.739914",50,147,2
1616319730,2021-03-21T09:42:10Z,DAL259,"52.335938,4.738922",500,140,347
1616319736,2021-03-21T09:42:16Z,DAL259,"52.3396,4.736633",775,139,336
1616319742,2021-03-21T09:42:22Z,DAL259,"52.343056,4.733616",1050,139,330
1616319746,2021-03-21T09:42:26Z,DAL259,"52.345291,4.731419",1150,142,328
1616319748,2021-03-21T09:42:28Z,DAL259,"52.346375,4.730301",1175,142,327
1616319752,2021-03-21T09:42:32Z,DAL259,"52.348572,4.727936",1225,147,327
1616319758,2021-03-21T09:42:38Z,DAL259,"52.35218,4.724121",1275,156,327
1616319760,2021-03-21T09:42:40Z,DAL259,"52.35347,4.722824",1300,160,327
1616319766,2021-03-21T09:42:46Z,DAL259,"52.357674,4.718628",1400,167,329
1616319772,2021-03-21T09:42:52Z,DAL259,"52.361847,4.71489",1475,176,332
1616319775,2021-03-21T09:42:55Z,DAL259,"52.36409,4.713211",1500,180,334
1616319779,2021-03-21T09:42:59Z,DAL259,"52.36694,4.711173",1525,186,336
1616319781,2021-03-21T09:43:01Z,DAL259,"52.368668,4.70993",1550,189,337
1616319784,2021-03-21T09:43:04Z,DAL259,"52.370804,4.708583",1575,192,338
1616319787,2021-03-21T09:43:07Z,DAL259,"52.373886,4.706573",1625,198,339
1616319788,2021-03-21T09:43:08Z,DAL259,"52.37439,4.706268",1650,199,339
1616319790,2021-03-21T09:43:10Z,DAL259,"52.376297,4.705209",1675,201,340
1616319791,2021-03-21T09:43:11Z,DAL259,"52.376713,4.704895",1700,201,340
1616319794,2021-03-21T09:43:14Z,DAL259,"52.379974,4.70309",1775,206,341
1616319796,2021-03-21T09:43:16Z,DAL259,"52.381416,4.702305",1800,208,341
1616319800,2021-03-21T09:43:20Z,DAL259,"52.385239,4.700317",1850,215,342
1616319802,2021-03-21T09:43:22Z,DAL259,"52.387653,4.699088",1925,217,342
1616319806,2021-03-21T09:43:26Z,DAL259,"52.39119,4.697266",2000,220,342
1616319808,2021-03-21T09:43:28Z,DAL259,"52.393112,4.696274",2075,220,342
1616319811,2021-03-21T09:43:31Z,DAL259,"52.396126,4.694772",2200,221,343
1616319814,2021-03-21T09:43:34Z,DAL259,"52.399109,4.693298",2350,221,343
1616319823,2021-03-21T09:43:43Z,DAL259,"52.407906,4.689044",2725,222,343
1616319836,2021-03-21T09:43:56Z,DAL259,"52.420898,4.682846",3200,227,343
1616319842,2021-03-21T09:44:02Z,DAL259,"52.427032,4.679871",3400,231,342
1616319848,2021-03-21T09:44:08Z,DAL259,"52.433167,4.676514",3600,234,340
1616319850,2021-03-21T09:44:10Z,DAL259,"52.435139,4.675232",3675,235,338
1616319854,2021-03-21T09:44:14Z,DAL259,"52.439186,4.672093",3825,237,332
1616319859,2021-03-21T09:44:19Z,DAL259,"52.443787,4.667206",4000,241,324
1616319862,2021-03-21T09:44:22Z,DAL259,"52.446404,4.663853",4100,244,319
1616319873,2021-03-21T09:44:33Z,DAL259,"52.454548,4.648315",4550,250,304
1616319892,2021-03-21T09:44:52Z,DAL259,"52.462097,4.614182",5375,263,276
1616319902,2021-03-21T09:45:02Z,DAL259,"52.460861,4.593201",5875,273,256
1616319911,2021-03-21T09:45:11Z,DAL259,"52.45665,4.575882",6300,280,243
1616319933,2021-03-21T09:45:33Z,DAL259,"52.439117,4.536972",7175,291,231
1616319935,2021-03-21T09:45:35Z,DAL259,"52.438301,4.535313",7225,291,231
1616319940,2021-03-21T09:45:40Z,DAL259,"52.434128,4.526443",7375,294,232
