Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616906151,2021-03-28T04:35:51Z,UAE201,"25.248344,55.360271",0,0,214
1616906221,2021-03-28T04:37:01Z,UAE201,"25.248131,55.360119",0,9,28
1616906245,2021-03-28T04:37:25Z,UAE201,"25.247898,55.359943",0,9,8
1616906266,2021-03-28T04:37:46Z,UAE201,"25.247681,55.359867",0,9,343
1616906286,2021-03-28T04:38:06Z,UAE201,"25.247463,55.359879",0,9,323
1616906522,2021-03-28T04:42:02Z,UAE201,"25.248095,55.360081",0,3,300
1616906561,2021-03-28T04:42:41Z,UAE201,"25.24799,55.358734",0,9,300
1616906570,2021-03-28T04:42:50Z,UAE201,"25.248184,55.358364",0,10,298
1616906580,2021-03-28T04:43:00Z,UAE201,"25.248327,55.357864",0,12,286
1616906584,2021-03-28T04:43:04Z,UAE201,"25.248356,55.35759",0,13,278
1616906607,2021-03-28T04:43:27Z,UAE201,"25.248631,55.356228",0,9,295
1616906793,2021-03-28T04:46:33Z,UAE201,"25.255692,55.348804",0,31,30
1616906816,2021-03-28T04:46:56Z,UAE201,"25.257053,55.349705",0,15,30
1616906823,2021-03-28T04:47:03Z,UAE201,"25.257511,55.350025",0,16,30
1616906829,2021-03-28T04:47:09Z,UAE201,"25.2579,55.350277",0,16,30
1616906865,2021-03-28T04:47:45Z,UAE201,"25.260269,55.351868",0,15,30
1616906870,2021-03-28T04:47:50Z,UAE201,"25.260532,55.352047",0,15,30
1616906942,2021-03-28T04:49:02Z,UAE201,"25.259594,55.355869",0,15,120
1616906963,2021-03-28T04:49:23Z,UAE201,"25.258759,55.357372",0,17,120
1616906968,2021-03-28T04:49:28Z,UAE201,"25.25853,55.357792",0,17,120
1616906976,2021-03-28T04:49:36Z,UAE201,"25.258221,55.358341",0,18,120
1616906992,2021-03-28T04:49:52Z,UAE201,"25.257477,55.359699",0,19,120
1616907003,2021-03-28T04:50:03Z,UAE201,"25.256975,55.3606",0,20,120
1616907016,2021-03-28T04:50:16Z,UAE201,"25.256311,55.361794",0,21,120
1616907027,2021-03-28T04:50:27Z,UAE201,"25.25573,55.362843",0,22,120
1616907037,2021-03-28T04:50:37Z,UAE201,"25.255177,55.363846",0,22,120
1616907047,2021-03-28T04:50:47Z,UAE201,"25.254578,55.364914",0,23,120
1616907052,2021-03-28T04:50:52Z,UAE201,"25.254322,55.365395",0,23,120
1616907062,2021-03-28T04:51:02Z,UAE201,"25.253689,55.366516",0,24,120
1616907072,2021-03-28T04:51:12Z,UAE201,"25.253105,55.367573",0,25,120
1616907082,2021-03-28T04:51:22Z,UAE201,"25.252575,55.368542",0,21,120
1616907093,2021-03-28T04:51:33Z,UAE201,"25.251993,55.369564",0,21,120
1616907099,2021-03-28T04:51:39Z,UAE201,"25.251675,55.370152",0,21,120
1616907104,2021-03-28T04:51:44Z,UAE201,"25.2514,55.37064",0,21,120
1616907122,2021-03-28T04:52:02Z,UAE201,"25.25045,55.372353",0,21,120
1616907131,2021-03-28T04:52:11Z,UAE201,"25.249969,55.37323",0,22,120
1616907149,2021-03-28T04:52:29Z,UAE201,"25.24905,55.374889",0,21,120
1616907164,2021-03-28T04:52:44Z,UAE201,"25.24827,55.376289",0,21,120
1616907174,2021-03-28T04:52:54Z,UAE201,"25.247749,55.377235",0,19,120
1616907184,2021-03-28T04:53:04Z,UAE201,"25.247314,55.377998",0,17,120
1616907189,2021-03-28T04:53:09Z,UAE201,"25.247166,55.378292",0,16,120
1616907202,2021-03-28T04:53:22Z,UAE201,"25.246754,55.379028",0,25,120
1616907216,2021-03-28T04:53:36Z,UAE201,"25.246616,55.379498",0,17,95
1616907225,2021-03-28T04:53:45Z,UAE201,"25.246822,55.379639",0,14,50
1616907296,2021-03-28T04:54:56Z,UAE201,"25.247036,55.379761",0,0,42
1616907318,2021-03-28T04:55:18Z,UAE201,"25.247337,55.379971",0,16,30
1616907328,2021-03-28T04:55:28Z,UAE201,"25.247629,55.380161",0,20,30
