Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616304708,2021-03-21T05:31:48Z,UAE211,"25.249805,55.362698",0,10,261
1616304742,2021-03-21T05:32:22Z,UAE211,"25.249821,55.363159",0,9,300
1616304762,2021-03-21T05:32:42Z,UAE211,"25.249683,55.363426",0,10,300
1616304947,2021-03-21T05:35:47Z,UAE211,"25.249899,55.363022",0,19,300
1616305002,2021-03-21T05:36:42Z,UAE211,"25.251284,55.360523",0,30,300
1616305009,2021-03-21T05:36:49Z,UAE211,"25.251505,55.360134",0,33,300
1616305031,2021-03-21T05:37:11Z,UAE211,"25.252134,55.358994",0,27,300
1616305038,2021-03-21T05:37:18Z,UAE211,"25.252384,55.358543",0,28,300
1616305043,2021-03-21T05:37:23Z,UAE211,"25.25251,55.358315",0,29,300
1616305088,2021-03-21T05:38:08Z,UAE211,"25.254089,55.355484",0,15,300
1616305276,2021-03-21T05:41:16Z,UAE211,"25.259388,55.356266",0,14,120
1616305285,2021-03-21T05:41:25Z,UAE211,"25.259058,55.356869",0,15,120
1616305293,2021-03-21T05:41:33Z,UAE211,"25.25878,55.357361",0,15,120
1616305299,2021-03-21T05:41:39Z,UAE211,"25.258598,55.357693",0,15,120
1616305306,2021-03-21T05:41:46Z,UAE211,"25.258289,55.358242",0,16,120
1616305314,2021-03-21T05:41:54Z,UAE211,"25.258015,55.358734",0,16,120
1616305327,2021-03-21T05:42:07Z,UAE211,"25.257452,55.359756",0,17,120
1616305333,2021-03-21T05:42:13Z,UAE211,"25.257168,55.360271",0,18,120
1616305349,2021-03-21T05:42:29Z,UAE211,"25.256378,55.361683",0,19,120
1616305389,2021-03-21T05:43:09Z,UAE211,"25.254356,55.365341",0,22,120
1616305398,2021-03-21T05:43:18Z,UAE211,"25.253826,55.366287",0,23,120
1616305421,2021-03-21T05:43:41Z,UAE211,"25.252483,55.368721",0,25,120
1616305437,2021-03-21T05:43:57Z,UAE211,"25.251493,55.37051",0,26,120
1616305441,2021-03-21T05:44:01Z,UAE211,"25.251171,55.371082",0,25,120
1616305471,2021-03-21T05:44:31Z,UAE211,"25.249329,55.374401",0,26,120
1616305501,2021-03-21T05:45:01Z,UAE211,"25.247524,55.377674",0,21,120
1616305553,2021-03-21T05:45:53Z,UAE211,"25.247746,55.380241",0,13,30
1616305601,2021-03-21T05:46:41Z,UAE211,"25.248653,55.379295",0,23,300
1616305625,2021-03-21T05:47:05Z,UAE211,"25.253984,55.369694",100,125,301
1616305707,2021-03-21T05:48:27Z,UAE211,"25.289703,55.305279",3025,170,301
1616305713,2021-03-21T05:48:33Z,UAE211,"25.292542,55.300854",3175,171,302
1616305722,2021-03-21T05:48:42Z,UAE211,"25.298355,55.295918",3350,183,329
1616305738,2021-03-21T05:48:58Z,UAE211,"25.3125,55.294243",3550,209,2
1616305753,2021-03-21T05:49:13Z,UAE211,"25.327698,55.299072",3750,235,24
1616305764,2021-03-21T05:49:24Z,UAE211,"25.337872,55.305641",3925,248,31
1616305789,2021-03-21T05:49:49Z,UAE211,"25.364265,55.323055",4475,267,31
1616305821,2021-03-21T05:50:21Z,UAE211,"25.399506,55.347359",5175,294,31
1616305836,2021-03-21T05:50:36Z,UAE211,"25.417831,55.359699",5550,305,31
1616305851,2021-03-21T05:50:51Z,UAE211,"25.435638,55.371601",6125,308,31
1616305871,2021-03-21T05:51:11Z,UAE211,"25.460955,55.388248",6900,312,30
1616305886,2021-03-21T05:51:26Z,UAE211,"25.480087,55.400799",7325,321,30
1616305897,2021-03-21T05:51:37Z,UAE211,"25.49382,55.409748",7500,332,30
1616305938,2021-03-21T05:52:18Z,UAE211,"25.550009,55.446548",8700,352,30
1616305958,2021-03-21T05:52:38Z,UAE211,"25.578552,55.46529",9325,361,30
1616305983,2021-03-21T05:53:03Z,UAE211,"25.615952,55.48996",10250,369,30
1616306015,2021-03-21T05:53:35Z,UAE211,"25.664017,55.521851",11475,375,30
1616306028,2021-03-21T05:53:48Z,UAE211,"25.682419,55.534008",11925,377,30
1616306050,2021-03-21T05:54:10Z,UAE211,"25.715828,55.556049",12550,388,30
1616306082,2021-03-21T05:54:42Z,UAE211,"25.766106,55.589317",13425,402,31
1616306127,2021-03-21T05:55:27Z,UAE211,"25.842171,55.639835",14675,422,31
1616306160,2021-03-21T05:56:00Z,UAE211,"25.897102,55.677284",15925,424,32
1616306183,2021-03-21T05:56:23Z,UAE211,"25.934763,55.70438",16725,423,32
1616306248,2021-03-21T05:57:28Z,UAE211,"26.04351,55.780071",17000,421,27
1616306257,2021-03-21T05:57:37Z,UAE211,"26.058884,55.786812",17000,415,20
1616306258,2021-03-21T05:57:38Z,UAE211,"26.060873,55.787518",17000,414,19
1616306261,2021-03-21T05:57:41Z,UAE211,"26.066275,55.789314",17000,415,20
1616306263,2021-03-21T05:57:43Z,UAE211,"26.069687,55.790283",17000,414,19
1616306265,2021-03-21T05:57:45Z,UAE211,"26.073303,55.791267",17000,409,14
1616306268,2021-03-21T05:57:48Z,UAE211,"26.078796,55.792564",17000,407,12
1616306273,2021-03-21T05:57:53Z,UAE211,"26.08754,55.794121",17000,406,11
