Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616300406,2021-03-21T04:20:06Z,UAE237,"25.245733,55.365017",0,0,30
1616300525,2021-03-21T04:22:05Z,UAE237,"25.245512,55.364887",0,4,30
1616300544,2021-03-21T04:22:24Z,UAE237,"25.245232,55.364735",0,3,194
1616300560,2021-03-21T04:22:40Z,UAE237,"25.245022,55.364616",0,3,75
1616300577,2021-03-21T04:22:57Z,UAE237,"25.244888,55.364407",0,3,118
1616300637,2021-03-21T04:23:57Z,UAE237,"25.245461,55.364838",0,0,334
1616300677,2021-03-21T04:24:37Z,UAE237,"25.244865,55.364407",0,0,334
1616300840,2021-03-21T04:27:20Z,UAE237,"25.244743,55.364616",0,3,123
1616300853,2021-03-21T04:27:33Z,UAE237,"25.244638,55.364822",0,4,120
1616300864,2021-03-21T04:27:44Z,UAE237,"25.244534,55.36507",0,5,115
1616300903,2021-03-21T04:28:23Z,UAE237,"25.244661,55.366352",0,8,67
1616300961,2021-03-21T04:29:21Z,UAE237,"25.246838,55.367973",0,24,30
1616300966,2021-03-21T04:29:26Z,UAE237,"25.247097,55.368145",0,26,30
1616300982,2021-03-21T04:29:42Z,UAE237,"25.247314,55.368893",0,29,98
1616300986,2021-03-21T04:29:46Z,UAE237,"25.247177,55.369122",0,29,115
1616300992,2021-03-21T04:29:52Z,UAE237,"25.246994,55.369465",0,29,120
1616301002,2021-03-21T04:30:02Z,UAE237,"25.246696,55.369999",0,28,120
1616301007,2021-03-21T04:30:07Z,UAE237,"25.246559,55.370239",0,27,120
1616301012,2021-03-21T04:30:12Z,UAE237,"25.246433,55.370472",0,26,120
1616301023,2021-03-21T04:30:23Z,UAE237,"25.246187,55.370926",0,24,120
1616301033,2021-03-21T04:30:33Z,UAE237,"25.245941,55.371349",0,24,120
1616301043,2021-03-21T04:30:43Z,UAE237,"25.245663,55.371857",0,29,120
1616301048,2021-03-21T04:30:48Z,UAE237,"25.245512,55.372143",0,30,120
1616301059,2021-03-21T04:30:59Z,UAE237,"25.245174,55.372734",0,31,120
1616301069,2021-03-21T04:31:09Z,UAE237,"25.244831,55.373356",0,33,120
1616301079,2021-03-21T04:31:19Z,UAE237,"25.244511,55.373959",0,34,118
1616301082,2021-03-21T04:31:22Z,UAE237,"25.244419,55.374249",0,15,112
1616301092,2021-03-21T04:31:32Z,UAE237,"25.244328,55.374996",0,15,95
