Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616327528,2021-03-21T11:52:08Z,UAE2545,"55.618763,12.671571",0,0,78
1616327630,2021-03-21T11:53:50Z,UAE2545,"55.618732,12.671356",0,2,78
1616327640,2021-03-21T11:54:00Z,UAE2545,"55.61871,12.671148",0,3,75
1616327652,2021-03-21T11:54:12Z,UAE2545,"55.618706,12.670948",0,2,73
1616327661,2021-03-21T11:54:21Z,UAE2545,"55.618687,12.670712",0,3,59
1616327671,2021-03-21T11:54:31Z,UAE2545,"55.618664,12.670503",0,3,47
1616327683,2021-03-21T11:54:43Z,UAE2545,"55.618584,12.670233",0,3,28
1616327701,2021-03-21T11:55:01Z,UAE2545,"55.618423,12.670025",0,2,11
1616327895,2021-03-21T11:58:15Z,UAE2545,"55.618706,12.671078",0,0,271
1616327940,2021-03-21T11:59:00Z,UAE2545,"55.618263,12.669876",0,0,271
1616327962,2021-03-21T11:59:22Z,UAE2545,"55.618473,12.66979",0,4,348
1616327975,2021-03-21T11:59:35Z,UAE2545,"55.618755,12.669671",0,5,345
1616327984,2021-03-21T11:59:44Z,UAE2545,"55.618904,12.669339",0,7,315
1616327987,2021-03-21T11:59:47Z,UAE2545,"55.618904,12.669104",0,7,295
1616327991,2021-03-21T11:59:51Z,UAE2545,"55.618893,12.6689",0,8,281
1616327993,2021-03-21T11:59:53Z,UAE2545,"55.618858,12.668693",0,8,270
1616327997,2021-03-21T11:59:57Z,UAE2545,"55.618824,12.668464",0,9,264
1616328000,2021-03-21T12:00:00Z,UAE2545,"55.618797,12.668245",0,9,261
1616328004,2021-03-21T12:00:04Z,UAE2545,"55.618763,12.66788",0,10,258
1616328010,2021-03-21T12:00:10Z,UAE2545,"55.618706,12.667408",0,11,258
1616328012,2021-03-21T12:00:12Z,UAE2545,"55.618664,12.667132",0,12,258
1616328015,2021-03-21T12:00:15Z,UAE2545,"55.618637,12.666893",0,12,258
1616328017,2021-03-21T12:00:17Z,UAE2545,"55.618618,12.666654",0,13,258
1616328020,2021-03-21T12:00:20Z,UAE2545,"55.618584,12.666383",0,13,258
1616328025,2021-03-21T12:00:25Z,UAE2545,"55.618519,12.665734",0,14,258
1616328032,2021-03-21T12:00:32Z,UAE2545,"55.618439,12.665048",0,11,258
1616328038,2021-03-21T12:00:38Z,UAE2545,"55.618389,12.664597",0,9,261
1616328042,2021-03-21T12:00:42Z,UAE2545,"55.618378,12.664361",0,9,264
1616328048,2021-03-21T12:00:48Z,UAE2545,"55.618507,12.663996",0,10,292
1616328054,2021-03-21T12:00:54Z,UAE2545,"55.618744,12.663803",0,10,326
1616328058,2021-03-21T12:00:58Z,UAE2545,"55.61895,12.663699",0,10,337
1616328063,2021-03-21T12:01:03Z,UAE2545,"55.619171,12.663546",0,10,340
1616328068,2021-03-21T12:01:08Z,UAE2545,"55.619385,12.663428",0,10,340
1616328074,2021-03-21T12:01:14Z,UAE2545,"55.619625,12.663283",0,10,343
1616328079,2021-03-21T12:01:19Z,UAE2545,"55.619858,12.663159",0,11,343
1616328085,2021-03-21T12:01:25Z,UAE2545,"55.620174,12.662971",0,11,343
