Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616299309,2021-03-21T04:01:49Z,UAE2691,"25.262072,55.339806",0,1,300
1616299709,2021-03-21T04:08:29Z,UAE2691,"25.261932,55.343082",0,12,120
1616299716,2021-03-21T04:08:36Z,UAE2691,"25.261734,55.343437",0,12,120
1616299742,2021-03-21T04:09:02Z,UAE2691,"25.260887,55.344963",0,14,120
1616299751,2021-03-21T04:09:11Z,UAE2691,"25.260607,55.345467",0,11,120
1616299757,2021-03-21T04:09:17Z,UAE2691,"25.260487,55.345737",0,10,115
1616300120,2021-03-21T04:15:20Z,UAE2691,"25.249865,55.373425",0,16,120
1616300135,2021-03-21T04:15:35Z,UAE2691,"25.249247,55.374538",0,16,120
1616300143,2021-03-21T04:15:43Z,UAE2691,"25.24894,55.375088",0,16,120
1616300153,2021-03-21T04:15:53Z,UAE2691,"25.248526,55.375824",0,16,120
1616300163,2021-03-21T04:16:03Z,UAE2691,"25.248138,55.376537",0,16,120
1616300173,2021-03-21T04:16:13Z,UAE2691,"25.247726,55.377262",0,16,120
1616300178,2021-03-21T04:16:18Z,UAE2691,"25.24752,55.377644",0,16,120
1616300188,2021-03-21T04:16:28Z,UAE2691,"25.247143,55.378315",0,16,120
1616300199,2021-03-21T04:16:39Z,UAE2691,"25.246788,55.378963",0,30,120
1616300208,2021-03-21T04:16:48Z,UAE2691,"25.246548,55.379398",0,20,120
1616300224,2021-03-21T04:17:04Z,UAE2691,"25.246811,55.379639",0,12,47
1616300240,2021-03-21T04:17:20Z,UAE2691,"25.247017,55.379742",0,11,33
1616300255,2021-03-21T04:17:35Z,UAE2691,"25.247303,55.379932",0,16,33
1616300265,2021-03-21T04:17:45Z,UAE2691,"25.247561,55.380112",0,18,33
1616300276,2021-03-21T04:17:56Z,UAE2691,"25.24791,55.380287",0,22,22
1616300281,2021-03-21T04:18:01Z,UAE2691,"25.248116,55.380222",0,23,354
1616300291,2021-03-21T04:18:11Z,UAE2691,"25.248333,55.379841",0,18,303
1616300308,2021-03-21T04:18:28Z,UAE2691,"25.247431,55.38002",0,0,300
1616300402,2021-03-21T04:20:02Z,UAE2691,"25.248413,55.379677",0,0,302
1616300406,2021-03-21T04:20:06Z,UAE2691,"25.248539,55.379459",0,28,300
1616300419,2021-03-21T04:20:19Z,UAE2691,"25.249969,55.376865",0,69,300
1616300434,2021-03-21T04:20:34Z,UAE2691,"25.254169,55.369331",125,134,301
1616300443,2021-03-21T04:20:43Z,UAE2691,"25.257751,55.362804",125,167,301
1616300453,2021-03-21T04:20:53Z,UAE2691,"25.262363,55.354408",175,192,301
1616300465,2021-03-21T04:21:05Z,UAE2691,"25.267685,55.344646",550,200,301
1616300475,2021-03-21T04:21:15Z,UAE2691,"25.272791,55.335388",1050,199,301
1616300480,2021-03-21T04:21:20Z,UAE2691,"25.274979,55.331398",1275,200,301
1616300487,2021-03-21T04:21:27Z,UAE2691,"25.27858,55.324909",1625,197,301
1616300501,2021-03-21T04:21:41Z,UAE2691,"25.285126,55.313007",2025,202,300
1616300510,2021-03-21T04:21:50Z,UAE2691,"25.289841,55.304871",2250,208,304
1616300516,2021-03-21T04:21:56Z,UAE2691,"25.293694,55.300098",2450,209,313
1616300531,2021-03-21T04:22:11Z,UAE2691,"25.308151,55.293072",2850,230,348
1616300579,2021-03-21T04:22:59Z,UAE2691,"25.363861,55.295208",4075,268,3
1616300589,2021-03-21T04:23:09Z,UAE2691,"25.376741,55.296001",4425,273,2
1616300597,2021-03-21T04:23:17Z,UAE2691,"25.387262,55.29673",4700,275,4
1616300634,2021-03-21T04:23:54Z,UAE2691,"25.433395,55.312603",5975,295,23
1616300658,2021-03-21T04:24:18Z,UAE2691,"25.465052,55.327717",6475,315,23
1616300682,2021-03-21T04:24:42Z,UAE2691,"25.498848,55.343472",6950,336,22
1616300707,2021-03-21T04:25:07Z,UAE2691,"25.535252,55.36042",7825,343,22
1616300722,2021-03-21T04:25:22Z,UAE2691,"25.557737,55.371197",8425,344,24
1616300745,2021-03-21T04:25:45Z,UAE2691,"25.590683,55.391033",9225,353,31
1616300794,2021-03-21T04:26:34Z,UAE2691,"25.656288,55.442192",10900,368,36
1616300811,2021-03-21T04:26:51Z,UAE2691,"25.679657,55.46344",11225,382,40
1616300824,2021-03-21T04:27:04Z,UAE2691,"25.696743,55.480957",11675,391,43
1616300839,2021-03-21T04:27:19Z,UAE2691,"25.716946,55.502102",12200,394,43
1616300848,2021-03-21T04:27:28Z,UAE2691,"25.72891,55.514641",12450,401,43
1616300890,2021-03-21T04:28:10Z,UAE2691,"25.787704,55.576569",13825,419,43
1616300955,2021-03-21T04:29:15Z,UAE2691,"25.884441,55.668888",15625,429,34
1616300996,2021-03-21T04:29:56Z,UAE2691,"25.95278,55.71748",16325,427,32
1616301027,2021-03-21T04:30:27Z,UAE2691,"26.005051,55.754269",16875,429,32
1616301056,2021-03-21T04:30:56Z,UAE2691,"26.055056,55.784931",17975,422,21
1616301066,2021-03-21T04:31:06Z,UAE2691,"26.074173,55.791164",18300,419,14
1616301076,2021-03-21T04:31:16Z,UAE2691,"26.09285,55.79443",18625,416,7
1616301089,2021-03-21T04:31:29Z,UAE2691,"26.117661,55.794689",19075,412,357
1616301171,2021-03-21T04:32:51Z,UAE2691,"26.275085,55.805367",21600,435,10
1616301240,2021-03-21T04:34:00Z,UAE2691,"26.417084,55.820599",23425,441,359
1616301288,2021-03-21T04:34:48Z,UAE2691,"26.516876,55.815056",24975,441,356
1616301375,2021-03-21T04:36:15Z,UAE2691,"26.696594,55.805416",27150,451,357
1616301440,2021-03-21T04:37:20Z,UAE2691,"26.830444,55.798885",28400,462,357
1616301505,2021-03-21T04:38:25Z,UAE2691,"26.974554,55.791744",29900,467,357
1616301571,2021-03-21T04:39:31Z,UAE2691,"27.114769,55.784824",30000,467,357
1616301636,2021-03-21T04:40:36Z,UAE2691,"27.255615,55.777794",30000,466,357
1616301699,2021-03-21T04:41:39Z,UAE2691,"27.392315,55.770931",30000,468,357
