Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616300913,2021-03-21T04:28:33Z,ETD141,"24.43051,54.6436",0,1,216
1616300972,2021-03-21T04:29:32Z,ETD141,"24.43071,54.643772",0,3,216
1616300997,2021-03-21T04:29:57Z,ETD141,"24.430927,54.643963",0,2,216
1616301021,2021-03-21T04:30:21Z,ETD141,"24.431122,54.644176",0,3,205
1616301050,2021-03-21T04:30:50Z,ETD141,"24.431347,54.644363",0,2,149
1616301087,2021-03-21T04:31:27Z,ETD141,"24.43166,54.644176",0,2,123
1616301329,2021-03-21T04:35:29Z,ETD141,"24.431522,54.644405",0,4,123
1616301345,2021-03-21T04:35:45Z,ETD141,"24.431313,54.644699",0,5,123
1616301365,2021-03-21T04:36:05Z,ETD141,"24.430939,54.645222",0,7,126
1616301373,2021-03-21T04:36:13Z,ETD141,"24.430788,54.645451",0,8,126
1616301411,2021-03-21T04:36:51Z,ETD141,"24.431185,54.646656",0,10,36
1616301420,2021-03-21T04:37:00Z,ETD141,"24.431545,54.646961",0,12,36
1616301429,2021-03-21T04:37:09Z,ETD141,"24.431942,54.647305",0,11,36
1616301441,2021-03-21T04:37:21Z,ETD141,"24.43222,54.64793",0,13,73
1616301448,2021-03-21T04:37:28Z,ETD141,"24.43214,54.648438",0,13,104
1616301454,2021-03-21T04:37:34Z,ETD141,"24.43198,54.648716",0,11,118
1616301459,2021-03-21T04:37:39Z,ETD141,"24.431837,54.648926",0,10,123
1616301479,2021-03-21T04:37:59Z,ETD141,"24.431202,54.649822",0,13,126
1616301493,2021-03-21T04:38:13Z,ETD141,"24.430637,54.650608",0,14,126
1616301498,2021-03-21T04:38:18Z,ETD141,"24.430405,54.650932",0,15,126
1616301505,2021-03-21T04:38:25Z,ETD141,"24.430101,54.65136",0,15,126
1616301517,2021-03-21T04:38:37Z,ETD141,"24.429554,54.652126",0,16,126
1616301523,2021-03-21T04:38:43Z,ETD141,"24.429268,54.652531",0,16,126
1616301562,2021-03-21T04:39:22Z,ETD141,"24.427368,54.65522",0,17,126
1616301579,2021-03-21T04:39:39Z,ETD141,"24.42654,54.656372",0,17,126
1616301598,2021-03-21T04:39:58Z,ETD141,"24.42561,54.657696",0,16,126
1616301618,2021-03-21T04:40:18Z,ETD141,"24.424633,54.659069",0,16,126
1616301626,2021-03-21T04:40:26Z,ETD141,"24.424267,54.659588",0,16,126
1616301633,2021-03-21T04:40:33Z,ETD141,"24.423922,54.66008",0,15,126
1616301639,2021-03-21T04:40:39Z,ETD141,"24.423683,54.660404",0,15,126
1616301645,2021-03-21T04:40:45Z,ETD141,"24.423433,54.660767",0,15,126
1616301691,2021-03-21T04:41:31Z,ETD141,"24.421688,54.663216",0,10,126
1616301700,2021-03-21T04:41:40Z,ETD141,"24.421432,54.663578",0,9,126
1616301708,2021-03-21T04:41:48Z,ETD141,"24.421246,54.663849",0,9,126
1616301715,2021-03-21T04:41:55Z,ETD141,"24.421062,54.664089",0,10,126
1616301722,2021-03-21T04:42:02Z,ETD141,"24.420862,54.664379",0,10,126
1616301736,2021-03-21T04:42:16Z,ETD141,"24.420456,54.664982",0,11,120
1616301746,2021-03-21T04:42:26Z,ETD141,"24.420353,54.665501",0,11,92
1616301755,2021-03-21T04:42:35Z,ETD141,"24.420547,54.665985",0,12,59
1616301762,2021-03-21T04:42:42Z,ETD141,"24.420862,54.666298",0,14,39
1616301770,2021-03-21T04:42:50Z,ETD141,"24.421328,54.666634",0,14,30
1616301774,2021-03-21T04:42:54Z,ETD141,"24.421555,54.666775",0,11,28
1616301784,2021-03-21T04:43:04Z,ETD141,"24.421875,54.666927",0,6,16
1616301818,2021-03-21T04:43:38Z,ETD141,"24.422329,54.666336",0,7,306
1616301830,2021-03-21T04:43:50Z,ETD141,"24.423212,54.665081",0,49,306
1616301836,2021-03-21T04:43:56Z,ETD141,"24.424393,54.663429",0,74,306
