Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616302660,2021-03-21T04:57:40Z,ETD93C,"24.432232,54.641304",0,0,271
1616302716,2021-03-21T04:58:36Z,ETD93C,"24.432438,54.641468",0,2,216
1616302751,2021-03-21T04:59:11Z,ETD93C,"24.432709,54.641708",0,2,210
1616302768,2021-03-21T04:59:28Z,ETD93C,"24.432232,54.641308",0,2,191
1616303114,2021-03-21T05:05:14Z,ETD93C,"24.432825,54.642601",0,8,123
1616303124,2021-03-21T05:05:24Z,ETD93C,"24.432896,54.643032",0,9,70
1616303130,2021-03-21T05:05:30Z,ETD93C,"24.433117,54.643196",0,11,39
1616303138,2021-03-21T05:05:38Z,ETD93C,"24.433443,54.643471",0,13,36
1616303148,2021-03-21T05:05:48Z,ETD93C,"24.433994,54.643936",0,14,33
1616303165,2021-03-21T05:06:05Z,ETD93C,"24.43449,54.644844",0,13,78
1616303173,2021-03-21T05:06:13Z,ETD93C,"24.434361,54.645348",0,14,109
1616303204,2021-03-21T05:06:44Z,ETD93C,"24.432907,54.647419",0,19,126
1616303216,2021-03-21T05:06:56Z,ETD93C,"24.43215,54.648483",0,20,126
1616303226,2021-03-21T05:07:06Z,ETD93C,"24.431534,54.649353",0,21,126
1616303233,2021-03-21T05:07:13Z,ETD93C,"24.431162,54.649868",0,21,126
1616303242,2021-03-21T05:07:22Z,ETD93C,"24.430592,54.650684",0,22,126
1616303251,2021-03-21T05:07:31Z,ETD93C,"24.429943,54.651604",0,23,126
1616303268,2021-03-21T05:07:48Z,ETD93C,"24.42881,54.653194",0,23,126
1616303274,2021-03-21T05:07:54Z,ETD93C,"24.428387,54.65379",0,23,126
1616303290,2021-03-21T05:08:10Z,ETD93C,"24.42738,54.655216",0,22,126
1616303299,2021-03-21T05:08:19Z,ETD93C,"24.426809,54.65601",0,22,126
1616303317,2021-03-21T05:08:37Z,ETD93C,"24.425646,54.657658",0,22,126
1616303328,2021-03-21T05:08:48Z,ETD93C,"24.424908,54.658688",0,21,126
1616303335,2021-03-21T05:08:55Z,ETD93C,"24.42448,54.65929",0,21,126
1616303341,2021-03-21T05:09:01Z,ETD93C,"24.424129,54.659794",0,20,126
1616303347,2021-03-21T05:09:07Z,ETD93C,"24.423771,54.660297",0,20,126
1616303354,2021-03-21T05:09:14Z,ETD93C,"24.423353,54.66087",0,20,126
1616303396,2021-03-21T05:09:56Z,ETD93C,"24.421316,54.663746",0,14,126
1616303401,2021-03-21T05:10:01Z,ETD93C,"24.421095,54.664055",0,13,126
1616303408,2021-03-21T05:10:08Z,ETD93C,"24.420845,54.66441",0,12,126
1616303414,2021-03-21T05:10:14Z,ETD93C,"24.420685,54.664639",0,11,126
1616303423,2021-03-21T05:10:23Z,ETD93C,"24.42042,54.665054",0,10,120
1616303427,2021-03-21T05:10:27Z,ETD93C,"24.420353,54.665287",0,9,109
1616303437,2021-03-21T05:10:37Z,ETD93C,"24.420399,54.665718",0,10,75
1616303449,2021-03-21T05:10:49Z,ETD93C,"24.42071,54.666195",0,10,47
1616303480,2021-03-21T05:11:20Z,ETD93C,"24.421955,54.666862",0,10,340
1616303495,2021-03-21T05:11:35Z,ETD93C,"24.422459,54.666149",0,14,306
1616303602,2021-03-21T05:13:22Z,ETD93C,"24.468567,54.600983",1825,206,307
1616303651,2021-03-21T05:14:11Z,ETD93C,"24.502441,54.55785",2975,243,317
1616303657,2021-03-21T05:14:17Z,ETD93C,"24.508171,54.552353",3225,245,318
1616303663,2021-03-21T05:14:23Z,ETD93C,"24.512779,54.547844",3400,247,318
1616303671,2021-03-21T05:14:31Z,ETD93C,"24.519855,54.540901",3650,249,317
1616303734,2021-03-21T05:15:34Z,ETD93C,"24.575764,54.485245",5825,266,317
1616303754,2021-03-21T05:15:54Z,ETD93C,"24.594805,54.466381",6600,269,318
1616303770,2021-03-21T05:16:10Z,ETD93C,"24.609142,54.452389",7100,273,318
1616303805,2021-03-21T05:16:45Z,ETD93C,"24.643295,54.418488",8350,277,317
1616303821,2021-03-21T05:17:01Z,ETD93C,"24.657883,54.403831",8875,279,317
1616303835,2021-03-21T05:17:15Z,ETD93C,"24.672089,54.389698",9350,281,317
1616303851,2021-03-21T05:17:31Z,ETD93C,"24.687469,54.37439",9850,284,317
1616303865,2021-03-21T05:17:45Z,ETD93C,"24.700836,54.361115",10325,286,317
1616303876,2021-03-21T05:17:56Z,ETD93C,"24.712162,54.349934",10525,293,317
1616303897,2021-03-21T05:18:17Z,ETD93C,"24.734116,54.328308",10825,311,317
1616303908,2021-03-21T05:18:28Z,ETD93C,"24.746471,54.316044",10975,322,317
1616303922,2021-03-21T05:18:42Z,ETD93C,"24.761719,54.300945",11150,332,317
1616303938,2021-03-21T05:18:58Z,ETD93C,"24.780853,54.281971",11400,344,317
1616303949,2021-03-21T05:19:09Z,ETD93C,"24.793808,54.269104",11550,351,317
1616303964,2021-03-21T05:19:24Z,ETD93C,"24.811752,54.251251",11775,360,317
1616303975,2021-03-21T05:19:35Z,ETD93C,"24.826035,54.237011",12025,367,317
1616304006,2021-03-21T05:20:06Z,ETD93C,"24.86504,54.198097",12950,371,317
1616304036,2021-03-21T05:20:36Z,ETD93C,"24.90461,54.158089",13900,376,316
1616304079,2021-03-21T05:21:19Z,ETD93C,"24.954987,54.098408",15050,381,311
1616304108,2021-03-21T05:21:48Z,ETD93C,"24.990452,54.054394",15825,388,311
1616304162,2021-03-21T05:22:42Z,ETD93C,"25.053818,53.976032",17600,386,311
1616304194,2021-03-21T05:23:14Z,ETD93C,"25.092867,53.927841",18475,389,311
1616304257,2021-03-21T05:24:17Z,ETD93C,"25.168259,53.834686",20100,393,311
1616304318,2021-03-21T05:25:18Z,ETD93C,"25.247772,53.748322",21475,404,320
1616304379,2021-03-21T05:26:19Z,ETD93C,"25.337032,53.665726",22825,412,319
1616304440,2021-03-21T05:27:20Z,ETD93C,"25.427353,53.581745",24250,414,319
1616304503,2021-03-21T05:28:23Z,ETD93C,"25.519684,53.496143",25550,418,319
1616304565,2021-03-21T05:29:25Z,ETD93C,"25.612015,53.410137",26850,418,319
