Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616315662,2021-03-21T08:34:22Z,CKS205,"40.652779,-73.802841",0,1,216
1616315690,2021-03-21T08:34:50Z,CKS205,"40.652561,-73.80275",0,2,177
1616315733,2021-03-21T08:35:33Z,CKS205,"40.652206,-73.802505",0,2,157
1616315770,2021-03-21T08:36:10Z,CKS205,"40.651817,-73.802414",0,2,171
1616315792,2021-03-21T08:36:32Z,CKS205,"40.651543,-73.802406",0,2,174
1616315990,2021-03-21T08:39:50Z,CKS205,"40.651264,-73.800644",0,0,101
1616316011,2021-03-21T08:40:11Z,CKS205,"40.651783,-73.802414",0,0,120
1616316080,2021-03-21T08:41:20Z,CKS205,"40.651268,-73.800644",0,0,312
1616316212,2021-03-21T08:43:32Z,CKS205,"40.651279,-73.80043",0,3,90
1616316220,2021-03-21T08:43:40Z,CKS205,"40.651264,-73.800209",0,5,90
1616316228,2021-03-21T08:43:48Z,CKS205,"40.651268,-73.799911",0,7,90
1616316234,2021-03-21T08:43:54Z,CKS205,"40.651299,-73.79966",0,8,84
1616316238,2021-03-21T08:43:58Z,CKS205,"40.651348,-73.799454",0,8,75
1616316243,2021-03-21T08:44:03Z,CKS205,"40.65144,-73.799225",0,9,67
1616316246,2021-03-21T08:44:06Z,CKS205,"40.651531,-73.799019",0,10,61
1616316252,2021-03-21T08:44:12Z,CKS205,"40.651646,-73.798767",0,8,59
1616316258,2021-03-21T08:44:18Z,CKS205,"40.651764,-73.798523",0,6,59
1616316265,2021-03-21T08:44:25Z,CKS205,"40.651764,-73.798271",0,6,78
1616316428,2021-03-21T08:47:08Z,CKS205,"40.645668,-73.796211",0,10,149
1616316433,2021-03-21T08:47:13Z,CKS205,"40.645447,-73.796074",0,10,154
1616316440,2021-03-21T08:47:20Z,CKS205,"40.645142,-73.796005",0,10,165
1616316449,2021-03-21T08:47:29Z,CKS205,"40.644676,-73.795975",0,10,177
1616316454,2021-03-21T08:47:34Z,CKS205,"40.644459,-73.795944",0,11,174
1616316483,2021-03-21T08:48:03Z,CKS205,"40.642967,-73.79599",0,11,182
1616316488,2021-03-21T08:48:08Z,CKS205,"40.642712,-73.796005",0,11,182
1616316504,2021-03-21T08:48:24Z,CKS205,"40.641827,-73.796074",0,10,182
1616316511,2021-03-21T08:48:31Z,CKS205,"40.641575,-73.796097",0,9,182
1616316520,2021-03-21T08:48:40Z,CKS205,"40.64122,-73.796097",0,9,177
1616316526,2021-03-21T08:48:46Z,CKS205,"40.640965,-73.796043",0,10,171
1616316530,2021-03-21T08:48:50Z,CKS205,"40.640755,-73.795959",0,11,165
1616316535,2021-03-21T08:48:55Z,CKS205,"40.640511,-73.795807",0,11,157
1616316540,2021-03-21T08:49:00Z,CKS205,"40.640305,-73.795639",0,11,151
1616316549,2021-03-21T08:49:09Z,CKS205,"40.639961,-73.795242",0,12,137
1616316552,2021-03-21T08:49:12Z,CKS205,"40.639835,-73.795029",0,13,129
1616316555,2021-03-21T08:49:15Z,CKS205,"40.639732,-73.794815",0,13,126
1616316562,2021-03-21T08:49:22Z,CKS205,"40.639503,-73.794327",0,13,120
1616316566,2021-03-21T08:49:26Z,CKS205,"40.639404,-73.79409",0,13,120
1616316568,2021-03-21T08:49:28Z,CKS205,"40.639301,-73.793869",0,14,120
1616316573,2021-03-21T08:49:33Z,CKS205,"40.639149,-73.793556",0,15,120
1616316576,2021-03-21T08:49:36Z,CKS205,"40.639057,-73.793335",0,15,120
1616316583,2021-03-21T08:49:43Z,CKS205,"40.638794,-73.792755",0,15,120
1616316590,2021-03-21T08:49:50Z,CKS205,"40.638508,-73.79213",0,14,120
1616316596,2021-03-21T08:49:56Z,CKS205,"40.638371,-73.791824",0,10,120
1616316602,2021-03-21T08:50:02Z,CKS205,"40.638233,-73.791504",0,10,120
1616316610,2021-03-21T08:50:10Z,CKS205,"40.638008,-73.791031",0,12,120
1616316616,2021-03-21T08:50:16Z,CKS205,"40.637821,-73.790642",0,13,120
1616316622,2021-03-21T08:50:22Z,CKS205,"40.637611,-73.790169",0,14,120
1616316627,2021-03-21T08:50:27Z,CKS205,"40.637466,-73.789825",0,13,120
1616316634,2021-03-21T08:50:34Z,CKS205,"40.63726,-73.789383",0,14,120
1616316644,2021-03-21T08:50:44Z,CKS205,"40.636929,-73.788666",0,11,120
1616316651,2021-03-21T08:50:51Z,CKS205,"40.636757,-73.788284",0,12,120
1616316670,2021-03-21T08:51:10Z,CKS205,"40.636192,-73.787048",0,12,120
1616316676,2021-03-21T08:51:16Z,CKS205,"40.636017,-73.786659",0,11,120
1616316687,2021-03-21T08:51:27Z,CKS205,"40.635796,-73.786163",0,9,120
1616316704,2021-03-21T08:51:44Z,CKS205,"40.635319,-73.785149",0,12,120
1616316711,2021-03-21T08:51:51Z,CKS205,"40.635132,-73.784714",0,13,120
1616316718,2021-03-21T08:51:58Z,CKS205,"40.634892,-73.784164",0,14,120
1616316724,2021-03-21T08:52:04Z,CKS205,"40.634731,-73.783798",0,11,120
1616316730,2021-03-21T08:52:10Z,CKS205,"40.634541,-73.783401",0,12,120
1616316736,2021-03-21T08:52:16Z,CKS205,"40.634365,-73.783005",0,13,120
1616316744,2021-03-21T08:52:24Z,CKS205,"40.634102,-73.782394",0,14,120
1616316750,2021-03-21T08:52:30Z,CKS205,"40.633896,-73.781967",0,15,120
1616316756,2021-03-21T08:52:36Z,CKS205,"40.63369,-73.781494",0,15,120
1616316764,2021-03-21T08:52:44Z,CKS205,"40.633434,-73.780869",0,12,115
1616316770,2021-03-21T08:52:50Z,CKS205,"40.633343,-73.780479",0,11,109
1616316774,2021-03-21T08:52:54Z,CKS205,"40.633301,-73.780167",0,12,101
1616316780,2021-03-21T08:53:00Z,CKS205,"40.633278,-73.779724",0,12,92
1616316784,2021-03-21T08:53:04Z,CKS205,"40.633324,-73.779449",0,12,84
1616316793,2021-03-21T08:53:13Z,CKS205,"40.633415,-73.779037",0,7,73
1616316799,2021-03-21T08:53:19Z,CKS205,"40.633389,-73.778732",0,8,92
1616316804,2021-03-21T08:53:24Z,CKS205,"40.633297,-73.778481",0,9,106
1616316810,2021-03-21T08:53:30Z,CKS205,"40.633141,-73.778152",0,10,118
1616316814,2021-03-21T08:53:34Z,CKS205,"40.633038,-73.777924",0,11,120
1616316818,2021-03-21T08:53:38Z,CKS205,"40.632923,-73.777672",0,11,120
1616316822,2021-03-21T08:53:42Z,CKS205,"40.63282,-73.777466",0,11,120
1616316827,2021-03-21T08:53:47Z,CKS205,"40.632702,-73.777206",0,11,120
1616316834,2021-03-21T08:53:54Z,CKS205,"40.632511,-73.776794",0,12,120
1616316840,2021-03-21T08:54:00Z,CKS205,"40.632305,-73.776337",0,13,120
1616316847,2021-03-21T08:54:07Z,CKS205,"40.632122,-73.77594",0,11,120
1616316856,2021-03-21T08:54:16Z,CKS205,"40.631851,-73.77533",0,13,120
1616316864,2021-03-21T08:54:24Z,CKS205,"40.631641,-73.774857",0,12,120
1616316870,2021-03-21T08:54:30Z,CKS205,"40.631481,-73.774521",0,13,120
1616316875,2021-03-21T08:54:35Z,CKS205,"40.631298,-73.774078",0,13,120
1616316882,2021-03-21T08:54:42Z,CKS205,"40.631081,-73.773636",0,14,120
1616316895,2021-03-21T08:54:55Z,CKS205,"40.630669,-73.77272",0,14,120
1616316904,2021-03-21T08:55:04Z,CKS205,"40.630386,-73.772102",0,9,120
1616316913,2021-03-21T08:55:13Z,CKS205,"40.630199,-73.771698",0,9,120
1616316922,2021-03-21T08:55:22Z,CKS205,"40.62999,-73.77124",0,9,120
1616316928,2021-03-21T08:55:28Z,CKS205,"40.629898,-73.771027",0,7,120
1616316937,2021-03-21T08:55:37Z,CKS205,"40.629742,-73.770813",0,4,135
1616316948,2021-03-21T08:55:48Z,CKS205,"40.629501,-73.770889",0,5,180
1616316963,2021-03-21T08:56:03Z,CKS205,"40.629272,-73.771072",0,4,202
1616317164,2021-03-21T08:59:24Z,CKS205,"40.628838,-73.77137",0,8,208
1616317171,2021-03-21T08:59:31Z,CKS205,"40.628616,-73.771538",0,10,210
1616317176,2021-03-21T08:59:36Z,CKS205,"40.628407,-73.771713",0,8,210
1616317183,2021-03-21T08:59:43Z,CKS205,"40.628197,-73.771866",0,7,210
1616317192,2021-03-21T08:59:52Z,CKS205,"40.628117,-73.772102",0,5,236
1616317200,2021-03-21T09:00:00Z,CKS205,"40.628208,-73.772308",0,4,275
1616317212,2021-03-21T09:00:12Z,CKS205,"40.628368,-73.772583",0,6,300
1616317218,2021-03-21T09:00:18Z,CKS205,"40.628483,-73.772827",0,12,300
1616317222,2021-03-21T09:00:22Z,CKS205,"40.628769,-73.773468",0,29,300
1616317225,2021-03-21T09:00:25Z,CKS205,"40.628952,-73.773865",0,37,300
1616317226,2021-03-21T09:00:26Z,CKS205,"40.629066,-73.774124",0,41,300
1616317227,2021-03-21T09:00:27Z,CKS205,"40.629314,-73.774628",0,50,300
1616317233,2021-03-21T09:00:33Z,CKS205,"40.63007,-73.776329",0,69,300
1616317234,2021-03-21T09:00:34Z,CKS205,"40.630337,-73.776917",0,76,300
1616317253,2021-03-21T09:00:53Z,CKS205,"40.635403,-73.788048",0,134,300
1616317272,2021-03-21T09:01:12Z,CKS205,"40.642822,-73.804626",0,174,300
1616317280,2021-03-21T09:01:20Z,CKS205,"40.646111,-73.81208",0,171,299
1616317287,2021-03-21T09:01:27Z,CKS205,"40.648716,-73.818138",75,171,299
1616317308,2021-03-21T09:01:48Z,CKS205,"40.656631,-73.837738",725,177,290
1616317315,2021-03-21T09:01:55Z,CKS205,"40.65733,-73.845917",1025,183,271
1616317328,2021-03-21T09:02:08Z,CKS205,"40.65271,-73.858582",1575,189,234
1616317334,2021-03-21T09:02:14Z,CKS205,"40.648762,-73.86277",1800,191,215
1616317336,2021-03-21T09:02:16Z,CKS205,"40.647079,-73.864014",1900,191,211
1616317342,2021-03-21T09:02:22Z,CKS205,"40.642136,-73.866821",2225,190,201
1616317344,2021-03-21T09:02:24Z,CKS205,"40.641083,-73.86731",2275,189,199
1616317346,2021-03-21T09:02:26Z,CKS205,"40.638748,-73.868286",2450,188,197
1616317352,2021-03-21T09:02:32Z,CKS205,"40.634171,-73.8703",2725,186,197
1616317354,2021-03-21T09:02:34Z,CKS205,"40.632843,-73.870911",2800,187,199
1616317355,2021-03-21T09:02:35Z,CKS205,"40.631073,-73.87188",2875,190,202
1616317357,2021-03-21T09:02:37Z,CKS205,"40.630234,-73.872383",2925,191,203
1616317359,2021-03-21T09:02:39Z,CKS205,"40.628559,-73.873444",2975,192,205
1616317362,2021-03-21T09:02:42Z,CKS205,"40.626045,-73.875191",3075,195,207
1616317369,2021-03-21T09:02:49Z,CKS205,"40.620392,-73.87854",3300,201,203
1616317373,2021-03-21T09:02:53Z,CKS205,"40.616043,-73.880005",3450,206,193
1616317384,2021-03-21T09:03:04Z,CKS205,"40.605747,-73.87925",3675,222,167
1616317393,2021-03-21T09:03:13Z,CKS205,"40.597275,-73.874023",3875,235,147
1616317396,2021-03-21T09:03:16Z,CKS205,"40.594482,-73.871262",4000,237,141
1616317399,2021-03-21T09:03:19Z,CKS205,"40.591919,-73.867981",4125,239,135
1616317401,2021-03-21T09:03:21Z,CKS205,"40.589859,-73.864868",4250,242,130
1616317402,2021-03-21T09:03:22Z,CKS205,"40.589546,-73.864265",4250,242,130
1616317405,2021-03-21T09:03:25Z,CKS205,"40.587982,-73.861389",4350,243,128
