Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616308184,2021-03-21T06:29:44Z,CKS335,"33.933903,-118.391533",0,2,177
1616308202,2021-03-21T06:30:02Z,CKS335,"33.934113,-118.391533",0,3,177
1616308222,2021-03-21T06:30:22Z,CKS335,"33.934357,-118.391548",0,2,174
1616308246,2021-03-21T06:30:46Z,CKS335,"33.934639,-118.391556",0,2,165
1616308263,2021-03-21T06:31:03Z,CKS335,"33.934845,-118.391586",0,2,151
1616308282,2021-03-21T06:31:22Z,CKS335,"33.935051,-118.39164",0,2,120
1616308315,2021-03-21T06:31:55Z,CKS335,"33.935207,-118.391907",0,1,78
1616308346,2021-03-21T06:32:26Z,CKS335,"33.93523,-118.391693",0,0,93
1616308446,2021-03-21T06:34:06Z,CKS335,"33.934429,-118.391548",0,0,318
1616308545,2021-03-21T06:35:45Z,CKS335,"33.935242,-118.391693",0,0,318
1616308790,2021-03-21T06:39:50Z,CKS335,"33.935291,-118.391068",0,6,84
1616308811,2021-03-21T06:40:11Z,CKS335,"33.935394,-118.390144",0,8,81
1616308835,2021-03-21T06:40:35Z,CKS335,"33.935497,-118.389015",0,10,81
1616308842,2021-03-21T06:40:42Z,CKS335,"33.935547,-118.388611",0,10,84
1616308847,2021-03-21T06:40:47Z,CKS335,"33.935581,-118.388298",0,10,81
1616308853,2021-03-21T06:40:53Z,CKS335,"33.935616,-118.387917",0,11,84
1616308863,2021-03-21T06:41:03Z,CKS335,"33.935673,-118.387367",0,27,81
1616308872,2021-03-21T06:41:12Z,CKS335,"33.935745,-118.386696",0,29,84
1616308889,2021-03-21T06:41:29Z,CKS335,"33.935848,-118.385666",0,28,84
1616308898,2021-03-21T06:41:38Z,CKS335,"33.935905,-118.385056",0,26,84
1616308914,2021-03-21T06:41:54Z,CKS335,"33.936012,-118.384033",0,27,81
1616308924,2021-03-21T06:42:04Z,CKS335,"33.936081,-118.383438",0,24,81
1616308935,2021-03-21T06:42:15Z,CKS335,"33.936161,-118.382996",0,18,75
1616308950,2021-03-21T06:42:30Z,CKS335,"33.936619,-118.382774",0,20,14
1616308960,2021-03-21T06:42:40Z,CKS335,"33.937012,-118.382835",0,21,354
1616308970,2021-03-21T06:42:50Z,CKS335,"33.937363,-118.382896",0,19,351
1616308981,2021-03-21T06:43:01Z,CKS335,"33.937698,-118.38295",0,20,351
1616308990,2021-03-21T06:43:10Z,CKS335,"33.938038,-118.382996",0,19,351
1616308999,2021-03-21T06:43:19Z,CKS335,"33.938278,-118.383041",0,5,351
1616309009,2021-03-21T06:43:29Z,CKS335,"33.938515,-118.38308",0,6,354
1616309015,2021-03-21T06:43:35Z,CKS335,"33.938725,-118.38311",0,7,351
1616309022,2021-03-21T06:43:42Z,CKS335,"33.93898,-118.383133",0,9,354
1616309027,2021-03-21T06:43:47Z,CKS335,"33.939213,-118.383179",0,9,351
1616309038,2021-03-21T06:43:58Z,CKS335,"33.939697,-118.383247",0,9,351
1616309045,2021-03-21T06:44:05Z,CKS335,"33.939957,-118.383278",0,9,351
1616309059,2021-03-21T06:44:19Z,CKS335,"33.940376,-118.383247",0,5,11
1616309069,2021-03-21T06:44:29Z,CKS335,"33.940498,-118.383026",0,4,70
1616309088,2021-03-21T06:44:48Z,CKS335,"33.940586,-118.382492",0,6,78
1616309094,2021-03-21T06:44:54Z,CKS335,"33.940613,-118.382271",0,7,81
1616309101,2021-03-21T06:45:01Z,CKS335,"33.940632,-118.382004",0,6,81
1616309114,2021-03-21T06:45:14Z,CKS335,"33.94067,-118.381638",0,4,81
1616309124,2021-03-21T06:45:24Z,CKS335,"33.940701,-118.381432",0,4,81
1616309132,2021-03-21T06:45:32Z,CKS335,"33.940727,-118.381203",0,5,81
1616309139,2021-03-21T06:45:39Z,CKS335,"33.94075,-118.380989",0,6,81
1616309147,2021-03-21T06:45:47Z,CKS335,"33.940784,-118.38076",0,4,81
1616309198,2021-03-21T06:46:38Z,CKS335,"33.940807,-118.380478",0,4,81
1616309214,2021-03-21T06:46:54Z,CKS335,"33.94067,-118.380066",0,6,118
1616309222,2021-03-21T06:47:02Z,CKS335,"33.940445,-118.379959",0,6,149
1616309255,2021-03-21T06:47:35Z,CKS335,"33.9398,-118.380386",0,5,247
1616309267,2021-03-21T06:47:47Z,CKS335,"33.939789,-118.380783",0,7,261
1616309279,2021-03-21T06:47:59Z,CKS335,"33.939594,-118.382576",0,43,261
1616309288,2021-03-21T06:48:08Z,CKS335,"33.939293,-118.385628",0,76,261
1616309293,2021-03-21T06:48:13Z,CKS335,"33.939034,-118.387985",0,94,264
1616309302,2021-03-21T06:48:22Z,CKS335,"33.938553,-118.392929",0,119,262
1616309307,2021-03-21T06:48:27Z,CKS335,"33.938072,-118.397598",0,141,262
1616309313,2021-03-21T06:48:33Z,CKS335,"33.937557,-118.402405",0,156,263
1616309319,2021-03-21T06:48:39Z,CKS335,"33.936996,-118.407898",0,171,262
1616309325,2021-03-21T06:48:45Z,CKS335,"33.936348,-118.413849",75,179,262
1616309331,2021-03-21T06:48:51Z,CKS335,"33.935577,-118.420059",250,180,261
1616309337,2021-03-21T06:48:57Z,CKS335,"33.934799,-118.426056",375,183,261
1616309343,2021-03-21T06:49:03Z,CKS335,"33.934021,-118.432274",525,185,260
1616309350,2021-03-21T06:49:10Z,CKS335,"33.933151,-118.438332",700,185,259
1616309355,2021-03-21T06:49:15Z,CKS335,"33.932205,-118.444351",875,186,259
1616309362,2021-03-21T06:49:22Z,CKS335,"33.931046,-118.451172",1075,186,258
1616309367,2021-03-21T06:49:27Z,CKS335,"33.930084,-118.456329",1250,187,256
1616309370,2021-03-21T06:49:30Z,CKS335,"33.929214,-118.460136",1325,191,254
1616309373,2021-03-21T06:49:33Z,CKS335,"33.928574,-118.462494",1350,196,251
1616309376,2021-03-21T06:49:36Z,CKS335,"33.92741,-118.466034",1350,201,247
1616309377,2021-03-21T06:49:37Z,CKS335,"33.927273,-118.466431",1350,201,247
1616309380,2021-03-21T06:49:40Z,CKS335,"33.925922,-118.469635",1400,205,243
1616309383,2021-03-21T06:49:43Z,CKS335,"33.9245,-118.472527",1425,209,239
1616309385,2021-03-21T06:49:45Z,CKS335,"33.922852,-118.475388",1475,212,235
1616309389,2021-03-21T06:49:49Z,CKS335,"33.921173,-118.47805",1525,214,233
1616309392,2021-03-21T06:49:52Z,CKS335,"33.91917,-118.480972",1575,219,231
1616309395,2021-03-21T06:49:55Z,CKS335,"33.917358,-118.483627",1625,223,230
1616309398,2021-03-21T06:49:58Z,CKS335,"33.915401,-118.486465",1675,225,230
1616309400,2021-03-21T06:50:00Z,CKS335,"33.91333,-118.489342",1725,228,229
1616309403,2021-03-21T06:50:03Z,CKS335,"33.911087,-118.492592",1825,230,230
1616309406,2021-03-21T06:50:06Z,CKS335,"33.90976,-118.494499",1850,232,230
1616309410,2021-03-21T06:50:10Z,CKS335,"33.906696,-118.498932",1950,237,230
1616309412,2021-03-21T06:50:12Z,CKS335,"33.904816,-118.501617",2000,239,229
1616309416,2021-03-21T06:50:16Z,CKS335,"33.902737,-118.504425",2050,241,228
1616309419,2021-03-21T06:50:19Z,CKS335,"33.900513,-118.507446",2125,244,228
1616309425,2021-03-21T06:50:25Z,CKS335,"33.895523,-118.514061",2275,247,227
1616309430,2021-03-21T06:50:30Z,CKS335,"33.891193,-118.519653",2425,250,227
1616309437,2021-03-21T06:50:37Z,CKS335,"33.885818,-118.526619",2575,256,227
1616309443,2021-03-21T06:50:43Z,CKS335,"33.881092,-118.532928",2725,259,227
