Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616316650,2021-03-21T08:50:50Z,KLM623,"52.310886,4.769592",0,4,272
1616316663,2021-03-21T08:51:03Z,KLM623,"52.310863,4.769993",0,4,272
1616316671,2021-03-21T08:51:11Z,KLM623,"52.310852,4.770222",0,3,270
1616316850,2021-03-21T08:54:10Z,KLM623,"52.310856,4.769989",0,5,272
1616316857,2021-03-21T08:54:17Z,KLM623,"52.310909,4.769669",0,7,281
1616316908,2021-03-21T08:55:08Z,KLM623,"52.312809,4.770774",0,13,33
1616316914,2021-03-21T08:55:14Z,KLM623,"52.313164,4.771156",0,14,33
1616316921,2021-03-21T08:55:21Z,KLM623,"52.313519,4.771558",0,14,33
1616316929,2021-03-21T08:55:29Z,KLM623,"52.313961,4.771912",0,14,22
1616316932,2021-03-21T08:55:32Z,KLM623,"52.314194,4.771931",0,14,11
1616316937,2021-03-21T08:55:37Z,KLM623,"52.314514,4.771957",0,14,2
1616316941,2021-03-21T08:55:41Z,KLM623,"52.314766,4.771976",0,13,2
1616316945,2021-03-21T08:55:45Z,KLM623,"52.314983,4.771996",0,13,2
1616316952,2021-03-21T08:55:52Z,KLM623,"52.315418,4.771996",0,12,357
1616316960,2021-03-21T08:56:00Z,KLM623,"52.315739,4.771442",0,13,306
1616316968,2021-03-21T08:56:08Z,KLM623,"52.315708,4.770715",0,12,270
1616316971,2021-03-21T08:56:11Z,KLM623,"52.315697,4.77048",0,12,267
1616316974,2021-03-21T08:56:14Z,KLM623,"52.315693,4.770203",0,12,267
1616316976,2021-03-21T08:56:16Z,KLM623,"52.315685,4.769969",0,13,267
1616316982,2021-03-21T08:56:22Z,KLM623,"52.315662,4.769263",0,15,267
1616316988,2021-03-21T08:56:28Z,KLM623,"52.315636,4.768524",0,17,267
1616317016,2021-03-21T08:56:56Z,KLM623,"52.315475,4.763986",0,23,267
1616317022,2021-03-21T08:57:02Z,KLM623,"52.315441,4.762821",0,23,267
1616317030,2021-03-21T08:57:10Z,KLM623,"52.315392,4.761651",0,23,267
1616317038,2021-03-21T08:57:18Z,KLM623,"52.315346,4.760062",0,23,267
1616317048,2021-03-21T08:57:28Z,KLM623,"52.315281,4.758339",0,23,267
1616317120,2021-03-21T08:58:40Z,KLM623,"52.314857,4.745917",0,25,267
1616317127,2021-03-21T08:58:47Z,KLM623,"52.314812,4.744873",0,24,267
1616317133,2021-03-21T08:58:53Z,KLM623,"52.314789,4.743818",0,20,267
1616317141,2021-03-21T08:59:01Z,KLM623,"52.314754,4.742908",0,14,267
1616317148,2021-03-21T08:59:08Z,KLM623,"52.314697,4.742241",0,12,258
1616317151,2021-03-21T08:59:11Z,KLM623,"52.314602,4.741974",0,13,250
1616317154,2021-03-21T08:59:14Z,KLM623,"52.314499,4.741738",0,13,239
1616317158,2021-03-21T08:59:18Z,KLM623,"52.314301,4.741503",0,14,225
1616317162,2021-03-21T08:59:22Z,KLM623,"52.314068,4.741366",0,14,205
1616317165,2021-03-21T08:59:25Z,KLM623,"52.313835,4.741326",0,14,191
1616317170,2021-03-21T08:59:30Z,KLM623,"52.313541,4.741306",0,14,185
1616317174,2021-03-21T08:59:34Z,KLM623,"52.313274,4.741307",0,14,182
1616317178,2021-03-21T08:59:38Z,KLM623,"52.313061,4.741287",0,14,182
1616317181,2021-03-21T08:59:41Z,KLM623,"52.312809,4.741268",0,15,182
1616317186,2021-03-21T08:59:46Z,KLM623,"52.312485,4.741229",0,15,182
1616317190,2021-03-21T08:59:50Z,KLM623,"52.31218,4.741211",0,15,182
1616317196,2021-03-21T08:59:56Z,KLM623,"52.311737,4.741169",0,15,182
1616317203,2021-03-21T09:00:03Z,KLM623,"52.311237,4.741111",0,16,182
1616317210,2021-03-21T09:00:10Z,KLM623,"52.310738,4.741077",0,14,182
1616317218,2021-03-21T09:00:18Z,KLM623,"52.310261,4.741032",0,13,182
1616317225,2021-03-21T09:00:25Z,KLM623,"52.309811,4.740982",0,14,182
1616317232,2021-03-21T09:00:32Z,KLM623,"52.30933,4.740934",0,14,182
1616317240,2021-03-21T09:00:40Z,KLM623,"52.308956,4.740914",0,8,182
1616317262,2021-03-21T09:01:02Z,KLM623,"52.308735,4.740887",0,2,182
1616317279,2021-03-21T09:01:19Z,KLM623,"52.308525,4.740875",0,3,182
1616317290,2021-03-21T09:01:30Z,KLM623,"52.308304,4.740856",0,4,182
1616317298,2021-03-21T09:01:38Z,KLM623,"52.308098,4.740836",0,5,182
1616317308,2021-03-21T09:01:48Z,KLM623,"52.30785,4.740797",0,6,182
1616317316,2021-03-21T09:01:56Z,KLM623,"52.307625,4.740772",0,7,182
1616317378,2021-03-21T09:02:58Z,KLM623,"52.307396,4.740753",0,0,184
1616317399,2021-03-21T09:03:19Z,KLM623,"52.307178,4.740738",0,3,182
1616317413,2021-03-21T09:03:33Z,KLM623,"52.306957,4.740718",0,4,182
1616317425,2021-03-21T09:03:45Z,KLM623,"52.306686,4.740699",0,5,182
1616317434,2021-03-21T09:03:54Z,KLM623,"52.306446,4.740677",0,5,182
1616317447,2021-03-21T09:04:07Z,KLM623,"52.306244,4.740601",0,4,188
1616317458,2021-03-21T09:04:18Z,KLM623,"52.306072,4.740385",0,5,208
1616317464,2021-03-21T09:04:24Z,KLM623,"52.306,4.740181",0,5,222
1616317472,2021-03-21T09:04:32Z,KLM623,"52.305965,4.739894",0,5,244
1616317482,2021-03-21T09:04:42Z,KLM623,"52.306026,4.739541",0,4,270
1616317576,2021-03-21T09:06:16Z,KLM623,"52.306137,4.739285",0,2,289
1616317587,2021-03-21T09:06:27Z,KLM623,"52.306343,4.739056",0,7,315
1616317597,2021-03-21T09:06:37Z,KLM623,"52.306713,4.738776",0,10,331
1616317602,2021-03-21T09:06:42Z,KLM623,"52.30698,4.73856",0,13,331
1616317606,2021-03-21T09:06:46Z,KLM623,"52.307236,4.738345",0,15,331
1616317611,2021-03-21T09:06:51Z,KLM623,"52.307617,4.737991",0,18,331
1616317614,2021-03-21T09:06:54Z,KLM623,"52.307911,4.737873",0,20,343
1616317618,2021-03-21T09:06:58Z,KLM623,"52.30827,4.737874",0,21,343
1616317620,2021-03-21T09:07:00Z,KLM623,"52.308495,4.737911",0,23,2
1616317628,2021-03-21T09:07:08Z,KLM623,"52.310379,4.73809",0,60,2
1616317629,2021-03-21T09:07:09Z,KLM623,"52.310818,4.73814",0,64,2
1616317652,2021-03-21T09:07:32Z,KLM623,"52.3228,4.739227",0,145,3
1616317658,2021-03-21T09:07:38Z,KLM623,"52.32695,4.739738",0,148,3
1616317664,2021-03-21T09:07:44Z,KLM623,"52.331047,4.740051",200,143,2
1616317673,2021-03-21T09:07:53Z,KLM623,"52.336632,4.740365",675,137,2
1616317686,2021-03-21T09:08:06Z,KLM623,"52.343803,4.738011",1125,130,343
1616317692,2021-03-21T09:08:12Z,KLM623,"52.347851,4.735892",1200,137,342
1616317700,2021-03-21T09:08:20Z,KLM623,"52.353195,4.733582",1250,146,345
1616317713,2021-03-21T09:08:33Z,KLM623,"52.361435,4.729843",1375,160,343
1616317719,2021-03-21T09:08:39Z,KLM623,"52.365967,4.727554",1475,166,343
1616317728,2021-03-21T09:08:48Z,KLM623,"52.373245,4.724274",1600,175,345
1616317734,2021-03-21T09:08:54Z,KLM623,"52.377823,4.722443",1675,183,346
1616317740,2021-03-21T09:09:00Z,KLM623,"52.383362,4.720306",1750,191,347
1616317746,2021-03-21T09:09:06Z,KLM623,"52.388168,4.718552",1850,197,347
1616317758,2021-03-21T09:09:18Z,KLM623,"52.400036,4.713841",2150,215,346
1616317769,2021-03-21T09:09:29Z,KLM623,"52.411301,4.708819",2600,222,344
1616317776,2021-03-21T09:09:36Z,KLM623,"52.417961,4.705366",2975,222,342
1616317782,2021-03-21T09:09:42Z,KLM623,"52.423416,4.702377",3225,223,341
1616317784,2021-03-21T09:09:44Z,KLM623,"52.425827,4.700814",3325,224,339
1616317785,2021-03-21T09:09:45Z,KLM623,"52.426849,4.700108",3375,224,338
1616317799,2021-03-21T09:09:59Z,KLM623,"52.439301,4.686203",3825,239,319
1616317803,2021-03-21T09:10:03Z,KLM623,"52.442585,4.681274",3950,245,317
1616317809,2021-03-21T09:10:09Z,KLM623,"52.447311,4.674454",4150,247,318
1616317810,2021-03-21T09:10:10Z,KLM623,"52.447845,4.673663",4175,248,319
1616317812,2021-03-21T09:10:12Z,KLM623,"52.450546,4.670053",4300,249,320
1616317820,2021-03-21T09:10:20Z,KLM623,"52.457382,4.660492",4700,250,319
