Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616323850,2021-03-21T10:50:50Z,KLM267,"52.310738,4.772682",0,0,258
1616323922,2021-03-21T10:52:02Z,KLM267,"52.310749,4.772402",0,4,267
1616323929,2021-03-21T10:52:09Z,KLM267,"52.310772,4.772147",0,5,272
1616323934,2021-03-21T10:52:14Z,KLM267,"52.310783,4.771892",0,7,272
1616323943,2021-03-21T10:52:23Z,KLM267,"52.310795,4.771343",0,8,272
1616323951,2021-03-21T10:52:31Z,KLM267,"52.310818,4.770832",0,9,272
1616323960,2021-03-21T10:52:40Z,KLM267,"52.310833,4.770225",0,10,272
1616323966,2021-03-21T10:52:46Z,KLM267,"52.31089,4.769675",0,10,281
1616323970,2021-03-21T10:52:50Z,KLM267,"52.311024,4.769421",0,11,298
1616323975,2021-03-21T10:52:55Z,KLM267,"52.31123,4.769287",0,12,326
1616323979,2021-03-21T10:52:59Z,KLM267,"52.31147,4.769363",0,12,354
1616324009,2021-03-21T10:53:29Z,KLM267,"52.312706,4.770715",0,11,33
1616324015,2021-03-21T10:53:35Z,KLM267,"52.312984,4.771009",0,12,33
1616324023,2021-03-21T10:53:43Z,KLM267,"52.313347,4.771423",0,11,33
1616324029,2021-03-21T10:53:49Z,KLM267,"52.313599,4.77169",0,11,33
1616324039,2021-03-21T10:53:59Z,KLM267,"52.314137,4.771957",0,12,11
1616324043,2021-03-21T10:54:03Z,KLM267,"52.314354,4.771957",0,12,5
1616324047,2021-03-21T10:54:07Z,KLM267,"52.314571,4.771976",0,12,2
1616324051,2021-03-21T10:54:11Z,KLM267,"52.314777,4.771996",0,11,2
1616324055,2021-03-21T10:54:15Z,KLM267,"52.314999,4.772029",0,11,2
1616324061,2021-03-21T10:54:21Z,KLM267,"52.315243,4.772049",0,12,2
1616324064,2021-03-21T10:54:24Z,KLM267,"52.315475,4.771957",0,12,351
1616324082,2021-03-21T10:54:42Z,KLM267,"52.315693,4.770451",0,12,270
1616324084,2021-03-21T10:54:44Z,KLM267,"52.315674,4.770205",0,12,267
1616324095,2021-03-21T10:54:55Z,KLM267,"52.315636,4.769039",0,15,267
1616324113,2021-03-21T10:55:13Z,KLM267,"52.315556,4.766654",0,19,267
1616324119,2021-03-21T10:55:19Z,KLM267,"52.315521,4.76579",0,19,267
1616324125,2021-03-21T10:55:25Z,KLM267,"52.315498,4.764824",0,19,267
1616324132,2021-03-21T10:55:32Z,KLM267,"52.315453,4.76368",0,20,267
1616324140,2021-03-21T10:55:40Z,KLM267,"52.315418,4.762535",0,20,267
1616324146,2021-03-21T10:55:46Z,KLM267,"52.31538,4.761494",0,21,267
1616324155,2021-03-21T10:55:55Z,KLM267,"52.315327,4.759998",0,21,267
1616324162,2021-03-21T10:56:02Z,KLM267,"52.315289,4.758924",0,21,267
1616324167,2021-03-21T10:56:07Z,KLM267,"52.315254,4.758002",0,21,267
1616324175,2021-03-21T10:56:15Z,KLM267,"52.315212,4.756756",0,22,267
1616324193,2021-03-21T10:56:33Z,KLM267,"52.315113,4.753922",0,20,267
1616324199,2021-03-21T10:56:39Z,KLM267,"52.315086,4.753075",0,19,267
1616324205,2021-03-21T10:56:45Z,KLM267,"52.315052,4.752197",0,19,267
1616324237,2021-03-21T10:57:17Z,KLM267,"52.314869,4.746918",0,24,267
1616324243,2021-03-21T10:57:23Z,KLM267,"52.314835,4.745827",0,24,267
1616324250,2021-03-21T10:57:30Z,KLM267,"52.3148,4.744622",0,22,267
1616324256,2021-03-21T10:57:36Z,KLM267,"52.314766,4.743779",0,16,267
1616324262,2021-03-21T10:57:42Z,KLM267,"52.314743,4.743156",0,13,267
1616324268,2021-03-21T10:57:48Z,KLM267,"52.314705,4.742543",0,13,264
1616324271,2021-03-21T10:57:51Z,KLM267,"52.314651,4.74226",0,13,255
1616324274,2021-03-21T10:57:54Z,KLM267,"52.31456,4.741974",0,14,247
1616324278,2021-03-21T10:57:58Z,KLM267,"52.314392,4.74168",0,14,233
1616324282,2021-03-21T10:58:02Z,KLM267,"52.314125,4.741459",0,14,213
1616324286,2021-03-21T10:58:06Z,KLM267,"52.313847,4.741366",0,15,196
1616324291,2021-03-21T10:58:11Z,KLM267,"52.313587,4.741325",0,15,188
1616324295,2021-03-21T10:58:15Z,KLM267,"52.31321,4.741306",0,15,182
1616324300,2021-03-21T10:58:20Z,KLM267,"52.312855,4.741268",0,15,182
1616324305,2021-03-21T10:58:25Z,KLM267,"52.312546,4.741249",0,15,182
1616324308,2021-03-21T10:58:28Z,KLM267,"52.312321,4.741229",0,16,182
1616324311,2021-03-21T10:58:31Z,KLM267,"52.312111,4.741189",0,16,182
1616324317,2021-03-21T10:58:37Z,KLM267,"52.31155,4.741154",0,17,182
1616324324,2021-03-21T10:58:44Z,KLM267,"52.311047,4.741096",0,17,182
1616324330,2021-03-21T10:58:50Z,KLM267,"52.310551,4.741071",0,17,182
1616324336,2021-03-21T10:58:56Z,KLM267,"52.310051,4.74102",0,18,182
1616324343,2021-03-21T10:59:03Z,KLM267,"52.30941,4.740963",0,19,182
1616324349,2021-03-21T10:59:09Z,KLM267,"52.308887,4.740914",0,19,182
1616324356,2021-03-21T10:59:16Z,KLM267,"52.308334,4.740849",0,15,182
1616324364,2021-03-21T10:59:24Z,KLM267,"52.307877,4.74081",0,11,182
1616324370,2021-03-21T10:59:30Z,KLM267,"52.307594,4.740777",0,10,182
1616324376,2021-03-21T10:59:36Z,KLM267,"52.307293,4.740757",0,11,182
1616324382,2021-03-21T10:59:42Z,KLM267,"52.306973,4.740715",0,11,182
1616324388,2021-03-21T10:59:48Z,KLM267,"52.306664,4.740696",0,12,182
1616324394,2021-03-21T10:59:54Z,KLM267,"52.306316,4.740659",0,11,182
1616324401,2021-03-21T11:00:01Z,KLM267,"52.306046,4.740486",0,9,202
1616324405,2021-03-21T11:00:05Z,KLM267,"52.305943,4.740228",0,9,222
