Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616314704,2021-03-21T08:18:24Z,DLH1540,"50.03968,8.544057",0,0,154
1616314746,2021-03-21T08:19:06Z,DLH1540,"50.039658,8.543839",0,3,67
1616314756,2021-03-21T08:19:16Z,DLH1540,"50.039566,8.543587",0,4,73
1616314766,2021-03-21T08:19:26Z,DLH1540,"50.039452,8.543298",0,5,95
1616314774,2021-03-21T08:19:34Z,DLH1540,"50.039421,8.543039",0,4,112
1616314781,2021-03-21T08:19:41Z,DLH1540,"50.039421,8.542798",0,5,129
1616314788,2021-03-21T08:19:48Z,DLH1540,"50.039444,8.542575",0,4,151
1616314822,2021-03-21T08:20:22Z,DLH1540,"50.039234,8.542668",0,3,160
1616315000,2021-03-21T08:23:20Z,DLH1540,"50.038994,8.542809",0,3,160
1616315013,2021-03-21T08:23:33Z,DLH1540,"50.038776,8.542936",0,5,160
1616315022,2021-03-21T08:23:42Z,DLH1540,"50.038559,8.543063",0,6,160
1616315030,2021-03-21T08:23:50Z,DLH1540,"50.038342,8.543189",0,6,160
1616315040,2021-03-21T08:24:00Z,DLH1540,"50.038094,8.543318",0,5,160
1616315052,2021-03-21T08:24:12Z,DLH1540,"50.037884,8.543429",0,4,160
1616315060,2021-03-21T08:24:20Z,DLH1540,"50.037655,8.543569",0,8,160
1616315067,2021-03-21T08:24:27Z,DLH1540,"50.037403,8.543714",0,9,160
1616315073,2021-03-21T08:24:33Z,DLH1540,"50.037197,8.543838",0,9,160
1616315079,2021-03-21T08:24:39Z,DLH1540,"50.036945,8.544165",0,11,137
1616315085,2021-03-21T08:24:45Z,DLH1540,"50.036922,8.544635",0,11,104
1616315090,2021-03-21T08:24:50Z,DLH1540,"50.036987,8.544932",0,11,84
1616315093,2021-03-21T08:24:53Z,DLH1540,"50.037048,8.545158",0,10,75
1616315098,2021-03-21T08:24:58Z,DLH1540,"50.037128,8.545452",0,10,70
1616315102,2021-03-21T08:25:02Z,DLH1540,"50.037197,8.545719",0,9,70
1616315106,2021-03-21T08:25:06Z,DLH1540,"50.037254,8.545972",0,9,70
1616315110,2021-03-21T08:25:10Z,DLH1540,"50.0373,8.546176",0,8,70
1616315114,2021-03-21T08:25:14Z,DLH1540,"50.037357,8.546406",0,8,70
1616315118,2021-03-21T08:25:18Z,DLH1540,"50.037407,8.546621",0,8,70
1616315124,2021-03-21T08:25:24Z,DLH1540,"50.037483,8.546929",0,7,70
1616315130,2021-03-21T08:25:30Z,DLH1540,"50.037533,8.547177",0,6,70
1616315136,2021-03-21T08:25:36Z,DLH1540,"50.037598,8.547436",0,6,70
1616315142,2021-03-21T08:25:42Z,DLH1540,"50.037651,8.547679",0,6,70
1616315148,2021-03-21T08:25:48Z,DLH1540,"50.037708,8.547901",0,6,70
1616315155,2021-03-21T08:25:55Z,DLH1540,"50.037777,8.548199",0,6,67
