Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616320062,2021-03-21T09:47:42Z,DLH400,"50.047749,8.564981",0,0,259
1616320133,2021-03-21T09:48:53Z,DLH400,"50.04784,8.565325",0,0,71
1616320143,2021-03-21T09:49:03Z,DLH400,"50.047577,8.565457",0,0,164
1616320164,2021-03-21T09:49:24Z,DLH400,"50.047497,8.56568",0,0,137
1616320170,2021-03-21T09:49:30Z,DLH400,"50.047752,8.56503",0,0,301
1616320292,2021-03-21T09:51:32Z,DLH400,"50.047729,8.565234",0,0,120
1616320369,2021-03-21T09:52:49Z,DLH400,"50.047611,8.565643",0,0,95
1616320375,2021-03-21T09:52:55Z,DLH400,"50.047695,8.565198",0,0,287
1616320427,2021-03-21T09:53:47Z,DLH400,"50.047634,8.56542",0,0,111
1616320531,2021-03-21T09:55:31Z,DLH400,"50.047565,8.565216",0,2,340
1616320578,2021-03-21T09:56:18Z,DLH400,"50.047333,8.565383",0,3,19
1616320598,2021-03-21T09:56:38Z,DLH400,"50.0471,8.565198",0,3,227
1616320614,2021-03-21T09:56:54Z,DLH400,"50.046947,8.564981",0,3,59
1616320628,2021-03-21T09:57:08Z,DLH400,"50.046844,8.564715",0,3,67
1616320642,2021-03-21T09:57:22Z,DLH400,"50.046787,8.564418",0,3,67
1616320653,2021-03-21T09:57:33Z,DLH400,"50.046741,8.564204",0,3,67
1616320673,2021-03-21T09:57:53Z,DLH400,"50.04665,8.563788",0,3,70
1616320685,2021-03-21T09:58:05Z,DLH400,"50.046577,8.563546",0,3,70
1616320696,2021-03-21T09:58:16Z,DLH400,"50.046532,8.563342",0,3,70
1616320712,2021-03-21T09:58:32Z,DLH400,"50.046459,8.563026",0,2,70
1616320731,2021-03-21T09:58:51Z,DLH400,"50.046391,8.562822",0,1,70
1616320918,2021-03-21T10:01:58Z,DLH400,"50.046375,8.563029",0,2,70
1616320926,2021-03-21T10:02:06Z,DLH400,"50.046413,8.563249",0,5,70
1616320932,2021-03-21T10:02:12Z,DLH400,"50.046467,8.563481",0,6,70
1616320940,2021-03-21T10:02:20Z,DLH400,"50.046547,8.563825",0,5,67
1616320952,2021-03-21T10:02:32Z,DLH400,"50.046616,8.564331",0,6,81
1616320962,2021-03-21T10:02:42Z,DLH400,"50.046513,8.564638",0,6,106
1616320974,2021-03-21T10:02:54Z,DLH400,"50.046135,8.564837",0,9,157
1616320983,2021-03-21T10:03:03Z,DLH400,"50.04578,8.56462",0,9,194
1616320989,2021-03-21T10:03:09Z,DLH400,"50.045528,8.564439",0,10,202
1616320995,2021-03-21T10:03:15Z,DLH400,"50.045311,8.564222",0,12,210
1616320999,2021-03-21T10:03:19Z,DLH400,"50.045181,8.563917",0,13,227
1616321010,2021-03-21T10:03:30Z,DLH400,"50.044937,8.562915",0,14,250
