Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616321432,2021-03-21T10:10:32Z,DLH21A,"50.047462,8.564381",0,0,144
1616321490,2021-03-21T10:11:30Z,DLH21A,"50.0476,8.56388",0,4,340
1616321496,2021-03-21T10:11:36Z,DLH21A,"50.047356,8.564102",0,4,343
1616321515,2021-03-21T10:11:55Z,DLH21A,"50.047146,8.564047",0,4,334
1616321526,2021-03-21T10:12:06Z,DLH21A,"50.046902,8.564102",0,5,300
1616321538,2021-03-21T10:12:18Z,DLH21A,"50.046703,8.564325",0,4,261
1616321569,2021-03-21T10:12:49Z,DLH21A,"50.046593,8.564059",0,5,250
1616321586,2021-03-21T10:13:06Z,DLH21A,"50.046459,8.563509",0,5,250
1616321597,2021-03-21T10:13:17Z,DLH21A,"50.046368,8.563138",0,5,250
1616321603,2021-03-21T10:13:23Z,DLH21A,"50.046322,8.562933",0,5,250
1616321619,2021-03-21T10:13:39Z,DLH21A,"50.046204,8.562415",0,5,250
1616321630,2021-03-21T10:13:50Z,DLH21A,"50.046101,8.562006",0,5,250
1616321642,2021-03-21T10:14:02Z,DLH21A,"50.046009,8.561603",0,5,250
1616321650,2021-03-21T10:14:10Z,DLH21A,"50.04594,8.561313",0,5,250
1616321844,2021-03-21T10:17:24Z,DLH21A,"50.045471,8.559686",0,7,236
1616321852,2021-03-21T10:17:32Z,DLH21A,"50.045216,8.559537",0,8,210
1616321859,2021-03-21T10:17:39Z,DLH21A,"50.044922,8.559416",0,9,199
1616321871,2021-03-21T10:17:51Z,DLH21A,"50.04443,8.559488",0,10,168
1616321878,2021-03-21T10:17:58Z,DLH21A,"50.044167,8.55989",0,11,140
1616321888,2021-03-21T10:18:08Z,DLH21A,"50.043743,8.560428",0,13,146
1616321894,2021-03-21T10:18:14Z,DLH21A,"50.043411,8.560596",0,11,157
1616321902,2021-03-21T10:18:22Z,DLH21A,"50.043098,8.560781",0,10,157
1616321918,2021-03-21T10:18:38Z,DLH21A,"50.042862,8.561801",0,9,101
1616321933,2021-03-21T10:18:53Z,DLH21A,"50.04229,8.562488",0,13,154
1616321940,2021-03-21T10:19:00Z,DLH21A,"50.04192,8.562693",0,12,160
1616321946,2021-03-21T10:19:06Z,DLH21A,"50.041672,8.562831",0,8,160
1616321951,2021-03-21T10:19:11Z,DLH21A,"50.041492,8.563082",0,10,143
1616321975,2021-03-21T10:19:35Z,DLH21A,"50.041775,8.564927",0,13,67
1616321980,2021-03-21T10:19:40Z,DLH21A,"50.041874,8.565365",0,13,70
1616321994,2021-03-21T10:19:54Z,DLH21A,"50.042202,8.566719",0,14,70
1616322000,2021-03-21T10:20:00Z,DLH21A,"50.042339,8.567331",0,15,70
1616322006,2021-03-21T10:20:06Z,DLH21A,"50.042473,8.56789",0,14,70
1616322016,2021-03-21T10:20:16Z,DLH21A,"50.042702,8.568794",0,14,70
1616322022,2021-03-21T10:20:22Z,DLH21A,"50.042854,8.569428",0,15,70
1616322028,2021-03-21T10:20:28Z,DLH21A,"50.043034,8.570186",0,17,70
1616322034,2021-03-21T10:20:34Z,DLH21A,"50.043194,8.570889",0,16,70
1616322040,2021-03-21T10:20:40Z,DLH21A,"50.04332,8.571414",0,16,70
1616322046,2021-03-21T10:20:46Z,DLH21A,"50.043491,8.572137",0,17,70
1616322054,2021-03-21T10:20:54Z,DLH21A,"50.043724,8.573103",0,17,70
1616322059,2021-03-21T10:20:59Z,DLH21A,"50.043877,8.573734",0,18,70
1616322067,2021-03-21T10:21:07Z,DLH21A,"50.044132,8.574829",0,17,70
1616322075,2021-03-21T10:21:15Z,DLH21A,"50.044315,8.57557",0,12,70
1616322089,2021-03-21T10:21:29Z,DLH21A,"50.04451,8.576365",0,9,70
1616322095,2021-03-21T10:21:35Z,DLH21A,"50.04459,8.576744",0,9,70
1616322102,2021-03-21T10:21:42Z,DLH21A,"50.044704,8.577223",0,11,70
1616322107,2021-03-21T10:21:47Z,DLH21A,"50.044807,8.57765",0,10,70
1616322116,2021-03-21T10:21:56Z,DLH21A,"50.044937,8.578133",0,8,70
1616322125,2021-03-21T10:22:05Z,DLH21A,"50.045074,8.578745",0,10,70
1616322132,2021-03-21T10:22:12Z,DLH21A,"50.045174,8.579184",0,10,70
1616322141,2021-03-21T10:22:21Z,DLH21A,"50.045334,8.579852",0,11,70
1616322148,2021-03-21T10:22:28Z,DLH21A,"50.04546,8.580359",0,11,70
1616322156,2021-03-21T10:22:36Z,DLH21A,"50.045612,8.580991",0,12,70
1616322164,2021-03-21T10:22:44Z,DLH21A,"50.045769,8.581677",0,13,70
1616322170,2021-03-21T10:22:50Z,DLH21A,"50.045914,8.582253",0,14,70
1616322176,2021-03-21T10:22:56Z,DLH21A,"50.046055,8.582846",0,14,70
1616322182,2021-03-21T10:23:02Z,DLH21A,"50.046181,8.583385",0,13,70
1616322188,2021-03-21T10:23:08Z,DLH21A,"50.046295,8.583846",0,11,70
1616322194,2021-03-21T10:23:14Z,DLH21A,"50.046413,8.584368",0,13,70
1616322202,2021-03-21T10:23:22Z,DLH21A,"50.046566,8.585017",0,10,70
1616322206,2021-03-21T10:23:26Z,DLH21A,"50.046593,8.585219",0,6,75
1616322214,2021-03-21T10:23:34Z,DLH21A,"50.046532,8.5855",0,6,95
1616322220,2021-03-21T10:23:40Z,DLH21A,"50.046387,8.585725",0,7,118
1616322228,2021-03-21T10:23:48Z,DLH21A,"50.046158,8.585834",0,8,149
1616322420,2021-03-21T10:27:00Z,DLH21A,"50.045952,8.585906",0,4,157
1616322428,2021-03-21T10:27:08Z,DLH21A,"50.045746,8.586032",0,7,157
1616322436,2021-03-21T10:27:16Z,DLH21A,"50.045483,8.586186",0,8,157
1616322444,2021-03-21T10:27:24Z,DLH21A,"50.045162,8.586304",0,9,168
1616322453,2021-03-21T10:27:33Z,DLH21A,"50.044807,8.585927",0,11,216
1616322457,2021-03-21T10:27:37Z,DLH21A,"50.044773,8.585611",0,13,241
1616322459,2021-03-21T10:27:39Z,DLH21A,"50.044727,8.585352",0,14,250
1616322461,2021-03-21T10:27:41Z,DLH21A,"50.044682,8.585147",0,17,250
1616322463,2021-03-21T10:27:43Z,DLH21A,"50.044632,8.584925",0,19,250
1616322469,2021-03-21T10:27:49Z,DLH21A,"50.044304,8.583539",0,39,250
1616322470,2021-03-21T10:27:50Z,DLH21A,"50.044178,8.583069",0,47,250
1616322471,2021-03-21T10:27:51Z,DLH21A,"50.044086,8.582661",0,51,250
1616322475,2021-03-21T10:27:55Z,DLH21A,"50.04361,8.580656",0,67,250
1616322477,2021-03-21T10:27:57Z,DLH21A,"50.043377,8.579618",0,74,250
1616322478,2021-03-21T10:27:58Z,DLH21A,"50.043308,8.579329",0,78,250
1616322481,2021-03-21T10:28:01Z,DLH21A,"50.042877,8.577558",0,88,250
1616322501,2021-03-21T10:28:21Z,DLH21A,"50.038605,8.559723",125,152,250
1616322514,2021-03-21T10:28:34Z,DLH21A,"50.035461,8.546769",625,153,249
1616322520,2021-03-21T10:28:40Z,DLH21A,"50.034027,8.540786",850,151,249
1616322526,2021-03-21T10:28:46Z,DLH21A,"50.032562,8.53457",1075,151,249
1616322534,2021-03-21T10:28:54Z,DLH21A,"50.030529,8.526059",1325,153,249
1616322544,2021-03-21T10:29:04Z,DLH21A,"50.028259,8.51585",1550,159,251
