Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616319788,2021-03-21T09:43:08Z,DLH430,"50.046535,8.559506",0,0,51
1616319971,2021-03-21T09:46:11Z,DLH430,"50.046329,8.559687",0,2,340
1616319978,2021-03-21T09:46:18Z,DLH430,"50.046501,8.55938",0,2,340
1616319998,2021-03-21T09:46:38Z,DLH430,"50.046299,8.5595",0,2,337
1616320023,2021-03-21T09:47:03Z,DLH430,"50.046055,8.559723",0,2,354
1616320047,2021-03-21T09:47:27Z,DLH430,"50.045815,8.559868",0,2,22
1616320068,2021-03-21T09:47:48Z,DLH430,"50.045612,8.559686",0,2,19
1616320087,2021-03-21T09:48:07Z,DLH430,"50.045403,8.559574",0,2,14
1616320144,2021-03-21T09:49:04Z,DLH430,"50.045506,8.559777",0,3,30
1616320158,2021-03-21T09:49:18Z,DLH430,"50.045624,8.559982",0,3,42
1616320172,2021-03-21T09:49:32Z,DLH430,"50.045681,8.560243",0,3,56
1616320187,2021-03-21T09:49:47Z,DLH430,"50.045757,8.560536",0,3,64
1616320199,2021-03-21T09:49:59Z,DLH430,"50.045807,8.560781",0,3,67
1616320211,2021-03-21T09:50:11Z,DLH430,"50.045868,8.561022",0,3,67
1616320221,2021-03-21T09:50:21Z,DLH430,"50.045925,8.561226",0,3,67
1616320235,2021-03-21T09:50:35Z,DLH430,"50.045994,8.561504",0,3,70
1616320244,2021-03-21T09:50:44Z,DLH430,"50.046043,8.561728",0,3,70
1616320286,2021-03-21T09:51:26Z,DLH430,"50.046249,8.562618",0,3,70
1616320298,2021-03-21T09:51:38Z,DLH430,"50.046318,8.562867",0,2,70
1616320472,2021-03-21T09:54:32Z,DLH430,"50.046379,8.563119",0,4,70
1616320484,2021-03-21T09:54:44Z,DLH430,"50.046482,8.563564",0,7,70
1616320497,2021-03-21T09:54:57Z,DLH430,"50.046589,8.564381",0,10,84
1616320507,2021-03-21T09:55:07Z,DLH430,"50.046192,8.564826",0,13,149
1616320512,2021-03-21T09:55:12Z,DLH430,"50.045891,8.564753",0,13,182
1616320517,2021-03-21T09:55:17Z,DLH430,"50.045643,8.564529",0,12,199
1616320522,2021-03-21T09:55:22Z,DLH430,"50.045345,8.564295",0,12,208
1616320532,2021-03-21T09:55:32Z,DLH430,"50.045082,8.563518",0,14,244
1616320538,2021-03-21T09:55:38Z,DLH430,"50.044933,8.562903",0,15,250
1616320543,2021-03-21T09:55:43Z,DLH430,"50.044807,8.562321",0,17,250
1616320546,2021-03-21T09:55:46Z,DLH430,"50.044716,8.561981",0,17,250
1616320548,2021-03-21T09:55:48Z,DLH430,"50.044647,8.561656",0,18,250
1616320562,2021-03-21T09:56:02Z,DLH430,"50.044315,8.560446",0,11,241
1616320569,2021-03-21T09:56:09Z,DLH430,"50.044006,8.560265",0,12,205
1616320573,2021-03-21T09:56:13Z,DLH430,"50.043747,8.560354",0,12,177
1616320578,2021-03-21T09:56:18Z,DLH430,"50.043503,8.5605",0,11,163
1616320583,2021-03-21T09:56:23Z,DLH430,"50.043285,8.560644",0,12,160
1616320589,2021-03-21T09:56:29Z,DLH430,"50.043045,8.560916",0,10,146
1616320611,2021-03-21T09:56:51Z,DLH430,"50.042645,8.562321",0,11,132
1616320625,2021-03-21T09:57:05Z,DLH430,"50.041817,8.562748",0,11,160
1616320633,2021-03-21T09:57:13Z,DLH430,"50.0415,8.563029",0,11,146
1616320650,2021-03-21T09:57:30Z,DLH430,"50.041683,8.564566",0,14,70
1616320653,2021-03-21T09:57:33Z,DLH430,"50.041771,8.564919",0,15,67
1616320667,2021-03-21T09:57:47Z,DLH430,"50.042156,8.566478",0,17,70
1616320674,2021-03-21T09:57:54Z,DLH430,"50.042347,8.567258",0,18,70
1616320688,2021-03-21T09:58:08Z,DLH430,"50.042782,8.569077",0,19,70
1616320694,2021-03-21T09:58:14Z,DLH430,"50.042988,8.56995",0,21,70
1616320700,2021-03-21T09:58:20Z,DLH430,"50.04319,8.570821",0,22,70
