Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616317511,2021-03-21T09:05:11Z,DLH440,"50.047157,8.568204",0,0,312
1616317530,2021-03-21T09:05:30Z,DLH440,"50.047089,8.568426",0,2,295
1616317544,2021-03-21T09:05:44Z,DLH440,"50.04702,8.568631",0,2,295
1616317562,2021-03-21T09:06:02Z,DLH440,"50.04689,8.568835",0,2,275
1616317579,2021-03-21T09:06:19Z,DLH440,"50.046799,8.569057",0,3,250
1616317590,2021-03-21T09:06:30Z,DLH440,"50.046764,8.569263",0,2,230
1616317603,2021-03-21T09:06:43Z,DLH440,"50.046787,8.569485",0,2,208
1616317668,2021-03-21T09:07:48Z,DLH440,"50.046581,8.569372",0,3,205
1616317684,2021-03-21T09:08:04Z,DLH440,"50.046375,8.569245",0,2,202
1616317831,2021-03-21T09:10:31Z,DLH440,"50.046158,8.56915",0,4,196
1616317840,2021-03-21T09:10:40Z,DLH440,"50.045925,8.569095",0,7,194
1616317847,2021-03-21T09:10:47Z,DLH440,"50.045647,8.568965",0,9,194
1616317853,2021-03-21T09:10:53Z,DLH440,"50.04538,8.568866",0,11,194
1616317859,2021-03-21T09:10:59Z,DLH440,"50.045082,8.568758",0,12,194
1616317865,2021-03-21T09:11:05Z,DLH440,"50.044785,8.568631",0,11,194
1616317873,2021-03-21T09:11:13Z,DLH440,"50.044373,8.568522",0,11,191
1616317878,2021-03-21T09:11:18Z,DLH440,"50.044132,8.568469",0,11,188
1616317883,2021-03-21T09:11:23Z,DLH440,"50.043892,8.568415",0,10,188
1616317890,2021-03-21T09:11:30Z,DLH440,"50.043587,8.568334",0,10,191
1616317896,2021-03-21T09:11:36Z,DLH440,"50.043297,8.568233",0,10,191
1616317900,2021-03-21T09:11:40Z,DLH440,"50.043068,8.568233",0,9,182
1616317907,2021-03-21T09:11:47Z,DLH440,"50.04285,8.568451",0,9,154
1616317911,2021-03-21T09:11:51Z,DLH440,"50.042782,8.568705",0,9,135
1616317916,2021-03-21T09:11:56Z,DLH440,"50.042782,8.569047",0,10,104
1616317920,2021-03-21T09:12:00Z,DLH440,"50.042839,8.569318",0,11,87
1616317924,2021-03-21T09:12:04Z,DLH440,"50.042912,8.569633",0,11,75
1616317927,2021-03-21T09:12:07Z,DLH440,"50.042965,8.569842",0,12,73
1616317930,2021-03-21T09:12:10Z,DLH440,"50.043037,8.570115",0,12,70
1616317933,2021-03-21T09:12:13Z,DLH440,"50.04311,8.570394",0,12,70
1616317938,2021-03-21T09:12:18Z,DLH440,"50.04319,8.570765",0,13,67
1616317941,2021-03-21T09:12:21Z,DLH440,"50.043259,8.571062",0,13,70
1616317945,2021-03-21T09:12:25Z,DLH440,"50.043343,8.571414",0,13,70
1616317951,2021-03-21T09:12:31Z,DLH440,"50.043468,8.571956",0,14,70
1616317958,2021-03-21T09:12:38Z,DLH440,"50.043633,8.57262",0,14,70
1616317964,2021-03-21T09:12:44Z,DLH440,"50.043777,8.573203",0,15,70
1616317970,2021-03-21T09:12:50Z,DLH440,"50.043926,8.573817",0,15,70
1616317976,2021-03-21T09:12:56Z,DLH440,"50.044075,8.57445",0,15,70
1616317984,2021-03-21T09:13:04Z,DLH440,"50.044285,8.575293",0,15,70
1616317990,2021-03-21T09:13:10Z,DLH440,"50.044422,8.575906",0,15,70
1616317996,2021-03-21T09:13:16Z,DLH440,"50.044567,8.576509",0,15,70
1616318003,2021-03-21T09:13:23Z,DLH440,"50.044727,8.577168",0,15,70
1616318009,2021-03-21T09:13:29Z,DLH440,"50.044888,8.577854",0,16,70
1616318018,2021-03-21T09:13:38Z,DLH440,"50.045139,8.578913",0,17,70
1616318026,2021-03-21T09:13:46Z,DLH440,"50.04538,8.579895",0,17,70
1616318036,2021-03-21T09:13:56Z,DLH440,"50.045666,8.581118",0,18,70
1616318042,2021-03-21T09:14:02Z,DLH440,"50.045837,8.581859",0,18,70
1616318050,2021-03-21T09:14:10Z,DLH440,"50.046089,8.58287",0,18,70
1616318055,2021-03-21T09:14:15Z,DLH440,"50.046238,8.583514",0,19,70
1616318064,2021-03-21T09:14:24Z,DLH440,"50.04649,8.584551",0,16,67
1616318070,2021-03-21T09:14:30Z,DLH440,"50.0466,8.584999",0,10,70
1616318073,2021-03-21T09:14:33Z,DLH440,"50.046612,8.585203",0,10,75
1616318076,2021-03-21T09:14:36Z,DLH440,"50.046577,8.585444",0,9,90
1616318083,2021-03-21T09:14:43Z,DLH440,"50.046391,8.585723",0,8,123
1616318089,2021-03-21T09:14:49Z,DLH440,"50.046169,8.585797",0,8,151
1616318096,2021-03-21T09:14:56Z,DLH440,"50.045959,8.58589",0,7,160
1616318104,2021-03-21T09:15:04Z,DLH440,"50.045704,8.586039",0,8,160
1616318111,2021-03-21T09:15:11Z,DLH440,"50.045471,8.586149",0,8,160
1616318118,2021-03-21T09:15:18Z,DLH440,"50.045193,8.586316",0,8,160
1616318124,2021-03-21T09:15:24Z,DLH440,"50.044971,8.586243",0,9,182
