Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616318238,2021-03-21T09:17:18Z,DLH462,"50.046974,8.56143",0,0,300
1616318357,2021-03-21T09:19:17Z,DLH462,"50.046833,8.56171",0,2,337
1616318380,2021-03-21T09:19:40Z,DLH462,"50.046604,8.561783",0,2,320
1616318402,2021-03-21T09:20:02Z,DLH462,"50.046379,8.561913",0,2,289
1616318422,2021-03-21T09:20:22Z,DLH462,"50.046261,8.562199",0,2,261
1616318434,2021-03-21T09:20:34Z,DLH462,"50.046272,8.562415",0,2,255
1616318446,2021-03-21T09:20:46Z,DLH462,"50.046295,8.562633",0,2,250
1616318473,2021-03-21T09:21:13Z,DLH462,"50.04641,8.563084",0,2,250
1616318496,2021-03-21T09:21:36Z,DLH462,"50.046501,8.563481",0,2,250
1616318513,2021-03-21T09:21:53Z,DLH462,"50.046555,8.563731",0,1,250
1616318654,2021-03-21T09:24:14Z,DLH462,"50.046501,8.563518",0,3,250
1616318665,2021-03-21T09:24:25Z,DLH462,"50.046432,8.563247",0,4,250
1616318673,2021-03-21T09:24:33Z,DLH462,"50.046379,8.563026",0,5,250
1616318687,2021-03-21T09:24:47Z,DLH462,"50.046227,8.562432",0,7,250
1616318693,2021-03-21T09:24:53Z,DLH462,"50.046146,8.56209",0,8,250
1616318700,2021-03-21T09:25:00Z,DLH462,"50.046055,8.561708",0,8,250
1616318730,2021-03-21T09:25:30Z,DLH462,"50.045528,8.559777",0,9,239
1616318737,2021-03-21T09:25:37Z,DLH462,"50.045265,8.55956",0,9,213
1616318753,2021-03-21T09:25:53Z,DLH462,"50.044575,8.559352",0,9,185
1616318762,2021-03-21T09:26:02Z,DLH462,"50.044304,8.55965",0,7,151
1616318771,2021-03-21T09:26:11Z,DLH462,"50.044121,8.560019",0,6,132
1616318783,2021-03-21T09:26:23Z,DLH462,"50.043877,8.560335",0,7,140
1616318791,2021-03-21T09:26:31Z,DLH462,"50.043598,8.560465",0,9,157
1616318799,2021-03-21T09:26:39Z,DLH462,"50.043259,8.560669",0,11,157
1616318806,2021-03-21T09:26:46Z,DLH462,"50.042969,8.561096",0,12,135
1616318814,2021-03-21T09:26:54Z,DLH462,"50.042923,8.561765",0,11,101
1616318818,2021-03-21T09:26:58Z,DLH462,"50.042843,8.562024",0,12,109
1616318825,2021-03-21T09:27:05Z,DLH462,"50.04248,8.562377",0,13,146
1616318832,2021-03-21T09:27:12Z,DLH462,"50.042095,8.562578",0,13,157
1616318837,2021-03-21T09:27:17Z,DLH462,"50.041798,8.562758",0,12,157
1616318848,2021-03-21T09:27:28Z,DLH462,"50.041477,8.563427",0,12,118
1616318854,2021-03-21T09:27:34Z,DLH462,"50.041538,8.563898",0,12,87
1616318871,2021-03-21T09:27:51Z,DLH462,"50.041866,8.56527",0,12,70
