Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616317597,2021-03-21T09:06:37Z,SWR86,"47.451588,8.558023",0,0,271
1616317745,2021-03-21T09:09:05Z,SWR86,"47.451813,8.558068",0,15,185
1616317754,2021-03-21T09:09:14Z,SWR86,"47.45208,8.558144",0,18,168
1616317761,2021-03-21T09:09:21Z,SWR86,"47.452324,8.558156",0,7,143
1616317768,2021-03-21T09:09:28Z,SWR86,"47.452538,8.558058",0,7,115
1616317774,2021-03-21T09:09:34Z,SWR86,"47.452652,8.557857",0,6,95
1616317780,2021-03-21T09:09:40Z,SWR86,"47.452652,8.557628",0,6,92
1616317786,2021-03-21T09:09:46Z,SWR86,"47.452663,8.557417",0,5,95
1616317793,2021-03-21T09:09:53Z,SWR86,"47.452675,8.557153",0,6,95
1616317799,2021-03-21T09:09:59Z,SWR86,"47.452698,8.556925",0,5,95
1616317808,2021-03-21T09:10:08Z,SWR86,"47.452721,8.556599",0,6,95
1616317814,2021-03-21T09:10:14Z,SWR86,"47.452732,8.55636",0,6,95
1616317819,2021-03-21T09:10:19Z,SWR86,"47.452744,8.556131",0,6,101
1616317828,2021-03-21T09:10:28Z,SWR86,"47.452766,8.555726",0,7,109
1616317835,2021-03-21T09:10:35Z,SWR86,"47.452839,8.555409",0,7,115
1616317848,2021-03-21T09:10:48Z,SWR86,"47.453007,8.554831",0,7,126
1616317860,2021-03-21T09:11:00Z,SWR86,"47.453197,8.554371",0,6,143
1616317869,2021-03-21T09:11:09Z,SWR86,"47.453373,8.554159",0,5,154
1616318021,2021-03-21T09:13:41Z,SWR86,"47.453018,8.554401",0,6,154
1616318029,2021-03-21T09:13:49Z,SWR86,"47.452801,8.554539",0,7,154
1616318037,2021-03-21T09:13:57Z,SWR86,"47.452572,8.554693",0,8,154
1616318043,2021-03-21T09:14:03Z,SWR86,"47.452343,8.554865",0,8,154
1616318054,2021-03-21T09:14:14Z,SWR86,"47.452023,8.555093",0,8,154
1616318099,2021-03-21T09:14:59Z,SWR86,"47.450455,8.556152",0,11,154
1616318107,2021-03-21T09:15:07Z,SWR86,"47.449997,8.556483",0,13,154
1616318114,2021-03-21T09:15:14Z,SWR86,"47.449642,8.556736",0,13,154
1616318170,2021-03-21T09:16:10Z,SWR86,"47.446758,8.558659",0,11,160
1616318176,2021-03-21T09:16:16Z,SWR86,"47.446518,8.558624",0,8,177
1616318186,2021-03-21T09:16:26Z,SWR86,"47.446232,8.558315",0,7,210
1616318191,2021-03-21T09:16:31Z,SWR86,"47.446152,8.558109",0,7,225
1616318195,2021-03-21T09:16:35Z,SWR86,"47.446095,8.557886",0,8,236
1616318201,2021-03-21T09:16:41Z,SWR86,"47.446018,8.557611",0,9,241
1616318205,2021-03-21T09:16:45Z,SWR86,"47.445923,8.557337",0,9,244
1616318210,2021-03-21T09:16:50Z,SWR86,"47.445843,8.557064",0,9,244
1616318217,2021-03-21T09:16:57Z,SWR86,"47.445751,8.556712",0,7,247
1616318237,2021-03-21T09:17:17Z,SWR86,"47.446163,8.556324",0,4,331
1616318542,2021-03-21T09:22:22Z,SWR86,"47.446426,8.556131",0,11,334
1616318552,2021-03-21T09:22:32Z,SWR86,"47.447659,8.555286",0,43,334
1616318562,2021-03-21T09:22:42Z,SWR86,"47.451244,8.552804",0,88,334
1616318578,2021-03-21T09:22:58Z,SWR86,"47.459866,8.54687",1100,145,334
1616318585,2021-03-21T09:23:05Z,SWR86,"47.464195,8.543913",1200,164,334
1616318594,2021-03-21T09:23:14Z,SWR86,"47.470432,8.539546",1550,166,334
1616318612,2021-03-21T09:23:32Z,SWR86,"47.482819,8.531021",2325,163,334
1616318618,2021-03-21T09:23:38Z,SWR86,"47.487076,8.528069",2575,164,335
1616318627,2021-03-21T09:23:47Z,SWR86,"47.493244,8.523771",2950,164,334
1616318642,2021-03-21T09:24:02Z,SWR86,"47.503235,8.516327",3425,161,333
1616318649,2021-03-21T09:24:09Z,SWR86,"47.508186,8.512714",3550,165,333
1616318654,2021-03-21T09:24:14Z,SWR86,"47.511353,8.510461",3625,166,334
1616318663,2021-03-21T09:24:23Z,SWR86,"47.517826,8.505742",3875,165,333
1616318683,2021-03-21T09:24:43Z,SWR86,"47.529602,8.491814",4300,167,312
1616318687,2021-03-21T09:24:47Z,SWR86,"47.531479,8.48838",4375,166,308
1616318690,2021-03-21T09:24:50Z,SWR86,"47.532955,8.485107",4450,166,304
1616318699,2021-03-21T09:24:59Z,SWR86,"47.536118,8.47574",4625,169,293
1616318704,2021-03-21T09:25:04Z,SWR86,"47.537189,8.470881",4700,171,288
1616318705,2021-03-21T09:25:05Z,SWR86,"47.537476,8.469086",4725,172,284
1616318708,2021-03-21T09:25:08Z,SWR86,"47.537842,8.4656",4775,173,280
1616318720,2021-03-21T09:25:20Z,SWR86,"47.538345,8.451096",4900,185,270
1616318722,2021-03-21T09:25:22Z,SWR86,"47.538353,8.449261",4900,186,270
1616318724,2021-03-21T09:25:24Z,SWR86,"47.538307,8.445881",4925,188,269
1616318726,2021-03-21T09:25:26Z,SWR86,"47.538261,8.443134",4950,191,269
1616318728,2021-03-21T09:25:28Z,SWR86,"47.538254,8.440933",4950,192,269
1616318732,2021-03-21T09:25:32Z,SWR86,"47.538208,8.435371",5000,195,269
1616318733,2021-03-21T09:25:33Z,SWR86,"47.538216,8.433908",5025,196,269
1616318736,2021-03-21T09:25:36Z,SWR86,"47.538166,8.429824",5050,198,269
1616318737,2021-03-21T09:25:37Z,SWR86,"47.538162,8.42926",5075,199,269
1616318749,2021-03-21T09:25:49Z,SWR86,"47.537842,8.411865",5250,209,268
1616318761,2021-03-21T09:26:01Z,SWR86,"47.537376,8.394963",5425,220,267
1616318775,2021-03-21T09:26:15Z,SWR86,"47.536819,8.371582",5700,235,267
1616318787,2021-03-21T09:26:27Z,SWR86,"47.536259,8.351652",6025,244,267
1616318800,2021-03-21T09:26:40Z,SWR86,"47.535793,8.331158",6275,254,267
1616318812,2021-03-21T09:26:52Z,SWR86,"47.535324,8.309372",6575,262,268
1616318822,2021-03-21T09:27:02Z,SWR86,"47.534908,8.289607",6925,268,267
1616318835,2021-03-21T09:27:15Z,SWR86,"47.534225,8.267143",7300,274,267
1616318847,2021-03-21T09:27:27Z,SWR86,"47.533558,8.24376",7550,284,267
1616318863,2021-03-21T09:27:43Z,SWR86,"47.532722,8.21221",8150,288,267
1616318875,2021-03-21T09:27:55Z,SWR86,"47.531975,8.18728",8700,288,267
1616318889,2021-03-21T09:28:09Z,SWR86,"47.531204,8.1614",9250,288,267
1616318900,2021-03-21T09:28:20Z,SWR86,"47.530609,8.139839",9675,290,267
1616318912,2021-03-21T09:28:32Z,SWR86,"47.529976,8.115305",10175,291,267
1616318924,2021-03-21T09:28:44Z,SWR86,"47.529327,8.091499",10500,296,267
1616318936,2021-03-21T09:28:56Z,SWR86,"47.528687,8.066299",10675,309,267
1616318951,2021-03-21T09:29:11Z,SWR86,"47.52774,8.032766",10925,323,267
1616318962,2021-03-21T09:29:22Z,SWR86,"47.527042,8.007977",11075,334,267
1616318972,2021-03-21T09:29:32Z,SWR86,"47.526306,7.984657",11225,343,267
1616318984,2021-03-21T09:29:44Z,SWR86,"47.525436,7.955818",11425,352,267
1616318997,2021-03-21T09:29:57Z,SWR86,"47.524529,7.925931",11725,359,267
1616319010,2021-03-21T09:30:10Z,SWR86,"47.523514,7.894226",12125,363,267
1616319041,2021-03-21T09:30:41Z,SWR86,"47.52113,7.816421",13250,368,267
1616319073,2021-03-21T09:31:13Z,SWR86,"47.51857,7.734444",14350,372,267
1616319105,2021-03-21T09:31:45Z,SWR86,"47.515915,7.651703",15375,378,267
1616319127,2021-03-21T09:32:07Z,SWR86,"47.51619,7.596359",16025,375,277
1616319129,2021-03-21T09:32:09Z,SWR86,"47.516876,7.590591",16100,373,279
1616319130,2021-03-21T09:32:10Z,SWR86,"47.517105,7.589355",16125,373,279
1616319132,2021-03-21T09:32:12Z,SWR86,"47.518059,7.583313",16200,371,283
1616319136,2021-03-21T09:32:16Z,SWR86,"47.519592,7.575566",16325,370,285
1616319140,2021-03-21T09:32:20Z,SWR86,"47.521828,7.565284",16475,368,287
1616319141,2021-03-21T09:32:21Z,SWR86,"47.522598,7.561821",16500,368,288
1616319145,2021-03-21T09:32:25Z,SWR86,"47.52425,7.554509",16600,368,288
1616319147,2021-03-21T09:32:27Z,SWR86,"47.52594,7.546989",16700,368,288
1616319148,2021-03-21T09:32:28Z,SWR86,"47.526249,7.545636",16725,368,288
1616319151,2021-03-21T09:32:31Z,SWR86,"47.527817,7.538612",16825,369,288
1616319154,2021-03-21T09:32:34Z,SWR86,"47.529327,7.531883",16900,369,288
1616319157,2021-03-21T09:32:37Z,SWR86,"47.530975,7.524399",17000,370,288
1616319189,2021-03-21T09:33:09Z,SWR86,"47.547821,7.447769",17875,376,287
1616319217,2021-03-21T09:33:37Z,SWR86,"47.563522,7.376083",18650,381,287
1616319282,2021-03-21T09:34:42Z,SWR86,"47.598545,7.215835",20475,387,287
1616319345,2021-03-21T09:35:45Z,SWR86,"47.634338,7.050888",21550,408,287
1616319410,2021-03-21T09:36:50Z,SWR86,"47.671829,6.876274",22800,421,287
1616319471,2021-03-21T09:37:51Z,SWR86,"47.708084,6.706378",23950,430,287
1616319532,2021-03-21T09:38:52Z,SWR86,"47.744385,6.534119",25200,436,287
1616319596,2021-03-21T09:39:56Z,SWR86,"47.783127,6.349464",26300,443,287
1616319657,2021-03-21T09:40:57Z,SWR86,"47.820465,6.169373",27250,450,287
1616319717,2021-03-21T09:41:57Z,SWR86,"47.857563,5.988887",28025,459,286
1616319784,2021-03-21T09:43:04Z,SWR86,"47.898834,5.786156",28775,469,286
1616319849,2021-03-21T09:44:09Z,SWR86,"47.939117,5.586273",29700,471,286
1616319911,2021-03-21T09:45:11Z,SWR86,"47.977386,5.394569",30900,465,286
1616319973,2021-03-21T09:46:13Z,SWR86,"48.014786,5.205597",32275,455,286
1616320033,2021-03-21T09:47:13Z,SWR86,"48.050335,5.023921",33450,450,286
1616320096,2021-03-21T09:48:16Z,SWR86,"48.086552,4.835041",34000,458,285
1616320157,2021-03-21T09:49:17Z,SWR86,"48.121124,4.650856",34000,450,285
1616320221,2021-03-21T09:50:21Z,SWR86,"48.156372,4.461754",34000,450,285
1616320290,2021-03-21T09:51:30Z,SWR86,"48.194641,4.253751",34000,451,285
1616320351,2021-03-21T09:52:31Z,SWR86,"48.228352,4.068555",34000,454,285
1616320412,2021-03-21T09:53:32Z,SWR86,"48.261703,3.883526",34000,454,285
1616320474,2021-03-21T09:54:34Z,SWR86,"48.297729,3.695702",34000,454,287
1616320534,2021-03-21T09:55:34Z,SWR86,"48.334492,3.513529",34000,454,286
1616320596,2021-03-21T09:56:36Z,SWR86,"48.370987,3.329074",34000,456,286
1616320658,2021-03-21T09:57:38Z,SWR86,"48.408367,3.138259",34000,454,286
1616320719,2021-03-21T09:58:39Z,SWR86,"48.44371,2.956167",34000,452,286
1616320782,2021-03-21T09:59:42Z,SWR86,"48.480469,2.76447",34000,454,286
1616320844,2021-03-21T10:00:44Z,SWR86,"48.516632,2.574463",34000,454,285
1616320906,2021-03-21T10:01:46Z,SWR86,"48.551743,2.388259",34000,457,285
1616320967,2021-03-21T10:02:47Z,SWR86,"48.587036,2.198745",34000,456,285
1616321031,2021-03-21T10:03:51Z,SWR86,"48.622559,2.00592",34000,455,285
1616321094,2021-03-21T10:04:54Z,SWR86,"48.657806,1.813026",34000,455,285
1616321157,2021-03-21T10:05:57Z,SWR86,"48.692711,1.62005",34000,463,285
1616321219,2021-03-21T10:06:59Z,SWR86,"48.728649,1.418899",34000,475,285
1616321280,2021-03-21T10:08:00Z,SWR86,"48.763237,1.223385",34000,475,285
1616321341,2021-03-21T10:09:01Z,SWR86,"48.797405,1.028089",34000,475,284
1616321406,2021-03-21T10:10:06Z,SWR86,"48.833588,0.81827",34000,477,284
1616321467,2021-03-21T10:11:07Z,SWR86,"48.867279,0.620798",34000,476,284
1616321530,2021-03-21T10:12:10Z,SWR86,"48.901588,0.41777",34000,476,284
1616321594,2021-03-21T10:13:14Z,SWR86,"48.935944,0.211909",34000,478,284
1616321656,2021-03-21T10:14:16Z,SWR86,"48.969131,0.010423",34000,479,284
1616321718,2021-03-21T10:15:18Z,SWR86,"49.002144,-0.192333",34000,478,283
1616321782,2021-03-21T10:16:22Z,SWR86,"49.035873,-0.401705",34000,477,283
1616321848,2021-03-21T10:17:28Z,SWR86,"49.069748,-0.614882",34000,476,283
1616321911,2021-03-21T10:18:31Z,SWR86,"49.102089,-0.8213",34000,478,283
1616321972,2021-03-21T10:19:32Z,SWR86,"49.132965,-1.02032",34000,478,283
1616322033,2021-03-21T10:20:33Z,SWR86,"49.164097,-1.224108",34000,477,283
1616322097,2021-03-21T10:21:37Z,SWR86,"49.195568,-1.432343",34000,476,282
1616322161,2021-03-21T10:22:41Z,SWR86,"49.226898,-1.642817",34000,476,282
1616322224,2021-03-21T10:23:44Z,SWR86,"49.257248,-1.849576",34000,477,282
1616322285,2021-03-21T10:24:45Z,SWR86,"49.28616,-2.048733",34000,479,282
1616322350,2021-03-21T10:25:50Z,SWR86,"49.31707,-2.264774",34000,478,282
1616322412,2021-03-21T10:26:52Z,SWR86,"49.346115,-2.470912",34000,477,282
1616322473,2021-03-21T10:27:53Z,SWR86,"49.373631,-2.668449",34000,472,281
1616322534,2021-03-21T10:28:54Z,SWR86,"49.400955,-2.867648",34000,468,281
1616322600,2021-03-21T10:30:00Z,SWR86,"49.429871,-3.080581",34000,467,281
1616322664,2021-03-21T10:31:04Z,SWR86,"49.457748,-3.289827",34000,465,281
1616322725,2021-03-21T10:32:05Z,SWR86,"49.483727,-3.487268",34000,464,281
1616322790,2021-03-21T10:33:10Z,SWR86,"49.51091,-3.697345",34000,465,281
1616322854,2021-03-21T10:34:14Z,SWR86,"49.537216,-3.903399",34000,467,280
1616322916,2021-03-21T10:35:16Z,SWR86,"49.562817,-4.106511",34000,468,280
1616322977,2021-03-21T10:36:17Z,SWR86,"49.595535,-4.300063",34000,459,290
1616323039,2021-03-21T10:37:19Z,SWR86,"49.654572,-4.479527",34000,450,302
1616323099,2021-03-21T10:38:19Z,SWR86,"49.717045,-4.647959",34000,453,294
1616323163,2021-03-21T10:39:23Z,SWR86,"49.760757,-4.841036",34000,456,287
