Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616310736,2021-03-21T07:12:16Z,MPH7552,"25.789581,-80.285721",0,17,87
1616311012,2021-03-21T07:16:52Z,MPH7552,"25.784586,-80.330582",825,186,263
1616311043,2021-03-21T07:17:23Z,MPH7552,"25.780537,-80.361412",1600,203,261
1616311115,2021-03-21T07:18:35Z,MPH7552,"25.767094,-80.418938",3400,215,271
1616311173,2021-03-21T07:19:33Z,MPH7552,"25.799723,-80.443085",4000,228,344
1616311195,2021-03-21T07:19:55Z,MPH7552,"25.867449,-80.411415",4575,274,26
1616311242,2021-03-21T07:20:42Z,MPH7552,"25.926086,-80.379349",5750,313,26
1616311255,2021-03-21T07:20:55Z,MPH7552,"25.942026,-80.369637",5950,326,33
1616311258,2021-03-21T07:20:58Z,MPH7552,"25.94696,-80.365456",5975,331,39
1616311262,2021-03-21T07:21:02Z,MPH7552,"25.950312,-80.362083",6000,333,42
1616311265,2021-03-21T07:21:05Z,MPH7552,"25.953571,-80.358337",6075,336,46
1616311267,2021-03-21T07:21:07Z,MPH7552,"25.956711,-80.354057",6100,338,50
1616311273,2021-03-21T07:21:13Z,MPH7552,"25.961763,-80.345444",6200,344,60
1616311277,2021-03-21T07:21:17Z,MPH7552,"25.964584,-80.33918",6300,346,64
1616311281,2021-03-21T07:21:21Z,MPH7552,"25.966419,-80.334305",6375,349,69
1616311287,2021-03-21T07:21:27Z,MPH7552,"25.969585,-80.323265",6500,354,74
1616311290,2021-03-21T07:21:30Z,MPH7552,"25.970856,-80.317886",6525,356,76
1616311296,2021-03-21T07:21:36Z,MPH7552,"25.973076,-80.306358",6625,363,78
1616311300,2021-03-21T07:21:40Z,MPH7552,"25.974054,-80.300606",6675,366,79
1616311303,2021-03-21T07:21:43Z,MPH7552,"25.975031,-80.295006",6700,370,79
1616311305,2021-03-21T07:21:45Z,MPH7552,"25.976055,-80.289139",6775,373,79
1616311318,2021-03-21T07:21:58Z,MPH7552,"25.980665,-80.264687",7100,383,77
1616311331,2021-03-21T07:22:11Z,MPH7552,"25.985739,-80.241714",7650,383,75
1616311343,2021-03-21T07:22:23Z,MPH7552,"25.990768,-80.215691",8150,388,79
1616311356,2021-03-21T07:22:36Z,MPH7552,"25.993698,-80.189842",8525,393,85
1616311359,2021-03-21T07:22:39Z,MPH7552,"25.994072,-80.183609",8650,394,86
1616311362,2021-03-21T07:22:42Z,MPH7552,"25.994339,-80.177391",8775,395,87
1616311374,2021-03-21T07:22:54Z,MPH7552,"25.994864,-80.151657",9275,397,88
1616311388,2021-03-21T07:23:08Z,MPH7552,"25.995895,-80.12619",9750,400,86
1616311403,2021-03-21T07:23:23Z,MPH7552,"25.997543,-80.093803",10275,406,86
1616311417,2021-03-21T07:23:37Z,MPH7552,"25.9991,-80.064987",10700,411,86
1616311429,2021-03-21T07:23:49Z,MPH7552,"26.000357,-80.040421",11075,416,86
1616311448,2021-03-21T07:24:08Z,MPH7552,"26.003754,-79.998901",11700,424,81
1616311458,2021-03-21T07:24:18Z,MPH7552,"26.007751,-79.976219",12075,428,77
1616311481,2021-03-21T07:24:41Z,MPH7552,"26.021027,-79.927505",12925,432,69
1616311483,2021-03-21T07:24:43Z,MPH7552,"26.021805,-79.925224",12975,432,69
1616311514,2021-03-21T07:25:14Z,MPH7552,"26.046478,-79.860291",14175,437,67
1616311545,2021-03-21T07:25:45Z,MPH7552,"26.071209,-79.794968",15275,441,67
1616311577,2021-03-21T07:26:17Z,MPH7552,"26.096439,-79.728889",16300,446,66
1616311609,2021-03-21T07:26:49Z,MPH7552,"26.122231,-79.661392",17300,453,66
1616311641,2021-03-21T07:27:21Z,MPH7552,"26.149063,-79.591331",18225,459,67
1616311703,2021-03-21T07:28:23Z,MPH7552,"26.201797,-79.453072",19900,471,67
1616311765,2021-03-21T07:29:25Z,MPH7552,"26.255043,-79.313049",21400,483,67
1616311826,2021-03-21T07:30:26Z,MPH7552,"26.308731,-79.171364",22725,494,67
