Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616303055,2021-03-21T05:04:15Z,QTR8UH,"25.266006,51.610622",0,0,67
1616303160,2021-03-21T05:06:00Z,QTR8UH,"25.265911,51.610374",0,10,73
1616303178,2021-03-21T05:06:18Z,QTR8UH,"25.265831,51.610115",0,11,75
1616303193,2021-03-21T05:06:33Z,QTR8UH,"25.265785,51.609905",0,10,73
1616303208,2021-03-21T05:06:48Z,QTR8UH,"25.265738,51.609688",0,10,70
1616303223,2021-03-21T05:07:03Z,QTR8UH,"25.265703,51.609482",0,3,67
1616303235,2021-03-21T05:07:15Z,QTR8UH,"25.265659,51.60928",0,3,56
1616303253,2021-03-21T05:07:33Z,QTR8UH,"25.265598,51.609028",0,3,33
1616303273,2021-03-21T05:07:53Z,QTR8UH,"25.265408,51.60881",0,3,11
1616303290,2021-03-21T05:08:10Z,QTR8UH,"25.265202,51.608723",0,3,357
1616303308,2021-03-21T05:08:28Z,QTR8UH,"25.264982,51.608665",0,2,337
1616303521,2021-03-21T05:12:01Z,QTR8UH,"25.265213,51.608326",0,6,309
1616303529,2021-03-21T05:12:09Z,QTR8UH,"25.265261,51.608109",0,6,295
1616303553,2021-03-21T05:12:33Z,QTR8UH,"25.265568,51.607296",0,8,292
1616303564,2021-03-21T05:12:44Z,QTR8UH,"25.265726,51.606892",0,8,292
1616303582,2021-03-21T05:13:02Z,QTR8UH,"25.26598,51.606216",0,7,292
1616303587,2021-03-21T05:13:07Z,QTR8UH,"25.265945,51.605999",0,8,275
1616303599,2021-03-21T05:13:19Z,QTR8UH,"25.265738,51.605595",0,8,247
1616303606,2021-03-21T05:13:26Z,QTR8UH,"25.265659,51.605301",0,9,253
1616303623,2021-03-21T05:13:43Z,QTR8UH,"25.266174,51.604832",0,9,326
1616303631,2021-03-21T05:13:51Z,QTR8UH,"25.266506,51.604702",0,9,337
1616303648,2021-03-21T05:14:08Z,QTR8UH,"25.267204,51.604404",0,9,337
1616303659,2021-03-21T05:14:19Z,QTR8UH,"25.267593,51.604233",0,9,337
1616303672,2021-03-21T05:14:32Z,QTR8UH,"25.268101,51.604015",0,9,337
1616303687,2021-03-21T05:14:47Z,QTR8UH,"25.268703,51.603748",0,10,337
1616303695,2021-03-21T05:14:55Z,QTR8UH,"25.269047,51.603596",0,10,337
1616303725,2021-03-21T05:15:25Z,QTR8UH,"25.270432,51.602974",0,10,337
1616303743,2021-03-21T05:15:43Z,QTR8UH,"25.271046,51.603199",0,9,36
1616303756,2021-03-21T05:15:56Z,QTR8UH,"25.271208,51.603783",0,9,67
1616303764,2021-03-21T05:16:04Z,QTR8UH,"25.271336,51.604118",0,10,67
1616303776,2021-03-21T05:16:16Z,QTR8UH,"25.271557,51.604725",0,11,67
1616303791,2021-03-21T05:16:31Z,QTR8UH,"25.271851,51.605541",0,12,67
1616303798,2021-03-21T05:16:38Z,QTR8UH,"25.272011,51.605988",0,13,67
1616303805,2021-03-21T05:16:45Z,QTR8UH,"25.272171,51.606407",0,13,67
1616303821,2021-03-21T05:17:01Z,QTR8UH,"25.272549,51.607437",0,14,67
1616303830,2021-03-21T05:17:10Z,QTR8UH,"25.272779,51.608082",0,15,67
1616303849,2021-03-21T05:17:29Z,QTR8UH,"25.273302,51.609531",0,16,67
1616303855,2021-03-21T05:17:35Z,QTR8UH,"25.273476,51.609993",0,16,67
1616303862,2021-03-21T05:17:42Z,QTR8UH,"25.273653,51.610493",0,17,67
1616303868,2021-03-21T05:17:48Z,QTR8UH,"25.273827,51.610985",0,17,67
1616303874,2021-03-21T05:17:54Z,QTR8UH,"25.274014,51.611481",0,17,67
1616303879,2021-03-21T05:17:59Z,QTR8UH,"25.274197,51.611965",0,18,67
1616303886,2021-03-21T05:18:06Z,QTR8UH,"25.274385,51.612514",0,18,67
1616303891,2021-03-21T05:18:11Z,QTR8UH,"25.274574,51.612995",0,18,67
1616303897,2021-03-21T05:18:17Z,QTR8UH,"25.27478,51.613564",0,19,67
1616303904,2021-03-21T05:18:24Z,QTR8UH,"25.274986,51.614124",0,19,67
1616303910,2021-03-21T05:18:30Z,QTR8UH,"25.275166,51.614639",0,15,67
1616303915,2021-03-21T05:18:35Z,QTR8UH,"25.275305,51.615025",0,28,67
1616303922,2021-03-21T05:18:42Z,QTR8UH,"25.275421,51.615326",0,24,67
1616303928,2021-03-21T05:18:48Z,QTR8UH,"25.275513,51.615601",0,22,70
1616303933,2021-03-21T05:18:53Z,QTR8UH,"25.275513,51.615829",0,22,81
1616303939,2021-03-21T05:18:59Z,QTR8UH,"25.275352,51.616047",0,23,112
1616303945,2021-03-21T05:19:05Z,QTR8UH,"25.275112,51.616161",0,22,140
1616303952,2021-03-21T05:19:12Z,QTR8UH,"25.274862,51.61623",0,23,157
1616303958,2021-03-21T05:19:18Z,QTR8UH,"25.274632,51.616314",0,24,160
1616303964,2021-03-21T05:19:24Z,QTR8UH,"25.274357,51.61644",0,26,157
1616303969,2021-03-21T05:19:29Z,QTR8UH,"25.274071,51.616554",0,27,157
1616303976,2021-03-21T05:19:36Z,QTR8UH,"25.27375,51.616707",0,29,157
1616303982,2021-03-21T05:19:42Z,QTR8UH,"25.273443,51.61684",0,30,157
1616303988,2021-03-21T05:19:48Z,QTR8UH,"25.273087,51.617001",0,32,157
1616303994,2021-03-21T05:19:54Z,QTR8UH,"25.272732,51.617153",0,33,157
1616303999,2021-03-21T05:19:59Z,QTR8UH,"25.272388,51.617306",0,15,157
1616304005,2021-03-21T05:20:05Z,QTR8UH,"25.271954,51.617496",0,15,157
1616304012,2021-03-21T05:20:12Z,QTR8UH,"25.271534,51.617683",0,16,157
1616304018,2021-03-21T05:20:18Z,QTR8UH,"25.271095,51.617878",0,16,157
1616304023,2021-03-21T05:20:23Z,QTR8UH,"25.270697,51.618057",0,17,157
1616304032,2021-03-21T05:20:32Z,QTR8UH,"25.270056,51.618328",0,18,157
1616304039,2021-03-21T05:20:39Z,QTR8UH,"25.269505,51.618576",0,18,157
1616304048,2021-03-21T05:20:48Z,QTR8UH,"25.26873,51.618912",0,19,157
1616304054,2021-03-21T05:20:54Z,QTR8UH,"25.268288,51.619122",0,17,157
1616304059,2021-03-21T05:20:59Z,QTR8UH,"25.267914,51.619274",0,34,157
1616304069,2021-03-21T05:21:09Z,QTR8UH,"25.267387,51.619503",0,27,157
1616304076,2021-03-21T05:21:16Z,QTR8UH,"25.267021,51.619671",0,27,157
1616304090,2021-03-21T05:21:30Z,QTR8UH,"25.266357,51.619961",0,27,157
1616304097,2021-03-21T05:21:37Z,QTR8UH,"25.266041,51.620106",0,29,157
1616304117,2021-03-21T05:21:57Z,QTR8UH,"25.264961,51.620571",0,32,157
1616304122,2021-03-21T05:22:02Z,QTR8UH,"25.264584,51.62075",0,31,157
1616304128,2021-03-21T05:22:08Z,QTR8UH,"25.264286,51.620876",0,27,157
1616304138,2021-03-21T05:22:18Z,QTR8UH,"25.263853,51.621063",0,23,157
1616304144,2021-03-21T05:22:24Z,QTR8UH,"25.263611,51.62117",0,24,157
1616304161,2021-03-21T05:22:41Z,QTR8UH,"25.26297,51.621449",0,6,157
1616304243,2021-03-21T05:24:03Z,QTR8UH,"25.260292,51.622631",0,20,157
1616304252,2021-03-21T05:24:12Z,QTR8UH,"25.260006,51.622761",0,21,157
1616304257,2021-03-21T05:24:17Z,QTR8UH,"25.259804,51.622852",0,21,157
1616304301,2021-03-21T05:25:01Z,QTR8UH,"25.258427,51.623459",0,9,157
1616304308,2021-03-21T05:25:08Z,QTR8UH,"25.258196,51.623566",0,6,157
1616304330,2021-03-21T05:25:30Z,QTR8UH,"25.257877,51.623699",0,4,157
1616304344,2021-03-21T05:25:44Z,QTR8UH,"25.257614,51.623829",0,5,157
1616304355,2021-03-21T05:25:55Z,QTR8UH,"25.257324,51.623951",0,7,157
1616304362,2021-03-21T05:26:02Z,QTR8UH,"25.257122,51.624031",0,7,157
1616304435,2021-03-21T05:27:15Z,QTR8UH,"25.256346,51.624367",0,10,157
1616304451,2021-03-21T05:27:31Z,QTR8UH,"25.256102,51.624485",0,5,157
1616304461,2021-03-21T05:27:41Z,QTR8UH,"25.255863,51.624577",0,6,157
1616304468,2021-03-21T05:27:48Z,QTR8UH,"25.255657,51.624668",0,7,157
1616304483,2021-03-21T05:28:03Z,QTR8UH,"25.255199,51.62487",0,6,160
1616304494,2021-03-21T05:28:14Z,QTR8UH,"25.25502,51.625092",0,4,137
1616304525,2021-03-21T05:28:45Z,QTR8UH,"25.255142,51.625595",0,5,81
1616304538,2021-03-21T05:28:58Z,QTR8UH,"25.25531,51.625896",0,6,67
1616304550,2021-03-21T05:29:10Z,QTR8UH,"25.255474,51.626221",0,7,61
1616304557,2021-03-21T05:29:17Z,QTR8UH,"25.255613,51.626442",0,7,59
1616304571,2021-03-21T05:29:31Z,QTR8UH,"25.256001,51.626652",0,7,22
1616304582,2021-03-21T05:29:42Z,QTR8UH,"25.256289,51.626453",0,6,340
1616304609,2021-03-21T05:30:09Z,QTR8UH,"25.25701,51.626129",0,27,337
1616304619,2021-03-21T05:30:19Z,QTR8UH,"25.259033,51.625225",0,67,337
1616304638,2021-03-21T05:30:38Z,QTR8UH,"25.267485,51.62149",0,131,338
1616304644,2021-03-21T05:30:44Z,QTR8UH,"25.271255,51.619831",0,151,338
1616304651,2021-03-21T05:30:51Z,QTR8UH,"25.27597,51.617786",0,171,338
1616304660,2021-03-21T05:31:00Z,QTR8UH,"25.282892,51.614807",150,181,339
1616304666,2021-03-21T05:31:06Z,QTR8UH,"25.287735,51.612835",425,177,339
1616304671,2021-03-21T05:31:11Z,QTR8UH,"25.292084,51.611023",700,173,339
1616304686,2021-03-21T05:31:26Z,QTR8UH,"25.302351,51.606411",1350,167,336
1616304694,2021-03-21T05:31:34Z,QTR8UH,"25.308823,51.603405",1550,174,336
1616304701,2021-03-21T05:31:41Z,QTR8UH,"25.313431,51.601177",1600,182,336
1616304707,2021-03-21T05:31:47Z,QTR8UH,"25.318319,51.598846",1650,191,336
1616304719,2021-03-21T05:31:59Z,QTR8UH,"25.328701,51.594128",1775,206,338
1616304740,2021-03-21T05:32:20Z,QTR8UH,"25.348434,51.585693",2100,231,339
1616304746,2021-03-21T05:32:26Z,QTR8UH,"25.354752,51.58305",2275,235,339
1616304753,2021-03-21T05:32:33Z,QTR8UH,"25.362579,51.579845",2450,240,339
1616304768,2021-03-21T05:32:48Z,QTR8UH,"25.377823,51.573536",2700,245,339
1616304777,2021-03-21T05:32:57Z,QTR8UH,"25.388054,51.569878",2775,244,346
1616304779,2021-03-21T05:32:59Z,QTR8UH,"25.389175,51.569622",2775,244,346
1616304782,2021-03-21T05:33:02Z,QTR8UH,"25.392792,51.569061",2800,245,348
1616304785,2021-03-21T05:33:05Z,QTR8UH,"25.396294,51.56889",2825,247,358
1616304788,2021-03-21T05:33:08Z,QTR8UH,"25.400251,51.569256",2875,249,6
1616304791,2021-03-21T05:33:11Z,QTR8UH,"25.403648,51.569981",2900,252,13
1616304792,2021-03-21T05:33:12Z,QTR8UH,"25.404831,51.570282",2900,252,13
1616304795,2021-03-21T05:33:15Z,QTR8UH,"25.4077,51.571381",2925,255,20
1616304798,2021-03-21T05:33:18Z,QTR8UH,"25.410772,51.57283",2950,257,25
1616304802,2021-03-21T05:33:22Z,QTR8UH,"25.414869,51.57542",2975,260,33
1616304804,2021-03-21T05:33:24Z,QTR8UH,"25.417831,51.577862",3000,263,37
1616304806,2021-03-21T05:33:26Z,QTR8UH,"25.419197,51.579102",3000,264,41
1616304807,2021-03-21T05:33:27Z,QTR8UH,"25.420486,51.580456",3000,265,44
1616304811,2021-03-21T05:33:31Z,QTR8UH,"25.422958,51.583454",3025,268,49
1616304813,2021-03-21T05:33:33Z,QTR8UH,"25.425203,51.586666",3025,270,54
1616304816,2021-03-21T05:33:36Z,QTR8UH,"25.42717,51.589916",3025,272,58
1616304818,2021-03-21T05:33:38Z,QTR8UH,"25.428602,51.592625",3025,273,60
1616304821,2021-03-21T05:33:41Z,QTR8UH,"25.430325,51.596203",3025,274,62
1616304823,2021-03-21T05:33:43Z,QTR8UH,"25.431162,51.598118",3025,274,64
1616304824,2021-03-21T05:33:44Z,QTR8UH,"25.432047,51.60014",3025,275,64
1616304827,2021-03-21T05:33:47Z,QTR8UH,"25.433582,51.603821",3025,274,65
