Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616303203,2021-03-21T05:06:43Z,QTR713,"25.269556,51.612862",0,0,327
1616303710,2021-03-21T05:15:10Z,QTR713,"25.26947,51.61311",0,9,292
1616303729,2021-03-21T05:15:29Z,QTR713,"25.269417,51.613316",0,9,295
1616303747,2021-03-21T05:15:47Z,QTR713,"25.269402,51.613529",0,9,315
1616303770,2021-03-21T05:16:10Z,QTR713,"25.269323,51.61377",0,9,340
1616303813,2021-03-21T05:16:53Z,QTR713,"25.268904,51.614002",0,2,19
1616304069,2021-03-21T05:21:09Z,QTR713,"25.269196,51.614143",0,12,22
1616304083,2021-03-21T05:21:23Z,QTR713,"25.269417,51.614262",0,13,22
1616304096,2021-03-21T05:21:36Z,QTR713,"25.269711,51.614391",0,15,22
1616304107,2021-03-21T05:21:47Z,QTR713,"25.269951,51.614559",0,17,28
1616304117,2021-03-21T05:21:57Z,QTR713,"25.270103,51.614857",0,19,53
1616304126,2021-03-21T05:22:06Z,QTR713,"25.27022,51.61517",0,21,61
1616304131,2021-03-21T05:22:11Z,QTR713,"25.270288,51.615414",0,23,67
1616304137,2021-03-21T05:22:17Z,QTR713,"25.270374,51.61565",0,19,67
1616304147,2021-03-21T05:22:27Z,QTR713,"25.270477,51.615906",0,14,67
1616304162,2021-03-21T05:22:42Z,QTR713,"25.270603,51.616276",0,17,67
1616304168,2021-03-21T05:22:48Z,QTR713,"25.270683,51.616489",0,20,67
1616304176,2021-03-21T05:22:56Z,QTR713,"25.270798,51.616821",0,23,67
1616304183,2021-03-21T05:23:03Z,QTR713,"25.270912,51.617138",0,26,67
1616304189,2021-03-21T05:23:09Z,QTR713,"25.271027,51.617432",0,27,67
1616304197,2021-03-21T05:23:17Z,QTR713,"25.271049,51.61784",0,25,87
1616304207,2021-03-21T05:23:27Z,QTR713,"25.270683,51.618118",0,25,135
1616304216,2021-03-21T05:23:36Z,QTR713,"25.270266,51.61824",0,25,157
1616304222,2021-03-21T05:23:42Z,QTR713,"25.269997,51.618347",0,26,157
1616304227,2021-03-21T05:23:47Z,QTR713,"25.269756,51.61845",0,27,157
1616304234,2021-03-21T05:23:54Z,QTR713,"25.269447,51.618587",0,28,157
1616304242,2021-03-21T05:24:02Z,QTR713,"25.269001,51.618805",0,30,157
1616304267,2021-03-21T05:24:27Z,QTR713,"25.267502,51.619465",0,34,157
1616304271,2021-03-21T05:24:31Z,QTR713,"25.267263,51.619576",0,15,157
1616304278,2021-03-21T05:24:38Z,QTR713,"25.266798,51.619766",0,15,157
1616304288,2021-03-21T05:24:48Z,QTR713,"25.266083,51.62009",0,16,157
1616304299,2021-03-21T05:24:59Z,QTR713,"25.265272,51.620453",0,17,157
1616304304,2021-03-21T05:25:04Z,QTR713,"25.26487,51.620625",0,17,157
1616304312,2021-03-21T05:25:12Z,QTR713,"25.264297,51.620876",0,18,157
1616304318,2021-03-21T05:25:18Z,QTR713,"25.263771,51.621117",0,18,157
1616304341,2021-03-21T05:25:41Z,QTR713,"25.262072,51.621868",0,16,157
1616304419,2021-03-21T05:26:59Z,QTR713,"25.259228,51.623116",0,5,157
1616304442,2021-03-21T05:27:22Z,QTR713,"25.259024,51.623199",0,0,199
1616304483,2021-03-21T05:28:03Z,QTR713,"25.258816,51.623295",0,11,157
1616304512,2021-03-21T05:28:32Z,QTR713,"25.258209,51.623562",0,6,160
1616304526,2021-03-21T05:28:46Z,QTR713,"25.257778,51.623745",0,8,157
1616304540,2021-03-21T05:29:00Z,QTR713,"25.257277,51.623978",0,9,157
1616304560,2021-03-21T05:29:20Z,QTR713,"25.256847,51.624161",0,3,157
1616304572,2021-03-21T05:29:32Z,QTR713,"25.256638,51.624252",0,4,157
1616304589,2021-03-21T05:29:49Z,QTR713,"25.256266,51.62442",0,5,157
1616304602,2021-03-21T05:30:02Z,QTR713,"25.256001,51.624538",0,3,157
1616304787,2021-03-21T05:33:07Z,QTR713,"25.255749,51.624641",0,3,157
1616304818,2021-03-21T05:33:38Z,QTR713,"25.255194,51.624897",0,3,157
1616304832,2021-03-21T05:33:52Z,QTR713,"25.255062,51.625111",0,4,137
1616304850,2021-03-21T05:34:10Z,QTR713,"25.255108,51.625492",0,4,98
1616304860,2021-03-21T05:34:20Z,QTR713,"25.255177,51.625698",0,5,84
1616304886,2021-03-21T05:34:46Z,QTR713,"25.255531,51.626259",0,6,56
1616304894,2021-03-21T05:34:54Z,QTR713,"25.255772,51.626446",0,7,42
1616304907,2021-03-21T05:35:07Z,QTR713,"25.256104,51.626537",0,6,19
1616304914,2021-03-21T05:35:14Z,QTR713,"25.25631,51.626484",0,7,2
1616304925,2021-03-21T05:35:25Z,QTR713,"25.256742,51.626232",0,14,340
1616304941,2021-03-21T05:35:41Z,QTR713,"25.25972,51.624935",0,76,337
1616304987,2021-03-21T05:36:27Z,QTR713,"25.29007,51.611481",400,190,337
1616304996,2021-03-21T05:36:36Z,QTR713,"25.296999,51.608276",900,184,337
1616305002,2021-03-21T05:36:42Z,QTR713,"25.30188,51.605988",1250,181,336
1616305014,2021-03-21T05:36:54Z,QTR713,"25.311401,51.601513",1475,194,336
1616305032,2021-03-21T05:37:12Z,QTR713,"25.327927,51.59383",1575,220,337
1616305041,2021-03-21T05:37:21Z,QTR713,"25.336533,51.590069",1650,234,338
1616305047,2021-03-21T05:37:27Z,QTR713,"25.34248,51.587547",1775,237,339
1616305056,2021-03-21T05:37:36Z,QTR713,"25.351837,51.583714",2175,235,340
1616305062,2021-03-21T05:37:42Z,QTR713,"25.358213,51.581173",2425,237,340
1616305072,2021-03-21T05:37:52Z,QTR713,"25.368828,51.576923",2700,241,339
1616305080,2021-03-21T05:38:00Z,QTR713,"25.377502,51.573383",2950,244,339
1616305086,2021-03-21T05:38:06Z,QTR713,"25.38382,51.57069",3150,246,338
1616305093,2021-03-21T05:38:13Z,QTR713,"25.390915,51.567585",3375,248,337
1616305099,2021-03-21T05:38:19Z,QTR713,"25.397039,51.564953",3575,249,339
1616305104,2021-03-21T05:38:24Z,QTR713,"25.402811,51.563087",3800,250,347
