Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616302750,2021-03-21T04:59:10Z,QTR725,"25.270271,51.613224",0,0,180
1616303200,2021-03-21T05:06:40Z,QTR725,"25.270206,51.613434",0,2,292
1616303220,2021-03-21T05:07:00Z,QTR725,"25.270149,51.61364",0,9,298
1616303238,2021-03-21T05:07:18Z,QTR725,"25.270145,51.613857",0,9,317
1616303259,2021-03-21T05:07:39Z,QTR725,"25.270033,51.614082",0,9,343
1616303283,2021-03-21T05:08:03Z,QTR725,"25.2698,51.614223",0,9,152
1616303305,2021-03-21T05:08:25Z,QTR725,"25.269579,51.614315",0,2,22
1616303514,2021-03-21T05:11:54Z,QTR725,"25.269814,51.614429",0,10,25
1616303536,2021-03-21T05:12:16Z,QTR725,"25.270065,51.614735",0,17,59
1616303545,2021-03-21T05:12:25Z,QTR725,"25.270161,51.615002",0,20,59
1616303550,2021-03-21T05:12:30Z,QTR725,"25.270237,51.615208",0,22,64
1616303557,2021-03-21T05:12:37Z,QTR725,"25.27037,51.61557",0,25,67
1616303563,2021-03-21T05:12:43Z,QTR725,"25.270475,51.615856",0,27,67
1616303571,2021-03-21T05:12:51Z,QTR725,"25.270649,51.616322",0,30,67
1616303578,2021-03-21T05:12:58Z,QTR725,"25.270802,51.616737",0,32,67
1616303583,2021-03-21T05:13:03Z,QTR725,"25.270924,51.617077",0,34,67
1616303590,2021-03-21T05:13:10Z,QTR725,"25.27108,51.617527",0,26,67
1616303596,2021-03-21T05:13:16Z,QTR725,"25.271069,51.617813",0,27,87
1616303602,2021-03-21T05:13:22Z,QTR725,"25.270802,51.618057",0,28,126
1616303612,2021-03-21T05:13:32Z,QTR725,"25.270311,51.61824",0,27,154
1616303617,2021-03-21T05:13:37Z,QTR725,"25.270044,51.618343",0,28,157
1616303623,2021-03-21T05:13:43Z,QTR725,"25.269741,51.618473",0,29,160
1616303629,2021-03-21T05:13:49Z,QTR725,"25.26944,51.618603",0,30,157
1616303637,2021-03-21T05:13:57Z,QTR725,"25.268915,51.618847",0,32,157
1616303643,2021-03-21T05:14:03Z,QTR725,"25.268566,51.619007",0,33,157
1616303655,2021-03-21T05:14:15Z,QTR725,"25.267834,51.619316",0,34,157
1616303667,2021-03-21T05:14:27Z,QTR725,"25.267054,51.619663",0,15,157
1616303688,2021-03-21T05:14:48Z,QTR725,"25.26553,51.620338",0,17,157
1616303705,2021-03-21T05:15:05Z,QTR725,"25.264275,51.620876",0,18,157
1616303711,2021-03-21T05:15:11Z,QTR725,"25.263748,51.621117",0,18,157
1616303729,2021-03-21T05:15:29Z,QTR725,"25.262238,51.621792",0,20,157
1616303739,2021-03-21T05:15:39Z,QTR725,"25.261414,51.62215",0,20,157
1616303754,2021-03-21T05:15:54Z,QTR725,"25.260178,51.622696",0,15,157
1616303759,2021-03-21T05:15:59Z,QTR725,"25.259914,51.62281",0,21,157
1616303768,2021-03-21T05:16:08Z,QTR725,"25.25964,51.622925",0,18,157
1616303780,2021-03-21T05:16:20Z,QTR725,"25.259233,51.623112",0,21,157
1616303786,2021-03-21T05:16:26Z,QTR725,"25.259024,51.623199",0,22,157
1616303792,2021-03-21T05:16:32Z,QTR725,"25.258791,51.623306",0,23,157
1616303798,2021-03-21T05:16:38Z,QTR725,"25.258553,51.623409",0,24,157
1616303805,2021-03-21T05:16:45Z,QTR725,"25.258301,51.623524",0,25,157
1616303829,2021-03-21T05:17:09Z,QTR725,"25.257786,51.623753",0,2,157
1616303847,2021-03-21T05:17:27Z,QTR725,"25.257568,51.623837",0,12,157
1616303861,2021-03-21T05:17:41Z,QTR725,"25.257301,51.623966",0,5,157
1616303881,2021-03-21T05:18:01Z,QTR725,"25.256882,51.624146",0,3,157
1616303897,2021-03-21T05:18:17Z,QTR725,"25.256641,51.624249",0,4,157
1616303911,2021-03-21T05:18:31Z,QTR725,"25.256346,51.624382",0,6,157
1616303919,2021-03-21T05:18:39Z,QTR725,"25.256136,51.62447",0,6,157
1616303934,2021-03-21T05:18:54Z,QTR725,"25.255772,51.62463",0,4,157
1616303966,2021-03-21T05:19:26Z,QTR725,"25.255566,51.624718",0,3,157
1616303983,2021-03-21T05:19:43Z,QTR725,"25.255245,51.624859",0,5,160
1616303993,2021-03-21T05:19:53Z,QTR725,"25.255074,51.625072",0,7,140
1616304009,2021-03-21T05:20:09Z,QTR725,"25.255177,51.62566",0,7,84
1616304027,2021-03-21T05:20:27Z,QTR725,"25.25552,51.626244",0,8,56
1616304034,2021-03-21T05:20:34Z,QTR725,"25.255726,51.626408",0,9,42
1616304039,2021-03-21T05:20:39Z,QTR725,"25.255928,51.626465",0,9,28
1616304044,2021-03-21T05:20:44Z,QTR725,"25.256172,51.626434",0,12,8
1616304054,2021-03-21T05:20:54Z,QTR725,"25.256824,51.626194",0,20,340
1616304057,2021-03-21T05:20:57Z,QTR725,"25.257137,51.626053",0,29,340
1616304060,2021-03-21T05:21:00Z,QTR725,"25.257639,51.625843",0,43,337
1616304066,2021-03-21T05:21:06Z,QTR725,"25.259081,51.625195",0,68,337
1616304068,2021-03-21T05:21:08Z,QTR725,"25.259743,51.624908",0,76,337
1616304147,2021-03-21T05:22:27Z,QTR725,"25.316071,51.600597",1675,187,337
1616304159,2021-03-21T05:22:39Z,QTR725,"25.325958,51.596119",1800,202,337
1616304168,2021-03-21T05:22:48Z,QTR725,"25.334146,51.592419",1975,210,337
1616304176,2021-03-21T05:22:56Z,QTR725,"25.341455,51.589153",2100,218,337
1616304181,2021-03-21T05:23:01Z,QTR725,"25.346809,51.586769",2175,223,337
1616304188,2021-03-21T05:23:08Z,QTR725,"25.353287,51.583912",2250,233,339
1616304194,2021-03-21T05:23:14Z,QTR725,"25.358871,51.582081",2325,237,345
1616304195,2021-03-21T05:23:15Z,QTR725,"25.360262,51.581745",2350,240,349
1616304200,2021-03-21T05:23:20Z,QTR725,"25.365988,51.581017",2500,243,355
1616304202,2021-03-21T05:23:22Z,QTR725,"25.369354,51.58086",2575,245,357
1616304206,2021-03-21T05:23:26Z,QTR725,"25.373018,51.580757",2700,246,359
1616304209,2021-03-21T05:23:29Z,QTR725,"25.375671,51.580708",2775,247,359
1616304212,2021-03-21T05:23:32Z,QTR725,"25.380157,51.580658",2925,247,359
