Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616302942,2021-03-21T05:02:22Z,QTR729,"25.265831,51.61227",0,0,89
1616303151,2021-03-21T05:05:51Z,QTR729,"25.266048,51.613083",0,9,219
1616303171,2021-03-21T05:06:11Z,QTR729,"25.266134,51.613316",0,9,191
1616303200,2021-03-21T05:06:40Z,QTR729,"25.266335,51.613491",0,0,26
1616303523,2021-03-21T05:12:03Z,QTR729,"25.263977,51.615284",0,26,84
1616303529,2021-03-21T05:12:09Z,QTR729,"25.264103,51.615574",0,25,73
1616303535,2021-03-21T05:12:15Z,QTR729,"25.264206,51.615879",0,26,70
1616303545,2021-03-21T05:12:25Z,QTR729,"25.2644,51.616402",0,27,67
1616303552,2021-03-21T05:12:32Z,QTR729,"25.264538,51.616783",0,28,67
1616303580,2021-03-21T05:13:00Z,QTR729,"25.265039,51.618149",0,25,67
1616303600,2021-03-21T05:13:20Z,QTR729,"25.265388,51.619122",0,16,67
1616303754,2021-03-21T05:15:54Z,QTR729,"25.264273,51.620884",0,29,157
1616303761,2021-03-21T05:16:01Z,QTR729,"25.263908,51.621044",0,30,157
1616303767,2021-03-21T05:16:07Z,QTR729,"25.263632,51.621181",0,31,157
1616303789,2021-03-21T05:16:29Z,QTR729,"25.262306,51.621754",0,34,157
1616303805,2021-03-21T05:16:45Z,QTR729,"25.261265,51.622211",0,15,157
1616303818,2021-03-21T05:16:58Z,QTR729,"25.260269,51.622643",0,16,157
1616303825,2021-03-21T05:17:05Z,QTR729,"25.259903,51.62281",0,30,157
1616303831,2021-03-21T05:17:11Z,QTR729,"25.259605,51.622952",0,20,157
1616303845,2021-03-21T05:17:25Z,QTR729,"25.259399,51.623039",0,2,157
1616303887,2021-03-21T05:18:07Z,QTR729,"25.258766,51.623329",0,5,157
1616303903,2021-03-21T05:18:23Z,QTR729,"25.258337,51.623512",0,7,157
1616303911,2021-03-21T05:18:31Z,QTR729,"25.258095,51.623623",0,8,157
1616303919,2021-03-21T05:18:39Z,QTR729,"25.257786,51.623764",0,8,157
1616303925,2021-03-21T05:18:45Z,QTR729,"25.257557,51.623852",0,9,157
1616303932,2021-03-21T05:18:52Z,QTR729,"25.257313,51.623966",0,8,157
1616303944,2021-03-21T05:19:04Z,QTR729,"25.257057,51.624081",0,1,157
1616304003,2021-03-21T05:20:03Z,QTR729,"25.256765,51.62421",0,3,157
1616304022,2021-03-21T05:20:22Z,QTR729,"25.256416,51.624355",0,5,157
1616304031,2021-03-21T05:20:31Z,QTR729,"25.256195,51.624451",0,6,157
1616304040,2021-03-21T05:20:40Z,QTR729,"25.255943,51.624554",0,7,157
1616304049,2021-03-21T05:20:49Z,QTR729,"25.255659,51.62468",0,8,157
1616304061,2021-03-21T05:21:01Z,QTR729,"25.25523,51.624886",0,9,157
1616304069,2021-03-21T05:21:09Z,QTR729,"25.255085,51.625225",0,11,123
1616304074,2021-03-21T05:21:14Z,QTR729,"25.255125,51.625507",0,10,98
1616304081,2021-03-21T05:21:21Z,QTR729,"25.255205,51.625778",0,10,81
1616304094,2021-03-21T05:21:34Z,QTR729,"25.255451,51.626408",0,11,67
1616304098,2021-03-21T05:21:38Z,QTR729,"25.25552,51.62661",0,9,70
1616304105,2021-03-21T05:21:45Z,QTR729,"25.255772,51.62674",0,9,39
1616304112,2021-03-21T05:21:52Z,QTR729,"25.255985,51.626595",0,6,322
1616304121,2021-03-21T05:22:01Z,QTR729,"25.256195,51.626472",0,6,345
1616304133,2021-03-21T05:22:13Z,QTR729,"25.257156,51.626064",0,41,337
1616304138,2021-03-21T05:22:18Z,QTR729,"25.258427,51.625492",0,64,337
1616304140,2021-03-21T05:22:20Z,QTR729,"25.258987,51.625252",0,72,337
1616304194,2021-03-21T05:23:14Z,QTR729,"25.295555,51.609055",725,190,338
1616304207,2021-03-21T05:23:27Z,QTR729,"25.305679,51.604717",1425,181,340
1616304218,2021-03-21T05:23:38Z,QTR729,"25.314875,51.600864",1725,187,337
