Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616347168,2021-03-21T17:19:28Z,QTR8102,"52.296165,4.765065",0,0,233
1616347325,2021-03-21T17:22:05Z,QTR8102,"52.296387,4.764862",0,3,146
1616347345,2021-03-21T17:22:25Z,QTR8102,"52.296619,4.764633",0,3,132
1616347401,2021-03-21T17:23:21Z,QTR8102,"52.29689,4.763756",0,3,59
1616347426,2021-03-21T17:23:46Z,QTR8102,"52.296421,4.764824",0,0,59
1616347470,2021-03-21T17:24:30Z,QTR8102,"52.296864,4.763672",0,0,234
1616347631,2021-03-21T17:27:11Z,QTR8102,"52.297245,4.764633",0,6,56
1616347675,2021-03-21T17:27:55Z,QTR8102,"52.298321,4.767478",0,13,59
1616347681,2021-03-21T17:28:01Z,QTR8102,"52.29847,4.767857",0,11,59
1616347743,2021-03-21T17:29:03Z,QTR8102,"52.300705,4.772736",0,16,59
1616347757,2021-03-21T17:29:17Z,QTR8102,"52.301273,4.774208",0,15,56
1616347763,2021-03-21T17:29:23Z,QTR8102,"52.301544,4.774717",0,15,47
1616347797,2021-03-21T17:29:57Z,QTR8102,"52.303986,4.775734",0,16,2
1616347805,2021-03-21T17:30:05Z,QTR8102,"52.304512,4.775776",0,15,2
1616347823,2021-03-21T17:30:23Z,QTR8102,"52.305431,4.775678",0,10,343
1616347830,2021-03-21T17:30:30Z,QTR8102,"52.305782,4.775429",0,11,340
1616347835,2021-03-21T17:30:35Z,QTR8102,"52.306038,4.775463",0,11,2
1616347850,2021-03-21T17:30:50Z,QTR8102,"52.306793,4.775894",0,13,14
1616347858,2021-03-21T17:30:58Z,QTR8102,"52.307259,4.775944",0,14,2
1616347865,2021-03-21T17:31:05Z,QTR8102,"52.307785,4.775982",0,15,2
1616347878,2021-03-21T17:31:18Z,QTR8102,"52.308723,4.776071",0,15,2
1616347884,2021-03-21T17:31:24Z,QTR8102,"52.309177,4.77611",0,16,2
1616347890,2021-03-21T17:31:30Z,QTR8102,"52.30965,4.776154",0,17,2
1616347931,2021-03-21T17:32:11Z,QTR8102,"52.312946,4.776459",0,16,2
1616347943,2021-03-21T17:32:23Z,QTR8102,"52.313816,4.776535",0,15,2
1616347949,2021-03-21T17:32:29Z,QTR8102,"52.314194,4.776542",0,13,357
1616347998,2021-03-21T17:33:18Z,QTR8102,"52.315773,4.772625",0,15,267
1616348013,2021-03-21T17:33:33Z,QTR8102,"52.315693,4.770603",0,18,267
1616348024,2021-03-21T17:33:44Z,QTR8102,"52.315651,4.769204",0,19,267
1616348045,2021-03-21T17:34:05Z,QTR8102,"52.315533,4.765835",0,21,267
1616348059,2021-03-21T17:34:19Z,QTR8102,"52.315441,4.763298",0,23,267
1616348071,2021-03-21T17:34:31Z,QTR8102,"52.315372,4.761066",0,25,267
1616348084,2021-03-21T17:34:44Z,QTR8102,"52.315281,4.758568",0,26,267
1616348091,2021-03-21T17:34:51Z,QTR8102,"52.315235,4.757252",0,27,267
1616348119,2021-03-21T17:35:19Z,QTR8102,"52.315075,4.752502",0,16,267
1616348158,2021-03-21T17:35:58Z,QTR8102,"52.314869,4.746475",0,25,267
1616348165,2021-03-21T17:36:05Z,QTR8102,"52.314823,4.745211",0,23,267
1616348171,2021-03-21T17:36:11Z,QTR8102,"52.314789,4.744186",0,19,267
1616348182,2021-03-21T17:36:22Z,QTR8102,"52.314743,4.742985",0,15,267
1616348189,2021-03-21T17:36:29Z,QTR8102,"52.314709,4.742317",0,11,261
1616348196,2021-03-21T17:36:36Z,QTR8102,"52.314522,4.741837",0,12,236
1616348200,2021-03-21T17:36:40Z,QTR8102,"52.314297,4.741554",0,13,219
1616348211,2021-03-21T17:36:51Z,QTR8102,"52.313633,4.741306",0,14,185
1616348221,2021-03-21T17:37:01Z,QTR8102,"52.312962,4.741268",0,15,182
1616348233,2021-03-21T17:37:13Z,QTR8102,"52.311974,4.741173",0,18,182
1616348239,2021-03-21T17:37:19Z,QTR8102,"52.311367,4.741111",0,19,182
1616348246,2021-03-21T17:37:26Z,QTR8102,"52.310783,4.741058",0,20,182
1616348252,2021-03-21T17:37:32Z,QTR8102,"52.310226,4.741013",0,21,182
1616348257,2021-03-21T17:37:37Z,QTR8102,"52.309673,4.740963",0,22,182
1616348265,2021-03-21T17:37:45Z,QTR8102,"52.308922,4.740895",0,20,182
1616348272,2021-03-21T17:37:52Z,QTR8102,"52.308289,4.740829",0,18,182
1616348282,2021-03-21T17:38:02Z,QTR8102,"52.307491,4.740757",0,15,182
1616348290,2021-03-21T17:38:10Z,QTR8102,"52.30698,4.740718",0,13,182
1616348296,2021-03-21T17:38:16Z,QTR8102,"52.306629,4.740696",0,13,182
1616348303,2021-03-21T17:38:23Z,QTR8102,"52.30624,4.740639",0,9,185
1616348311,2021-03-21T17:38:31Z,QTR8102,"52.306034,4.740448",0,7,208
1616348316,2021-03-21T17:38:36Z,QTR8102,"52.305965,4.740247",0,6,227
1616348321,2021-03-21T17:38:41Z,QTR8102,"52.305943,4.740028",0,5,244
1616348333,2021-03-21T17:38:53Z,QTR8102,"52.305943,4.739678",0,4,267
1616348339,2021-03-21T17:38:59Z,QTR8102,"52.305988,4.739475",0,5,281
1616348345,2021-03-21T17:39:05Z,QTR8102,"52.306091,4.739246",0,6,300
1616348361,2021-03-21T17:39:21Z,QTR8102,"52.306606,4.738815",0,8,334
1616348367,2021-03-21T17:39:27Z,QTR8102,"52.306828,4.738639",0,10,334
1616348373,2021-03-21T17:39:33Z,QTR8102,"52.30714,4.738423",0,11,337
1616348379,2021-03-21T17:39:39Z,QTR8102,"52.307373,4.738227",0,9,331
1616348386,2021-03-21T17:39:46Z,QTR8102,"52.307571,4.737933",0,8,320
1616348392,2021-03-21T17:39:52Z,QTR8102,"52.307781,4.737834",0,8,340
1616348399,2021-03-21T17:39:59Z,QTR8102,"52.308002,4.737892",0,8,2
1616348403,2021-03-21T17:40:03Z,QTR8102,"52.30822,4.737911",0,10,2
1616348407,2021-03-21T17:40:07Z,QTR8102,"52.308483,4.737949",0,16,2
1616348411,2021-03-21T17:40:11Z,QTR8102,"52.309017,4.737972",0,31,2
1616348414,2021-03-21T17:40:14Z,QTR8102,"52.309536,4.738026",0,41,2
1616348415,2021-03-21T17:40:15Z,QTR8102,"52.309772,4.73805",0,46,2
1616348419,2021-03-21T17:40:19Z,QTR8102,"52.310921,4.738159",0,65,2
1616348420,2021-03-21T17:40:20Z,QTR8102,"52.31131,4.738178",0,70,2
1616348421,2021-03-21T17:40:21Z,QTR8102,"52.311687,4.738216",0,74,2
1616348438,2021-03-21T17:40:38Z,QTR8102,"52.32127,4.73911",0,144,3
1616348450,2021-03-21T17:40:50Z,QTR8102,"52.330444,4.739838",175,152,3
1616348468,2021-03-21T17:41:08Z,QTR8102,"52.342163,4.742661",1000,152,7
1616348472,2021-03-21T17:41:12Z,QTR8102,"52.345367,4.745102",1150,157,23
1616348475,2021-03-21T17:41:15Z,QTR8102,"52.347015,4.746408",1200,161,26
1616348488,2021-03-21T17:41:28Z,QTR8102,"52.356308,4.753876",1500,178,25
1616348496,2021-03-21T17:41:36Z,QTR8102,"52.363266,4.758835",1650,190,23
1616348503,2021-03-21T17:41:43Z,QTR8102,"52.368614,4.762416",1750,199,22
1616348517,2021-03-21T17:41:57Z,QTR8102,"52.380981,4.773636",2000,223,34
1616348521,2021-03-21T17:42:01Z,QTR8102,"52.383453,4.777145",2075,227,38
1616348527,2021-03-21T17:42:07Z,QTR8102,"52.38826,4.785331",2325,234,46
1616348530,2021-03-21T17:42:10Z,QTR8102,"52.3904,4.789097",2450,236,47
1616348532,2021-03-21T17:42:12Z,QTR8102,"52.392517,4.792786",2600,237,46
1616348535,2021-03-21T17:42:15Z,QTR8102,"52.394806,4.796677",2750,237,46
1616348538,2021-03-21T17:42:18Z,QTR8102,"52.397152,4.800476",2900,238,44
1616348541,2021-03-21T17:42:21Z,QTR8102,"52.399612,4.804611",3050,239,45
1616348544,2021-03-21T17:42:24Z,QTR8102,"52.401897,4.808323",3200,239,44
1616348548,2021-03-21T17:42:28Z,QTR8102,"52.404373,4.812469",3350,239,45
1616348554,2021-03-21T17:42:34Z,QTR8102,"52.408859,4.820099",3675,240,46
1616348559,2021-03-21T17:42:39Z,QTR8102,"52.41349,4.828177",3975,241,46
1616348566,2021-03-21T17:42:46Z,QTR8102,"52.417587,4.836731",4250,243,53
1616348568,2021-03-21T17:42:48Z,QTR8102,"52.419342,4.841537",4400,245,58
1616348569,2021-03-21T17:42:49Z,QTR8102,"52.419914,4.843401",4450,245,58
1616348572,2021-03-21T17:42:52Z,QTR8102,"52.420853,4.846878",4550,248,63
1616348577,2021-03-21T17:42:57Z,QTR8102,"52.422775,4.857254",4825,253,74
1616348578,2021-03-21T17:42:58Z,QTR8102,"52.422894,4.858233",4875,253,74
1616348582,2021-03-21T17:43:02Z,QTR8102,"52.423592,4.865766",5050,256,79
1616348584,2021-03-21T17:43:04Z,QTR8102,"52.423824,4.869847",5125,259,83
1616348585,2021-03-21T17:43:05Z,QTR8102,"52.423874,4.871674",5175,261,84
1616348587,2021-03-21T17:43:07Z,QTR8102,"52.42392,4.876251",5250,262,86
1616348590,2021-03-21T17:43:10Z,QTR8102,"52.424011,4.881304",5350,265,88
1616348601,2021-03-21T17:43:21Z,QTR8102,"52.424286,4.905701",5925,267,88
1616348602,2021-03-21T17:43:22Z,QTR8102,"52.424286,4.906921",5950,267,88
1616348614,2021-03-21T17:43:34Z,QTR8102,"52.424423,4.930267",6500,269,89
1616348626,2021-03-21T17:43:46Z,QTR8102,"52.424244,4.954677",7100,269,91
1616348635,2021-03-21T17:43:55Z,QTR8102,"52.421917,4.973825",7450,280,104
1616348641,2021-03-21T17:44:01Z,QTR8102,"52.418976,4.985504",7700,288,113
1616348644,2021-03-21T17:44:04Z,QTR8102,"52.416687,4.991684",7825,292,119
1616348647,2021-03-21T17:44:07Z,QTR8102,"52.41428,4.997131",7950,296,124
1616348648,2021-03-21T17:44:08Z,QTR8102,"52.413849,4.998016",7975,296,124
1616348653,2021-03-21T17:44:13Z,QTR8102,"52.408321,5.007176",8225,305,136
1616348656,2021-03-21T17:44:16Z,QTR8102,"52.404694,5.01212",8400,307,139
1616348660,2021-03-21T17:44:20Z,QTR8102,"52.400734,5.017064",8550,309,142
1616348662,2021-03-21T17:44:22Z,QTR8102,"52.39864,5.019575",8625,309,142
1616348665,2021-03-21T17:44:25Z,QTR8102,"52.394989,5.024109",8775,310,143
1616348666,2021-03-21T17:44:26Z,QTR8102,"52.393707,5.025635",8825,311,143
1616348672,2021-03-21T17:44:32Z,QTR8102,"52.386566,5.034103",9075,312,143
1616348674,2021-03-21T17:44:34Z,QTR8102,"52.38472,5.036368",9150,312,143
1616348675,2021-03-21T17:44:35Z,QTR8102,"52.383045,5.038251",9200,313,144
1616348690,2021-03-21T17:44:50Z,QTR8102,"52.364841,5.05889",9825,319,145
1616348702,2021-03-21T17:45:02Z,QTR8102,"52.351063,5.074506",10300,321,144
1616348723,2021-03-21T17:45:23Z,QTR8102,"52.330399,5.113297",10700,326,121
1616348726,2021-03-21T17:45:26Z,QTR8102,"52.328255,5.119864",10750,326,118
1616348729,2021-03-21T17:45:29Z,QTR8102,"52.326324,5.126572",10825,326,115
1616348734,2021-03-21T17:45:34Z,QTR8102,"52.323303,5.138931",10950,327,111
1616348746,2021-03-21T17:45:46Z,QTR8102,"52.316616,5.167106",11250,337,111
1616348758,2021-03-21T17:45:58Z,QTR8102,"52.309677,5.196219",11525,348,111
1616348771,2021-03-21T17:46:11Z,QTR8102,"52.301998,5.228864",11775,359,110
1616348782,2021-03-21T17:46:22Z,QTR8102,"52.295574,5.256173",12000,368,111
1616348813,2021-03-21T17:46:53Z,QTR8102,"52.275742,5.339983",13050,384,111
1616348845,2021-03-21T17:47:25Z,QTR8102,"52.254639,5.428009",14200,398,111
1616348876,2021-03-21T17:47:56Z,QTR8102,"52.233673,5.515518",15325,408,111
1616348917,2021-03-21T17:48:37Z,QTR8102,"52.205063,5.633545",17075,415,111
1616348950,2021-03-21T17:49:10Z,QTR8102,"52.18103,5.731735",18400,423,111
1616349011,2021-03-21T17:50:11Z,QTR8102,"52.136765,5.913925",20750,437,110
1616349074,2021-03-21T17:51:14Z,QTR8102,"52.100567,6.113107",23425,443,109
1616349137,2021-03-21T17:52:17Z,QTR8102,"52.056381,6.315384",25550,462,109
1616349200,2021-03-21T17:53:20Z,QTR8102,"52.00993,6.523995",27650,476,109
1616349265,2021-03-21T17:54:25Z,QTR8102,"51.960396,6.744821",29825,486,109
1616349326,2021-03-21T17:55:26Z,QTR8102,"51.914684,6.951285",32300,474,110
1616349390,2021-03-21T17:56:30Z,QTR8102,"51.864487,7.15982",34400,465,111
1616349456,2021-03-21T17:57:36Z,QTR8102,"51.812485,7.373162",35000,463,111
1616349526,2021-03-21T17:58:46Z,QTR8102,"51.757324,7.598011",35000,463,111
1616349587,2021-03-21T17:59:47Z,QTR8102,"51.717117,7.792969",35000,452,104
1616349650,2021-03-21T18:00:50Z,QTR8102,"51.692398,8.000488",35000,445,100
1616349717,2021-03-21T18:01:57Z,QTR8102,"51.667328,8.217179",35000,445,100
1616349782,2021-03-21T18:03:02Z,QTR8102,"51.642445,8.43071",35000,450,100
1616349843,2021-03-21T18:04:03Z,QTR8102,"51.618942,8.629538",35000,452,100
1616349904,2021-03-21T18:05:04Z,QTR8102,"51.594589,8.83255",35000,452,100
1616349966,2021-03-21T18:06:06Z,QTR8102,"51.570011,9.035416",35000,453,101
1616350027,2021-03-21T18:07:07Z,QTR8102,"51.545242,9.235123",35000,456,101
1616350093,2021-03-21T18:08:13Z,QTR8102,"51.517548,9.455795",35000,457,101
1616350154,2021-03-21T18:09:14Z,QTR8102,"51.491867,9.657131",35000,458,101
1616350215,2021-03-21T18:10:15Z,QTR8102,"51.4655,9.860687",35000,458,101
1616350279,2021-03-21T18:11:19Z,QTR8102,"51.437576,10.073572",35000,459,102
1616350340,2021-03-21T18:12:20Z,QTR8102,"51.410751,10.274667",35000,458,102
1616350405,2021-03-21T18:13:25Z,QTR8102,"51.381546,10.491349",35000,458,102
1616350472,2021-03-21T18:14:32Z,QTR8102,"51.351059,10.710111",35000,458,102
1616350534,2021-03-21T18:15:34Z,QTR8102,"51.322037,10.915733",35000,460,102
1616350595,2021-03-21T18:16:35Z,QTR8102,"51.293198,11.117199",35000,461,102
1616350659,2021-03-21T18:17:39Z,QTR8102,"51.262394,11.329346",35000,457,103
1616350721,2021-03-21T18:18:41Z,QTR8102,"51.232136,11.535187",35000,459,103
1616350788,2021-03-21T18:19:48Z,QTR8102,"51.199642,11.753235",35000,456,103
1616350851,2021-03-21T18:20:51Z,QTR8102,"51.168591,11.958618",35000,453,103
1616350913,2021-03-21T18:21:53Z,QTR8102,"51.130463,12.158356",35000,466,111
1616350982,2021-03-21T18:23:02Z,QTR8102,"51.067619,12.372513",35000,473,115
1616351043,2021-03-21T18:24:03Z,QTR8102,"51.009613,12.56346",35000,475,115
1616351115,2021-03-21T18:25:15Z,QTR8102,"50.940628,12.788606",35000,474,116
1616351176,2021-03-21T18:26:16Z,QTR8102,"50.881271,12.980194",35000,472,116
1616351238,2021-03-21T18:27:18Z,QTR8102,"50.822056,13.170013",35000,477,116
1616351301,2021-03-21T18:28:21Z,QTR8102,"50.759628,13.368802",35000,476,116
1616351364,2021-03-21T18:29:24Z,QTR8102,"50.698551,13.561249",35000,475,116
1616351424,2021-03-21T18:30:24Z,QTR8102,"50.6385,13.749613",35000,477,116
1616351488,2021-03-21T18:31:28Z,QTR8102,"50.575516,13.946253",35000,480,116
