Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616283868,2021-03-20T23:44:28Z,QTR8868,"25.277573,51.61124",0,0,150
1616283883,2021-03-20T23:44:43Z,QTR8868,"25.277807,51.611439",0,0,42
1616284036,2021-03-20T23:47:16Z,QTR8868,"25.277515,51.611137",0,0,213
1616284042,2021-03-20T23:47:22Z,QTR8868,"25.277813,51.611431",0,0,41
1616284049,2021-03-20T23:47:29Z,QTR8868,"25.277584,51.611252",0,0,214
1616284070,2021-03-20T23:47:50Z,QTR8868,"25.277819,51.611439",0,0,42
1616284073,2021-03-20T23:47:53Z,QTR8868,"25.277355,51.610996",0,0,221
1616284079,2021-03-20T23:47:59Z,QTR8868,"25.277813,51.611443",0,0,34
1616284151,2021-03-20T23:49:11Z,QTR8868,"25.277515,51.611202",0,0,215
1616284160,2021-03-20T23:49:20Z,QTR8868,"25.277819,51.611439",0,0,89
1616284268,2021-03-20T23:51:08Z,QTR8868,"25.277946,51.611645",0,2,247
1616284285,2021-03-20T23:51:25Z,QTR8868,"25.277958,51.611851",0,2,247
1616284313,2021-03-20T23:51:53Z,QTR8868,"25.278063,51.612061",0,2,233
1616284338,2021-03-20T23:52:18Z,QTR8868,"25.278156,51.61227",0,2,202
1616284368,2021-03-20T23:52:48Z,QTR8868,"25.2784,51.612423",0,10,168
1616284399,2021-03-20T23:53:19Z,QTR8868,"25.278019,51.611835",0,0,180
1616284570,2021-03-20T23:56:10Z,QTR8868,"25.278431,51.612499",0,0,137
1616284596,2021-03-20T23:56:36Z,QTR8868,"25.278168,51.612629",0,13,154
1616284607,2021-03-20T23:56:47Z,QTR8868,"25.277901,51.612759",0,16,154
1616284621,2021-03-20T23:57:01Z,QTR8868,"25.277515,51.612957",0,20,154
1616284628,2021-03-20T23:57:08Z,QTR8868,"25.277376,51.613201",0,20,126
1616284634,2021-03-20T23:57:14Z,QTR8868,"25.277376,51.613419",0,21,101
1616284641,2021-03-20T23:57:21Z,QTR8868,"25.27747,51.613743",0,19,75
1616284656,2021-03-20T23:57:36Z,QTR8868,"25.277229,51.614124",0,20,132
1616284663,2021-03-20T23:57:43Z,QTR8868,"25.276978,51.614227",0,22,151
1616284671,2021-03-20T23:57:51Z,QTR8868,"25.2766,51.61438",0,25,157
