Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616295383,2021-03-21T02:56:23Z,SVA035,"21.661478,39.165382",0,8,250
1616295389,2021-03-21T02:56:29Z,SVA035,"21.661407,39.165165",0,7,250
1616295402,2021-03-21T02:56:42Z,SVA035,"21.661419,39.164837",0,5,278
1616295424,2021-03-21T02:57:04Z,SVA035,"21.6618,39.164661",0,4,331
1616295431,2021-03-21T02:57:11Z,SVA035,"21.661362,39.165001",0,2,337
1616295523,2021-03-21T02:58:43Z,SVA035,"21.683945,39.155922",250,179,339
1616295533,2021-03-21T02:58:53Z,SVA035,"21.691574,39.152782",525,189,339
1616295550,2021-03-21T02:59:10Z,SVA035,"21.7054,39.147083",1250,188,339
1616295605,2021-03-21T03:00:05Z,SVA035,"21.757828,39.124962",2350,252,336
1616295610,2021-03-21T03:00:10Z,SVA035,"21.764374,39.121914",2450,260,336
1616295617,2021-03-21T03:00:17Z,SVA035,"21.772343,39.118244",2675,264,336
1616295624,2021-03-21T03:00:24Z,SVA035,"21.780209,39.114582",2900,266,336
1616295633,2021-03-21T03:00:33Z,SVA035,"21.790649,39.109829",3200,270,336
1616295651,2021-03-21T03:00:51Z,SVA035,"21.810841,39.100445",3775,276,336
1616295658,2021-03-21T03:00:58Z,SVA035,"21.819313,39.096424",4050,277,336
1616295667,2021-03-21T03:01:07Z,SVA035,"21.829788,39.091503",4375,279,336
1616295677,2021-03-21T03:01:17Z,SVA035,"21.841507,39.08601",4725,280,336
1616295692,2021-03-21T03:01:32Z,SVA035,"21.860962,39.076969",5275,285,336
1616295706,2021-03-21T03:01:46Z,SVA035,"21.876991,39.069672",5725,289,336
1616295719,2021-03-21T03:01:59Z,SVA035,"21.893692,39.062038",6200,291,336
1616295731,2021-03-21T03:02:11Z,SVA035,"21.909206,39.05492",6675,292,336
1616295745,2021-03-21T03:02:25Z,SVA035,"21.925825,39.047241",7175,292,336
1616295758,2021-03-21T03:02:38Z,SVA035,"21.942677,39.03941",7725,292,336
1616295769,2021-03-21T03:02:49Z,SVA035,"21.955711,39.033459",8125,293,337
1616295781,2021-03-21T03:03:01Z,SVA035,"21.971695,39.026184",8600,293,336
1616295795,2021-03-21T03:03:15Z,SVA035,"21.988716,39.018299",9100,295,336
1616295815,2021-03-21T03:03:35Z,SVA035,"22.01325,39.006805",9800,298,336
1616295827,2021-03-21T03:03:47Z,SVA035,"22.029556,38.999168",10275,298,336
1616295841,2021-03-21T03:04:01Z,SVA035,"22.046627,38.991241",10600,306,336
1616295854,2021-03-21T03:04:14Z,SVA035,"22.064596,38.982899",10825,318,336
1616295883,2021-03-21T03:04:43Z,SVA035,"22.105133,38.964161",11350,340,336
1616295902,2021-03-21T03:05:02Z,SVA035,"22.135025,38.950378",11750,356,336
1616295915,2021-03-21T03:05:15Z,SVA035,"22.154388,38.941441",11975,365,336
1616295929,2021-03-21T03:05:29Z,SVA035,"22.175674,38.931602",12375,371,336
1616295964,2021-03-21T03:06:04Z,SVA035,"22.232437,38.905235",13700,377,336
1616295997,2021-03-21T03:06:37Z,SVA035,"22.284668,38.881065",14925,381,336
1616296029,2021-03-21T03:07:09Z,SVA035,"22.337769,38.856346",16125,385,336
1616296062,2021-03-21T03:07:42Z,SVA035,"22.392046,38.830414",17250,388,334
1616296094,2021-03-21T03:08:14Z,SVA035,"22.44278,38.800415",18050,398,328
1616296155,2021-03-21T03:09:15Z,SVA035,"22.539244,38.732147",19900,410,325
1616296217,2021-03-21T03:10:17Z,SVA035,"22.637608,38.660328",22000,413,325
1616296277,2021-03-21T03:11:17Z,SVA035,"22.734716,38.589222",23825,417,325
1616296340,2021-03-21T03:12:20Z,SVA035,"22.83485,38.516033",25625,421,325
1616296400,2021-03-21T03:13:20Z,SVA035,"22.933182,38.44421",27525,419,325
