Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616305592,2021-03-21T05:46:32Z,THY3,"41.263985,28.735819",0,0,271
1616305636,2021-03-21T05:47:16Z,THY3,"41.263939,28.735611",0,2,64
1616305650,2021-03-21T05:47:30Z,THY3,"41.26387,28.735382",0,3,64
1616305664,2021-03-21T05:47:44Z,THY3,"41.263824,28.735168",0,2,67
1616305679,2021-03-21T05:47:59Z,THY3,"41.263813,28.734955",0,2,47
1616305698,2021-03-21T05:48:18Z,THY3,"41.263756,28.734741",0,2,16
1616305916,2021-03-21T05:51:56Z,THY3,"41.263718,28.734522",0,2,334
1616305930,2021-03-21T05:52:10Z,THY3,"41.263927,28.734428",0,4,334
1616305941,2021-03-21T05:52:21Z,THY3,"41.264229,28.734289",0,7,334
1616305947,2021-03-21T05:52:27Z,THY3,"41.264442,28.734192",0,8,334
1616305956,2021-03-21T05:52:36Z,THY3,"41.264751,28.734039",0,9,334
1616305962,2021-03-21T05:52:42Z,THY3,"41.265022,28.733913",0,10,334
1616305968,2021-03-21T05:52:48Z,THY3,"41.265289,28.73381",0,10,337
1616305980,2021-03-21T05:53:00Z,THY3,"41.265766,28.733587",0,6,337
1616305992,2021-03-21T05:53:12Z,THY3,"41.265919,28.733383",0,4,309
1616306082,2021-03-21T05:54:42Z,THY3,"41.265881,28.733166",0,1,275
1616306096,2021-03-21T05:54:56Z,THY3,"41.265903,28.732931",0,4,270
1616306104,2021-03-21T05:55:04Z,THY3,"41.265903,28.732712",0,5,267
1616306112,2021-03-21T05:55:12Z,THY3,"41.265903,28.732479",0,6,267
1616306117,2021-03-21T05:55:17Z,THY3,"41.265907,28.732269",0,6,264
1616306130,2021-03-21T05:55:30Z,THY3,"41.265907,28.731888",0,4,264
1616306142,2021-03-21T05:55:42Z,THY3,"41.265896,28.731628",0,3,264
1616306159,2021-03-21T05:55:59Z,THY3,"41.265892,28.731417",0,1,264
1616306179,2021-03-21T05:56:19Z,THY3,"41.265896,28.731186",0,3,264
1616306190,2021-03-21T05:56:30Z,THY3,"41.265892,28.730949",0,4,264
1616306202,2021-03-21T05:56:42Z,THY3,"41.265896,28.730637",0,4,264
1616306210,2021-03-21T05:56:50Z,THY3,"41.265884,28.730423",0,4,264
1616306222,2021-03-21T05:57:02Z,THY3,"41.265881,28.730122",0,4,264
1616306233,2021-03-21T05:57:13Z,THY3,"41.265884,28.729919",0,2,264
1616306250,2021-03-21T05:57:30Z,THY3,"41.265881,28.729715",0,2,264
1616306262,2021-03-21T05:57:42Z,THY3,"41.265873,28.729507",0,3,264
1616306272,2021-03-21T05:57:52Z,THY3,"41.265873,28.729294",0,4,264
1616306278,2021-03-21T05:57:58Z,THY3,"41.265873,28.72908",0,5,264
