Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616316472,2021-03-21T08:47:52Z,UAL15,"51.474171,-0.442314",0,0,345
1616316656,2021-03-21T08:50:56Z,UAL15,"51.474186,-0.44207",0,2,275
1616316672,2021-03-21T08:51:12Z,UAL15,"51.474205,-0.441856",0,2,289
1616316688,2021-03-21T08:51:28Z,UAL15,"51.474125,-0.441647",0,1,278
1616316706,2021-03-21T08:51:46Z,UAL15,"51.474068,-0.441418",0,2,255
1616316721,2021-03-21T08:52:01Z,UAL15,"51.474049,-0.441179",0,2,233
1616316736,2021-03-21T08:52:16Z,UAL15,"51.474129,-0.440938",0,2,219
1616316752,2021-03-21T08:52:32Z,UAL15,"51.474216,-0.440731",0,2,196
1616316832,2021-03-21T08:53:52Z,UAL15,"51.474007,-0.440598",0,1,177
1616317049,2021-03-21T08:57:29Z,UAL15,"51.473797,-0.440598",0,3,180
1616317061,2021-03-21T08:57:41Z,UAL15,"51.473564,-0.440598",0,5,180
1616317071,2021-03-21T08:57:51Z,UAL15,"51.473339,-0.440585",0,6,180
1616317081,2021-03-21T08:58:01Z,UAL15,"51.47303,-0.440578",0,7,180
1616317086,2021-03-21T08:58:06Z,UAL15,"51.472813,-0.440585",0,8,180
1616317092,2021-03-21T08:58:12Z,UAL15,"51.472588,-0.440578",0,9,180
1616317098,2021-03-21T08:58:18Z,UAL15,"51.472343,-0.440585",0,9,180
1616317105,2021-03-21T08:58:25Z,UAL15,"51.472042,-0.440578",0,10,180
1616317111,2021-03-21T08:58:31Z,UAL15,"51.471737,-0.440585",0,11,180
1616317117,2021-03-21T08:58:37Z,UAL15,"51.471371,-0.440585",0,12,180
1616317125,2021-03-21T08:58:45Z,UAL15,"51.47097,-0.440578",0,12,180
1616317138,2021-03-21T08:58:58Z,UAL15,"51.470158,-0.440567",0,13,180
1616317154,2021-03-21T08:59:14Z,UAL15,"51.469334,-0.440567",0,11,180
1616317160,2021-03-21T08:59:20Z,UAL15,"51.469002,-0.440567",0,10,180
1616317169,2021-03-21T08:59:29Z,UAL15,"51.468609,-0.440559",0,9,180
1616317176,2021-03-21T08:59:36Z,UAL15,"51.468338,-0.440548",0,9,180
1616317184,2021-03-21T08:59:44Z,UAL15,"51.468002,-0.44054",0,9,180
1616317189,2021-03-21T08:59:49Z,UAL15,"51.467781,-0.440598",0,8,188
1616317196,2021-03-21T08:59:56Z,UAL15,"51.467606,-0.440956",0,9,225
1616317208,2021-03-21T09:00:08Z,UAL15,"51.46756,-0.441791",0,10,267
1616317216,2021-03-21T09:00:16Z,UAL15,"51.46756,-0.442348",0,11,270
1616317221,2021-03-21T09:00:21Z,UAL15,"51.46756,-0.442775",0,11,270
1616317224,2021-03-21T09:00:24Z,UAL15,"51.46756,-0.442979",0,12,270
1616317230,2021-03-21T09:00:30Z,UAL15,"51.46756,-0.443554",0,12,270
1616317236,2021-03-21T09:00:36Z,UAL15,"51.467548,-0.444107",0,13,270
1616317242,2021-03-21T09:00:42Z,UAL15,"51.467548,-0.444668",0,13,270
1616317250,2021-03-21T09:00:50Z,UAL15,"51.467548,-0.445442",0,13,270
1616317257,2021-03-21T09:00:57Z,UAL15,"51.467548,-0.446129",0,14,270
1616317275,2021-03-21T09:01:15Z,UAL15,"51.467537,-0.448101",0,13,270
1616317285,2021-03-21T09:01:25Z,UAL15,"51.467537,-0.448914",0,12,270
1616317297,2021-03-21T09:01:37Z,UAL15,"51.467537,-0.449982",0,12,270
1616317303,2021-03-21T09:01:43Z,UAL15,"51.467537,-0.450551",0,12,270
1616317309,2021-03-21T09:01:49Z,UAL15,"51.467537,-0.451088",0,12,270
1616317316,2021-03-21T09:01:56Z,UAL15,"51.467525,-0.451756",0,13,270
1616317322,2021-03-21T09:02:02Z,UAL15,"51.467525,-0.452369",0,14,270
1616317329,2021-03-21T09:02:09Z,UAL15,"51.467525,-0.453075",0,14,270
1616317340,2021-03-21T09:02:20Z,UAL15,"51.467525,-0.454262",0,14,270
1616317347,2021-03-21T09:02:27Z,UAL15,"51.467525,-0.454986",0,12,270
1616317384,2021-03-21T09:03:04Z,UAL15,"51.467514,-0.45764",0,10,270
1616317391,2021-03-21T09:03:11Z,UAL15,"51.467514,-0.458145",0,11,270
1616317400,2021-03-21T09:03:20Z,UAL15,"51.467503,-0.458902",0,9,270
1616317432,2021-03-21T09:03:52Z,UAL15,"51.466793,-0.459867",0,7,194
1616317438,2021-03-21T09:03:58Z,UAL15,"51.466679,-0.460071",0,7,216
1616317445,2021-03-21T09:04:05Z,UAL15,"51.466633,-0.460479",0,7,250
1616317458,2021-03-21T09:04:18Z,UAL15,"51.466618,-0.461197",0,9,267
1616317463,2021-03-21T09:04:23Z,UAL15,"51.466621,-0.461611",0,10,270
1616317471,2021-03-21T09:04:31Z,UAL15,"51.466621,-0.46215",0,11,270
1616317477,2021-03-21T09:04:37Z,UAL15,"51.466621,-0.462651",0,11,270
1616317482,2021-03-21T09:04:42Z,UAL15,"51.466618,-0.463123",0,12,270
1616317492,2021-03-21T09:04:52Z,UAL15,"51.46661,-0.464042",0,13,270
1616317502,2021-03-21T09:05:02Z,UAL15,"51.466606,-0.465012",0,12,270
1616317512,2021-03-21T09:05:12Z,UAL15,"51.466599,-0.46588",0,12,270
1616317521,2021-03-21T09:05:21Z,UAL15,"51.466606,-0.46669",0,12,270
1616317528,2021-03-21T09:05:28Z,UAL15,"51.46661,-0.467309",0,12,270
1616317535,2021-03-21T09:05:35Z,UAL15,"51.466595,-0.467949",0,13,270
1616317540,2021-03-21T09:05:40Z,UAL15,"51.466587,-0.468533",0,14,270
1616317547,2021-03-21T09:05:47Z,UAL15,"51.466595,-0.469093",0,13,270
1616317553,2021-03-21T09:05:53Z,UAL15,"51.466595,-0.469704",0,12,270
1616317560,2021-03-21T09:06:00Z,UAL15,"51.466595,-0.470371",0,12,270
1616317567,2021-03-21T09:06:07Z,UAL15,"51.466595,-0.471001",0,13,270
1616317574,2021-03-21T09:06:14Z,UAL15,"51.466583,-0.471725",0,14,270
1616317581,2021-03-21T09:06:21Z,UAL15,"51.466587,-0.472523",0,15,270
1616317587,2021-03-21T09:06:27Z,UAL15,"51.466576,-0.473266",0,15,270
1616317594,2021-03-21T09:06:34Z,UAL15,"51.466572,-0.474033",0,15,270
