Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616322700,2021-03-21T10:31:40Z,UAL2800,"50.047123,8.581287",0,0,157
1616323058,2021-03-21T10:37:38Z,UAL2800,"50.047325,8.581172",0,2,157
1616323077,2021-03-21T10:37:57Z,UAL2800,"50.047531,8.581081",0,2,146
1616323100,2021-03-21T10:38:20Z,UAL2800,"50.047764,8.580935",0,2,120
1616323120,2021-03-21T10:38:40Z,UAL2800,"50.047916,8.58073",0,2,90
1616323132,2021-03-21T10:38:52Z,UAL2800,"50.047962,8.580526",0,2,75
1616323144,2021-03-21T10:39:04Z,UAL2800,"50.047928,8.580322",0,1,73
1616323180,2021-03-21T10:39:40Z,UAL2800,"50.047974,8.580526",0,2,70
1616323193,2021-03-21T10:39:53Z,UAL2800,"50.048058,8.580738",0,3,61
1616323205,2021-03-21T10:40:05Z,UAL2800,"50.048115,8.580955",0,2,64
1616323218,2021-03-21T10:40:18Z,UAL2800,"50.048161,8.581158",0,2,67
1616323450,2021-03-21T10:44:10Z,UAL2800,"50.048218,8.581407",0,4,67
1616323456,2021-03-21T10:44:16Z,UAL2800,"50.048286,8.581621",0,6,67
1616323461,2021-03-21T10:44:21Z,UAL2800,"50.048344,8.581894",0,7,67
1616323470,2021-03-21T10:44:30Z,UAL2800,"50.048447,8.58231",0,9,67
1616323476,2021-03-21T10:44:36Z,UAL2800,"50.048527,8.582671",0,9,67
1616323481,2021-03-21T10:44:41Z,UAL2800,"50.048618,8.583069",0,10,67
1616323489,2021-03-21T10:44:49Z,UAL2800,"50.048756,8.583611",0,10,67
1616323496,2021-03-21T10:44:56Z,UAL2800,"50.04887,8.584089",0,11,67
1616323503,2021-03-21T10:45:03Z,UAL2800,"50.048985,8.584591",0,12,67
1616323511,2021-03-21T10:45:11Z,UAL2800,"50.04916,8.585296",0,11,67
1616323530,2021-03-21T10:45:30Z,UAL2800,"50.049362,8.586375",0,6,78
1616323536,2021-03-21T10:45:36Z,UAL2800,"50.049259,8.586611",0,6,104
1616323548,2021-03-21T10:45:48Z,UAL2800,"50.048939,8.586836",0,7,149
1616323558,2021-03-21T10:45:58Z,UAL2800,"50.048626,8.587003",0,7,157
1616323566,2021-03-21T10:46:06Z,UAL2800,"50.048367,8.587152",0,8,157
1616323574,2021-03-21T10:46:14Z,UAL2800,"50.048058,8.587334",0,9,157
1616323580,2021-03-21T10:46:20Z,UAL2800,"50.04781,8.587467",0,10,157
1616323586,2021-03-21T10:46:26Z,UAL2800,"50.047543,8.587634",0,10,157
1616323594,2021-03-21T10:46:34Z,UAL2800,"50.047134,8.587727",0,12,171
1616323600,2021-03-21T10:46:40Z,UAL2800,"50.04681,8.587671",0,12,182
1616323604,2021-03-21T10:46:44Z,UAL2800,"50.04657,8.587641",0,12,182
1616323612,2021-03-21T10:46:52Z,UAL2800,"50.046158,8.587523",0,12,191
1616323616,2021-03-21T10:46:56Z,UAL2800,"50.04594,8.587352",0,12,202
1616323621,2021-03-21T10:47:01Z,UAL2800,"50.045761,8.587114",0,12,213
1616323625,2021-03-21T10:47:05Z,UAL2800,"50.045574,8.586882",0,13,216
1616323630,2021-03-21T10:47:10Z,UAL2800,"50.045322,8.586556",0,15,216
1616323633,2021-03-21T10:47:13Z,UAL2800,"50.04512,8.586298",0,17,219
1616323636,2021-03-21T10:47:16Z,UAL2800,"50.044956,8.586032",0,18,225
1616323638,2021-03-21T10:47:18Z,UAL2800,"50.044853,8.585778",0,19,230
1616323640,2021-03-21T10:47:20Z,UAL2800,"50.044773,8.585508",0,20,239
1616323642,2021-03-21T10:47:22Z,UAL2800,"50.044704,8.58524",0,21,244
1616323646,2021-03-21T10:47:26Z,UAL2800,"50.04454,8.584554",0,27,250
1616323647,2021-03-21T10:47:27Z,UAL2800,"50.044441,8.584135",0,32,247
1616323651,2021-03-21T10:47:31Z,UAL2800,"50.044247,8.583322",0,43,247
1616323652,2021-03-21T10:47:32Z,UAL2800,"50.044167,8.582996",0,47,247
1616323655,2021-03-21T10:47:35Z,UAL2800,"50.043797,8.581436",0,65,247
1616323656,2021-03-21T10:47:36Z,UAL2800,"50.043697,8.581027",0,69,247
1616323658,2021-03-21T10:47:38Z,UAL2800,"50.043503,8.580232",0,72,247
1616323662,2021-03-21T10:47:42Z,UAL2800,"50.042976,8.578028",0,88,250
1616323665,2021-03-21T10:47:45Z,UAL2800,"50.042492,8.575943",175,98,249
1616323685,2021-03-21T10:48:05Z,UAL2800,"50.037781,8.556253",200,167,249
1616323698,2021-03-21T10:48:18Z,UAL2800,"50.03421,8.541509",500,179,249
1616323710,2021-03-21T10:48:30Z,UAL2800,"50.030762,8.527395",1075,175,249
1616323718,2021-03-21T10:48:38Z,UAL2800,"50.02858,8.517946",1400,177,250
1616323726,2021-03-21T10:48:46Z,UAL2800,"50.027176,8.507501",1675,180,261
1616323732,2021-03-21T10:48:52Z,UAL2800,"50.027161,8.499082",1925,181,272
1616323735,2021-03-21T10:48:55Z,UAL2800,"50.027454,8.495327",2025,181,277
1616323740,2021-03-21T10:49:00Z,UAL2800,"50.028061,8.49013",2175,183,279
1616323750,2021-03-21T10:49:10Z,UAL2800,"50.029366,8.476323",2525,198,276
1616323752,2021-03-21T10:49:12Z,UAL2800,"50.029549,8.472835",2550,189,278
1616323764,2021-03-21T10:49:24Z,UAL2800,"50.030045,8.454702",2775,224,270
1616323767,2021-03-21T10:49:27Z,UAL2800,"50.029922,8.449971",2875,228,267
1616323768,2021-03-21T10:49:28Z,UAL2800,"50.029816,8.446752",2950,232,266
