Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616315243,2021-03-21T08:27:23Z,UAL71,"52.31242,4.757957",0,0,264
1616316045,2021-03-21T08:40:45Z,UAL71,"52.312374,4.758244",0,4,264
1616316053,2021-03-21T08:40:53Z,UAL71,"52.312412,4.758552",0,5,275
1616316059,2021-03-21T08:40:59Z,UAL71,"52.312439,4.758767",0,4,289
1616316070,2021-03-21T08:41:10Z,UAL71,"52.312424,4.759042",0,4,312
1616316079,2021-03-21T08:41:19Z,UAL71,"52.312363,4.759293",0,3,337
1616316115,2021-03-21T08:41:55Z,UAL71,"52.312576,4.759376",0,5,357
1616316125,2021-03-21T08:42:05Z,UAL71,"52.312809,4.759376",0,4,357
1616316139,2021-03-21T08:42:19Z,UAL71,"52.313038,4.75935",0,4,357
1616316408,2021-03-21T08:46:48Z,UAL71,"52.313309,4.759336",0,4,357
1616316417,2021-03-21T08:46:57Z,UAL71,"52.313541,4.759316",0,7,357
1616316423,2021-03-21T08:47:03Z,UAL71,"52.31377,4.759293",0,8,357
1616316430,2021-03-21T08:47:10Z,UAL71,"52.314079,4.759254",0,10,357
1616316459,2021-03-21T08:47:39Z,UAL71,"52.3153,4.758414",0,9,292
1616316548,2021-03-21T08:49:08Z,UAL71,"52.314915,4.747314",0,23,267
1616316555,2021-03-21T08:49:15Z,UAL71,"52.314869,4.746056",0,24,267
1616316562,2021-03-21T08:49:22Z,UAL71,"52.314823,4.74476",0,22,267
1616316568,2021-03-21T08:49:28Z,UAL71,"52.314789,4.743843",0,19,267
1616316574,2021-03-21T08:49:34Z,UAL71,"52.314754,4.743033",0,15,267
1616316580,2021-03-21T08:49:40Z,UAL71,"52.314693,4.742347",0,15,261
1616316583,2021-03-21T08:49:43Z,UAL71,"52.314579,4.742013",0,15,247
1616316586,2021-03-21T08:49:46Z,UAL71,"52.314434,4.741745",0,16,233
1616316589,2021-03-21T08:49:49Z,UAL71,"52.314251,4.741523",0,16,219
1616316592,2021-03-21T08:49:52Z,UAL71,"52.31403,4.741385",0,16,205
1616316596,2021-03-21T08:49:56Z,UAL71,"52.313816,4.741344",0,16,194
1616316599,2021-03-21T08:49:59Z,UAL71,"52.313507,4.741325",0,16,185
1616316607,2021-03-21T08:50:07Z,UAL71,"52.312855,4.741268",0,17,182
1616316612,2021-03-21T08:50:12Z,UAL71,"52.312496,4.741229",0,18,182
1616316614,2021-03-21T08:50:14Z,UAL71,"52.312271,4.741211",0,18,182
1616316618,2021-03-21T08:50:18Z,UAL71,"52.311958,4.741169",0,18,182
1616316623,2021-03-21T08:50:23Z,UAL71,"52.311573,4.741135",0,19,182
1616316626,2021-03-21T08:50:26Z,UAL71,"52.31126,4.741111",0,19,182
1616316631,2021-03-21T08:50:31Z,UAL71,"52.310738,4.741071",0,20,182
1616316637,2021-03-21T08:50:37Z,UAL71,"52.310169,4.741013",0,20,182
1616316644,2021-03-21T08:50:44Z,UAL71,"52.309528,4.740954",0,21,182
1616316649,2021-03-21T08:50:49Z,UAL71,"52.308964,4.740906",0,21,182
1616316656,2021-03-21T08:50:56Z,UAL71,"52.308334,4.740849",0,20,182
1616316662,2021-03-21T08:51:02Z,UAL71,"52.307819,4.740791",0,16,182
1616316668,2021-03-21T08:51:08Z,UAL71,"52.307434,4.740757",0,14,182
1616316674,2021-03-21T08:51:14Z,UAL71,"52.307083,4.740738",0,12,182
1616316680,2021-03-21T08:51:20Z,UAL71,"52.306732,4.740696",0,12,182
1616316686,2021-03-21T08:51:26Z,UAL71,"52.306412,4.740658",0,11,182
1616316692,2021-03-21T08:51:32Z,UAL71,"52.306149,4.740486",0,9,199
1616316697,2021-03-21T08:51:37Z,UAL71,"52.306011,4.740228",0,9,222
1616316701,2021-03-21T08:51:41Z,UAL71,"52.305977,4.739933",0,9,244
1616316705,2021-03-21T08:51:45Z,UAL71,"52.305977,4.739659",0,9,258
1616316710,2021-03-21T08:51:50Z,UAL71,"52.306084,4.739345",0,10,286
1616316715,2021-03-21T08:51:55Z,UAL71,"52.306263,4.739113",0,10,312
1616316721,2021-03-21T08:52:01Z,UAL71,"52.306492,4.73896",0,10,331
1616316727,2021-03-21T08:52:07Z,UAL71,"52.306736,4.738737",0,11,331
1616316732,2021-03-21T08:52:12Z,UAL71,"52.30698,4.738541",0,11,334
1616316736,2021-03-21T08:52:16Z,UAL71,"52.307213,4.738364",0,12,334
1616316742,2021-03-21T08:52:22Z,UAL71,"52.307526,4.738148",0,12,334
1616316747,2021-03-21T08:52:27Z,UAL71,"52.307774,4.737988",0,12,337
1616316753,2021-03-21T08:52:33Z,UAL71,"52.308048,4.737893",0,12,348
1616316757,2021-03-21T08:52:37Z,UAL71,"52.30827,4.737893",0,12,357
1616316761,2021-03-21T08:52:41Z,UAL71,"52.308529,4.73793",0,14,2
1616316764,2021-03-21T08:52:44Z,UAL71,"52.308796,4.737952",0,19,2
1616316767,2021-03-21T08:52:47Z,UAL71,"52.309212,4.737991",0,31,2
1616316769,2021-03-21T08:52:49Z,UAL71,"52.309517,4.738011",0,40,2
1616316770,2021-03-21T08:52:50Z,UAL71,"52.309856,4.738045",0,49,2
1616316772,2021-03-21T08:52:52Z,UAL71,"52.310371,4.738102",0,58,2
1616316818,2021-03-21T08:53:38Z,UAL71,"52.337814,4.740677",475,151,3
1616316824,2021-03-21T08:53:44Z,UAL71,"52.342033,4.740993",775,151,2
1616316836,2021-03-21T08:53:56Z,UAL71,"52.35054,4.740829",1200,158,353
1616316837,2021-03-21T08:53:57Z,UAL71,"52.351345,4.740601",1225,160,349
1616316841,2021-03-21T08:54:01Z,UAL71,"52.353531,4.739738",1325,161,348
1616316844,2021-03-21T08:54:04Z,UAL71,"52.356651,4.738168",1400,170,342
1616316847,2021-03-21T08:54:07Z,UAL71,"52.358185,4.737305",1450,173,341
1616316850,2021-03-21T08:54:10Z,UAL71,"52.360428,4.736099",1500,177,341
1616316854,2021-03-21T08:54:14Z,UAL71,"52.364456,4.733734",1650,184,340
1616316857,2021-03-21T08:54:17Z,UAL71,"52.366009,4.732831",1700,186,340
1616316858,2021-03-21T08:54:18Z,UAL71,"52.36731,4.732047",1750,189,340
1616316859,2021-03-21T08:54:19Z,UAL71,"52.368576,4.731293",1775,192,340
1616316862,2021-03-21T08:54:22Z,UAL71,"52.37114,4.729843",1825,196,340
1616316866,2021-03-21T08:54:26Z,UAL71,"52.373795,4.728317",1900,202,340
1616316867,2021-03-21T08:54:27Z,UAL71,"52.375504,4.727338",1950,202,340
1616316872,2021-03-21T08:54:32Z,UAL71,"52.379059,4.725342",2100,209,340
1616316883,2021-03-21T08:54:43Z,UAL71,"52.390549,4.719086",2600,220,341
1616316893,2021-03-21T08:54:53Z,UAL71,"52.399612,4.714203",3050,226,341
1616316901,2021-03-21T08:55:01Z,UAL71,"52.407532,4.710007",3550,226,341
1616316910,2021-03-21T08:55:10Z,UAL71,"52.416515,4.705209",3975,232,342
1616316916,2021-03-21T08:55:16Z,UAL71,"52.42305,4.701691",4275,235,341
1616316923,2021-03-21T08:55:23Z,UAL71,"52.430248,4.697833",4625,239,341
1616316931,2021-03-21T08:55:31Z,UAL71,"52.439392,4.692917",5150,239,341
1616316942,2021-03-21T08:55:42Z,UAL71,"52.449986,4.68614",5800,239,336
1616316951,2021-03-21T08:55:51Z,UAL71,"52.459396,4.678574",6400,239,331
1616316962,2021-03-21T08:56:02Z,UAL71,"52.469398,4.66864",7000,242,326
1616316967,2021-03-21T08:56:07Z,UAL71,"52.474686,4.662628",7300,245,324
1616316980,2021-03-21T08:56:20Z,UAL71,"52.485672,4.649811",7900,247,325
1616317000,2021-03-21T08:56:40Z,UAL71,"52.504211,4.625702",9100,251,316
1616317004,2021-03-21T08:56:44Z,UAL71,"52.507462,4.620209",9300,252,313
1616317012,2021-03-21T08:56:52Z,UAL71,"52.513458,4.608841",9700,257,309
1616317021,2021-03-21T08:57:01Z,UAL71,"52.520653,4.593698",10100,263,307
1616317035,2021-03-21T08:57:15Z,UAL71,"52.531219,4.571991",10800,265,308
1616317048,2021-03-21T08:57:28Z,UAL71,"52.540997,4.552264",11150,277,308
1616317071,2021-03-21T08:57:51Z,UAL71,"52.560196,4.513626",11750,296,309
1616317087,2021-03-21T08:58:07Z,UAL71,"52.57568,4.482736",12050,320,309
1616317122,2021-03-21T08:58:42Z,UAL71,"52.610001,4.41185",13050,350,308
1616317155,2021-03-21T08:59:15Z,UAL71,"52.642731,4.343719",14625,354,308
1616317195,2021-03-21T08:59:55Z,UAL71,"52.683563,4.258957",16225,365,308
1616317226,2021-03-21T09:00:26Z,UAL71,"52.716404,4.190814",17700,366,308
1616317259,2021-03-21T09:00:59Z,UAL71,"52.752869,4.116287",18950,376,308
1616317320,2021-03-21T09:02:00Z,UAL71,"52.818832,3.978882",21225,388,308
1616317392,2021-03-21T09:03:12Z,UAL71,"52.897293,3.800201",23650,415,298
1616317398,2021-03-21T09:03:18Z,UAL71,"52.902802,3.782357",23850,418,296
1616317401,2021-03-21T09:03:21Z,UAL71,"52.904755,3.775711",23925,420,295
1616317404,2021-03-21T09:03:24Z,UAL71,"52.907597,3.765486",24025,421,294
1616317476,2021-03-21T09:04:36Z,UAL71,"52.954193,3.537827",26175,445,287
1616317542,2021-03-21T09:05:42Z,UAL71,"52.992134,3.316616",27875,462,285
1616317605,2021-03-21T09:06:45Z,UAL71,"53.028397,3.099213",29425,475,285
1616317666,2021-03-21T09:07:46Z,UAL71,"53.064476,2.881949",30775,485,285
1616317732,2021-03-21T09:08:52Z,UAL71,"53.103516,2.64386",32400,487,284
1616317797,2021-03-21T09:09:57Z,UAL71,"53.141327,2.409616",34125,483,284
1616317864,2021-03-21T09:11:04Z,UAL71,"53.179413,2.171658",35625,481,284
1616317936,2021-03-21T09:12:16Z,UAL71,"53.219925,1.912563",35975,483,284
1616317997,2021-03-21T09:13:17Z,UAL71,"53.253525,1.694563",35975,479,284
1616318070,2021-03-21T09:14:30Z,UAL71,"53.293579,1.432146",36000,479,284
1616318131,2021-03-21T09:15:31Z,UAL71,"53.326721,1.211557",35975,481,283
1616318198,2021-03-21T09:16:38Z,UAL71,"53.362457,0.969786",35975,482,283
1616318259,2021-03-21T09:17:39Z,UAL71,"53.394379,0.750445",36000,484,283
1616318328,2021-03-21T09:18:48Z,UAL71,"53.430283,0.500201",36000,483,283
1616318391,2021-03-21T09:19:51Z,UAL71,"53.462677,0.270891",35975,482,283
1616318457,2021-03-21T09:20:57Z,UAL71,"53.496094,0.030369",35975,481,282
1616318530,2021-03-21T09:22:10Z,UAL71,"53.532467,-0.235398",35975,482,282
1616318595,2021-03-21T09:23:15Z,UAL71,"53.5644,-0.473058",35975,481,282
1616318661,2021-03-21T09:24:21Z,UAL71,"53.596428,-0.714838",36000,483,282
1616318739,2021-03-21T09:25:39Z,UAL71,"53.633347,-0.999837",35975,483,282
1616318806,2021-03-21T09:26:46Z,UAL71,"53.664536,-1.244606",35975,483,282
1616318869,2021-03-21T09:27:49Z,UAL71,"53.693676,-1.477338",36000,484,281
1616318934,2021-03-21T09:28:54Z,UAL71,"53.723331,-1.718553",36000,484,281
1616318962,2021-03-21T09:29:22Z,UAL71,"53.735573,-1.81953",35975,483,281
1616319052,2021-03-21T09:30:52Z,UAL71,"53.775097,-2.15017",36000,482,281
1616319114,2021-03-21T09:31:54Z,UAL71,"53.801865,-2.378863",36000,483,281
1616319180,2021-03-21T09:33:00Z,UAL71,"53.830215,-2.625005",36000,484,280
1616319262,2021-03-21T09:34:22Z,UAL71,"53.864319,-2.928877",35975,485,280
1616319326,2021-03-21T09:35:26Z,UAL71,"53.890732,-3.169006",35975,486,280
1616319398,2021-03-21T09:36:38Z,UAL71,"53.923367,-3.434682",36000,485,285
1616319468,2021-03-21T09:37:48Z,UAL71,"53.971966,-3.688498",35975,484,288
1616319532,2021-03-21T09:38:52Z,UAL71,"54.016937,-3.919776",35975,483,288
1616319604,2021-03-21T09:40:04Z,UAL71,"54.066326,-4.180136",35975,485,287
1616319629,2021-03-21T09:40:29Z,UAL71,"54.082626,-4.266776",36000,485,287
1616319726,2021-03-21T09:42:06Z,UAL71,"54.148773,-4.622417",36000,484,287
1616319792,2021-03-21T09:43:12Z,UAL71,"54.192719,-4.863019",36000,486,286
1616319853,2021-03-21T09:44:13Z,UAL71,"54.224716,-5.090436",36000,485,281
1616319914,2021-03-21T09:45:14Z,UAL71,"54.252163,-5.317948",35975,486,281
1616319976,2021-03-21T09:46:16Z,UAL71,"54.279583,-5.54951",35975,486,281
1616320047,2021-03-21T09:47:27Z,UAL71,"54.310867,-5.819342",35975,486,281
1616320112,2021-03-21T09:48:32Z,UAL71,"54.338654,-6.063403",35975,484,280
1616320190,2021-03-21T09:49:50Z,UAL71,"54.371246,-6.355757",35975,485,280
1616320255,2021-03-21T09:50:55Z,UAL71,"54.397705,-6.598825",36000,484,280
1616320318,2021-03-21T09:51:58Z,UAL71,"54.42329,-6.838157",35975,483,280
1616320379,2021-03-21T09:52:59Z,UAL71,"54.447556,-7.069218",36000,484,280
1616320440,2021-03-21T09:54:00Z,UAL71,"54.47081,-7.296295",36000,484,279
1616320501,2021-03-21T09:55:01Z,UAL71,"54.494202,-7.529027",35975,483,279
1616320562,2021-03-21T09:56:02Z,UAL71,"54.517139,-7.759677",35975,481,279
1616320624,2021-03-21T09:57:04Z,UAL71,"54.539532,-7.990973",36000,479,279
1616320686,2021-03-21T09:58:06Z,UAL71,"54.561459,-8.2231",36000,480,279
1616320747,2021-03-21T09:59:07Z,UAL71,"54.583054,-8.456484",35975,481,278
1616320808,2021-03-21T10:00:08Z,UAL71,"54.604019,-8.687439",36000,480,278
1616320874,2021-03-21T10:01:14Z,UAL71,"54.625793,-8.932633",36000,471,278
1616320934,2021-03-21T10:02:14Z,UAL71,"54.645126,-9.156862",36000,475,278
1616320997,2021-03-21T10:03:17Z,UAL71,"54.664848,-9.389316",35975,475,278
1616321058,2021-03-21T10:04:18Z,UAL71,"54.683945,-9.620308",35975,475,278
1616321119,2021-03-21T10:05:19Z,UAL71,"54.702255,-9.847466",35975,476,277
1616321180,2021-03-21T10:06:20Z,UAL71,"54.720383,-10.078098",35975,474,277
1616321241,2021-03-21T10:07:21Z,UAL71,"54.738098,-10.308972",36000,471,277
1616321302,2021-03-21T10:08:22Z,UAL71,"54.754898,-10.53395",36000,467,277
1616321364,2021-03-21T10:09:24Z,UAL71,"54.771362,-10.760026",35975,463,277
1616321427,2021-03-21T10:10:27Z,UAL71,"54.787766,-10.992952",36000,466,276
1616321488,2021-03-21T10:11:28Z,UAL71,"54.803341,-11.218955",36825,472,276
1616321551,2021-03-21T10:12:31Z,UAL71,"54.819309,-11.456409",37925,469,276
1616321616,2021-03-21T10:13:36Z,UAL71,"54.834812,-11.695779",37975,466,276
1616321655,2021-03-21T10:14:15Z,UAL71,"54.84407,-11.843019",38000,467,276
1616321748,2021-03-21T10:15:48Z,UAL71,"54.865116,-12.186751",38000,465,275
1616321813,2021-03-21T10:16:53Z,UAL71,"54.879135,-12.425779",37975,465,275
1616321878,2021-03-21T10:17:58Z,UAL71,"54.892769,-12.666321",38000,462,275
1616321942,2021-03-21T10:19:02Z,UAL71,"54.905869,-12.905704",37975,466,275
1616322004,2021-03-21T10:20:04Z,UAL71,"54.917816,-13.131893",38000,464,275
1616322070,2021-03-21T10:21:10Z,UAL71,"54.930359,-13.378359",38000,463,274
1616322131,2021-03-21T10:22:11Z,UAL71,"54.941322,-13.604321",38000,459,274
1616322198,2021-03-21T10:23:18Z,UAL71,"54.952835,-13.850124",37975,458,274
1616322263,2021-03-21T10:24:23Z,UAL71,"54.963295,-14.083557",37975,457,274
1616322324,2021-03-21T10:25:24Z,UAL71,"54.972748,-14.304038",37975,457,274
1616322361,2021-03-21T10:26:01Z,UAL71,"54.978424,-14.441445",38000,458,274
1616322425,2021-03-21T10:27:05Z,UAL71,"54.988014,-14.679898",38000,460,273
1616322512,2021-03-21T10:28:32Z,UAL71,"55.00502,-15.001347",38000,465,286
1616322515,2021-03-21T10:28:35Z,UAL71,"55.00708,-15.01201",37975,466,288
1616322518,2021-03-21T10:28:38Z,UAL71,"55.009197,-15.022223",37975,466,289
1616323850,2021-03-21T10:50:50Z,UAL71,"55.002098,-19.998354",38000,470,347
1616325535,2021-03-21T11:18:55Z,UAL71,"55.776901,-26.44289",38000,477,282
1616326474,2021-03-21T11:34:34Z,UAL71,"56.033363,-30.004005",37996,477,282
1616327551,2021-03-21T11:52:31Z,UAL71,"56.112843,-33.872566",37996,477,282
1616331711,2021-03-21T13:01:51Z,UAL71,"54.668827,-49.220123",37992,462,266
1616333142,2021-03-21T13:25:42Z,UAL71,"53.430496,-54.111042",38000,475,244
1616333204,2021-03-21T13:26:44Z,UAL71,"53.370438,-54.318054",37975,479,244
1616333264,2021-03-21T13:27:44Z,UAL71,"53.311798,-54.518635",38000,478,243
1616333325,2021-03-21T13:28:45Z,UAL71,"53.252502,-54.719425",38000,478,243
1616333392,2021-03-21T13:29:52Z,UAL71,"53.179554,-54.933823",37975,479,238
1616333456,2021-03-21T13:30:56Z,UAL71,"53.106583,-55.132927",38000,476,238
1616333519,2021-03-21T13:31:59Z,UAL71,"53.033752,-55.329514",38000,474,238
1616333579,2021-03-21T13:32:59Z,UAL71,"52.963715,-55.517273",38000,476,238
1616333641,2021-03-21T13:34:01Z,UAL71,"52.892933,-55.705547",37975,477,238
1616333703,2021-03-21T13:35:03Z,UAL71,"52.820297,-55.897827",38000,478,237
1616333764,2021-03-21T13:36:04Z,UAL71,"52.748154,-56.086884",37975,479,237
1616333834,2021-03-21T13:37:14Z,UAL71,"52.665619,-56.301556",37975,482,237
1616333896,2021-03-21T13:38:16Z,UAL71,"52.590179,-56.495667",37975,482,237
1616333956,2021-03-21T13:39:16Z,UAL71,"52.518047,-56.680744",37975,479,237
1616334019,2021-03-21T13:40:19Z,UAL71,"52.442734,-56.872025",37975,480,237
1616334085,2021-03-21T13:41:25Z,UAL71,"52.36203,-57.075577",37975,482,237
1616334148,2021-03-21T13:42:28Z,UAL71,"52.285564,-57.266785",37975,483,236
1616334212,2021-03-21T13:43:32Z,UAL71,"52.208103,-57.459282",37975,486,236
1616334275,2021-03-21T13:44:35Z,UAL71,"52.129807,-57.652206",38000,486,236
1616334338,2021-03-21T13:45:38Z,UAL71,"52.051163,-57.84462",38000,488,236
1616334403,2021-03-21T13:46:43Z,UAL71,"51.970127,-58.041557",37975,491,236
1616334464,2021-03-21T13:47:44Z,UAL71,"51.891315,-58.231201",38000,496,235
1616334525,2021-03-21T13:48:45Z,UAL71,"51.814407,-58.414902",38000,490,235
1616334585,2021-03-21T13:49:45Z,UAL71,"51.737137,-58.598846",38000,490,235
1616334647,2021-03-21T13:50:47Z,UAL71,"51.660183,-58.780289",38025,484,235
1616334710,2021-03-21T13:51:50Z,UAL71,"51.579739,-58.968582",38000,482,235
1616334774,2021-03-21T13:52:54Z,UAL71,"51.499283,-59.155216",37975,479,235
1616334836,2021-03-21T13:53:56Z,UAL71,"51.420952,-59.336548",37975,477,235
1616334899,2021-03-21T13:54:59Z,UAL71,"51.340836,-59.519958",37975,479,235
1616334965,2021-03-21T13:56:05Z,UAL71,"51.257225,-59.710236",37975,475,234
1616335027,2021-03-21T13:57:07Z,UAL71,"51.17894,-59.887218",38000,474,234
1616335089,2021-03-21T13:58:09Z,UAL71,"51.101231,-60.061569",37975,476,234
1616335150,2021-03-21T13:59:10Z,UAL71,"51.022369,-60.237274",38000,478,234
1616335210,2021-03-21T14:00:10Z,UAL71,"50.944954,-60.408554",38000,478,234
1616335272,2021-03-21T14:01:12Z,UAL71,"50.865814,-60.582657",37975,477,234
1616335334,2021-03-21T14:02:14Z,UAL71,"50.78595,-60.757214",37975,474,234
1616335397,2021-03-21T14:03:17Z,UAL71,"50.704094,-60.934753",37975,473,233
1616335460,2021-03-21T14:04:20Z,UAL71,"50.624443,-61.106476",38000,473,233
1616335521,2021-03-21T14:05:21Z,UAL71,"50.545441,-61.27565",38000,472,233
1616335582,2021-03-21T14:06:22Z,UAL71,"50.46579,-61.44516",38000,473,233
1616335641,2021-03-21T14:07:21Z,UAL71,"50.388794,-61.607929",38000,476,233
1616335705,2021-03-21T14:08:25Z,UAL71,"50.305435,-61.783062",37975,476,233
1616335768,2021-03-21T14:09:28Z,UAL71,"50.222031,-61.957108",38000,478,233
1616335831,2021-03-21T14:10:31Z,UAL71,"50.138248,-62.13073",38000,478,233
