Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616324713,2021-03-21T11:05:13Z,UAL919,"51.473415,-0.4422",0,0,180
1616324761,2021-03-21T11:06:01Z,UAL919,"51.473431,-0.441829",0,2,286
1616324776,2021-03-21T11:06:16Z,UAL919,"51.473373,-0.441606",0,2,278
1616324788,2021-03-21T11:06:28Z,UAL919,"51.473339,-0.441402",0,2,261
1616324802,2021-03-21T11:06:42Z,UAL919,"51.473331,-0.441151",0,2,239
1616324816,2021-03-21T11:06:56Z,UAL919,"51.473396,-0.440919",0,2,222
1616324833,2021-03-21T11:07:13Z,UAL919,"51.473499,-0.440715",0,2,202
1616324861,2021-03-21T11:07:41Z,UAL919,"51.473705,-0.440585",0,1,180
1616324872,2021-03-21T11:07:52Z,UAL919,"51.473415,-0.441761",0,1,180
1616325197,2021-03-21T11:13:17Z,UAL919,"51.473637,-0.440567",0,2,180
1616325210,2021-03-21T11:13:30Z,UAL919,"51.473427,-0.440578",0,4,180
1616325221,2021-03-21T11:13:41Z,UAL919,"51.473179,-0.440567",0,6,180
1616325228,2021-03-21T11:13:48Z,UAL919,"51.472961,-0.440559",0,7,180
1616325236,2021-03-21T11:13:56Z,UAL919,"51.472687,-0.440567",0,8,182
1616325245,2021-03-21T11:14:05Z,UAL919,"51.472309,-0.440559",0,9,182
1616325251,2021-03-21T11:14:11Z,UAL919,"51.472065,-0.440559",0,10,180
1616325257,2021-03-21T11:14:17Z,UAL919,"51.47176,-0.440548",0,11,182
1616325264,2021-03-21T11:14:24Z,UAL919,"51.471382,-0.440548",0,12,180
1616325270,2021-03-21T11:14:30Z,UAL919,"51.471073,-0.440548",0,12,182
1616325276,2021-03-21T11:14:36Z,UAL919,"51.470695,-0.440548",0,13,182
1616325289,2021-03-21T11:14:49Z,UAL919,"51.469898,-0.44054",0,15,180
1616325296,2021-03-21T11:14:56Z,UAL919,"51.469425,-0.440529",0,15,180
1616325311,2021-03-21T11:15:11Z,UAL919,"51.468502,-0.440521",0,10,182
1616325317,2021-03-21T11:15:17Z,UAL919,"51.468246,-0.440511",0,10,180
1616325322,2021-03-21T11:15:22Z,UAL919,"51.467983,-0.440511",0,8,182
1616325329,2021-03-21T11:15:29Z,UAL919,"51.467758,-0.440559",0,8,191
1616325334,2021-03-21T11:15:34Z,UAL919,"51.467617,-0.440788",0,9,219
1616325352,2021-03-21T11:15:52Z,UAL919,"51.467525,-0.442142",0,10,270
1616325356,2021-03-21T11:15:56Z,UAL919,"51.467525,-0.442404",0,9,272
