Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616319917,2021-03-21T09:45:17Z,UAL951,"50.899704,4.487572",0,0,271
1616320353,2021-03-21T09:52:33Z,UAL951,"50.899471,4.487724",0,3,331
1616320368,2021-03-21T09:52:48Z,UAL951,"50.899261,4.487915",0,3,320
1616320379,2021-03-21T09:52:59Z,UAL951,"50.899136,4.488125",0,3,326
1616320397,2021-03-21T09:53:17Z,UAL951,"50.898926,4.488373",0,3,5
1616320416,2021-03-21T09:53:36Z,UAL951,"50.898705,4.488411",0,2,53
1616320443,2021-03-21T09:54:03Z,UAL951,"50.899113,4.488144",0,0,154
1616320580,2021-03-21T09:56:20Z,UAL951,"50.89864,4.488323",0,0,154
1616320801,2021-03-21T10:00:01Z,UAL951,"50.89872,4.488583",0,5,61
1616320819,2021-03-21T10:00:19Z,UAL951,"50.899006,4.489548",0,9,64
1616320828,2021-03-21T10:00:28Z,UAL951,"50.899181,4.490147",0,10,64
1616320837,2021-03-21T10:00:37Z,UAL951,"50.899349,4.490717",0,11,64
1616320850,2021-03-21T10:00:50Z,UAL951,"50.899647,4.491738",0,11,64
1616320861,2021-03-21T10:01:01Z,UAL951,"50.899681,4.492378",0,8,98
1616320866,2021-03-21T10:01:06Z,UAL951,"50.899555,4.492588",0,8,126
1616320874,2021-03-21T10:01:14Z,UAL951,"50.899246,4.492592",0,8,180
1616320883,2021-03-21T10:01:23Z,UAL951,"50.898926,4.492455",0,8,191
1616320889,2021-03-21T10:01:29Z,UAL951,"50.898693,4.492359",0,8,194
1616320904,2021-03-21T10:01:44Z,UAL951,"50.898136,4.492146",0,9,194
1616320910,2021-03-21T10:01:50Z,UAL951,"50.897888,4.492035",0,9,194
1616320918,2021-03-21T10:01:58Z,UAL951,"50.897564,4.491905",0,9,194
1616320933,2021-03-21T10:02:13Z,UAL951,"50.8969,4.491634",0,10,194
1616320939,2021-03-21T10:02:19Z,UAL951,"50.896614,4.491515",0,11,194
1616320945,2021-03-21T10:02:25Z,UAL951,"50.896366,4.491329",0,26,208
1616320951,2021-03-21T10:02:31Z,UAL951,"50.896145,4.490996",0,26,222
1616320956,2021-03-21T10:02:36Z,UAL951,"50.895927,4.490773",0,27,210
1616320966,2021-03-21T10:02:46Z,UAL951,"50.895435,4.490569",0,26,194
1616320975,2021-03-21T10:02:55Z,UAL951,"50.894932,4.490383",0,25,194
