Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616318436,2021-03-21T09:20:36Z,UAL961,"50.046345,8.566775",0,0,112
1616318891,2021-03-21T09:28:11Z,UAL961,"50.046478,8.566391",0,6,106
1616318898,2021-03-21T09:28:18Z,UAL961,"50.046547,8.566119",0,6,98
1616318902,2021-03-21T09:28:22Z,UAL961,"50.046577,8.565885",0,7,95
1616318908,2021-03-21T09:28:28Z,UAL961,"50.0466,8.565624",0,7,95
1616318913,2021-03-21T09:28:33Z,UAL961,"50.046623,8.565383",0,7,92
1616318917,2021-03-21T09:28:37Z,UAL961,"50.046635,8.565179",0,7,90
1616318925,2021-03-21T09:28:45Z,UAL961,"50.046646,8.564826",0,5,90
1616318958,2021-03-21T09:29:18Z,UAL961,"50.046421,8.564963",0,6,132
1616318972,2021-03-21T09:29:32Z,UAL961,"50.046066,8.564845",0,5,185
1616318990,2021-03-21T09:29:50Z,UAL961,"50.045795,8.564604",0,2,202
1616319001,2021-03-21T09:30:01Z,UAL961,"50.046295,8.564963",0,0,357
1616319146,2021-03-21T09:32:26Z,UAL961,"50.045769,8.564584",0,0,357
1616319197,2021-03-21T09:33:17Z,UAL961,"50.04533,8.564251",0,6,205
1616319204,2021-03-21T09:33:24Z,UAL961,"50.045208,8.56397",0,7,227
1616319211,2021-03-21T09:33:31Z,UAL961,"50.045135,8.563601",0,7,241
1616319257,2021-03-21T09:34:17Z,UAL961,"50.044395,8.560573",0,10,247
1616319281,2021-03-21T09:34:41Z,UAL961,"50.043961,8.560265",0,6,174
1616319292,2021-03-21T09:34:52Z,UAL961,"50.043674,8.560446",0,5,160
1616319308,2021-03-21T09:35:08Z,UAL961,"50.043457,8.560555",0,3,157
1616319336,2021-03-21T09:35:36Z,UAL961,"50.042885,8.561259",0,8,118
1616319349,2021-03-21T09:35:49Z,UAL961,"50.042976,8.561892",0,7,81
1616319355,2021-03-21T09:35:55Z,UAL961,"50.042889,8.562173",0,7,104
1616319366,2021-03-21T09:36:06Z,UAL961,"50.042553,8.562325",0,8,154
1616319371,2021-03-21T09:36:11Z,UAL961,"50.042301,8.562469",0,10,157
1616319380,2021-03-21T09:36:20Z,UAL961,"50.041924,8.562686",0,10,157
1616319386,2021-03-21T09:36:26Z,UAL961,"50.041664,8.56284",0,10,157
1616319391,2021-03-21T09:36:31Z,UAL961,"50.041492,8.563064",0,9,140
1616319399,2021-03-21T09:36:39Z,UAL961,"50.041477,8.563626",0,10,90
1616319408,2021-03-21T09:36:48Z,UAL961,"50.04163,8.564196",0,10,70
1616319445,2021-03-21T09:37:25Z,UAL961,"50.042141,8.566385",0,9,67
1616319450,2021-03-21T09:37:30Z,UAL961,"50.042213,8.566682",0,9,67
1616319456,2021-03-21T09:37:36Z,UAL961,"50.042305,8.567072",0,8,67
1616319462,2021-03-21T09:37:42Z,UAL961,"50.042393,8.567403",0,8,67
1616319471,2021-03-21T09:37:51Z,UAL961,"50.042492,8.567851",0,8,67
1616319484,2021-03-21T09:38:04Z,UAL961,"50.042667,8.568577",0,8,67
1616319491,2021-03-21T09:38:11Z,UAL961,"50.04277,8.56902",0,10,67
1616319500,2021-03-21T09:38:20Z,UAL961,"50.042931,8.569697",0,13,67
1616319506,2021-03-21T09:38:26Z,UAL961,"50.04306,8.570246",0,14,67
1616319512,2021-03-21T09:38:32Z,UAL961,"50.043205,8.570836",0,15,67
