Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616352205,2021-03-21T18:43:25Z,CJT980,"45.67802,-74.043922",0,2,278
1616356523,2021-03-21T19:55:23Z,CJT980,"45.677971,-74.043182",0,3,270
1616356535,2021-03-21T19:55:35Z,CJT980,"45.677975,-74.042961",0,3,270
1616356548,2021-03-21T19:55:48Z,CJT980,"45.677963,-74.042755",0,1,270
1616356715,2021-03-21T19:58:35Z,CJT980,"45.677753,-74.042908",0,6,205
1616356721,2021-03-21T19:58:41Z,CJT980,"45.677547,-74.042862",0,9,174
1616356734,2021-03-21T19:58:54Z,CJT980,"45.676868,-74.042923",0,13,188
1616356741,2021-03-21T19:59:01Z,CJT980,"45.676392,-74.04303",0,15,188
1616356747,2021-03-21T19:59:07Z,CJT980,"45.675938,-74.043114",0,15,188
1616356756,2021-03-21T19:59:16Z,CJT980,"45.675262,-74.043251",0,16,188
1616356761,2021-03-21T19:59:21Z,CJT980,"45.674843,-74.043335",0,17,188
1616356769,2021-03-21T19:59:29Z,CJT980,"45.674183,-74.04348",0,17,188
1616356776,2021-03-21T19:59:36Z,CJT980,"45.673679,-74.043594",0,17,188
1616356781,2021-03-21T19:59:41Z,CJT980,"45.673248,-74.043678",0,17,188
1616356793,2021-03-21T19:59:53Z,CJT980,"45.672249,-74.0439",0,20,191
1616356864,2021-03-21T20:01:04Z,CJT980,"45.671288,-74.037552",0,25,70
1616356888,2021-03-21T20:01:28Z,CJT980,"45.672272,-74.033752",0,27,70
1616356896,2021-03-21T20:01:36Z,CJT980,"45.672646,-74.032333",0,28,70
1616356902,2021-03-21T20:01:42Z,CJT980,"45.672924,-74.031235",0,29,70
1616356908,2021-03-21T20:01:48Z,CJT980,"45.673187,-74.030197",0,26,70
1616356913,2021-03-21T20:01:53Z,CJT980,"45.673416,-74.029312",0,23,70
1616356919,2021-03-21T20:01:59Z,CJT980,"45.673645,-74.028389",0,24,70
1616356926,2021-03-21T20:02:06Z,CJT980,"45.673889,-74.027443",0,25,70
1616356932,2021-03-21T20:02:12Z,CJT980,"45.674156,-74.026413",0,26,70
1616356937,2021-03-21T20:02:17Z,CJT980,"45.6744,-74.025543",0,26,67
1616356939,2021-03-21T20:02:19Z,CJT980,"45.674496,-74.025299",0,27,61
1616356942,2021-03-21T20:02:22Z,CJT980,"45.674698,-74.024872",0,27,56
1616356944,2021-03-21T20:02:24Z,CJT980,"45.674881,-74.024574",0,27,47
1616356946,2021-03-21T20:02:26Z,CJT980,"45.675053,-74.024323",0,27,44
1616356950,2021-03-21T20:02:30Z,CJT980,"45.675396,-74.023819",0,28,47
1616356953,2021-03-21T20:02:33Z,CJT980,"45.675682,-74.023422",0,28,44
1616356955,2021-03-21T20:02:35Z,CJT980,"45.675903,-74.023117",0,29,43
1616356958,2021-03-21T20:02:38Z,CJT980,"45.676216,-74.022652",0,29,45
1616356960,2021-03-21T20:02:40Z,CJT980,"45.67638,-74.022415",0,29,45
1616356962,2021-03-21T20:02:42Z,CJT980,"45.676575,-74.022141",0,30,44
1616356965,2021-03-21T20:02:45Z,CJT980,"45.676872,-74.021729",0,28,43
1616356967,2021-03-21T20:02:47Z,CJT980,"45.677067,-74.021454",0,26,42
1616356978,2021-03-21T20:02:58Z,CJT980,"45.677799,-74.020401",0,19,45
1616356985,2021-03-21T20:03:05Z,CJT980,"45.678288,-74.019714",0,20,45
1616357009,2021-03-21T20:03:29Z,CJT980,"45.679882,-74.017441",0,20,44
1616357016,2021-03-21T20:03:36Z,CJT980,"45.68042,-74.01667",0,22,45
1616357024,2021-03-21T20:03:44Z,CJT980,"45.681011,-74.015823",0,24,46
1616357039,2021-03-21T20:03:59Z,CJT980,"45.682362,-74.013916",0,29,44
1616357063,2021-03-21T20:04:23Z,CJT980,"45.684219,-74.011261",0,20,44
1616357076,2021-03-21T20:04:36Z,CJT980,"45.685085,-74.010017",0,22,45
1616357088,2021-03-21T20:04:48Z,CJT980,"45.686016,-74.008698",0,24,44
1616357093,2021-03-21T20:04:53Z,CJT980,"45.686428,-74.00811",0,25,49
1616357352,2021-03-21T20:09:12Z,CJT980,"45.679733,-74.008461",50,165,225
1616357357,2021-03-21T20:09:17Z,CJT980,"45.677151,-74.012215",325,164,225
1616357364,2021-03-21T20:09:24Z,CJT980,"45.673332,-74.017776",725,165,225
1616357370,2021-03-21T20:09:30Z,CJT980,"45.669846,-74.022797",1125,163,225
1616357376,2021-03-21T20:09:36Z,CJT980,"45.66658,-74.027527",1425,165,225
1616357383,2021-03-21T20:09:43Z,CJT980,"45.663277,-74.032196",1700,167,224
1616357387,2021-03-21T20:09:47Z,CJT980,"45.66053,-74.036041",1925,170,224
1616357395,2021-03-21T20:09:55Z,CJT980,"45.65593,-74.042358",2200,182,224
1616357402,2021-03-21T20:10:02Z,CJT980,"45.651993,-74.047783",2300,197,223
1616357407,2021-03-21T20:10:07Z,CJT980,"45.647736,-74.053543",2350,207,223
1616357414,2021-03-21T20:10:14Z,CJT980,"45.642792,-74.059906",2475,213,222
1616357420,2021-03-21T20:10:20Z,CJT980,"45.638699,-74.065224",2650,218,221
1616357427,2021-03-21T20:10:27Z,CJT980,"45.633343,-74.071953",3025,221,221
1616357435,2021-03-21T20:10:35Z,CJT980,"45.627136,-74.079742",3575,220,221
1616357441,2021-03-21T20:10:41Z,CJT980,"45.622452,-74.085617",3925,221,221
1616357448,2021-03-21T20:10:48Z,CJT980,"45.61705,-74.092484",4325,225,221
1616357454,2021-03-21T20:10:54Z,CJT980,"45.612534,-74.098763",4675,228,225
1616357455,2021-03-21T20:10:55Z,CJT980,"45.61179,-74.099831",4725,229,226
1616357457,2021-03-21T20:10:57Z,CJT980,"45.610764,-74.10141",4800,229,227
1616357458,2021-03-21T20:10:58Z,CJT980,"45.609695,-74.103127",4875,230,228
1616357459,2021-03-21T20:10:59Z,CJT980,"45.608643,-74.104858",4950,232,229
1616357461,2021-03-21T20:11:01Z,CJT980,"45.60791,-74.106201",4975,233,230
1616357464,2021-03-21T20:11:04Z,CJT980,"45.605972,-74.109787",5050,237,232
1616357466,2021-03-21T20:11:06Z,CJT980,"45.604622,-74.112534",5100,240,235
1616357467,2021-03-21T20:11:07Z,CJT980,"45.603928,-74.113968",5125,240,235
1616357469,2021-03-21T20:11:09Z,CJT980,"45.602478,-74.117134",5175,241,237
1616357470,2021-03-21T20:11:10Z,CJT980,"45.601868,-74.118591",5200,241,238
1616357471,2021-03-21T20:11:11Z,CJT980,"45.601593,-74.119194",5200,241,238
1616357472,2021-03-21T20:11:12Z,CJT980,"45.600723,-74.121208",5225,241,238
1616357473,2021-03-21T20:11:13Z,CJT980,"45.600105,-74.122696",5225,242,238
1616357476,2021-03-21T20:11:16Z,CJT980,"45.598526,-74.126564",5275,242,239
1616357477,2021-03-21T20:11:17Z,CJT980,"45.597977,-74.127968",5275,243,240
1616357478,2021-03-21T20:11:18Z,CJT980,"45.597382,-74.129379",5300,243,240
1616357479,2021-03-21T20:11:19Z,CJT980,"45.596786,-74.13092",5300,243,240
1616357480,2021-03-21T20:11:20Z,CJT980,"45.596287,-74.132172",5300,244,241
1616357482,2021-03-21T20:11:22Z,CJT980,"45.595139,-74.135277",5300,243,241
1616357483,2021-03-21T20:11:23Z,CJT980,"45.594658,-74.136566",5300,244,242
1616357484,2021-03-21T20:11:24Z,CJT980,"45.594147,-74.138008",5325,243,242
1616357496,2021-03-21T20:11:36Z,CJT980,"45.589119,-74.154762",5425,243,250
1616357498,2021-03-21T20:11:38Z,CJT980,"45.588001,-74.1595",5450,244,251
1616357500,2021-03-21T20:11:40Z,CJT980,"45.587402,-74.16214",5450,244,252
1616357502,2021-03-21T20:11:42Z,CJT980,"45.586853,-74.164749",5450,244,253
1616357503,2021-03-21T20:11:43Z,CJT980,"45.586697,-74.165474",5450,244,253
1616357505,2021-03-21T20:11:45Z,CJT980,"45.585846,-74.169502",5425,245,253
1616357506,2021-03-21T20:11:46Z,CJT980,"45.585346,-74.17186",5425,245,253
1616357509,2021-03-21T20:11:49Z,CJT980,"45.58493,-74.173859",5425,244,253
1616357511,2021-03-21T20:11:51Z,CJT980,"45.583923,-74.178619",5425,244,253
1616357514,2021-03-21T20:11:54Z,CJT980,"45.582832,-74.183533",5450,244,252
1616357525,2021-03-21T20:12:05Z,CJT980,"45.57925,-74.1996",5475,243,252
1616357537,2021-03-21T20:12:17Z,CJT980,"45.574966,-74.218414",5500,245,251
1616357550,2021-03-21T20:12:30Z,CJT980,"45.570312,-74.238327",5525,244,251
1616357561,2021-03-21T20:12:41Z,CJT980,"45.566299,-74.254852",5700,246,250
1616357573,2021-03-21T20:12:53Z,CJT980,"45.561558,-74.273827",6275,244,250
1616357584,2021-03-21T20:13:04Z,CJT980,"45.557281,-74.290894",6925,247,250
1616357599,2021-03-21T20:13:19Z,CJT980,"45.551598,-74.313103",7800,252,250
1616357611,2021-03-21T20:13:31Z,CJT980,"45.546707,-74.332092",8575,255,249
1616357622,2021-03-21T20:13:42Z,CJT980,"45.542221,-74.349518",9275,257,250
1616357633,2021-03-21T20:13:53Z,CJT980,"45.537827,-74.366714",9900,261,249
1616357645,2021-03-21T20:14:05Z,CJT980,"45.532417,-74.387825",10400,276,249
1616357658,2021-03-21T20:14:18Z,CJT980,"45.526691,-74.410263",10750,294,249
1616357670,2021-03-21T20:14:30Z,CJT980,"45.520779,-74.433311",11025,316,249
1616357683,2021-03-21T20:14:43Z,CJT980,"45.514587,-74.460304",11350,335,253
1616357694,2021-03-21T20:14:54Z,CJT980,"45.51059,-74.482201",11625,347,256
1616357707,2021-03-21T20:15:07Z,CJT980,"45.505646,-74.515488",12050,366,258
1616357739,2021-03-21T20:15:39Z,CJT980,"45.495037,-74.592209",13725,381,259
1616357770,2021-03-21T20:16:10Z,CJT980,"45.484497,-74.669426",15475,391,258
