Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1616374931,2021-03-22T01:02:11Z,CJT980,"43.165131,-79.929329",0,0,239
1616375012,2021-03-22T01:03:32Z,CJT980,"43.16534,-79.929245",0,2,199
1616375034,2021-03-22T01:03:54Z,CJT980,"43.16555,-79.929115",0,2,191
1616375066,2021-03-22T01:04:26Z,CJT980,"43.165764,-79.929031",0,1,129
1616375091,2021-03-22T01:04:51Z,CJT980,"43.16589,-79.929245",0,2,106
1616375295,2021-03-22T01:08:15Z,CJT980,"43.165833,-79.92897",0,5,104
1616375301,2021-03-22T01:08:21Z,CJT980,"43.165794,-79.928757",0,6,106
1616375307,2021-03-22T01:08:27Z,CJT980,"43.165726,-79.928482",0,8,106
1616375313,2021-03-22T01:08:33Z,CJT980,"43.165646,-79.928085",0,11,106
1616375319,2021-03-22T01:08:39Z,CJT980,"43.165539,-79.927643",0,12,106
1616375325,2021-03-22T01:08:45Z,CJT980,"43.165455,-79.927277",0,13,106
1616375331,2021-03-22T01:08:51Z,CJT980,"43.165329,-79.926682",0,14,106
1616375337,2021-03-22T01:08:57Z,CJT980,"43.165215,-79.926208",0,14,106
1616375343,2021-03-22T01:09:03Z,CJT980,"43.165131,-79.925735",0,14,95
1616375347,2021-03-22T01:09:07Z,CJT980,"43.16526,-79.925377",0,14,61
1616375353,2021-03-22T01:09:13Z,CJT980,"43.165596,-79.925049",0,16,28
1616375357,2021-03-22T01:09:17Z,CJT980,"43.16597,-79.925026",0,16,357
1616375361,2021-03-22T01:09:21Z,CJT980,"43.166214,-79.925163",0,17,337
1616375364,2021-03-22T01:09:24Z,CJT980,"43.166439,-79.925331",0,18,331
1616375368,2021-03-22T01:09:28Z,CJT980,"43.166786,-79.925606",0,21,329
1616375370,2021-03-22T01:09:30Z,CJT980,"43.167011,-79.925789",0,24,329
1616375373,2021-03-22T01:09:33Z,CJT980,"43.167297,-79.926018",0,25,329
1616375375,2021-03-22T01:09:35Z,CJT980,"43.16761,-79.926254",0,26,331
1616375379,2021-03-22T01:09:39Z,CJT980,"43.16795,-79.926521",0,27,329
1616375386,2021-03-22T01:09:46Z,CJT980,"43.168728,-79.927124",0,27,331
1616375393,2021-03-22T01:09:53Z,CJT980,"43.169472,-79.927696",0,26,329
1616375399,2021-03-22T01:09:59Z,CJT980,"43.170078,-79.928169",0,23,329
1616375404,2021-03-22T01:10:04Z,CJT980,"43.170444,-79.928459",0,17,334
1616375408,2021-03-22T01:10:08Z,CJT980,"43.170696,-79.928467",0,15,2
1616375413,2021-03-22T01:10:13Z,CJT980,"43.170963,-79.928139",0,15,43
1616375416,2021-03-22T01:10:16Z,CJT980,"43.171162,-79.927811",0,20,47
1616375418,2021-03-22T01:10:18Z,CJT980,"43.171326,-79.927551",0,24,47
1616375420,2021-03-22T01:10:20Z,CJT980,"43.171497,-79.927284",0,27,47
1616375422,2021-03-22T01:10:22Z,CJT980,"43.171696,-79.926994",0,29,47
1616375423,2021-03-22T01:10:23Z,CJT980,"43.171829,-79.926781",0,30,47
1616375425,2021-03-22T01:10:25Z,CJT980,"43.172001,-79.926514",0,30,50
1616375427,2021-03-22T01:10:27Z,CJT980,"43.172207,-79.926193",0,31,47
1616375430,2021-03-22T01:10:30Z,CJT980,"43.172447,-79.925812",0,31,47
1616375432,2021-03-22T01:10:32Z,CJT980,"43.172684,-79.925438",0,31,47
1616375433,2021-03-22T01:10:33Z,CJT980,"43.172848,-79.925201",0,32,47
1616375440,2021-03-22T01:10:40Z,CJT980,"43.17342,-79.924309",0,26,47
1616375446,2021-03-22T01:10:46Z,CJT980,"43.173786,-79.923683",0,19,56
1616375449,2021-03-22T01:10:49Z,CJT980,"43.173855,-79.923401",0,19,75
1616375451,2021-03-22T01:10:51Z,CJT980,"43.173813,-79.923103",0,19,95
1616375453,2021-03-22T01:10:53Z,CJT980,"43.173763,-79.922836",0,20,104
1616375455,2021-03-22T01:10:55Z,CJT980,"43.173721,-79.92263",0,22,106
1616375458,2021-03-22T01:10:58Z,CJT980,"43.173569,-79.921989",0,27,106
1616375460,2021-03-22T01:11:00Z,CJT980,"43.1735,-79.921661",0,28,106
1616375461,2021-03-22T01:11:01Z,CJT980,"43.173443,-79.921417",0,28,106
1616375464,2021-03-22T01:11:04Z,CJT980,"43.17334,-79.920982",0,29,106
1616375470,2021-03-22T01:11:10Z,CJT980,"43.173092,-79.919884",0,29,106
1616375472,2021-03-22T01:11:12Z,CJT980,"43.173012,-79.919556",0,27,106
1616375474,2021-03-22T01:11:14Z,CJT980,"43.172939,-79.919258",0,25,109
1616375479,2021-03-22T01:11:19Z,CJT980,"43.172756,-79.918701",0,19,120
1616375482,2021-03-22T01:11:22Z,CJT980,"43.172558,-79.918457",0,18,137
1616375488,2021-03-22T01:11:28Z,CJT980,"43.172253,-79.918045",0,15,126
1616375491,2021-03-22T01:11:31Z,CJT980,"43.172218,-79.91774",0,14,101
1616375494,2021-03-22T01:11:34Z,CJT980,"43.17231,-79.917534",0,12,67
1616375500,2021-03-22T01:11:40Z,CJT980,"43.172558,-79.917595",0,9,348
1616375506,2021-03-22T01:11:46Z,CJT980,"43.172638,-79.91787",0,8,298
1616375511,2021-03-22T01:11:51Z,CJT980,"43.172688,-79.918114",0,8,286
1616375547,2021-03-22T01:12:27Z,CJT980,"43.172745,-79.918396",0,4,286
1616375553,2021-03-22T01:12:33Z,CJT980,"43.173023,-79.919655",0,42,286
1616375560,2021-03-22T01:12:40Z,CJT980,"43.173641,-79.922348",0,78,286
1616375568,2021-03-22T01:12:48Z,CJT980,"43.174778,-79.927437",400,117,286
1616375574,2021-03-22T01:12:54Z,CJT980,"43.176315,-79.934097",400,138,287
1616375583,2021-03-22T01:13:03Z,CJT980,"43.178272,-79.942802",800,165,286
1616375596,2021-03-22T01:13:16Z,CJT980,"43.181213,-79.956261",1325,180,285
1616375599,2021-03-22T01:13:19Z,CJT980,"43.181625,-79.959259",1500,178,281
1616375602,2021-03-22T01:13:22Z,CJT980,"43.181854,-79.962395",1725,175,275
1616375604,2021-03-22T01:13:24Z,CJT980,"43.181808,-79.965332",1900,174,271
1616375607,2021-03-22T01:13:27Z,CJT980,"43.181488,-79.968719",2075,172,265
1616375608,2021-03-22T01:13:28Z,CJT980,"43.181438,-79.969284",2100,173,262
1616375614,2021-03-22T01:13:34Z,CJT980,"43.180161,-79.975105",2400,174,253
1616375617,2021-03-22T01:13:37Z,CJT980,"43.17897,-79.979752",2650,175,251
